# Detected language: en (p=1.00)

[0.00s -> 8.88s]  Thanks everyone for coming.
[3579.52s -> 3581.52s]  and can basically replace that phoneme sequence
[3581.52s -> 3582.52s]  with that word, right?
[3585.52s -> 3586.52s]  However, you can actually do better
[3586.52s -> 3589.52s]  by using a language model.
[3589.52s -> 3591.52s]  For example, here,
[3591.52s -> 3598.52s]  that's the decoding equation.
[3598.52s -> 3601.52s]  What we want to do here is that
[3601.52s -> 3603.52s]  here the x is the input,
[3603.52s -> 3606.52s]  the y is the decoded word sequences.
[3606.52s -> 3610.52s]  And then, because not all word sequences
[3610.52s -> 3612.52s]  have the same likelihood, right?
[3612.52s -> 3614.52s]  So some word sequences, say,
[3614.52s -> 3616.52s]  suppose I decode a sentence, say,
[3616.52s -> 3617.52s]  called I can spoke.
[3617.52s -> 3620.52s]  That doesn't seem like syntactically correct.
[3620.52s -> 3622.52s]  So we can maybe use the language model
[3622.52s -> 3625.52s]  to evaluate the probabilities of each decoded hypothesis
[3625.52s -> 3628.52s]  and then using that as some sort of weight
[3628.52s -> 3632.52s]  on the final decoding probabilities.
[3632.52s -> 3634.52s]  So we're adding this extra term here
[3634.52s -> 3637.52s]  called the probabilities of a sentence here.
[3637.52s -> 3639.52s]  Actually, you can just decompose that
[3639.52s -> 3643.52s]  into the probabilities of each token
[3643.52s -> 3645.52s]  given its previous tokens.
[3645.52s -> 3646.52s]  And you can basically measure these things
[3646.52s -> 3648.52s]  using any language model, right?
[3650.52s -> 3652.52s]  Another thing we want to add here is
[3652.52s -> 3654.52s]  another term is a word insertion bonus.
[3654.52s -> 3657.52s]  So one problem about this language model,
[3657.52s -> 3660.52s]  this probability of sentence is that
[3660.52s -> 3663.52s]  actually longer sentences will have
[3663.52s -> 3665.52s]  smaller probabilities than shorter sentences.
[3665.52s -> 3667.52s]  That's just like the properties
[3667.52s -> 3672.52s]  of how you decompose this probability here.
[3672.52s -> 3675.52s]  So we want to actually balance the length
[3675.52s -> 3677.52s]  of the decoded sequence here
[3677.52s -> 3679.52s]  by adding some word insertion bonus.
[3679.52s -> 3684.52s]  So eventually trying to optimize this equation here
[3684.52s -> 3689.52s]  using both the probabilities generated by the Rn decoder
[3689.52s -> 3692.52s]  and then using some sort of language model,
[3692.52s -> 3695.52s]  like weights and then word insertion bonus.
[3695.52s -> 3698.52s]  And also some weights here you can optimize.
[3698.52s -> 3701.52s]  Okay, just trying to put everything together.
[3701.52s -> 3704.52s]  So suppose that you have a neural feature inputs here,
[3704.52s -> 3706.52s]  which is you get the neural features
[3706.52s -> 3708.52s]  every 20 milliseconds.
[3708.52s -> 3710.52s]  You pass that through GRU,
[3710.52s -> 3712.52s]  and now you've got some foreign probabilities, right?
[3712.52s -> 3714.52s]  This all happens in real time,
[3714.52s -> 3716.52s]  so everything has to happen under,
[3716.52s -> 3718.52s]  like all the computation needs to be done
[3718.52s -> 3720.52s]  within 20 milliseconds.
[3720.52s -> 3721.52s]  You do a really quick beam search,
[3721.52s -> 3722.52s]  and then you find, okay,
[3722.52s -> 3727.52s]  maybe this volume corresponds to the word I,
[3727.52s -> 3729.52s]  or the word I.
[3729.52s -> 3731.52s]  And then here we want to use the n-gram language model
[3731.52s -> 3733.52s]  instead of like a more powerful
[3733.52s -> 3734.52s]  transformer language model.
[3734.52s -> 3737.52s]  The reason is that we want to really do
[3737.52s -> 3741.52s]  a lot of evaluation really quickly under 20 milliseconds.
[3741.52s -> 3745.52s]  So suppose that you have like, say, 100 hypothesis, right?
[3745.52s -> 3746.52s]  And then you want to all evaluate
[3746.52s -> 3748.52s]  the possibility of them.
[3748.52s -> 3750.52s]  If you use a transformer language model,
[3750.52s -> 3753.52s]  such as GPT-3, which is really powerful,
[3753.52s -> 3756.52s]  but you cannot really do really fast inferences
[3756.52s -> 3758.52s]  under 20 milliseconds, right?
[3758.52s -> 3759.52s]  So whereas the n-gram language model,
[3759.52s -> 3761.52s]  you can just load everything into memory
[3761.52s -> 3763.52s]  and all the evaluation is just a memory lookup,
[3763.52s -> 3766.52s]  so it's really quick.
[3766.52s -> 3768.52s]  After that, you can get some probabilities out,
[3768.52s -> 3771.52s]  and then you just keep, say, the top K hypothesis
[3771.52s -> 3774.52s]  for the next step of a beam search here.
[3774.52s -> 3777.52s]  So that's how we use the n-gram language model
[3777.52s -> 3781.52s]  in the real-time decoding.
[3781.52s -> 3783.52s]  After that, we'll use the transformer language model
[3783.52s -> 3788.52s]  to re-rank all the hypothesis generated
[3788.52s -> 3790.52s]  by the n-gram language model.
[3790.52s -> 3792.52s]  So this actually happens when you actually decode it
[3792.52s -> 3793.52s]  out the entire sentence.
[3793.52s -> 3797.52s]  Say, I can keep the most likely 100 sentences,
[3797.52s -> 3799.52s]  and then I can, at this time,
[3799.52s -> 3801.52s]  I can use the transformer language model,
[3801.52s -> 3804.52s]  which can quickly evaluate the probabilities,
[3804.52s -> 3806.52s]  say, only for 100 hypothesis
[3806.52s -> 3809.52s]  under the time of maybe half a second, right?
[3809.52s -> 3812.52s]  And then I can get a better probability measurement
[3812.52s -> 3815.52s]  of all the sentences here.
[3815.52s -> 3817.52s]  Yeah, so putting everything together,
[3817.52s -> 3819.52s]  this is how the entire system works
[3819.52s -> 3821.52s]  when I show you the previous video,
[3822.52s -> 3826.52s]  is that we can, right now, using this complicated,
[3826.52s -> 3829.52s]  not compact, multi-stage machine learning model
[3829.52s -> 3832.52s]  to accurately decode what the person is trying to say
[3832.52s -> 3837.52s]  and build this high-performance neural speech PCI.
[3839.52s -> 3840.52s]  All right, well, almost time here,
[3840.52s -> 3843.52s]  so just skip the evaluation part.
[3843.52s -> 3845.52s]  Evaluation is how we measure the performance.
[3845.52s -> 3847.52s]  It's basically measuring the word error rate.
[3848.52s -> 3853.52s]  It will also have all the data open as a competition,
[3853.52s -> 3854.52s]  so if you guys are trying,
[3854.52s -> 3856.52s]  really want to curious about this thing,
[3856.52s -> 3858.52s]  you can try to play around with it.
[3862.52s -> 3864.52s]  I think the most exciting thing about doing this research
[3864.52s -> 3868.52s]  is that you actually see how your research
[3868.52s -> 3870.52s]  can impact people here.
[3870.52s -> 3872.52s]  So this is a quote from our participant, T12,
[3872.52s -> 3874.52s]  and then this is how she reacts
[3874.52s -> 3877.52s]  when this thing first worked for her.
[3877.52s -> 3880.52s]  It's really exciting that she can speak
[3880.52s -> 3883.52s]  after so many years of silence.
[3885.52s -> 3887.52s]  Okay, so in the last five minutes,
[3887.52s -> 3888.52s]  maybe I can just go a little bit
[3888.52s -> 3892.52s]  into what I think is the future of BCIs here.
[3892.52s -> 3893.52s]  So I think what I've just shown you guys
[3893.52s -> 3896.52s]  is that using BCIs, we can help people
[3896.52s -> 3901.52s]  to either restore movements or restore communication.
[3902.52s -> 3905.52s]  One exciting direction, I think,
[3905.52s -> 3909.52s]  is this kind of multimodal BCI.
[3909.52s -> 3913.52s]  Here is a work published by a group at UCSF
[3913.52s -> 3915.52s]  is that they are trying to decode
[3915.52s -> 3920.52s]  not only the phonemes, but also speech,
[3920.52s -> 3922.52s]  I mean, the actual speech,
[3922.52s -> 3925.52s]  and then also some article gestures
[3925.52s -> 3929.52s]  so that you can actually move 3D avatars here.
[3930.52s -> 3932.52s]  And also, as I just mentioned,
[3932.52s -> 3939.52s]  is that the final goal of the speech BCI
[3939.52s -> 3941.52s]  is that you want to actually deploy it
[3941.52s -> 3944.52s]  for people to be able to use it every day
[3944.52s -> 3946.52s]  just as we use our phones.
[3948.52s -> 3951.52s]  So here's a more recent development of speech BCI
[3951.52s -> 3954.52s]  by our collaborators at UC Davis.
[3954.52s -> 3956.52s]  What they do is they actually put four arrays
[3956.52s -> 3958.52s]  into the motor cortex,
[3958.52s -> 3961.52s]  and actually have better signals than we do.
[3961.52s -> 3963.52s]  So what I can actually show you is that,
[3963.52s -> 3966.52s]  so for here, just for reference,
[3966.52s -> 3968.52s]  I just forgot to mention that
[3968.52s -> 3970.52s]  the final performance of our system
[3970.52s -> 3975.52s]  is that we can get maybe around 25% word error.
[3975.52s -> 3978.52s]  It means that for every 100 words
[3978.52s -> 3982.52s]  the participant says 25 of them maybe is wrong.
[3982.52s -> 3986.52s]  So for this latest work at the UC Davis,
[3986.52s -> 3989.52s]  they show that you can actually get close to zero
[3989.52s -> 3992.52s]  word error rate in a few sessions
[3992.52s -> 3995.52s]  by training the system more and more continuously.
[3995.52s -> 3998.52s]  So it's actually being very close
[3998.52s -> 4001.52s]  to being actually a usable system right now.
[4001.52s -> 4003.52s]  And here's a video of their participants
[4003.52s -> 4006.52s]  using the system to speak.
[4006.52s -> 4008.52s]  It's very accurate.
[4010.52s -> 4012.52s]  He's actually using the system
[4013.52s -> 4016.52s]  every day right now for communicating
[4016.52s -> 4018.52s]  with his family and for work.
[4025.52s -> 4028.52s]  That really cannot be understand how important that is.
[4030.52s -> 4033.52s]  All right, so I think the most exciting direction
[4033.52s -> 4035.52s]  I think happened, at least personally I think
[4035.52s -> 4037.52s]  is happening in our lab is that
[4038.52s -> 4041.52s]  we're trying to, maybe trying to restore
[4041.52s -> 4043.52s]  more effortless and natural communication
[4043.52s -> 4045.52s]  by decoding this kind of inner speech.
[4045.52s -> 4049.52s]  So previously all the speech I just show you,
[4049.52s -> 4051.52s]  I think the maximum speed we can do is
[4051.52s -> 4054.52s]  maybe decode at 60 to 70 words per minute,
[4054.52s -> 4057.52s]  but that's still far slower compared to natural conversation
[4057.52s -> 4060.52s]  which happens at 150 words per minute.
[4060.52s -> 4062.52s]  So one of the reason is that
[4062.52s -> 4064.52s]  for all these participants,
[4064.52s -> 4067.52s]  if we ask them to try to attempt to speak
[4067.52s -> 4070.52s]  because they have been lost speech so many years,
[4070.52s -> 4073.52s]  it's very hard for them to speak at a normal rate.
[4073.52s -> 4076.52s]  However, we know that a lot of people
[4076.52s -> 4078.52s]  have this kind of inner speech, right?
[4078.52s -> 4081.52s]  We're kind of like talking to ourself in our mind.
[4081.52s -> 4083.52s]  I think the research question here is
[4083.52s -> 4086.52s]  whether we can decode this sort of inner speech.
[4087.52s -> 4090.52s]  So it is like some preliminary work
[4090.52s -> 4092.52s]  from one collaborators in our lab
[4092.52s -> 4094.52s]  show that you can actually do so.
[4094.52s -> 4096.52s]  So for example here,
[4096.52s -> 4098.52s]  the results show that
[4098.52s -> 4100.52s]  if you decode attempted speech,
[4100.52s -> 4102.52s]  which is why I just show you,
[4102.52s -> 4105.52s]  that you can do maybe for a small set of words,
[4105.52s -> 4109.52s]  you can do say at the 90% accuracy,
[4109.52s -> 4111.52s]  but if you ask the participants
[4111.52s -> 4114.52s]  to imagining moving her mouth
[4114.52s -> 4117.52s]  or imagining like a voice in her head,
[4117.52s -> 4119.52s]  you can do pretty well, right?
[4119.52s -> 4122.52s]  So it's not as good as the attempted speech,
[4122.52s -> 4125.52s]  but still much better than, much higher than chance.
[4125.52s -> 4127.52s]  So I think this showing that it's possible
[4127.52s -> 4129.52s]  in the future that we can decode
[4129.52s -> 4131.52s]  this sort of like an inner speech
[4131.52s -> 4134.52s]  to fully restore natural communication
[4134.52s -> 4137.52s]  to people like Hallward and K-12.
[4137.52s -> 4140.52s]  But I think there's a more controversial issue
[4140.52s -> 4142.52s]  regarding this kind of inner speech
[4142.52s -> 4145.52s]  because what if you can decode something
[4145.52s -> 4148.52s]  that's your private thoughts or private memories
[4148.52s -> 4150.52s]  that you don't want to express, right?
[4150.52s -> 4152.52s]  That's a very difficult question here.
[4152.52s -> 4155.52s]  And also, as I just mentioned,
[4155.52s -> 4157.52s]  not everyone has inner speech.
[4157.52s -> 4158.52s]  And also someone maybe like,
[4158.52s -> 4161.52s]  when you think about this kind of like speech, right?
[4161.52s -> 4163.52s]  Speech is just a external,
[4163.52s -> 4166.52s]  one external representation of your internal thoughts.
[4166.52s -> 4168.52s]  So it's like a linear representation
[4168.52s -> 4169.52s]  that you want to put out
[4169.52s -> 4172.52s]  through this kind of like a medium of speech,
[4172.52s -> 4174.52s]  whereas your inner thoughts could be more complex
[4174.52s -> 4176.52s]  and more multi-dimensional.
[4176.52s -> 4178.52s]  So it's very hard to decide
[4178.52s -> 4180.52s]  where you want to put a race
[4180.52s -> 4182.52s]  and where you want to decode all those inner thoughts.
[4182.52s -> 4184.52s]  But I think that's also a very exciting opportunity
[4184.52s -> 4190.52s]  for us to learn more about the speech processing in the brain.
[4190.52s -> 4192.52s]  As I just mentioned,
[4192.52s -> 4194.52s]  if you want to decode this kind of inner speech,
[4194.52s -> 4196.52s]  then you also come into this
[4196.52s -> 4199.52s]  facing a lot of new ethical questions.
[4199.52s -> 4202.52s]  That's really, I think, thought-provoking.
[4202.52s -> 4206.52s]  For example, suppose should we allow BCIs
[4206.52s -> 4209.52s]  to decode our inner memories, right?
[4209.52s -> 4212.52s]  What if we decode something you don't want to say?
[4213.52s -> 4215.52s]  How can we deal with that?
[4215.52s -> 4218.52s]  On the other hand, what if we can actually use these things
[4218.52s -> 4221.52s]  to help people who have lost their memories
[4221.52s -> 4224.52s]  due to like an Alzheimer's disease, right?
[4224.52s -> 4228.52s]  Or we can read out some like subconscious fear
[4228.52s -> 4232.52s]  that can help people to do their psychotherapies.
[4232.52s -> 4235.52s]  How should we decide whether we want to allow
[4235.52s -> 4237.52s]  this kind of inner thought decoding or not,
[4237.52s -> 4240.52s]  or memory decoding or not?
[4240.52s -> 4244.52s]  And also, I think a more deeper question is
[4244.52s -> 4249.52s]  what if one day we could do this kind of cognitive enhancement with BCI,
[4249.52s -> 4252.52s]  such as what if you can move a robotic arm
[4252.52s -> 4254.52s]  much faster than your real arm?
[4254.52s -> 4256.52s]  Is that allowed?
[4256.52s -> 4258.52s]  Or can you actually purchase a memory
[4258.52s -> 4262.52s]  so that you can skip the CS224M class?
[4262.52s -> 4265.52s]  Yeah, I think that's really a hard question to answer,
[4265.52s -> 4268.52s]  but I'd just like to throw this question out
[4268.52s -> 4271.52s]  so that it's not only a BCI problem,
[4271.52s -> 4274.52s]  but we're also facing this problem right now, right?
[4274.52s -> 4277.52s]  There's a lot of ways you can do enhancement yourself.
[4277.52s -> 4280.52s]  So I guess what I'm trying to say here is that
[4280.52s -> 4285.52s]  BCI will raise a lot of new ethical questions.
[4285.52s -> 4289.52s]  So this is taking this quote from this textbook here.
[4289.52s -> 4291.52s]  What it's trying to say is that
[4291.52s -> 4294.52s]  I think this question is
[4294.52s -> 4296.52s]  we're not really looking for an answer here,
[4296.52s -> 4298.52s]  but I think the point here is that
[4298.52s -> 4302.52s]  maybe we just want to keep this in discussion
[4302.52s -> 4306.52s]  with scientists, with engineers, with policymakers,
[4306.52s -> 4310.52s]  and just to make sure that everything is well.
[4310.52s -> 4314.52s]  We can use BCI to help people that really need them
[4314.52s -> 4316.52s]  and also be aware that there could be
[4316.52s -> 4319.52s]  some of our potential issues here.
[4322.52s -> 4324.52s]  Just to give a summary here.
[4325.52s -> 4327.52s]  I hope I can convince you guys that BCI
[4327.52s -> 4330.52s]  has really cool new research directions.
[4330.52s -> 4333.52s]  It's at the intersection of AI, machine learning,
[4333.52s -> 4336.52s]  neuroscience, and neural engineering.
[4336.52s -> 4339.52s]  We'll soon have this kind of systems
[4339.52s -> 4341.52s]  that can really help people
[4341.52s -> 4343.52s]  to be able to communicate again.
[4343.52s -> 4345.52s]  And also there's really cool opportunities
[4345.52s -> 4350.52s]  to understand how the brain processes languages.
[4350.52s -> 4352.52s]  I think the most important thing is
[4352.52s -> 4356.52s]  that we are bringing hope to people like Howard and T12.
[4356.52s -> 4358.52s]  Thank you everyone.
[4358.52s -> 4361.52s]  Special thanks to the people in my lab here.
[4361.52s -> 4363.52s]  Thank you.
