# Detected language: en (p=1.00)

[0.00s -> 8.72s]  Okay, hi everyone.
[4412.32s -> 4419.44s]  that's a multi-layer lstm that's being used to encode and decode um
[4421.12s -> 4429.36s]  in my two minutes um remaining um i just want to sort of um quickly say so um building these
[4429.36s -> 4437.12s]  neural machine translation systems was really the first big success of natural language
[4437.12s -> 4443.84s]  processing deep learning now in this in this sense you know it depends on how you define
[4443.84s -> 4450.96s]  what parts of language if you look at the sort of the history of the renaissance of deep learning
[4450.96s -> 4456.96s]  the first place where deep learning was highly successful was in speech recognition systems
[4457.52s -> 4463.60s]  um the second place in which it was highly successful was in object recognition and vision
[4464.16s -> 4470.80s]  and then the third place that was highly successful was then building machine translation systems
[4471.84s -> 4478.24s]  so you know google had a big statistical machine translation system and it was
[4479.52s -> 4485.84s]  it was only in 2014 that people first built this sort of lstm
[4486.80s -> 4492.24s]  deep learning machine translation system but it was just sort of obviously super good
[4492.24s -> 4498.40s]  and it was so super good that in only two years it was then deployed as the live system
[4499.12s -> 4505.68s]  that was being used at google but it wasn't only used in google um that neural machine
[4505.68s -> 4511.76s]  translation was just so much better than what had come before that by a couple of years after
[4511.76s -> 4519.84s]  that you know absolutely everybody um both us companies and chinese companies microsoft facebook
[4519.84s -> 4526.08s]  tencent bydo um everybody was using your machine translation systems because there are
[4526.08s -> 4532.48s]  just much better systems and so this was an amazing success right because um statistical
[4532.48s -> 4537.76s]  machine translation systems like the google system that this is something that had been
[4537.76s -> 4544.24s]  worked on for about a decade hundreds of people had worked on it there are millions of lines of
[4544.24s -> 4551.92s]  code lots of hacks built in for particular languages and language pairs but really a simple
[4552.48s -> 4560.48s]  small neural machine translation system was able to work much better there was an article
[4560.48s -> 4564.48s]  published about it when it so went live in the new york times that you can find in that
[4565.28s -> 4572.16s]  link it's a little bit of a praising piece where you could be a little bit critical
[4572.80s -> 4579.76s]  but you know basically it's sort of talking about how just the difference in quality was so obvious
[4579.76s -> 4585.36s]  that everyone immediately noticed even before google had announced it of wow suddenly machine
[4585.36s -> 4593.68s]  translation's gone so much better okay um so that's basically today so um for today you know
[4593.68s -> 4598.72s]  we've learned that lstms are powerful if you're doing something with a current neural network
[4598.72s -> 4604.00s]  you probably want to use an lstm you should know about the idea of clipping your gradients
[4605.04s -> 4611.60s]  bi-directional lstms are good when you've got an encoder but you can't use them to generate
[4611.60s -> 4619.28s]  new text and encoded decoded neural machine translation systems were a great new technology
[4619.84s -> 4621.52s]  that advanced the field thank you
