# Detected language: en (p=1.00)

[0.00s -> 6.12s]  Great.
[2735.20s -> 2736.94s]  so things like the OpenAI models and the cloud
[2736.94s -> 2739.44s]  and the Google ones and the Facebook ones
[2739.44s -> 2740.88s]  are gonna be benchmarked.
[2740.88s -> 2742.48s]  You will never have for your random model
[2742.48s -> 2747.08s]  200,000 people who are willing to annotate it for free.
[2748.40s -> 2749.32s]  So this is an issue.
[2749.32s -> 2752.28s]  And again, as we talked about in the first slide,
[2752.28s -> 2753.56s]  even for those big companies,
[2753.56s -> 2754.60s]  they can definitely not do that
[2754.60s -> 2756.84s]  for development of their model.
[2756.84s -> 2758.68s]  This is something that comes at the end
[2758.68s -> 2759.88s]  for a model selection.
[2761.54s -> 2763.40s]  Okay, so how do we make it faster?
[2764.60s -> 2768.16s]  So one very natural solution
[2768.16s -> 2771.14s]  is basically to ask a large language model
[2771.14s -> 2772.36s]  to do the evaluation for you.
[2772.36s -> 2774.84s]  So imagine that I wanna compare GPT with MISROL.
[2774.84s -> 2779.84s]  I basically ask GPT-4 to evaluate which one is better.
[2779.88s -> 2781.46s]  This is surprisingly good,
[2781.46s -> 2783.36s]  and I will show you some results afterwards.
[2783.36s -> 2786.60s]  And some common versions are packer, eval, and emptybench,
[2786.60s -> 2788.40s]  probably the two most common ones.
[2790.08s -> 2791.32s]  So when we started doing that,
[2791.32s -> 2793.08s]  that's a problem I told you about.
[2793.08s -> 2794.88s]  We started that around last year,
[2795.38s -> 2800.38s]  and we found that using GPT-4 essentially for evaluation
[2800.76s -> 2803.16s]  is at least, if you look at the prices now,
[2803.16s -> 2806.08s]  it would be 100 times faster and 100 times cheaper
[2806.08s -> 2808.14s]  than if you use human evaluations.
[2809.08s -> 2811.60s]  But, and this is very surprising,
[2811.60s -> 2814.16s]  the agreement with humans is actually higher
[2814.16s -> 2816.96s]  than humans agree with themselves.
[2816.96s -> 2818.88s]  So what I mean by that is that if I ask,
[2818.88s -> 2819.84s]  so this is what we found.
[2819.84s -> 2821.68s]  If I ask four humans,
[2822.24s -> 2825.20s]  let's say I have a pool of four humans,
[2825.20s -> 2827.00s]  and I take out one human,
[2827.00s -> 2830.28s]  and I look at the agreement between that human's preferences
[2830.28s -> 2833.00s]  and the mode of the preferences of the three others,
[2833.00s -> 2835.44s]  and I do that in a leave one out fashion,
[2835.44s -> 2837.50s]  and I look at this agreement,
[2837.50s -> 2840.86s]  this will be lower than if I ask for the model
[2840.86s -> 2842.46s]  to predict essentially the preference
[2842.46s -> 2844.76s]  of the mode of the humans.
[2844.76s -> 2849.28s]  So in some ways, models are more highly correlated
[2849.28s -> 2850.88s]  with humans than humans themselves,
[2850.88s -> 2851.72s]  which is very surprising,
[2851.72s -> 2853.16s]  and I will tell you about it in two seconds
[2853.16s -> 2854.58s]  a little bit more.
[2854.58s -> 2856.42s]  When we did that, we actually used that
[2856.42s -> 2860.64s]  for collecting human preferences for our LHF,
[2860.64s -> 2863.56s]  so that's what we call our AIF,
[2863.56s -> 2866.90s]  as I think Archit told you about these things last week.
[2869.82s -> 2871.56s]  So going back to this issue,
[2871.56s -> 2874.48s]  or this surprising result that actually models
[2874.48s -> 2875.88s]  are more highly correlated with humans
[2875.88s -> 2877.04s]  than humans themselves,
[2877.04s -> 2880.12s]  the reason why this is is because humans actually
[2880.16s -> 2882.64s]  have high internet data disagreement
[2882.64s -> 2884.44s]  and have high variance, essentially.
[2885.56s -> 2888.64s]  Models, they will always be very consistent,
[2888.64s -> 2889.82s]  or maybe not perfectly,
[2889.82s -> 2891.64s]  like there's still some stochasticity,
[2891.64s -> 2895.20s]  but essentially they will always predict the same label,
[2895.20s -> 2896.60s]  so they have very little variance.
[2896.60s -> 2898.12s]  So here what you see on this plot
[2898.12s -> 2900.52s]  is on the X axis,
[2900.52s -> 2902.36s]  we estimated the variance,
[2902.36s -> 2903.96s]  and you see that the human has a variance
[2903.96s -> 2906.80s]  of like around 31 or 33,
[2906.80s -> 2908.44s]  while if you look at the red point,
[2908.44s -> 2911.52s]  this is basically if you just add GPT-4 to do evaluations.
[2911.52s -> 2914.20s]  So even though the bias is still pretty high,
[2914.20s -> 2917.12s]  so bias by definition for humans is zero,
[2917.12s -> 2920.04s]  for GPT-4 it is like around 32%,
[2920.04s -> 2924.02s]  and the variance is much lower than humans.
[2924.02s -> 2926.32s]  So this is why you can see that actually
[2926.32s -> 2928.04s]  sometimes agreement is higher,
[2928.04s -> 2930.16s]  but that's really because there's no variance,
[2930.16s -> 2932.72s]  or very little variance in LLMs.
[2934.80s -> 2936.24s]  Yeah, does that make sense?
[2939.04s -> 2939.88s]  Yeah.
[2939.88s -> 2940.72s]  It means that the internal covariance
[2940.72s -> 2942.08s]  of LLMs is higher than that human.
[2942.08s -> 2942.92s]  Sorry?
[2942.92s -> 2943.76s]  It means that the internal covariance
[2943.76s -> 2945.28s]  of LLMs is higher than that human.
[2945.28s -> 2946.12s]  Exactly.
[2946.12s -> 2947.92s]  So, which is actually a good sign,
[2947.92s -> 2951.88s]  because that makes it much easier for research.
[2951.88s -> 2954.08s]  The bad sign is that the bias is still high.
[2956.60s -> 2958.80s]  Okay, so things to be careful with,
[2958.80s -> 2959.64s]  when you work,
[2959.64s -> 2962.72s]  I mean this is both with humans and with LLMs.
[2963.56s -> 2965.08s]  There will be some spurious correlations.
[2965.08s -> 2966.80s]  So we already talked about spurious correlations,
[2966.80s -> 2969.16s]  but you will see a lot of those.
[2969.16s -> 2971.92s]  One very common example is length.
[2971.92s -> 2974.08s]  So if you just, as I told you before,
[2974.08s -> 2977.36s]  if you ask crowd workers which examples they preferred,
[2977.36s -> 2979.76s]  they are highly biased towards longer outputs.
[2979.76s -> 2981.34s]  So here, the blue is humans.
[2981.34s -> 2985.28s]  It's around, I think, 70% preferences for longer outputs.
[2985.28s -> 2988.32s]  And models are around the same bias.
[2989.50s -> 2991.40s]  And another example is preference for lists.
[2991.40s -> 2994.30s]  So usually if you see lists in an output,
[2994.30s -> 2996.26s]  models prefer these examples,
[2996.26s -> 2999.42s]  and model and humans prefer these examples.
[2999.42s -> 3002.78s]  Another bias or spurious correlation is a position.
[3002.78s -> 3004.92s]  I told you which one do you put on the left,
[3004.92s -> 3005.90s]  which one do you put on the right,
[3005.90s -> 3008.70s]  when you ask humans to label.
[3008.70s -> 3010.22s]  There's the same thing with models.
[3010.22s -> 3011.92s]  But this is usually pretty easy to control for.
[3011.92s -> 3013.34s]  You just randomize both.
[3013.34s -> 3016.10s]  Another issue is GPT for self bias.
[3016.10s -> 3018.54s]  So very naturally, you might wonder,
[3018.54s -> 3021.58s]  if I ask GPT to evaluate itself,
[3021.58s -> 3023.42s]  like it will probably bias,
[3023.42s -> 3025.76s]  and it will prefer itself than other models.
[3025.76s -> 3026.98s]  And this is true.
[3027.82s -> 3029.30s]  But less than what you might think.
[3029.30s -> 3030.94s]  I will tell you about it later.
[3030.94s -> 3033.02s]  Okay, so alpaca eval.
[3033.02s -> 3033.86s]  Should I?
[3035.14s -> 3036.78s]  Wait, until what time do I have?
[3040.22s -> 3041.74s]  Oh, thanks.
[3041.74s -> 3042.58s]  Great.
[3043.48s -> 3044.70s]  Okay, alpaca eval.
[3044.70s -> 3046.90s]  So alpaca eval is the benchmark that we developed
[3046.90s -> 3048.82s]  when we were working on alpaca.
[3050.08s -> 3052.40s]  So as I told you before,
[3052.40s -> 3053.60s]  one thing which is very important
[3053.60s -> 3055.66s]  is what you use for development.
[3056.60s -> 3058.24s]  So basically, for hyperparameter tuning.
[3058.24s -> 3061.26s]  So what we did is that we basically did not trust
[3061.26s -> 3063.52s]  many of the benchmarks out there at this point
[3063.52s -> 3064.62s]  for instruction following,
[3064.62s -> 3068.08s]  so we just developed a very small benchmark for ourselves,
[3068.08s -> 3070.38s]  and this is what we were doing for hyperparameter tuning.
[3070.38s -> 3072.48s]  And then it kind of became its own thing.
[3073.64s -> 3075.84s]  So alpaca eval, in a few numbers,
[3075.84s -> 3078.36s]  it has very high correlation with chatbot arena.
[3078.36s -> 3080.78s]  So the ranking, if you look at the correlation
[3080.78s -> 3084.28s]  between the ranking in chatbot arena and in alpaca eval,
[3084.28s -> 3086.14s]  it's 98%, so very high,
[3086.14s -> 3090.08s]  and it takes around three minutes and $10 to evaluate.
[3091.26s -> 3093.26s]  And the way it works, I think I already mentioned it,
[3093.26s -> 3095.18s]  but basically you take an instruction,
[3095.18s -> 3098.34s]  you generate an output from one model,
[3098.34s -> 3101.66s]  and then from another model that you're comparing it to,
[3101.66s -> 3104.38s]  and you ask GPT-4 to basically give the probability
[3104.38s -> 3107.68s]  that it prefers the model that you're evaluating
[3107.68s -> 3109.98s]  versus the baseline that you're comparing to.
[3111.26s -> 3112.94s]  And then you do some re-weighting,
[3112.94s -> 3114.70s]  and the reason why you do some re-weighting
[3114.70s -> 3117.30s]  is because these models, as I said,
[3117.30s -> 3119.78s]  are very biased towards longer outputs,
[3119.78s -> 3124.28s]  so you wanna re-weight such that if it's a longer output,
[3124.28s -> 3128.12s]  you give it a slightly less high preference,
[3128.12s -> 3130.62s]  and then you average across the entire data set
[3130.62s -> 3132.42s]  and you get a read rate.
[3132.42s -> 3133.68s]  So that's how it works.
[3135.56s -> 3136.40s]  Any questions?
[3138.84s -> 3139.68s]  Cool.
[3140.82s -> 3142.18s]  So system-level correlation,
[3142.18s -> 3144.26s]  so here what you see on the x-axis
[3144.26s -> 3145.62s]  is basically alpaca eval,
[3145.62s -> 3147.02s]  and it's a slight transformation of it,
[3147.02s -> 3149.58s]  but essentially alpaca eval scores,
[3149.58s -> 3151.86s]  and on the y-axis is this chatbot arena,
[3151.86s -> 3153.04s]  which is the gold standard,
[3153.04s -> 3155.96s]  and you see that things are relatively highly correlated,
[3155.96s -> 3159.98s]  and on the lower plots, you see basically the correlation
[3159.98s -> 3162.10s]  between different benchmark and chatbot arena,
[3162.10s -> 3163.90s]  and you see like MTBench and alpaca eval,
[3163.90s -> 3166.66s]  which are the two ones that use LLMs for evaluations,
[3166.66s -> 3169.50s]  are relatively highly correlated with chatbot arena,
[3169.50s -> 3172.34s]  and MMLU, which is the automated one
[3172.34s -> 3175.10s]  that doesn't use an LLM is also very highly correlated.
[3177.60s -> 3179.58s]  So I told you very briefly about the fact
[3179.58s -> 3181.38s]  that we had to do some re-weighting,
[3181.38s -> 3183.02s]  so I'm not gonna tell you how we do it,
[3183.02s -> 3184.92s]  but I wanna tell you why we do it.
[3186.06s -> 3188.46s]  One of the issues that we realized
[3189.78s -> 3193.06s]  a little bit too late is that if you take
[3193.06s -> 3196.26s]  something like GPT-4 and you just ask it,
[3196.26s -> 3198.50s]  you prompt it to be much more detailed,
[3198.50s -> 3201.30s]  to basically provide much more detailed answers,
[3201.30s -> 3204.30s]  its win rate, so its performance on your benchmark,
[3204.30s -> 3209.00s]  goes from 50% to 64.3, so that's this one, 64.3.
[3210.38s -> 3212.18s]  If you ask it to be more concise,
[3212.18s -> 3215.22s]  it decreases to 22.9, and that really doesn't fit
[3215.22s -> 3217.94s]  our mental model of what benchmarks should be doing.
[3217.94s -> 3221.02s]  If I just tweak a little bit the prompt,
[3221.02s -> 3224.34s]  I don't want my model to change completely its ranking.
[3225.60s -> 3227.62s]  So that's why we have to do some re-weighting,
[3227.62s -> 3229.66s]  and you see that after the re-weighting,
[3229.66s -> 3234.62s]  you basically have that the performance
[3234.62s -> 3237.14s]  after you ask the model to be more verbose
[3237.14s -> 3239.34s]  is very close to the performance
[3239.34s -> 3242.00s]  without any prompt tuning.
[3246.90s -> 3250.10s]  So I told you very briefly before about self-bias.
[3250.10s -> 3251.98s]  I do wanna say that I'm pretty surprised
[3251.98s -> 3255.50s]  about this result, but actually, self-bias exists,
[3255.50s -> 3259.10s]  but it's not as high as you might think.
[3259.10s -> 3262.26s]  So here you see on the x-axis, the ranking,
[3263.36s -> 3266.06s]  or like the different models that you're evaluating,
[3266.06s -> 3268.46s]  and on the, sorry, that's on the rows,
[3268.46s -> 3271.54s]  and on the columns, you see who is evaluating,
[3271.54s -> 3273.34s]  which model are you using for evaluation.
[3273.34s -> 3275.70s]  And you actually see that regardless of the model
[3275.70s -> 3279.82s]  that you evaluate with, the ranking will be the same.
[3279.82s -> 3283.78s]  So even though it's true that if I look at
[3284.76s -> 3287.98s]  miss role, evaluate by miss role,
[3287.98s -> 3290.98s]  it gives itself a much higher accuracy.
[3290.98s -> 3295.02s]  It still prefers Claude and GPT-4.
[3295.02s -> 3297.02s]  So it's not as bad as what you may think.
[3297.02s -> 3298.22s]  It's still bad, though.
[3300.58s -> 3301.42s]  Cool.
[3302.34s -> 3304.54s]  Okay, so that leads me to talking
[3304.54s -> 3306.82s]  about current evaluation of LLMs.
[3306.82s -> 3308.94s]  So I would say there are three main ways
[3308.94s -> 3311.12s]  that people currently evaluate LLMs.
[3311.12s -> 3313.38s]  The first one is perplexity,
[3313.90s -> 3315.26s]  which is essentially just looking at training losses
[3315.26s -> 3316.50s]  or validation losses.
[3317.56s -> 3320.02s]  The second one is basically averaging everything,
[3321.22s -> 3323.30s]  which is actually surprisingly more common
[3323.30s -> 3324.48s]  than what you may think.
[3324.48s -> 3327.30s]  And the third one is this arena-like,
[3327.30s -> 3330.18s]  or where you basically have comparisons between models
[3330.18s -> 3334.10s]  and either use humans or use models to do the evaluation.
[3334.10s -> 3336.78s]  And usually how it works is that pre-trained model,
[3336.78s -> 3339.32s]  let's say the new, like when LLM4 comes out
[3339.32s -> 3340.94s]  or like when GPT-5 comes out,
[3340.94s -> 3343.34s]  they basically mostly show perplexity
[3344.18s -> 3345.06s]  and average over everything.
[3345.06s -> 3347.74s]  And the fine-tuned models, they usually tend to show
[3347.74s -> 3349.02s]  average over everything
[3349.02s -> 3353.38s]  and performance under arena-like models.
[3353.38s -> 3358.06s]  And the reason why is because models that are fine-tuned,
[3358.06s -> 3360.70s]  usually the log likelihood that they predict
[3360.70s -> 3365.70s]  is not calibrated for your dataset.
[3367.82s -> 3370.58s]  So what do I mean by everything?
[3370.58s -> 3373.78s]  I would say the two most common benchmarks
[3373.78s -> 3376.86s]  that basically look at everything are Helm
[3376.86s -> 3379.62s]  and Hugging Face Open-LML Leaderboard.
[3379.62s -> 3381.68s]  It's really just a collection of a lot
[3381.68s -> 3384.50s]  of different automatically-evaluated benchmarks,
[3384.50s -> 3386.64s]  and you evaluate across all of them.
[3387.74s -> 3390.90s]  So what are some of the common benchmarks that we use?
[3391.74s -> 3395.54s]  One is, yeah, measuring like math performance.
[3395.54s -> 3398.16s]  So GSM-8K, that's a pretty common one.
[3398.16s -> 3399.86s]  That's basically grade school math.
[3399.86s -> 3403.14s]  MMLU is multiple choice question answering
[3403.14s -> 3405.22s]  on like math, science, history.
[3405.22s -> 3407.86s]  Legal bench is on the legal aspect.
[3407.86s -> 3409.06s]  Then you have MedQA.
[3409.06s -> 3410.58s]  I believe this is for Helm.
[3410.58s -> 3414.70s]  MedQA is medical licensing exams.
[3414.70s -> 3416.78s]  So you basically ask many, many different questions
[3416.78s -> 3419.40s]  that you can automatically evaluate,
[3420.46s -> 3422.34s]  and you hope that by taking averages,
[3423.20s -> 3425.54s]  it will say like how well your model performs.
[3425.54s -> 3427.30s]  So that's kind of like the newer version
[3427.30s -> 3428.74s]  of SuperGLUE, I would say.
[3429.94s -> 3431.68s]  One dataset that I wanna highlight,
[3431.68s -> 3433.38s]  which is probably, or one benchmark
[3433.38s -> 3434.86s]  which is probably the most widely used
[3434.86s -> 3437.46s]  and the one that people believe the most is MMLU,
[3437.46s -> 3440.54s]  so massively multitasked language understanding.
[3440.54s -> 3444.90s]  So this is, I think maybe Archit mentioned it last week,
[3444.90s -> 3449.90s]  but this is basically multiple choice questions
[3450.18s -> 3452.34s]  on 57 different tasks.
[3452.34s -> 3454.34s]  So you have tasks like formal logic,
[3454.34s -> 3458.30s]  conceptual physics, econometrics, and these type of tasks.
[3458.30s -> 3459.46s]  So here's an example.
[3460.42s -> 3463.82s]  What is true for a type Ia supernova?
[3463.82s -> 3465.86s]  This type occurs in binary system.
[3465.86s -> 3467.76s]  This type occurs in young galaxies,
[3467.76s -> 3469.50s]  and you basically have to say which answer.
[3469.50s -> 3470.42s]  So that seems very simple.
[3470.42s -> 3471.78s]  I mean, the task is not simple,
[3471.78s -> 3473.54s]  but the way you evaluate seems simple.
[3473.54s -> 3475.14s]  And then like high school biology.
[3475.14s -> 3477.58s]  In a population of giraffes and environmental,
[3477.58s -> 3478.94s]  nah, nah, nah, and then you,
[3478.94s -> 3481.94s]  this is an example of directional selection.
[3481.94s -> 3484.68s]  So that seems simple, but actually,
[3484.68s -> 3487.38s]  it's also more complicated than what you might think.
[3489.22s -> 3491.30s]  And I think I will tell you,
[3492.74s -> 3494.90s]  okay, I will tell you about it later.
[3494.90s -> 3496.94s]  But that's one of the most common,
[3496.94s -> 3498.66s]  probably the most common benchmark
[3498.66s -> 3500.42s]  and what people actually look at.
[3500.42s -> 3503.30s]  For example, when Mark Zuckerberg
[3503.30s -> 3505.78s]  said that LabMath 3 was out,
[3505.78s -> 3508.62s]  he, yeah, he talked about MMLU scores,
[3508.62s -> 3510.94s]  which I find kind of crazy.
[3510.94s -> 3515.50s]  But yeah, other capabilities that people look at, coding.
[3515.50s -> 3516.82s]  Coding is a very common one
[3516.82s -> 3521.02s]  that people evaluate on for two different reasons.
[3521.02s -> 3524.86s]  One, because coding is usually,
[3524.86s -> 3526.00s]  if you perform well on code,
[3526.00s -> 3526.84s]  you usually actually,
[3526.84s -> 3529.02s]  these models perform well on reasoning,
[3529.02s -> 3530.92s]  which is actually pretty cool.
[3530.92s -> 3532.46s]  So that's like highly correlated
[3532.46s -> 3534.28s]  with things that people care about.
[3534.28s -> 3536.06s]  Two, I mean, a lot of us are coders,
[3536.06s -> 3541.06s]  so we like to have better models for helping us coding.
[3541.22s -> 3542.38s]  And three, the other point is that
[3542.38s -> 3544.50s]  it's actually pretty easy to evaluate
[3544.50s -> 3545.90s]  because you can write test cases.
[3545.94s -> 3547.10s]  So you basically ask the model
[3547.10s -> 3551.26s]  to generate very long code or functions to do something,
[3551.26s -> 3552.94s]  and then you just run the test
[3552.94s -> 3555.68s]  and you see whether it succeeds or not.
[3555.68s -> 3556.52s]  Yes?
[3556.52s -> 3558.22s]  Sorry, going back to the previous set of variations,
[3558.22s -> 3561.98s]  some of them was short-form answers, apparently.
[3561.98s -> 3565.58s]  How would you validate short-form QA type of thing?
[3565.58s -> 3566.58s]  Multiple choice makes sense,
[3566.58s -> 3568.22s]  but if it's short-form QA,
[3568.22s -> 3570.78s]  how would you say something is correct
[3570.78s -> 3571.98s]  as an automatic metric?
[3571.98s -> 3576.98s]  Yeah, I actually don't know.
[3584.22s -> 3585.66s]  I actually don't know.
[3585.66s -> 3587.02s]  Yeah, I should check.
[3587.02s -> 3587.86s]  Sorry.
[3588.74s -> 3590.30s]  I don't know specifically for this one,
[3590.30s -> 3595.30s]  but Hotpot QA and Gear QA are other QA data sets,
[3595.86s -> 3598.54s]  and they look at F1 for the true and false,
[3598.54s -> 3600.86s]  and then they also have an exact match,
[3600.94s -> 3601.78s]  which is pretty punitive,
[3601.78s -> 3603.74s]  because if you said President Reagan,
[3603.74s -> 3606.22s]  and the answer is President Ronald Reagan,
[3606.22s -> 3607.82s]  they're like, she'll deem you,
[3607.82s -> 3610.22s]  but anyway, so they use an exact match on that.
[3612.54s -> 3613.38s]  Yeah.
[3614.74s -> 3616.38s]  Cool, thanks.
[3616.38s -> 3618.26s]  Okay, so MLU coding.
[3618.26s -> 3620.58s]  Another one that people started looking at are agents.
[3620.58s -> 3622.90s]  I think Shekhar is gonna give a lecture on it,
[3622.90s -> 3624.30s]  so I'm not gonna talk too much about it,
[3624.30s -> 3626.62s]  but one cool thing that LMs can do right now
[3626.62s -> 3629.82s]  is basically call APIs and then take actions
[3629.82s -> 3631.30s]  in the real world, essentially,
[3631.30s -> 3633.86s]  or take control of your computer.
[3633.86s -> 3636.86s]  You should not give it control to your computer.
[3636.86s -> 3638.82s]  So an actual question is,
[3638.82s -> 3640.50s]  how do you evaluate these type of things?
[3640.50s -> 3642.10s]  This is a real challenge,
[3643.30s -> 3646.70s]  because the biggest challenge is that,
[3646.70s -> 3648.62s]  for example, if I really wanted to evaluate
[3648.62s -> 3649.70s]  how good it is at coding,
[3649.70s -> 3651.98s]  or how good it is at doing things in my terminal,
[3651.98s -> 3653.50s]  I need to give it access to my terminal,
[3653.50s -> 3656.94s]  and I really don't wanna give my NLM access to my terminal,
[3657.78s -> 3660.34s]  so you really need to sandbox environments.
[3660.34s -> 3661.86s]  For the specific cases of terminal,
[3661.86s -> 3663.52s]  I mean, it's pretty easy to sandbox,
[3663.52s -> 3665.54s]  but once you wanna do evaluation
[3665.54s -> 3668.58s]  of a model that pinks people on Slack,
[3668.58s -> 3670.00s]  or writes things in your emails,
[3670.00s -> 3673.98s]  then you have to write an entire sandbox environment
[3673.98s -> 3675.70s]  for all the applications that you want
[3675.70s -> 3677.70s]  your LMs to have access to.
[3677.70s -> 3680.10s]  So this is actually really complicated,
[3680.10s -> 3682.02s]  and something that people really have to deal with
[3682.02s -> 3683.62s]  in kind of the real world.
[3684.62s -> 3686.50s]  Or at least will have to,
[3686.50s -> 3689.62s]  because right now it's still not in production.
[3689.62s -> 3692.94s]  Okay, the last part is, or the penultimate one,
[3692.94s -> 3694.22s]  perplexities.
[3694.22s -> 3697.66s]  So one thing which is very surprising,
[3697.66s -> 3699.28s]  or at least the first time you see it,
[3699.28s -> 3701.02s]  is that really the performance that you have
[3701.02s -> 3704.68s]  on pre-training is extremely highly correlated
[3704.68s -> 3707.78s]  with basically performance on any downstream task,
[3707.78s -> 3709.74s]  at least for the current types of LMs.
[3709.74s -> 3710.58s]  So what I mean by this
[3710.58s -> 3713.14s]  is that if you just look at your training performance,
[3713.62s -> 3714.78s]  just predicting the next word,
[3714.78s -> 3716.62s]  it's extremely highly correlated.
[3716.62s -> 3719.58s]  So this is the x-axis, which is essentially perplexities,
[3719.58s -> 3721.98s]  and the y-axis, which is just the average
[3721.98s -> 3723.62s]  over many different tasks.
[3723.62s -> 3726.14s]  What you will see is that tasks that perform well
[3726.14s -> 3731.14s]  on perplexities will actually have high average scores.
[3732.70s -> 3736.98s]  And as a result, a lot of people actually end up,
[3736.98s -> 3739.26s]  when they develop, just looking at perplexities,
[3739.26s -> 3740.40s]  and they just trust it enough
[3740.44s -> 3743.40s]  that they don't need to do the downstream evaluations.
[3743.40s -> 3745.12s]  I would not recommend doing it,
[3745.12s -> 3747.32s]  but if you have to have something quick and dirty,
[3747.32s -> 3749.44s]  it usually works pretty well.
[3749.44s -> 3750.92s]  One thing to be careful with, though,
[3750.92s -> 3753.36s]  is that the perplexities are not gonna be comparable
[3753.36s -> 3755.16s]  across different data sets.
[3755.16s -> 3756.52s]  So you really have to be careful
[3756.52s -> 3758.64s]  with what perplexities you're looking at.
[3758.64s -> 3761.56s]  And two, it will depend on the tokenizer.
[3761.56s -> 3766.56s]  So if you have like LMA3 and you compare it to Gemini,
[3766.60s -> 3770.24s]  even on the same data set,
[3770.24s -> 3773.52s]  it's gonna give different scores, and it's not comparable.
[3773.52s -> 3774.36s]  Yes?
[3774.36s -> 3775.18s]  Why is that?
[3775.18s -> 3776.02s]  It's a little better.
[3776.02s -> 3779.44s]  Oh, the easy answer, I mean, it's not the only answer,
[3779.44s -> 3781.96s]  but the easy answer is that if the vocabulary changes,
[3781.96s -> 3784.62s]  the size of the vocabulary changes,
[3784.62s -> 3786.76s]  then clearly the type of,
[3786.76s -> 3788.04s]  I mean, everything is not on,
[3788.04s -> 3789.84s]  like the upper bound is different.
[3789.84s -> 3793.20s]  What's the sequence like normalized?
[3793.20s -> 3794.72s]  What's the sequence like normalized?
[3794.72s -> 3796.52s]  Yeah, but I'm not talking about that.
[3797.36s -> 3798.28s]  I'm talking about the fact that,
[3798.28s -> 3799.10s]  I mean, just think about it
[3799.10s -> 3801.30s]  if you have a vocabulary size of one.
[3801.30s -> 3802.14s]  Oh, okay.
[3802.14s -> 3804.32s]  Then I have to always predict the same thing.
[3804.32s -> 3809.12s]  So like, basically your entropy depends,
[3809.12s -> 3810.52s]  your entropy is upper bounded by log
[3810.52s -> 3812.78s]  of like the cardinality of your vocabulary size.
[3812.78s -> 3814.38s]  So you're gonna depend on that.
[3815.92s -> 3816.76s]  Cool.
[3818.60s -> 3820.16s]  And the last one is arena-like.
[3820.16s -> 3821.16s]  As I already told you,
[3821.16s -> 3823.54s]  basically you compare different models,
[3823.54s -> 3825.08s]  you make them fight essentially against each other,
[3825.08s -> 3827.44s]  and you have ELO ratings at the end.
[3827.44s -> 3829.84s]  So that's really, a more general way of saying it
[3829.84s -> 3831.84s]  is I really just let the users decide.
[3832.88s -> 3834.48s]  And that works also pretty well.
[3835.54s -> 3840.54s]  Okay, issues and challenges with current evaluations.
[3840.64s -> 3842.44s]  First, consistency issues.
[3843.52s -> 3845.12s]  If you look at question answering,
[3845.12s -> 3847.18s]  sorry, multiple choice questions,
[3848.12s -> 3849.28s]  if you just change,
[3849.28s -> 3851.60s]  so you see on the top left and top right,
[3851.60s -> 3855.56s]  if you just change A, B, C, D to like random symbols,
[3855.56s -> 3857.28s]  the generations that you will give
[3857.28s -> 3858.42s]  are actually gonna be different.
[3858.42s -> 3859.88s]  And then the rankings
[3859.88s -> 3862.48s]  between different models will be different.
[3862.48s -> 3864.00s]  So even things that are very simple,
[3864.00s -> 3865.72s]  like multiple choice,
[3865.72s -> 3869.02s]  like selecting out of four choices,
[3869.02s -> 3871.24s]  will be very dependent on exactly
[3871.24s -> 3874.60s]  like how you format these choices.
[3874.60s -> 3876.84s]  And one real example,
[3876.84s -> 3879.36s]  that's what I was alluding to before, is MMLU.
[3879.76s -> 3882.26s]  MMLU seems really simple to evaluate.
[3882.26s -> 3886.92s]  You just ask it to say which one of the four
[3886.92s -> 3888.04s]  the model prefers.
[3889.12s -> 3891.28s]  But actually, for a very long time,
[3891.28s -> 3893.76s]  I think for nearly one year,
[3893.76s -> 3897.14s]  there were three main implementation of MMLU,
[3897.14s -> 3899.16s]  and people were comparing between those three,
[3899.16s -> 3902.72s]  having no idea that those two gave different scores.
[3902.72s -> 3905.12s]  And the two main differences were,
[3905.12s -> 3906.72s]  one, people use different prompts,
[3906.72s -> 3908.56s]  so that clearly will give different answers,
[3908.56s -> 3912.62s]  but two, they were using different ways of sampling
[3912.62s -> 3916.24s]  to get the actual most likely prediction.
[3916.24s -> 3917.46s]  So one of them, for example,
[3917.46s -> 3921.04s]  was saying I have the four choices,
[3921.04s -> 3922.90s]  now to get my most likely,
[3922.90s -> 3924.94s]  let's say that the correct answer is D,
[3925.88s -> 3930.62s]  I will just look at the most likely answers out of A, B, C, D.
[3930.62s -> 3934.16s]  Even though like Zygote was another answer
[3934.16s -> 3936.46s]  that has a higher likelihood,
[3936.46s -> 3937.40s]  I will not look at it
[3937.44s -> 3939.94s]  because I will basically do constraint decoding.
[3941.28s -> 3942.80s]  And if I do constraint decoding here,
[3942.80s -> 3945.50s]  I will say that the correct answer is D.
[3945.50s -> 3949.04s]  But if I actually just look at the most likely token,
[3949.04s -> 3950.54s]  I will not get the correct answer.
[3950.54s -> 3953.32s]  So those were two different implementation,
[3953.32s -> 3955.08s]  and a third different implementation,
[3955.08s -> 3957.04s]  which seems really different,
[3957.04s -> 3960.28s]  is that instead of generating the correct token,
[3960.28s -> 3962.72s]  which is basically the letter A, B, C, D,
[3962.72s -> 3966.44s]  you can look at, after this question,
[3966.44s -> 3970.78s]  what is the likelihood that the model would generate this?
[3970.78s -> 3973.44s]  So you would look at the log likelihood,
[3973.44s -> 3974.64s]  or like the perplexity, essentially,
[3974.64s -> 3975.96s]  of predicting this thing,
