# Detected language: en (p=1.00)

[0.00s -> 7.32s]  Okay. Hi, everyone.
[3148.08s -> 3153.24s]  on neural networks, where actually the on neural networks
[3153.24s -> 3159.16s]  is modifying the talk, where the yesterday is an argument
[3159.16s -> 3162.28s]  of, sorry, the tomorrow is an argument of give.
[3162.32s -> 3165.52s]  And so you get these crossing dependencies,
[3165.52s -> 3170.04s]  which are referred to as non-projective dependencies.
[3170.04s -> 3173.68s]  You also get them when you form questions.
[3173.68s -> 3177.60s]  So who did Bill buy the coffee from yesterday?
[3177.60s -> 3182.20s]  That the who is the object of the preposition from,
[3182.20s -> 3184.24s]  that it's been moved out the front.
[3184.24s -> 3189.48s]  And so that, again, gives us non-projectivity.
[3189.48s -> 3194.80s]  If you think about it, yeah, you
[3194.80s -> 3199.12s]  can still say that you have a dependency tree,
[3199.12s -> 3201.92s]  but it's got the words in different orders.
[3201.92s -> 3203.72s]  And so one of the things that you
[3203.72s -> 3207.04s]  have to cope with for full dependency parsing
[3207.04s -> 3209.28s]  is dealing with this non-projectivity.
[3209.28s -> 3211.40s]  But I mean, actually, we're not going to deal with it
[3211.40s -> 3212.36s]  in our parsers.
[3212.36s -> 3216.36s]  We're only going to do projective dependency parsing.
[3216.36s -> 3220.04s]  OK, so there are various ways that people
[3220.04s -> 3222.00s]  do dependency parsing.
[3222.00s -> 3225.08s]  People have done it by dynamic programming.
[3225.08s -> 3228.56s]  People who've done it using graph algorithms.
[3228.56s -> 3231.88s]  If I have enough time at the end, I might mention that again.
[3231.88s -> 3234.76s]  People have done it with constraint satisfaction methods,
[3234.76s -> 3237.84s]  if you saw those in CS221.
[3237.84s -> 3242.52s]  But the most common way in practice that's emerged
[3242.52s -> 3247.72s]  has been this transition-based parsing, which
[3247.72s -> 3251.20s]  is kind of sort of interesting as well
[3251.20s -> 3253.84s]  and gives us sort of a very simple machine learning
[3253.84s -> 3255.52s]  mechanism.
[3255.52s -> 3258.64s]  So it makes it good for assignment two.
[3258.64s -> 3262.96s]  And so that's what we're going to explore here.
[3262.96s -> 3270.28s]  OK, so what we do in greedy decision-based parsing
[3270.28s -> 3273.60s]  and transition-based parsing is this
[3273.60s -> 3276.44s]  is where it's unfortunate that only two people in the class
[3276.44s -> 3280.32s]  have done a compilers class.
[3280.32s -> 3282.56s]  So a simple form of parsing that's
[3282.56s -> 3285.20s]  also used in compilers class is something
[3285.20s -> 3290.32s]  called shift-reduce parsing, where you start bottom up
[3290.32s -> 3293.40s]  and you start putting little units together and build
[3293.40s -> 3294.60s]  bigger constituents.
[3294.60s -> 3297.24s]  But if most people haven't seen it,
[3297.24s -> 3300.96s]  that's not going to be very much help.
[3300.96s -> 3303.60s]  So I'm going to give you a concrete example.
[3303.60s -> 3307.16s]  So the things to know is we'd have two data structures.
[3307.16s -> 3309.12s]  Well, we have more than two, I guess.
[3309.12s -> 3312.40s]  For dealing with the sentence, we have two data structures.
[3312.40s -> 3315.84s]  We have a buffer, which has the words of our input
[3315.84s -> 3317.00s]  sentence.
[3317.00s -> 3321.44s]  And then we start building pieces of sentence structure,
[3321.44s -> 3323.44s]  which we put on a stack.
[3323.44s -> 3326.24s]  And the little trick to know that for the buffer,
[3326.24s -> 3327.96s]  the top is written to the left.
[3327.96s -> 3331.48s]  And for the stack, the top is written to the right.
[3331.48s -> 3333.84s]  And so we take actions, which are
[3333.84s -> 3336.28s]  like shift-reduce actions.
[3336.28s -> 3339.92s]  And when we take arc-building actions,
[3339.92s -> 3342.24s]  we build up a set of dependency arcs,
[3342.24s -> 3343.76s]  which are going to be the dependency
[3343.76s -> 3345.92s]  structure of our sentence.
[3345.92s -> 3348.76s]  And that's all incredibly abstract.
[3348.76s -> 3352.96s]  And so I'm going to show an example, which hopefully
[3352.96s -> 3357.12s]  will a bit give the idea.
[3357.12s -> 3358.72s]  So here's an example.
[3358.72s -> 3365.16s]  So I want to do this very simple example of passing up
[3365.16s -> 3368.88s]  the sentence, I ate fish.
[3368.88s -> 3374.36s]  So the way I do this is I have my stack.
[3374.36s -> 3379.38s]  And so I start by putting the root symbol on my stack.
[3379.42s -> 3383.54s]  And then I have in my buffer all the words of the sentence.
[3383.54s -> 3385.58s]  And so that's the sort of start condition
[3385.58s -> 3388.26s]  I've written in very small print there.
[3388.26s -> 3391.14s]  Then for each step of processing,
[3391.14s -> 3393.98s]  I have a choice of three operations.
[3393.98s -> 3398.34s]  I can either shift, which moves the top word
[3398.34s -> 3401.18s]  on the buffer onto the stack.
[3401.18s -> 3404.82s]  Or I can do left arc or right arc.
[3404.82s -> 3407.26s]  And these are my two reduce operations
[3407.26s -> 3409.90s]  that build a little bit of syntactic structure
[3409.90s -> 3413.38s]  by saying that one word is a dependent of another word
[3413.38s -> 3416.46s]  in either a left or a right direction.
[3416.46s -> 3419.58s]  So here a sequence of operations I can take.
[3419.58s -> 3425.34s]  And so starting off, the first thing I can do is shift.
[3425.34s -> 3429.82s]  So then I've moved i onto the stack.
[3429.82s -> 3432.82s]  I can decide that I want to shift again.
[3432.82s -> 3436.34s]  And so then I'd take 8 and also move it
[3436.38s -> 3437.90s]  onto the stack.
[3437.90s -> 3442.02s]  And so I've now got three things on my stack.
[3442.02s -> 3447.50s]  So at this point, I can do other things.
[3447.50s -> 3449.90s]  I mean, in particular, a left arc
[3449.90s -> 3452.86s]  is going to say, well, I can take the top two
[3452.86s -> 3460.34s]  things on the stack and make the thing on the top the head
[3460.34s -> 3463.90s]  and the thing one down on the stack a dependent of it.
[3463.94s -> 3467.90s]  So if I do a left arc operation, I'm effectively
[3467.90s -> 3471.34s]  saying that the i is a dependent of 8.
[3471.34s -> 3473.54s]  And then I pop both of them.
[3473.54s -> 3476.74s]  I pop the dependent off the stack.
[3476.74s -> 3480.94s]  But I add on that I've built a dependency that I
[3480.94s -> 3483.50s]  made i a dependent of 8.
[3483.50s -> 3486.58s]  I could then do another shift operation.
[3486.58s -> 3491.78s]  So I shift fish from the buffer onto the stack.
[3491.78s -> 3495.82s]  And then I can do a right arc, which says, OK,
[3495.82s -> 3498.98s]  I'm going to have fish as a dependent of 8.
[3498.98s -> 3501.86s]  So then fish disappears from the stack.
[3501.86s -> 3505.18s]  And I add in this new dependency saying
[3505.18s -> 3508.34s]  fish is a dependent of 8.
[3508.34s -> 3515.02s]  I then do right arc again, which is then saying that 8
[3515.02s -> 3516.74s]  is a dependent of root.
[3516.74s -> 3519.54s]  So I'm left with just root on my stack.
[3519.58s -> 3521.50s]  And I've built a new dependent saying
[3521.50s -> 3523.30s]  8 is a dependent of root.
[3523.30s -> 3526.22s]  And at this point, I've gone to the finishing condition.
[3526.22s -> 3529.94s]  My finishing condition is that my buffer is empty
[3529.94s -> 3535.62s]  and my stack contains just the word root.
[3535.62s -> 3540.34s]  And so this gives me a little set of operations
[3540.34s -> 3543.86s]  referred to as the transitions of transition-based parsing.
[3543.86s -> 3547.58s]  And by making a sequence of these different transitions,
[3547.58s -> 3550.06s]  I can build sentence structure.
[3550.06s -> 3555.06s]  And I've got choices of when to shift and when to reduce
[3555.06s -> 3558.86s]  and whether to reduce left or reduce right, the arc left,
[3558.86s -> 3559.88s]  arc right.
[3559.88s -> 3563.66s]  And so by making different ones of those choices,
[3563.66s -> 3567.98s]  I could make any structure for the sentence that I wanted to.
[3567.98s -> 3572.34s]  So if I somehow thought that this sentence should
[3572.34s -> 3575.98s]  have a different structure and that i should be the head
[3575.98s -> 3580.82s]  and 8 is a dependent of that and fish is a dependent of that,
[3580.82s -> 3585.10s]  well, I could achieve this by making some different choices
[3585.10s -> 3590.46s]  as to I'd now be saying I was doing a right arc operation so
[3590.46s -> 3593.38s]  that 8 would become a dependent of i rather than
[3593.38s -> 3594.50s]  the other way around.
[3594.50s -> 3598.02s]  So the choices of which operations I take determine
[3598.02s -> 3601.50s]  the syntactic structure, the set of dependencies
[3601.54s -> 3606.14s]  that I have built, which are my set of dependencies down here.
[3606.14s -> 3608.62s]  Now, the sense of dependencies I built
[3608.62s -> 3611.64s]  were exactly the right ones because at each step,
[3611.64s -> 3615.38s]  I took the right operation.
[3615.38s -> 3623.26s]  And so the essential idea of transition-based parsing
[3623.26s -> 3629.66s]  and where it came to the fore was there was a particular guy
[3629.98s -> 3633.18s]  who I've got a photo of him somewhere in a bit, I thought.
[3633.18s -> 3638.82s]  So Joakim Nivre is a Swedish NLP person.
[3638.82s -> 3643.22s]  And in the early 2000s, he came up
[3643.22s -> 3646.82s]  with the idea of rather than doing
[3646.82s -> 3650.62s]  the kind of dynamic programming and chart parsing and things
[3650.62s -> 3654.16s]  that people commonly used to do with parsers,
[3654.16s -> 3656.90s]  these days we have machine learning.
[3656.90s -> 3661.34s]  So maybe we could build a fast, efficient parser.
[3661.34s -> 3663.42s]  And the way we're going to build it
[3663.42s -> 3668.34s]  is with this making a sequence of transitions.
[3668.34s -> 3671.10s]  And it'll be the job of the machine learning
[3671.10s -> 3674.46s]  to predict what is the right transition at each point
[3674.46s -> 3675.66s]  in time.
[3675.66s -> 3679.86s]  So if you do that, at each point,
[3679.86s -> 3683.06s]  you're dealing with one thing.
[3683.06s -> 3685.20s]  And so the number of operations you're
[3685.24s -> 3688.00s]  doing to parse a sentence is linear.
[3688.00s -> 3692.12s]  So this gives a linear time parsing algorithm,
[3692.12s -> 3696.20s]  whereas if you've seen context-free grammars
[3696.20s -> 3699.52s]  and stuff like that in CS103, and you'd
[3699.52s -> 3702.84s]  want to do anything where you're fully considering
[3702.84s -> 3706.04s]  the parsers and structures of context-free grammars,
[3706.04s -> 3708.44s]  you've then got a cubic time algorithm,
[3708.44s -> 3712.72s]  which is much less pleasant to be dealing with.
[3712.76s -> 3716.12s]  So for the simplest form of transition-based parsing,
[3716.12s -> 3718.64s]  you do no search whatsoever.
[3718.64s -> 3722.48s]  At each step, you're just predicting the next transition.
[3722.48s -> 3724.52s]  And so you're doing this sort of sequence
[3724.52s -> 3728.68s]  of transition predictions as machine learning operations.
[3728.68s -> 3730.96s]  And that sequence gives you the parse structure
[3730.96s -> 3732.32s]  of the sentence.
[3732.32s -> 3736.14s]  And the central result that Nivla was able to show
[3736.14s -> 3740.30s]  is that machine learning is good enough
[3740.34s -> 3744.54s]  that you can do this and get a very accurate parser,
[3744.54s -> 3747.90s]  despite the fact that it does no search whatsoever.
[3747.90s -> 3750.58s]  It's just doing predictions in this way.
[3756.26s -> 3759.26s]  So when he did it in 2005, that
[3759.26s -> 3762.42s]  was before neural networks came to the fore.
[3762.42s -> 3764.62s]  And so the way he was doing it
[3764.62s -> 3769.22s]  was by using a sort of an older style, symbolic,
[3769.26s -> 3772.74s]  feature-based machine learning system.
[3772.74s -> 3774.86s]  So he had a big classifier,
[3774.86s -> 3777.78s]  which might have been a logistic regression classifier,
[3777.78s -> 3780.54s]  or something else like a support vector machine.
[3780.54s -> 3785.34s]  And so to power that, he was using indicator features.
[3785.34s -> 3788.06s]  So the kind of features you'd use is that
[3788.06s -> 3791.08s]  the word on the top of the stack is the word good,
[3791.08s -> 3794.02s]  and it's part of speech as an adjective.
[3794.02s -> 3799.02s]  Or the word on the top of the stack
[3799.02s -> 3804.46s]  is good, but the word that's sort of second on the stack
[3804.46s -> 3806.58s]  is the verb has, right?
[3806.58s -> 3808.46s]  You'd get these sort of combinations
[3808.46s -> 3810.90s]  of matching functions, and they would
[3810.90s -> 3813.66s]  be used as features in a machine learning
[3813.66s -> 3816.06s]  system to predict the parse.
[3816.06s -> 3818.50s]  But the problem is that once you started
[3818.50s -> 3821.30s]  building these features that were
[3821.30s -> 3823.92s]  conjunctions of multiple terms, you
[3823.92s -> 3826.86s]  ended up with millions and millions of features, right?
[3826.86s -> 3830.30s]  Because you're putting particular words and features,
[3830.30s -> 3833.10s]  and then you're combining choices of multiple words.
[3833.10s -> 3835.62s]  So they're just millions and millions of features.
[3835.62s -> 3837.06s]  So you had to deal with millions
[3837.06s -> 3838.94s]  and millions of features.
[3838.94s -> 3841.22s]  And furthermore, individual features
[3841.22s -> 3844.14s]  were exceedingly sparse, that you barely ever saw them,
[3844.14s -> 3844.62s]  right?
[3844.62s -> 3847.82s]  That you'd have a feature that only turned up
[3847.82s -> 3851.34s]  10 times in a million sentences because you were matching
[3851.34s -> 3853.42s]  these very precise systems.
[3853.42s -> 3858.22s]  So on the one hand, by making these feature conjunctions,
[3858.22s -> 3859.90s]  parsing got more accurate.
[3859.90s -> 3862.90s]  And indeed, people produced pretty accurate parsers
[3862.90s -> 3864.06s]  in those days.
[3864.06s -> 3867.30s]  But they had sort of these unappealing characteristics
[3867.30s -> 3869.94s]  of this sort.
[3869.94s -> 3873.70s]  Yeah, so before going on further,
[3873.70s -> 3879.74s]  I should just explain how we evaluate dependency parsers.
[3879.74s -> 3883.22s]  So to evaluate dependency parsers,
[3883.22s -> 3885.74s]  we're basically assessing, are you
[3885.74s -> 3891.50s]  getting the dependency arcs, arrows you're proposing right?
[3891.50s -> 3894.94s]  So here is someone's dependency pars.
[3894.94s -> 3896.98s]  She saw the video lecture.
[3900.26s -> 3902.58s]  Well, actually, sorry, that's the gold pars.
[3902.58s -> 3904.34s]  OK, that's the correct pars.
[3904.34s -> 3906.42s]  OK, she saw the video lecture.
[3906.42s -> 3907.94s]  That's the correct pars.
[3907.98s -> 3913.34s]  So you can write out what are the different dependencies,
[3913.34s -> 3913.82s]  right?
[3913.82s -> 3918.10s]  So one's head is two, two's head is zero,
[3918.10s -> 3922.14s]  word three's head is five, word four's head is five,
[3922.14s -> 3924.18s]  word five's head is two.
[3924.18s -> 3929.02s]  So these pairs of numbers represent our dependencies.
[3929.02s -> 3932.78s]  Then if someone proposes a pars of the sentence,
[3932.78s -> 3935.38s]  you can literally say, OK, which of these
[3935.38s -> 3936.38s]  did they get right?
[3936.42s -> 3939.54s]  So they didn't get this one right.
[3939.54s -> 3941.38s]  They got the rest of them right.
[3941.38s -> 3943.78s]  So their accuracies are 80%.
[3943.78s -> 3948.42s]  And so sometimes people just assess the arcs unlabeled.
[3948.42s -> 3952.50s]  And so that's referred to as unlabeled dependency accuracy.
[3952.50s -> 3955.48s]  But sometimes people also want to label them
[3955.48s -> 3959.94s]  with subject, determiner, object, et cetera,
[3959.94s -> 3962.78s]  and say, also, are you getting the labels right?
[3962.82s -> 3966.70s]  So in this case, only two of the five labels are right.
[3966.70s -> 3970.58s]  So the labeled accuracy of the dependency parses is 40%.
[3978.14s -> 3985.54s]  So that was sort of what people did until the mid-2010s.
[3985.54s -> 3987.90s]  And I sort of already started saying this.
[3987.90s -> 3990.98s]  The problems with indicator features
[3991.70s -> 3994.34s]  were they were sparse.
[3994.34s -> 3996.10s]  You didn't see them often.
[3996.10s -> 3997.94s]  They were incomplete because there
[3997.94s -> 4000.18s]  are some words and combinations you'd seen
[4000.18s -> 4002.70s]  and some you just didn't see in the training data.
[4002.70s -> 4005.10s]  So you're missing features.
[4005.10s -> 4007.38s]  But the final problem is actually
[4007.38s -> 4011.02s]  just computing all those symbolic features
[4011.02s -> 4012.30s]  was just expensive.
[4012.30s -> 4015.02s]  It turns out that if you did runtime analysis,
[4015.02s -> 4017.34s]  most of the time in the parsing
[4017.34s -> 4020.42s]  wasn't in doing the machine learning decisions.
[4020.42s -> 4022.74s]  It was just simply in computing the features
[4022.74s -> 4025.30s]  that you put into this dependency parser.
[4025.30s -> 4028.42s]  So as neural nets started to show
[4028.42s -> 4030.74s]  that they are successful for things,
[4030.74s -> 4034.92s]  that suggested that maybe you could build a better dependency
[4034.92s -> 4040.06s]  parser by using a neural net transition-based dependency
[4040.06s -> 4043.06s]  parser, which would benefit from the kind of dense
[4043.06s -> 4047.78s]  and compact feature vector representations
[4047.82s -> 4050.58s]  that we've already started to see.
[4050.58s -> 4053.94s]  And so that's what started to be explored.
[4053.94s -> 4060.50s]  And in particular, who was then a PhD student of mine
[4060.50s -> 4066.52s]  and was head TA of 224N twice, actually, in the earlier days.
[4066.52s -> 4071.66s]  So she built a neural transition-based dependency
[4071.66s -> 4076.22s]  parser and showed the success of this method.
[4076.26s -> 4080.66s]  So this was Nivre's transition-based dependency
[4080.66s -> 4081.94s]  parser.
[4081.94s -> 4085.92s]  People had also explored other methods of dependency parsing.
[4085.92s -> 4089.18s]  So these were two graph-based dependency parsers.
[4089.18s -> 4095.44s]  And essentially, for the kind of symbolic feature machine
[4095.44s -> 4100.22s]  learning methods, Nivre's parser was really fast
[4100.22s -> 4104.28s]  because it was using this linear transition-based parsing
[4104.28s -> 4105.34s]  idea.
[4106.34s -> 4111.26s]  The graph-based dependency parsers were way, way slower.
[4111.26s -> 4113.90s]  They're about, what, 50 times slower.
[4113.90s -> 4115.86s]  But they were slightly more accurate.
[4115.86s -> 4119.18s]  You can see here that you're getting a bit better numbers.
[4119.18s -> 4121.96s]  So essentially, what Nivre was able to show
[4121.96s -> 4124.62s]  was you could build something that
[4124.62s -> 4128.74s]  was basically as accurate as the best-known graph-based
[4128.74s -> 4132.26s]  dependency parsers, but it was fast
[4132.26s -> 4135.60s]  like other transition-based parsers.
[4135.60s -> 4139.74s]  Indeed, despite the fact that you might think that, oh, now
[4139.74s -> 4142.18s]  I've got real numbers and matrices and stuff,
[4142.18s -> 4144.54s]  surely that should be slowing me down,
[4144.54s -> 4148.46s]  the reality was that the symbolic model spent
[4148.46s -> 4152.00s]  so much time in feature computation
[4152.00s -> 4155.46s]  that actually you could make it faster at the same time
[4155.46s -> 4158.14s]  by using the neural network.
[4158.14s -> 4160.66s]  So how did that work?
[4160.66s -> 4163.50s]  Well, so we've already seen word embedding.
[4163.50s -> 4165.74s]  So it's going to exploit word embedding.
[4165.74s -> 4169.48s]  So it can use word representations.
[4169.48s -> 4171.06s]  And that has the advantage that even
[4171.06s -> 4172.86s]  if you haven't seen particular words
[4172.86s -> 4176.98s]  and particular configurations, you've seen similar words.
[4176.98s -> 4180.02s]  And so it can exploit what's likely in terms
[4180.02s -> 4181.74s]  of word similarity.
[4181.74s -> 4183.44s]  But it went a bit further than that
[4183.44s -> 4185.94s]  because why only have distributed representations
[4185.94s -> 4186.98s]  of words?
[4186.98s -> 4189.16s]  We also have parts of speech.
[4189.16s -> 4193.20s]  And although I sort of said just noun, verb, adjective,
[4193.20s -> 4197.52s]  most actual systems in NLP of parts of speech
[4197.52s -> 4199.32s]  are much more fine-grained.
[4199.32s -> 4201.52s]  So they have different parts of speech
[4201.52s -> 4204.28s]  for plural nouns versus singular nouns.
[4204.28s -> 4206.14s]  So they're sort of different symbols,
[4206.14s -> 4208.20s]  but they're very similar to each other.
[4208.20s -> 4211.08s]  So we might give them distributed representation
[4211.08s -> 4213.36s]  so they're also close to each other.
[4213.36s -> 4217.88s]  And the same for the types of our labels for dependencies.
[4217.88s -> 4220.56s]  Some of them are pretty closely related as well.
[4220.56s -> 4222.48s]  So all of these were being given
[4222.48s -> 4225.10s]  distributed representations.
[4225.10s -> 4230.04s]  And so then to represent the state of the dependency parser
[4230.04s -> 4233.72s]  for predicting transitions, what you were doing
[4233.72s -> 4237.24s]  is you had the same kind of stack and buffer.
[4237.24s -> 4239.64s]  And you were taking the key elements
[4239.64s -> 4242.22s]  of the stack and the buffer, which are essentially
[4242.22s -> 4244.44s]  the first thing on the buffer, the word
[4244.44s -> 4247.44s]  that you would be shifting if you're going to do a shift,
[4247.48s -> 4250.12s]  and the two things at the top of the stack.
[4250.12s -> 4252.64s]  So these are the things that if you're either doing a left
[4252.64s -> 4255.64s]  arc or a right arc, they're things that you're
[4255.64s -> 4257.72s]  considering combining.
[4257.72s -> 4260.12s]  So for those, you're going to be taking
[4260.12s -> 4263.64s]  the distributed representations of the word
[4263.64s -> 4266.08s]  and their parts of speech, and also
[4266.08s -> 4269.48s]  with a bit more complexity for dependencies you've already
[4269.48s -> 4272.36s]  constructed if maybe something on the stack
[4272.36s -> 4274.60s]  is already involved in the dependency.
[4274.60s -> 4276.36s]  Each of those, we're going to take
[4276.36s -> 4278.80s]  their distributed representations,
[4278.80s -> 4281.36s]  and we're going to just concatenate them together
[4281.36s -> 4286.40s]  to produce a big vector in the same way we're concatenating
[4286.40s -> 4289.32s]  together the five words in the last class
[4289.32s -> 4292.72s]  for predicting whether something was the location or not.
[4292.72s -> 4298.80s]  And then we're going to feed that into our neural network.
[4298.80s -> 4303.68s]  So our input layer is our concatenated distributed
[4303.68s -> 4305.48s]  representations.
[4305.48s -> 4308.56s]  We are going to put that through a hidden layer, which
[4308.56s -> 4312.16s]  is like we were talking about last time, WX plus B,
[4312.16s -> 4315.08s]  then put through a ReLU non-linearity.
[4315.08s -> 4319.28s]  And then we are going to put above that the same kind
[4319.28s -> 4323.04s]  of another multiply by a matrix.
[4323.04s -> 4327.40s]  So we've got a second layer of neural network, UH plus B2.
[4327.40s -> 4329.76s]  And we're going to take the output of that,
[4329.76s -> 4332.28s]  and then we're going to put that through a softmax that
[4332.28s -> 4337.80s]  gives a probability distribution over whether to shift or do
[4337.80s -> 4341.96s]  a left arc or a right arc operation.
[4341.96s -> 4346.44s]  And so the other way that this crucially gave us more power
[4346.44s -> 4350.76s]  is that other people's dependency parsers were still
[4350.76s -> 4354.40s]  using linear classifiers, things like support vector
[4354.40s -> 4357.64s]  machines or logistic regressions,
[4357.64s -> 4360.08s]  where we had a deep neural network that gave us
[4360.08s -> 4363.96s]  a non-linear classifier and so that's why we can be more
[4363.96s -> 4369.04s]  accurate than other previous transition-based parsers.
[4369.04s -> 4374.60s]  And so this essentially showed that you could build
[4374.60s -> 4378.84s]  this very accurate neural dependency parser and that it
[4378.84s -> 4385.36s]  outperformed symbolic probabilistic representations and basically
[4385.36s -> 4389.40s]  was as good as any other dependency parser that was known.
[4389.40s -> 4393.92s]  So back a decade ago, this was a big hit.
[4393.92s -> 4396.60s]  People got very excited about it.
[4396.60s -> 4399.04s]  People at Google got very excited about it
[4399.04s -> 4401.92s]  because this gave a scalable way.
[4401.92s -> 4405.00s]  Remember, it's linear time in which you could efficiently
[4405.00s -> 4408.28s]  go off and parse the entire web.
[4408.28s -> 4413.80s]  So they did some further work on taking that model
[4413.80s -> 4418.24s]  and proving it so that they made a deeper neural network
[4418.24s -> 4423.44s]  version with bigger vectors and better tuned hyperparameters.
[4423.44s -> 4425.88s]  And they added onto a beam search.
[4425.88s -> 4428.12s]  I've just presented the greedy version where you
[4428.12s -> 4431.32s]  always just immediately make the best choice.
[4431.32s -> 4435.40s]  But you can improve these parsers by doing some amount of search.
[4435.40s -> 4437.36s]  That does help.
[4437.36s -> 4445.00s]  And so they pushed that up and so rather than our kind of 92 UAS here,
[4445.00s -> 4449.16s]  they got it to 94, 94.6.
[4449.16s -> 4459.00s]  And I mean, you're probably all too young to remember this.
[4459.00s -> 4464.44s]  But really at the time of 2016, Google
[4464.44s -> 4470.08s]  did their kind of typical big PR splash for dependency parser,
[4470.08s -> 4472.52s]  which kind of blew my mind since I didn't ever
[4472.56s -> 4475.80s]  think that anyone was really going to be writing articles
[4475.80s -> 4480.36s]  in Wired and VentureBeat and those kind of tech blogs.
[4480.36s -> 4484.20s]  But you know, Google had it all over the place of the world's
[4484.20s -> 4486.04s]  most accurate parser.
[4486.04s -> 4489.28s]  And they gave it a silly name, Parsi McParseface,
[4489.28s -> 4494.04s]  which really worked well for getting lots of media pickup.
[4494.04s -> 4500.16s]  And so that was then a very successful parser.
[4500.16s -> 4502.44s]  I've still got a couple of minutes left.
[4502.88s -> 4507.12s]  Let me just do the last three slides
[4507.12s -> 4509.72s]  to show you sort of another way of doing things,
[4509.72s -> 4512.48s]  which is also actually also a powerful parsing
[4512.48s -> 4515.20s]  method that is commonly used.
[4515.20s -> 4517.96s]  So that was transition-based parsing,
[4517.96s -> 4520.68s]  and that's what you will use in assignment two.
[4520.68s -> 4524.92s]  Another way of doing things with dependencies and parsing
[4524.92s -> 4527.20s]  that can be done neural is what's referred to
[4527.20s -> 4529.88s]  as graph-based dependency parsers.
[4529.88s -> 4532.96s]  And in graph-based dependency parsers,
[4532.96s -> 4540.40s]  what you do is for each word, you sort of ask for each word,
[4540.40s -> 4543.40s]  what am I a dependent of?
[4543.40s -> 4547.88s]  So if the sentence is the big cat sat, each word,
[4547.88s -> 4551.32s]  for example, big, has to be a dependent of one
[4551.32s -> 4553.92s]  of the other four words in this sentence,
[4553.92s -> 4555.96s]  including this possibility of root.
[4555.96s -> 4558.40s]  So we ask, am I a dependent of that?
[4558.40s -> 4559.60s]  Am I a dependent of root?
[4559.60s -> 4561.24s]  Am I a dependent of cat?
[4561.24s -> 4562.92s]  Am I a dependent of sat?
[4562.92s -> 4566.08s]  And we want to score each of those possibilities.
[4566.08s -> 4569.56s]  And so hopefully, we decide the most likely one
[4569.56s -> 4572.04s]  is the big as a dependent of cat.
[4572.04s -> 4575.00s]  And then we're going to do the same for every other word.
[4575.00s -> 4579.88s]  So sat could be a dependent of any of these words.
[4579.88s -> 4583.80s]  And so we could start asking, OK, which of these words
[4583.80s -> 4587.08s]  is it most likely a dependent of?
[4587.08s -> 4591.52s]  L, B to sat, cat to sat.
[4591.52s -> 4593.12s]  Sorry, that's unreadable now.
[4593.12s -> 4598.64s]  But hopefully, we decide that sat most likely as the verb
[4598.64s -> 4600.20s]  is a dependent of root.
[4600.20s -> 4606.40s]  So we're sort of scoring the n squared possible dependencies
[4606.40s -> 4607.28s]  of the sentence.
[4607.28s -> 4609.36s]  Each one is given a score.
[4609.36s -> 4612.48s]  And then once we've done that, our job
[4612.48s -> 4615.28s]  is let me go to this one's cleaner.
[4615.28s -> 4617.40s]  OK, we've decided the good one there.
[4617.40s -> 4621.12s]  And so we're going to do this using some of the same features
[4621.12s -> 4624.16s]  we talked about, looking at the words at each end,
[4624.16s -> 4626.44s]  looking at what occurs between them,
[4626.44s -> 4632.24s]  looking at what occurs around them, thinking about things.
[4632.24s -> 4633.56s]  And then once we've done that,
[4633.56s -> 4635.96s]  the only other thing that's a constraint
[4635.96s -> 4640.28s]  is, well, we want the dependencies to form a tree
[4640.28s -> 4644.92s]  so that we need to do something like a minimum spanning tree
[4644.92s -> 4648.96s]  algorithm to sort of find the minimum cost tree.
[4648.96s -> 4651.44s]  Because we don't want to find a solution where
[4651.44s -> 4654.64s]  there are cycles or the parts of the sentence
[4654.64s -> 4657.40s]  end up disconnected with each other.
[4657.40s -> 4660.80s]  And so that's graph-based dependency parsers.
[4660.80s -> 4664.56s]  And so just as in the older symbolic parsing days
[4664.56s -> 4667.56s]  where the graph-based dependency parsers were more
[4667.56s -> 4671.16s]  accurate than the transition-based parsers,
[4671.16s -> 4673.32s]  that we then started doing some work
[4673.32s -> 4676.20s]  on neural graph-based dependency parsing.
[4676.20s -> 4678.60s]  And so here's our neural graph-based dependency
[4678.60s -> 4683.76s]  parsing, which was then a bit over a percent more
[4683.76s -> 4686.60s]  accurate than Parsi McParseface, the world's
[4686.60s -> 4690.48s]  best dependency parser.
[4690.48s -> 4693.28s]  So that got us to 2017.
[4693.28s -> 4695.68s]  I mean, obviously, this is still a few years ago.
[4695.68s -> 4700.32s]  But to get further into the latest parsing stories,
[4700.32s -> 4702.88s]  we then need to sort of get into the era of large language
[4702.88s -> 4705.20s]  models, which I'm not doing today.
[4705.20s -> 4707.76s]  But it's this neural graph-based dependency
[4707.76s -> 4713.28s]  parser that's in Stanza, our open source parsing
[4713.28s -> 4715.52s]  software that's available and that you
[4715.52s -> 4717.92s]  can see it's using this algorithm as the more
[4717.92s -> 4719.12s]  accurate one.
[4719.12s -> 4721.24s]  OK, so now you hopefully know everything
[4721.24s -> 4724.20s]  about syntactic structure, constituents,
[4724.24s -> 4726.76s]  dependency parsing, and are fully qualified
[4726.76s -> 4728.52s]  to do an assignment too.
[4728.52s -> 4729.64s]  So good luck with that.
[4729.64s -> 4731.20s]  Thanks.
