# Detected language: en (p=1.00)

[0.00s -> 0.84s]  Hello, everyone.
[2678.50s -> 2682.62s]  at that time and enough time for doing a reason.
[2684.50s -> 2685.70s]  So it was really about this.
[2685.70s -> 2687.98s]  Like, can we, you know, can we build a system
[2687.98s -> 2690.38s]  that can solve those problems at all?
[2690.38s -> 2692.62s]  And I think at the time when we got started,
[2694.46s -> 2695.30s]  it was believed that, you know,
[2695.30s -> 2697.26s]  this was like five or 10 years away.
[2698.74s -> 2701.18s]  Okay, so now let me take you to, you know,
[2701.18s -> 2703.74s]  seven months before January, 2024.
[2703.74s -> 2704.98s]  We are seven months away
[2705.54s -> 2707.26s]  and we need to make a decision about geometry.
[2707.26s -> 2708.98s]  So why geometry?
[2708.98s -> 2710.18s]  It's because, you know,
[2710.18s -> 2712.94s]  mathlib is very sparse in 2D Euclidean geometry.
[2712.94s -> 2715.14s]  It doesn't have much of what you need to know
[2715.14s -> 2716.90s]  about Euclidean geometry,
[2716.90s -> 2719.72s]  mostly because, you know, researchers don't really care
[2719.72s -> 2722.98s]  about 2D Euclidean geometry that is useful for the IMO.
[2722.98s -> 2727.02s]  And so we're a bit unsure what to do.
[2727.02s -> 2728.56s]  We are debating whether maybe, you know,
[2728.56s -> 2730.66s]  we actually don't do geometry at all,
[2730.66s -> 2734.42s]  or we try to fill in that part in mathlib
[2734.70s -> 2736.82s]  so that our agent has the basic knowledge
[2736.82s -> 2739.16s]  that is expected every students to have.
[2740.14s -> 2742.78s]  And so we are debating this when, you know,
[2742.78s -> 2746.26s]  miraculously another group within Google DeepMind
[2746.26s -> 2748.14s]  turned out to have been working exactly
[2748.14s -> 2749.82s]  the IMO geometry problem.
[2749.82s -> 2752.58s]  And they already have a system that is very, very strong.
[2752.58s -> 2754.94s]  You know, their system was already approaching
[2754.94s -> 2759.76s]  gold level metal performance on the geometry problems.
[2759.76s -> 2762.06s]  And we learned about that because they publish
[2762.06s -> 2765.50s]  the paper in Nature in early January, 2024.
[2765.50s -> 2769.26s]  So miracle, but we decided to join forces
[2769.26s -> 2770.62s]  with them for July.
[2770.62s -> 2772.50s]  And so our geometry will tackle geometry
[2772.50s -> 2774.66s]  and our proof will tackle algebra,
[2774.66s -> 2776.42s]  and the theory and combinatorics.
[2778.34s -> 2780.74s]  A couple of months later, we are debating another thing.
[2780.74s -> 2784.22s]  So we've been training our proof on proving theorems,
[2784.22s -> 2786.96s]  but not all questions are in the form prove that.
[2788.06s -> 2790.42s]  Actually, some require an answer to be determined,
[2790.42s -> 2793.62s]  like find all x such that, you know,
[2793.62s -> 2796.26s]  and this is not just a, you know,
[2796.26s -> 2798.66s]  an integer like the AME, it could be, you know,
[2798.66s -> 2802.34s]  it's the set of, you know, like these numbers
[2802.34s -> 2804.74s]  that have this property, et cetera.
[2804.74s -> 2807.58s]  And so this actually not obvious how to do well
[2807.58s -> 2810.46s]  in formal language, because you have like these kind of
[2810.46s -> 2812.70s]  tautological case where, you know, he says,
[2812.70s -> 2815.38s]  well, what are all the x such that property P holds
[2815.38s -> 2819.46s]  and says, well, it's the set of numbers where P holds.
[2819.70s -> 2822.06s]  Then you have like a really easy time to prove that,
[2822.06s -> 2825.30s]  but that's definitely not what kind of the judges
[2825.30s -> 2826.48s]  were after.
[2828.06s -> 2829.86s]  And so actually, you know, the answer itself
[2829.86s -> 2833.10s]  is a bit of a subjective thing.
[2833.10s -> 2835.50s]  And we debate, you know, what we should do.
[2835.50s -> 2837.16s]  Either we do what's, you know,
[2837.16s -> 2839.18s]  was known outside as the EV mode.
[2840.42s -> 2842.90s]  We basically feed in the correct answer to the,
[2842.90s -> 2846.32s]  to have a proof and we ask have a proof to prove it.
[2846.32s -> 2849.02s]  Or we go with hard mode where we try to determine
[2849.54s -> 2851.38s]  the answer, we have something that then is the answer
[2851.38s -> 2852.82s]  and we prove it.
[2852.82s -> 2855.92s]  And I personally don't really like easy and hard
[2855.92s -> 2859.26s]  kind of keywords here because, you know,
[2859.26s -> 2862.86s]  it's fairly well known that kind of the beat
[2862.86s -> 2866.02s]  that is the hardest for the MO is the proving part
[2866.02s -> 2868.18s]  is not really to guess the answer.
[2869.94s -> 2872.38s]  But anyway, so we are debating,
[2872.38s -> 2875.58s]  we are not sure exactly what to do,
[2875.58s -> 2877.76s]  but you know, after thinking about it through,
[2877.76s -> 2880.60s]  it's pretty clear that we need to do hard mode.
[2880.60s -> 2883.92s]  And what's cool is that actually kind of getting the answer
[2883.92s -> 2887.24s]  is exactly what kind of Gemini is being trained on.
[2887.24s -> 2889.56s]  And so we decided that we will generate candidates
[2889.56s -> 2892.10s]  and serve with Gemini and we'll attempt to prove
[2892.10s -> 2895.84s]  and disprove all possible candidates without a proof.
[2895.84s -> 2897.92s]  That's how we're going to participate.
[2897.92s -> 2900.36s]  Now, the final thing we are debating about
[2900.36s -> 2904.68s]  is about kind of the input that the system should receive.
[2904.68s -> 2906.72s]  When you receive the natural language description
[2906.72s -> 2909.80s]  of the problem, and you know, for instance, in English,
[2909.80s -> 2912.16s]  actually, you know, if you participate at the MO,
[2912.16s -> 2913.36s]  you can choose the language
[2913.36s -> 2915.08s]  in which you will receive the problems.
[2915.08s -> 2917.64s]  You know, not everyone has to read it in English.
[2917.64s -> 2920.14s]  You can have it in Russian or in Chinese or in Japanese,
[2920.14s -> 2922.08s]  you can choose your own language.
[2922.08s -> 2924.44s]  Unfortunately, you know, they don't propose lean
[2924.44s -> 2926.00s]  as a language.
[2926.00s -> 2928.12s]  And so we are debating whether, you know,
[2928.12s -> 2931.12s]  we will send kind of English to the system
[2931.12s -> 2935.40s]  or we'll ask our experts internally
[2935.40s -> 2937.28s]  to manually formalize the problem
[2937.28s -> 2940.16s]  and send that as an input to the system.
[2941.32s -> 2944.64s]  And so we debate this a little bit with our judges
[2944.64s -> 2948.92s]  and, you know, very quickly, we have the same opinion
[2948.92s -> 2950.92s]  because what we really care about is, you know,
[2950.92s -> 2954.56s]  the mathematical reasoning and problem solving at the MO.
[2954.56s -> 2957.20s]  And that's what we work, therefore,
[2957.20s -> 2959.48s]  not really about our capabilities
[2959.48s -> 2963.58s]  or actually translating the problem in formal language.
[2964.50s -> 2968.16s]  And so we decide that it's okay for what we want to achieve
[2968.16s -> 2971.30s]  that we will give the formalized problems as input.
[2971.30s -> 2973.22s]  And so we ask our lean experts
[2973.22s -> 2976.54s]  to manually formalize the problems for the system.
[2976.54s -> 2978.78s]  So if I recap, you know,
[2978.78s -> 2981.26s]  our protocol is gonna look something like this.
[2981.26s -> 2984.06s]  So we are gonna officially receive the problems at 1 p.m.
[2985.62s -> 2987.90s]  The lean experts will first manually
[2987.90s -> 2989.90s]  formalize the problems.
[2989.90s -> 2991.42s]  And then that's where kind of the,
[2991.42s -> 2993.22s]  after that, the AI comes in.
[2994.22s -> 2997.72s]  We'll generate hundreds of answer candidates with Gemini.
[2997.72s -> 2999.86s]  Alpha proof will try to filter
[2999.86s -> 3002.02s]  all the easily disprovable ones.
[3002.02s -> 3004.58s]  And then we are gonna run test time error.
[3004.58s -> 3006.40s]  Again, I haven't told you what is test time error,
[3006.40s -> 3007.74s]  but I'm gonna get there.
[3009.22s -> 3012.38s]  Okay, day one, we are there.
[3013.38s -> 3016.66s]  Tuesday at 1 p.m. we receive the problem.
[3016.66s -> 3018.94s]  P1 is an algebra, P2 is a number theory,
[3018.94s -> 3020.90s]  and P3 is a combinatorics.
[3020.90s -> 3023.94s]  And P1, P2 actually requires an answer to be guessed.
[3026.02s -> 3028.78s]  And so, you know, we ask our experts
[3028.78s -> 3030.68s]  to manually formalize the problem,
[3030.68s -> 3033.58s]  then Gemini to guess answer candidates.
[3033.58s -> 3034.62s]  And then we get alpha proof
[3034.62s -> 3037.58s]  to try to disprove all those answer candidates.
[3037.58s -> 3042.18s]  And so we have already very good signs
[3042.18s -> 3045.34s]  is that alpha proof is able to disprove 99% basically
[3045.34s -> 3048.94s]  of guesses for those two problems in a matter of minutes.
[3048.94s -> 3050.14s]  So this is a really good sign
[3050.22s -> 3051.50s]  because we observed in the past
[3051.50s -> 3054.16s]  that when alpha proof understands the problem,
[3054.16s -> 3056.40s]  it's gonna be able to disprove a lot of kind
[3056.40s -> 3057.62s]  of false index.
[3057.62s -> 3060.70s]  But for problems that it doesn't understand at all,
[3060.70s -> 3063.94s]  it wouldn't be able to disprove much at all.
[3063.94s -> 3067.38s]  And so that's really good sign for day one.
[3067.38s -> 3069.54s]  On day two, right, we receive again
[3069.54s -> 3071.46s]  at 1 p.m. the problems.
[3071.46s -> 3074.34s]  We knew actually that P4 and P5 had to be geometry
[3074.34s -> 3076.06s]  and combinatorics because there is a rule
[3076.06s -> 3079.02s]  that the easy and medium problems, you know,
[3079.02s -> 3082.46s]  all categories have to appear in easy and medium problems.
[3082.46s -> 3084.30s]  And, but we are pretty happy to see
[3084.30s -> 3088.46s]  that P6 was the algebra functional equation
[3088.46s -> 3090.88s]  because we knew that also alpha proof
[3090.88s -> 3095.30s]  was particularly strong in functional equation problems.
[3095.30s -> 3098.06s]  That said, P6 is in the hard category
[3099.14s -> 3101.06s]  and it's the hardest problem.
[3101.06s -> 3103.32s]  So even if it's, you know, kind of a good category
[3103.32s -> 3107.68s]  for alpha proof, nothing is guaranteed at all.
[3108.68s -> 3111.48s]  Turns out that, you know, alpha geometry is able
[3111.48s -> 3114.08s]  to solve the geometry problem, I believe in seconds.
[3115.16s -> 3116.76s]  So really, really powerful.
[3118.22s -> 3121.24s]  You get there, so basically, you know, they came in,
[3121.24s -> 3123.12s]  they run that thing for a few seconds
[3123.12s -> 3125.38s]  and then it was done for them.
[3126.32s -> 3128.86s]  The P5 combinatorics was actually very tricky
[3128.86s -> 3131.48s]  and our human experts failed to formalize
[3131.48s -> 3132.96s]  that problem on the day.
[3132.96s -> 3135.92s]  And the P6 algebra, you know,
[3135.96s -> 3138.32s]  it's also requires sensors to be determined
[3138.32s -> 3140.52s]  and Gemini generated a bunch of answers.
[3140.52s -> 3143.16s]  And when we try to disprove it,
[3143.16s -> 3145.42s]  it's gonna only disprove 7% of guesses.
[3146.36s -> 3149.72s]  So it doesn't have zero traction on the problem,
[3149.72s -> 3152.88s]  but it doesn't have probably as good an understanding
[3152.88s -> 3154.24s]  as on P1 and P2.
[3156.44s -> 3160.02s]  All right, so, you know, day three, Thursday,
[3161.16s -> 3163.36s]  alpha proof hasn't proved anything yet,
[3163.36s -> 3165.68s]  but we had a way to track progress.
[3166.12s -> 3169.80s]  And so we observed on the day one problems that P1,
[3169.80s -> 3171.36s]  you know, alpha proof had actually solved
[3171.36s -> 3173.04s]  half of the problem.
[3173.04s -> 3175.06s]  And so actually in that proof,
[3175.06s -> 3176.24s]  there are at least, you know,
[3176.24s -> 3178.70s]  two ways to split that problem in two.
[3178.70s -> 3181.68s]  You'd, you know, case on the fact that something
[3181.68s -> 3186.38s]  is either even or odd or that it's rational or irrational.
[3186.38s -> 3188.86s]  And so alpha proof had kinda, you know,
[3188.86s -> 3191.80s]  come up with these ideas of splitting this problem
[3191.80s -> 3193.06s]  in two by itself.
[3193.06s -> 3195.16s]  And for instance, in the even odd case,
[3195.52s -> 3197.56s]  it had proved the even case
[3197.56s -> 3199.80s]  and hadn't finished proving the odd case.
[3200.64s -> 3203.56s]  It wasn't able to prove the odd case yet.
[3203.56s -> 3205.96s]  In P2, when we look at it,
[3206.92s -> 3209.72s]  alpha proof had arguably solved the whole problem.
[3209.72s -> 3210.94s]  And so I don't know if you know,
[3210.94s -> 3212.62s]  but in the IMO there is, you know,
[3212.62s -> 3216.02s]  there is a whole section where after the competition is,
[3216.02s -> 3218.72s]  you know, after the students have submitted their answers,
[3218.72s -> 3222.56s]  then the team captains can argue with the,
[3222.56s -> 3224.92s]  with the judging committee
[3225.52s -> 3226.36s]  that actually, you know,
[3226.36s -> 3228.08s]  like the student has done this much
[3228.08s -> 3230.36s]  and so therefore they deserve that much points.
[3230.36s -> 3233.40s]  And so, you know, if we had followed that process,
[3233.40s -> 3236.18s]  we believe that with whatever alpha proof had,
[3236.18s -> 3239.00s]  we may be able to argue for the whole problem.
[3239.00s -> 3241.76s]  So let's say, you know, six out of seven points there.
[3243.12s -> 3245.72s]  And then on P3, the combinatorics problem,
[3245.72s -> 3247.94s]  alpha proof hadn't made any progress.
[3249.08s -> 3250.80s]  On the day two problem, as I said, you know,
[3250.80s -> 3254.16s]  alpha geometry had already solved in seconds
[3254.44s -> 3256.60s]  the problem, so seven out of seven points.
[3256.60s -> 3261.16s]  The P5 combinatorics, we had made no progress.
[3261.16s -> 3264.50s]  I think by that time we had a formalization of it.
[3264.50s -> 3268.44s]  But what was really cool is that actually on P6,
[3268.44s -> 3270.16s]  alpha proof had made progress
[3270.16s -> 3272.88s]  and had proved a particular case
[3272.88s -> 3275.52s]  that we now know is worth two out of seven points.
[3276.58s -> 3278.28s]  So probably on Thursday,
[3278.28s -> 3279.88s]  it had actually made quite a bit of progress
[3279.88s -> 3281.48s]  on all the problems.
[3281.60s -> 3284.48s]  We may have already have like about 18 points.
[3286.16s -> 3289.12s]  Now, Friday, we received this email.
[3290.60s -> 3293.84s]  That's the name of my colleague, Rishi,
[3293.84s -> 3296.60s]  that was actually sent by alpha proof.
[3296.60s -> 3298.40s]  And alpha proof is sending an email
[3298.40s -> 3301.04s]  each time it solves one of the IMO problems.
[3301.04s -> 3304.16s]  It says, I have discovered a truly marvelous proof
[3304.16s -> 3308.58s]  of IMO 2024 P6, but this email is too short to contain.
[3309.26s -> 3312.12s]  And of course, it's a joke.
[3312.12s -> 3315.26s]  And the whole proof is there in the email.
[3315.26s -> 3317.58s]  And so when we see that, we are extremely excited
[3317.58s -> 3321.70s]  because, you know, we know we've kind of half P2,
[3321.70s -> 3325.34s]  alpha geometry has P4, we're making progress on P1.
[3325.34s -> 3327.70s]  And we have, it seems like it looks like
[3327.70s -> 3331.46s]  we have solved the hardest problem, P6.
[3331.46s -> 3333.28s]  So, you know, extremely excited.
[3333.28s -> 3336.94s]  I have run to my colleague's desk, Oliver Nash,
[3336.98s -> 3338.66s]  who is one of our Lean experts.
[3338.66s -> 3342.94s]  And so we basically copy paste that proof to official Lean.
[3342.94s -> 3346.86s]  And it sinks a little bit and says, yeah, all good, proved.
[3346.86s -> 3349.26s]  And so I run back to my desk.
[3349.26s -> 3350.62s]  I don't think too much.
[3350.62s -> 3354.60s]  I just forward that message to Demis and Sergey.
[3354.60s -> 3357.40s]  So he said, Demis has a business, Sergey Bary.
[3360.94s -> 3365.52s]  And I want you to share that for two things.
[3365.52s -> 3369.24s]  One, I think it shows you the trust I have in Lean.
[3369.24s -> 3370.28s]  If I didn't trust Lean,
[3370.28s -> 3373.68s]  I would probably wouldn't have sent that email
[3373.68s -> 3376.36s]  kind of seconds after kind of getting confirmation
[3376.36s -> 3378.52s]  from Lean that this was all good.
[3378.52s -> 3381.02s]  And the second thing I thought a little bit after that
[3381.02s -> 3383.68s]  is like, ooh, was this like a stupid email?
[3383.68s -> 3385.28s]  But I think actually we are in a company
[3385.28s -> 3387.02s]  where it's cool to do this.
[3387.02s -> 3388.76s]  And Demis and Sergey were following
[3388.76s -> 3391.56s]  a little bit what was happening during this competition.
[3391.56s -> 3396.56s]  And a little bit later in the day, actually,
[3397.20s -> 3400.72s]  we receive another mail and it's a full proof of P2.
[3400.72s -> 3402.88s]  So now there is nothing to argue about,
[3404.56s -> 3406.66s]  perfect proof solved by alpha proof.
[3406.66s -> 3408.20s]  And a little bit later in the day,
[3408.20s -> 3409.28s]  actually on that same day,
[3409.28s -> 3411.72s]  we also received the full proof of P1.
[3413.20s -> 3416.52s]  So in conclusion, final results,
[3416.52s -> 3419.60s]  P1, P2 and P6 were fully solved by alpha proof
[3419.60s -> 3422.48s]  and P4 was fully solved by alpha geometry.
[3422.48s -> 3425.48s]  And we actually tried to keep running over the weekend
[3425.48s -> 3427.32s]  in the hope of getting one point on P3
[3427.32s -> 3430.48s]  because actually the agent made some progress on it,
[3430.48s -> 3433.52s]  but it turned out that it was not enough
[3433.52s -> 3434.62s]  for a partial point.
[3435.96s -> 3438.96s]  So we reached the score of a silver medalist
[3438.96s -> 3441.56s]  and missed the gold threshold by one point.
[3443.80s -> 3446.08s]  Of course, I just wanna reiterate that, you know,
[3446.08s -> 3449.00s]  we definitely use more time and more compute
[3449.28s -> 3451.60s]  than was available to the human participant.
[3453.86s -> 3456.08s]  I wanna come back a little bit on this P6 problem
[3456.08s -> 3458.04s]  because it turned out that it was arguably
[3458.04s -> 3459.24s]  one of the hardest problems
[3459.24s -> 3461.36s]  in the last years at the IMO.
[3461.36s -> 3465.64s]  Only five out of 609 of the participant
[3465.64s -> 3467.24s]  solved this problem fully.
[3467.24s -> 3469.88s]  And you know, this is the top six people
[3469.88s -> 3471.16s]  of every country who comes in
[3471.16s -> 3475.00s]  and only five in total solved the problem fully.
[3475.00s -> 3478.56s]  And Sir Timothy Gowers, who is field medalist
[3479.12s -> 3480.92s]  and IMO gold medalist as well,
[3480.92s -> 3482.86s]  he said that he actually spent a couple of hours
[3482.86s -> 3484.88s]  on this problem and did not solve it.
[3484.88s -> 3486.94s]  And I find the fact that the program can come up
[3486.94s -> 3488.88s]  with a somewhat complicated construction like this
[3488.88s -> 3490.24s]  very impressive.
[3490.24s -> 3492.36s]  So in no ways am I saying that, you know,
[3492.36s -> 3497.26s]  we are close to Tim Gowers kind of math abilities
[3497.26s -> 3498.92s]  and he may not have spent, you know,
[3498.92s -> 3500.60s]  these two hours really trying to solve this
[3500.60s -> 3502.56s]  and these things, you know, you need to, you know,
[3502.56s -> 3503.60s]  these are kind of,
[3503.60s -> 3506.42s]  you need to practice to solve these things.
[3506.42s -> 3507.88s]  And so in no ways am I saying
[3508.16s -> 3510.32s]  that we are close to fields medal level,
[3510.32s -> 3512.92s]  but I think this, we all interpreted this
[3512.92s -> 3515.56s]  as a really, really encouraging sign for the future
[3515.56s -> 3517.96s]  to be able to do something really non-trivial.
[3520.32s -> 3522.16s]  Let me conclude this IMO part
[3522.16s -> 3524.48s]  with some of the challenges we've observed.
[3524.48s -> 3527.04s]  The first is the gaps in math.
[3527.04s -> 3530.36s]  And so the most blatant one is geometry actually.
[3530.36s -> 3533.40s]  If our geometry was not there, you know,
[3533.40s -> 3536.56s]  like kind of, you may have required us
[3536.56s -> 3539.28s]  to actually completely write that part in mathly
[3539.28s -> 3544.28s]  so that we could do the geometry problems
[3544.60s -> 3546.20s]  or we may have decided not even
[3546.20s -> 3548.12s]  to try the geometry problem.
[3548.12s -> 3551.92s]  And also I want to say that even in P1,
[3551.92s -> 3554.40s]  we observed that actually there were some gaps in mathly
[3554.40s -> 3556.84s]  that we suffered from.
[3556.84s -> 3558.76s]  And so in one of the proofs where you have to prove
[3558.76s -> 3561.76s]  that it's, you know, either rational or irrational,
[3561.76s -> 3563.88s]  AFA proof had proved the rational part
[3563.88s -> 3566.52s]  and was struggling on the irrational part.
[3566.52s -> 3571.08s]  And this is not definitive, but in fact,
[3571.08s -> 3573.20s]  we observed that, you know, like the natural way
[3573.20s -> 3575.84s]  to prove this would be to use a certain theorem
[3575.84s -> 3578.04s]  that turned out to not exist in mathly.
[3579.16s -> 3580.88s]  So, you know, this is not an excuse.
[3580.88s -> 3583.36s]  AFA proof could have conjectured that theorem,
[3583.36s -> 3586.12s]  proved it in line and use it to finish that proof.
[3587.08s -> 3588.04s]  But it turned out that, you know,
[3588.04s -> 3592.12s]  that problem was more difficult than it needed to be.
[3593.04s -> 3596.00s]  Now Combinatrix problems were also very difficult.
[3596.84s -> 3599.60s]  You know, just P5 was extremely hard to formalize.
[3599.60s -> 3601.52s]  A lot of, you know, the necessary API
[3601.52s -> 3604.48s]  to represent those problems about, you know,
[3604.48s -> 3607.68s]  actually in the ironically about agents, environments
[3607.68s -> 3611.28s]  and strategies is not present in mathly
[3611.28s -> 3614.64s]  and that was made that problem very hard to formalize.
[3614.64s -> 3617.32s]  And the reality is that even when we had formalized it,
[3617.32s -> 3620.40s]  we did not manage to make progress on P3 and P5.
[3620.40s -> 3625.40s]  So Combinatrix were difficult for AFAQ and of course,
[3626.12s -> 3627.52s]  we use many orders of magnitude,
[3627.52s -> 3630.18s]  more compute than human contestants.
[3630.18s -> 3633.00s]  In some way, you know, I think, you know,
[3633.00s -> 3634.84s]  we actually successfully landed on the moon.
[3634.84s -> 3637.24s]  I think that is the actually the important part
[3638.12s -> 3641.64s]  and we will want to be more efficient for the next trip.
[3643.28s -> 3647.56s]  All right, so now let me go into, you know, the methods
[3648.52s -> 3649.52s]  and before we get there,
[3649.56s -> 3652.04s]  I want to remind you that, you know,
[3652.04s -> 3653.74s]  when we're talking about the methods,
[3653.74s -> 3656.70s]  there were two important aspects we need to think about.
[3656.70s -> 3658.96s]  One is where do the problems come from
[3658.96s -> 3662.80s]  and how are we going to have an agent
[3662.80s -> 3664.92s]  that learns to prove those problems?
[3666.28s -> 3668.72s]  So we trained several models.
[3668.72s -> 3670.76s]  One model is a formalizer model.
[3670.76s -> 3672.28s]  So it takes as an input,
[3672.28s -> 3674.44s]  a problem describing natural language
[3674.44s -> 3676.78s]  in output a gene formalization.
[3676.78s -> 3678.52s]  So this is based on the idea that, you know,
[3678.52s -> 3681.40s]  we are going to lean onto human defined problems
[3682.52s -> 3684.68s]  instead of inventing our own problems.
[3684.68s -> 3687.00s]  And we are going to try to translate them in lean
[3687.00s -> 3688.92s]  because, you know, they all exist in natural language,
[3688.92s -> 3690.40s]  but they don't exist in lean.
[3690.40s -> 3693.44s]  So we're going to try to do that, you know,
[3693.44s -> 3696.56s]  trying to do that with humans, don't scale at all.
[3696.56s -> 3697.40s]  It takes a long time.
[3697.40s -> 3700.44s]  And so instead we want to try to train a model
[3700.44s -> 3702.04s]  that can do this automatically.
[3703.40s -> 3705.92s]  Okay, that's the formalizer model.
[3705.92s -> 3707.48s]  And now we also have a proven model.
[3707.48s -> 3709.72s]  So the architecture of a proven model
[3709.72s -> 3711.96s]  is that it takes this kind of, you know,
[3711.96s -> 3714.20s]  if you remember in my demonstration before
[3714.20s -> 3717.16s]  this kind of yellow box, the tactic state,
[3717.16s -> 3718.92s]  the lean state that tells you, you know,
[3718.92s -> 3719.76s]  what do you know now?
[3719.76s -> 3721.04s]  What do you need to prove?
[3721.04s -> 3722.80s]  This is the thing we're going to send
[3722.80s -> 3724.88s]  as an input to the proven model.
[3724.88s -> 3727.68s]  And then the proven model is going to sample
[3727.68s -> 3730.38s]  and continuation for the proof.
[3730.38s -> 3733.00s]  You know, the same things you might consider
[3733.84s -> 3737.48s]  now potentially part of the proof and then alternatives.
[3737.48s -> 3739.16s]  And then you take this proven model
[3739.16s -> 3741.28s]  and you put it in the alpha zero search.
[3741.28s -> 3743.64s]  So you're going to search over actions,
[3743.64s -> 3745.72s]  which are basically one line in the proof.
[3745.72s -> 3747.50s]  Each time you add one line in the proof,
[3747.50s -> 3749.84s]  you send that to lean and lean tells you,
[3749.84s -> 3751.76s]  oh, what do I know now?
[3751.76s -> 3753.20s]  What do I need to prove now?
[3755.64s -> 3758.52s]  And that's basically how the search works.
[3758.52s -> 3760.36s]  If you know a little bit about alpha zero
[3760.36s -> 3761.82s]  and MCTS like search,
[3761.82s -> 3763.22s]  they try to exploit, you know,
[3763.22s -> 3764.84s]  what kind of the networks tell you,
[3764.84s -> 3766.22s]  the neural network tell you,
[3766.22s -> 3769.38s]  they exploit the high prior and high value path,
[3769.38s -> 3773.12s]  but it has a mechanism also to explore low visited path.
[3773.12s -> 3773.96s]  For instance, you know,
[3773.96s -> 3776.90s]  that's how move 37 and half ago is discovered.
[3776.90s -> 3777.86s]  And it's because, you know,
[3777.86s -> 3779.58s]  it might have a low prior,
[3779.58s -> 3783.12s]  might not be considered the right move by the network,
[3783.12s -> 3786.26s]  but they were still going to try to visit it
[3786.26s -> 3788.86s]  in case it might be an interesting one.
[3788.86s -> 3791.22s]  Okay, so now let me put this thing together
[3791.50s -> 3792.54s]  in the pipeline.
[3792.54s -> 3794.32s]  Step one, we do auto-formalization.
[3794.32s -> 3795.90s]  So we train a formalization model
[3795.90s -> 3798.30s]  and auto-formalize human creative problems.
[3800.48s -> 3802.10s]  So this is really the answer to the question
[3802.10s -> 3806.00s]  where the problems come from around human mathematics.
[3806.00s -> 3808.98s]  And here, I want to highlight a few advantages
[3808.98s -> 3811.86s]  of using kind of formalization of the problem.
[3811.86s -> 3813.42s]  First is that when, you know,
[3813.42s -> 3814.98s]  like when you send the problem to lean
[3814.98s -> 3817.70s]  and lean says, this is the valid syntax.
[3818.62s -> 3821.18s]  It means that, you know, your question makes sense.
[3823.18s -> 3825.06s]  It's not kind of something that doesn't make sense.
[3825.06s -> 3826.58s]  So it's either true or false.
[3826.58s -> 3828.02s]  You know, you're generating something
[3828.02s -> 3829.62s]  that is either true or false.
[3830.76s -> 3832.82s]  Okay, the problems might not be interesting.
[3832.82s -> 3836.38s]  You know, they might be truly true or truly false,
[3836.38s -> 3839.10s]  but they are either, you know, true or false.
[3839.10s -> 3840.50s]  And so one way to see this
[3840.50s -> 3843.38s]  is you have the human problem in the middle
[3843.38s -> 3846.46s]  and you try to generate kind of lean kind of variance
[3847.14s -> 3851.54s]  and, you know, if your model is really good,
[3851.54s -> 3853.46s]  then it would do the perfect transition.
[3853.46s -> 3855.34s]  But maybe also it will generate problems
[3855.34s -> 3858.62s]  kind of that are kind of look like that problem, right?
[3860.42s -> 3862.58s]  And so when we have this formalization model,
[3862.58s -> 3865.14s]  the way we use it is that we were able to get
[3865.14s -> 3866.86s]  about a million informal problems.
[3866.86s -> 3870.38s]  And there's a lot of problems to train for the,
[3870.38s -> 3871.68s]  about a million of them.
[3871.68s -> 3874.02s]  We pass them through our formalized model
[3874.06s -> 3877.26s]  and we generate roughly for every, you know,
[3877.26s -> 3878.54s]  probably describe the natural language,
[3878.54s -> 3883.50s]  we generated roughly a hundred possible translation for it.
[3883.50s -> 3886.54s]  And now we've just created a huge database
[3886.54s -> 3887.96s]  of formal problems.
[3889.72s -> 3891.58s]  Okay, now we need to have,
[3891.58s -> 3894.70s]  we need to train the prover to be good at proving.
[3894.70s -> 3896.46s]  And so that's where, you know,
[3896.46s -> 3900.70s]  you don't really want to be completely
[3900.70s -> 3902.10s]  in the alpha zero philosophy
[3902.10s -> 3903.94s]  where you really start from scratch
[3904.82s -> 3905.94s]  and here you, you know, you,
[3905.94s -> 3907.02s]  you want to be pragmatic
[3907.02s -> 3909.38s]  and you want to start with something that is already,
[3909.38s -> 3911.48s]  you know, can do a few things.
[3911.48s -> 3913.30s]  So you take a pre-trained model,
[3913.30s -> 3916.38s]  I know a case it was pre-trained on a lot of code.
[3916.38s -> 3919.82s]  And then kind of the next step is you're going to
[3919.82s -> 3922.38s]  train the prover model supervised on mathlib.
[3922.38s -> 3925.08s]  The mathlib has about like a hundred thousand definitions,
[3925.08s -> 3929.02s]  200,000 theorems, 200,000 lines of proof.
[3929.02s -> 3931.54s]  And basically you are really going to do supervised.
[3931.54s -> 3933.06s]  So, you know, you are going to place yourself
[3933.10s -> 3934.58s]  inside of a human proof.
[3934.58s -> 3936.76s]  You're going to look at what is the mean state there.
[3936.76s -> 3938.90s]  Then you are going to look at what the human said,
[3938.90s -> 3940.82s]  what's the next step in the proof.
[3940.82s -> 3943.44s]  And you're going to train the model towards it.
[3943.44s -> 3944.50s]  So in some sense,
[3944.50s -> 3947.54s]  very similar to regular kind of pre-training,
[3947.54s -> 3949.90s]  but you get much more information from me.
[3949.90s -> 3951.82s]  And so when you've done that, you know,
[3951.82s -> 3955.42s]  your prover model has learned a really good prior over,
[3955.42s -> 3957.70s]  you know, the actions to take.
[3957.70s -> 3961.00s]  Unfortunately, you know, mathlib is about, you know,
[3961.00s -> 3961.84s]  I don't know,
