# Detected language: en (p=1.00)

[0.00s -> 4.20s]  Try sharing your slides.
[3364.44s -> 3368.44s]  to come up with these proofs of the subproblems,
[3368.44s -> 3370.44s]  and here we are.
[3370.44s -> 3372.44s]  Here are the proofs.
[3372.44s -> 3375.44s]  Again, I'm not going to go into the details of the proofs.
[3375.44s -> 3377.44s]  This is something that, you know,
[3377.44s -> 3379.44s]  you have to stare at for a little bit,
[3379.44s -> 3383.44s]  and it's not actually especially complicated.
[3384.44s -> 3390.44s]  But then once you have proven these lemmas,
[3390.44s -> 3395.44s]  then you just put them all in the context,
[3395.44s -> 3398.44s]  and then you also put in the informal proof,
[3398.44s -> 3403.44s]  and then you ask COPRA to prove the full theorem,
[3405.44s -> 3407.44s]  and it is able to do that.
[3408.44s -> 3410.44s]  But COPRA is not able to prove this
[3410.44s -> 3415.44s]  if you were giving it just this entire theorem
[3415.44s -> 3418.44s]  all as one block and just asked it to solve.
[3420.44s -> 3424.44s]  So what we did here is really, you know,
[3424.44s -> 3429.44s]  something that is a highly powerful design pattern
[3429.44s -> 3432.44s]  in LLM agents.
[3434.44s -> 3436.44s]  LLM agents are extraordinarily flexible.
[3437.44s -> 3442.44s]  So with just some variations on the ways you do prompting,
[3443.44s -> 3446.44s]  you're able to make it do very, very different things,
[3446.44s -> 3449.44s]  things that would take a tremendous amount of training
[3449.44s -> 3452.44s]  if you weren't using these pre-trained models.
[3452.44s -> 3455.44s]  And so what we did over here is that we started
[3455.44s -> 3458.44s]  with a system that was just designed
[3458.44s -> 3463.44s]  to be a step-by-step predictor of low-level proof,
[3464.44s -> 3466.44s]  and then we made it do high-level reasoning
[3466.44s -> 3468.44s]  at this more abstract level, right,
[3468.44s -> 3472.44s]  because if you can think of these subgoals
[3472.44s -> 3476.44s]  as basically being abstractions of subproblems,
[3477.44s -> 3481.44s]  and so the LLM is able to create these abstractions.
[3482.44s -> 3485.44s]  And once you have created, made use of these abstractions,
[3486.44s -> 3489.44s]  your proof process becomes a lot simpler
[3489.44s -> 3491.44s]  because now you're able to go hierarchically.
[3493.44s -> 3495.44s]  And all of this was doable
[3495.44s -> 3498.44s]  without any substantial training.
[3499.44s -> 3503.44s]  You were just using the power of prompting.
[3505.44s -> 3508.44s]  And to me, this is a huge revelation,
[3508.44s -> 3513.44s]  the idea that you can use the power of language,
[3513.44s -> 3516.44s]  the power of all of the stored knowledge inside LLMs,
[3516.44s -> 3521.44s]  and then combine that with the sort of higher-level
[3521.44s -> 3524.44s]  algorithmics where you just put together the informal
[3524.44s -> 3526.44s]  and formal reasoning steps in various ways
[3526.44s -> 3528.44s]  and change the prompting strategy,
[3528.44s -> 3532.44s]  and you get something that is qualitatively different
[3532.44s -> 3533.44s]  in capability.
[3534.44s -> 3537.44s]  And now it turns out that the Lean feedback here
[3537.44s -> 3539.44s]  was also really important,
[3539.44s -> 3541.44s]  because at least with O3 Mini,
[3541.44s -> 3543.44s]  what we found is that there were hallucinated lemmas
[3543.44s -> 3546.44s]  and so on, and the grounding that was provided
[3546.44s -> 3549.44s]  by the Lean theorem prover
[3549.44s -> 3553.44s]  was absolutely critical to solve this problem.
[3555.44s -> 3559.44s]  So now I want to talk a little bit about different
[3560.44s -> 3562.44s]  application of the same idea.
[3562.44s -> 3565.44s]  This is in the context of formal system verification,
[3565.44s -> 3569.44s]  which is one of the most practical applications
[3569.44s -> 3572.44s]  of rigorous mathematical reasoning.
[3572.44s -> 3574.44s]  And so what you're doing in formal verification
[3574.44s -> 3576.44s]  is that you're mathematically modeling
[3576.44s -> 3580.44s]  a real-world system as a set of definitions,
[3581.44s -> 3584.44s]  and then you are modeling system properties
[3584.44s -> 3587.44s]  as theorems involving a set of definitions
[3587.44s -> 3589.44s]  and then you're proving these theorems.
[3590.44s -> 3595.44s]  These methods have led to extremely rigorous systems,
[3595.44s -> 3597.44s]  systems that are very difficult to
[3597.44s -> 3600.44s]  or almost impossible to hack.
[3600.44s -> 3602.44s]  For example, there was this time
[3602.44s -> 3607.44s]  in a program organized by the U.S. Department of Defense,
[3609.44s -> 3613.44s]  they used this formally verified Linux kernel
[3613.44s -> 3618.44s]  called SEL4, and they put this on a drone,
[3620.44s -> 3624.44s]  and then they got a red team to try to attack
[3624.44s -> 3627.44s]  this drone for a period of six weeks.
[3628.44s -> 3631.44s]  And they failed, right, because the rigor
[3631.44s -> 3634.44s]  provided by formal verification was just so much.
[3635.44s -> 3637.44s]  Now, historically, formal verification
[3637.44s -> 3640.44s]  has been extremely expensive,
[3640.44s -> 3643.44s]  and as a result, it's costs,
[3643.44s -> 3646.44s]  it's not really been widely deployed
[3646.44s -> 3648.44s]  because the costs are not justifiable
[3648.44s -> 3651.44s]  except in the most safety-critical scenarios.
[3653.44s -> 3657.44s]  However, with the rise of AI, especially AI for math,
[3657.44s -> 3661.44s]  the cost-benefit equation changes quite drastically.
[3662.44s -> 3667.44s]  And now you can imagine doing not only proof-of-the-art
[3667.44s -> 3670.44s]  but proofs of real-world systems of,
[3670.44s -> 3672.44s]  for example, correctness, security, performance,
[3672.44s -> 3677.44s]  and so on using this growing generation of AI tools.
[3679.44s -> 3681.44s]  So here I'm going to show you
[3681.44s -> 3685.44s]  a basic example of this idea.
[3685.44s -> 3688.44s]  This can be scaled up substantially
[3688.44s -> 3692.44s]  with more powerful models and more compute.
[3693.44s -> 3695.44s]  But here, what we are going to do
[3695.44s -> 3699.44s]  is to give you a very, very basic compiler
[3699.44s -> 3703.44s]  and then show how to formally verify its correctness.
[3704.44s -> 3706.44s]  Now, this is so simple, the compiler,
[3706.44s -> 3710.44s]  that it's almost a joke, but trust me,
[3711.44s -> 3714.44s]  when you go to more advanced compiler design,
[3714.44s -> 3715.44s]  the fundamentals don't change.
[3715.44s -> 3718.44s]  It's really the same thing.
[3718.44s -> 3719.44s]  The fundamentals don't change.
[3719.44s -> 3722.44s]  It's really the same sort of idea.
[3722.44s -> 3725.44s]  It's just that there is more complexity.
[3727.44s -> 3730.44s]  Now, okay, to do compiler verification,
[3730.44s -> 3732.44s]  you would need the following pieces.
[3732.44s -> 3735.44s]  So first of all, you would need to have
[3735.44s -> 3738.44s]  a notion of language,
[3738.44s -> 3742.44s]  and the language consists of a syntax and a semantic.
[3742.44s -> 3747.44s]  So syntax is a grammar that defines the form of the program.
[3748.44s -> 3750.44s]  And then semantics are the rules
[3750.44s -> 3753.44s]  that define the executions of programs.
[3753.44s -> 3755.44s]  And then a compiler is basically a set of rules
[3755.44s -> 3758.44s]  that translate programs from one language to another.
[3758.44s -> 3761.44s]  And then verifications is that you prove
[3761.44s -> 3764.44s]  that the rules preserve semantics.
[3766.44s -> 3768.44s]  So here we are going to talk about
[3768.44s -> 3771.44s]  a very basic expression language
[3771.44s -> 3776.44s]  in which you are allowed to do addition and multiplication.
[3776.44s -> 3778.44s]  So this is just basic arithmetic expressions.
[3778.44s -> 3781.44s]  And the syntax that you see over here,
[3781.44s -> 3784.44s]  this is in a language called Coq.
[3784.44s -> 3788.44s]  And here, it looks a lot like Lean.
[3788.44s -> 3790.44s]  It's a similar, you know,
[3790.44s -> 3794.44s]  dependently typed functional programming language.
[3794.44s -> 3796.44s]  And so what you're doing over here
[3796.44s -> 3798.44s]  is that you're defining this binary operator.
[3798.44s -> 3800.44s]  This can be either plus or times.
[3800.44s -> 3802.44s]  You're defining this notion of an expression.
[3803.44s -> 3806.44s]  And this is saying that it can be either a constant
[3806.44s -> 3809.44s]  or a binary operation.
[3809.44s -> 3812.44s]  And then there are some rules that tell you,
[3812.44s -> 3818.44s]  you know, how to actually evaluate these expressions.
[3818.44s -> 3820.44s]  You know, if you're given an expression,
[3820.44s -> 3823.44s]  what will be the result when you evaluate it?
[3823.44s -> 3825.44s]  And I'm not going to go into the rules in detail.
[3825.44s -> 3828.44s]  I'll share the slides, and if you're interested,
[3828.44s -> 3835.44s]  you can, well, you can look up many resources on the web.
[3835.44s -> 3839.44s]  But also, I'm happy to answer questions over email offline.
[3842.44s -> 3844.44s]  Or actually, after this talk.
[3844.44s -> 3846.44s]  Okay, so then you define the source language.
[3846.44s -> 3849.44s]  So here, what you see is that you can define,
[3849.44s -> 3852.44s]  you know, the rules that we saw previously.
[3852.44s -> 3855.44s]  They allow you to define the semantics
[3855.44s -> 3857.44s]  of quite complex expressions.
[3857.44s -> 3859.44s]  So here, what you're seeing is that, you know,
[3859.44s -> 3861.44s]  you have a const 2.
[3861.44s -> 3865.44s]  So an expression can be a constant or a binary operation
[3865.44s -> 3867.44s]  or the result of a binary operation.
[3867.44s -> 3869.44s]  And you see that, you know, this is the result
[3869.44s -> 3873.44s]  of applying a binary operation to two expressions, you know.
[3873.44s -> 3875.44s]  And so this is a recursive definition, really.
[3875.44s -> 3880.44s]  And then you are getting an expression as output.
[3880.44s -> 3883.44s]  So here, what you're seeing is that you are,
[3883.44s -> 3887.44s]  you can evaluate various complicated expressions
[3887.44s -> 3889.44s]  in this way.
[3889.44s -> 3892.44s]  And so now you have to define the target language, right?
[3892.44s -> 3894.44s]  So this is the, a compiler is a mapping
[3894.44s -> 3896.44s]  from a source language to a target language.
[3896.44s -> 3898.44s]  So now you have to define the target language.
[3898.44s -> 3900.44s]  And so what you did over here
[3900.44s -> 3903.44s]  is that you are defining the target language
[3903.44s -> 3906.44s]  as a list of instructions.
[3906.44s -> 3909.44s]  So a program is a list of instructions.
[3909.44s -> 3911.44s]  And an instruction is either this sort
[3911.44s -> 3915.44s]  of a constant expression or a binary operation expression.
[3915.44s -> 3917.44s]  So one way to see it
[3917.44s -> 3920.44s]  is that while the original expression
[3920.44s -> 3924.44s]  in the source language was defined in this recursive way,
[3924.44s -> 3929.44s]  in the target language,
[3929.44s -> 3931.44s]  when you are interpreting it,
[3931.44s -> 3934.44s]  you are doing it using a stack.
[3934.44s -> 3938.44s]  So this is a well-known idea in programming languages
[3938.44s -> 3942.44s]  that if you have a recursive expression,
[3942.44s -> 3944.44s]  let's say an arithmetic expression,
[3944.44s -> 3946.44s]  then the way you can execute it
[3946.44s -> 3948.44s]  is by maintaining a stack.
[3948.44s -> 3950.44s]  And you can keep pushing the current instruction
[3950.44s -> 3951.44s]  on the stack.
[3951.44s -> 3955.44s]  And you can basically do this kind of a low-level,
[3955.44s -> 3958.44s]  build up a low-level machine, a stack machine.
[3958.44s -> 3960.44s]  Actually a lot of early computers
[3960.44s -> 3961.44s]  were based on this idea.
[3961.44s -> 3965.44s]  And then the stack basically keeps pushing new things on it
[3965.44s -> 3968.44s]  and then you pop,
[3968.44s -> 3972.44s]  and then you read the value that was just popped.
[3972.44s -> 3976.44s]  So while very basic,
[3976.44s -> 3978.44s]  it still captures a lot
[3978.44s -> 3981.44s]  of important programming language concepts.
[3981.44s -> 3986.44s]  Now, the point is that I want to believe
[3986.44s -> 3989.44s]  that the mapping that I would do
[3989.44s -> 3992.44s]  between these two representations is actually correct.
[3992.44s -> 3996.44s]  But of course, first I have to define the compiler.
[3996.44s -> 3998.44s]  And so this is the compiler.
[3998.44s -> 4001.44s]  So what this says is that I am going to, you know,
[4001.44s -> 4004.44s]  take my input expression in the source language,
[4004.44s -> 4006.44s]  and then I'm going to do a pattern matching.
[4006.44s -> 4008.44s]  I'm going to consider these two cases,
[4008.44s -> 4009.44s]  either when it's a constant
[4009.44s -> 4011.44s]  or when it's a binary operation.
[4011.44s -> 4013.44s]  And in each of these cases,
[4013.44s -> 4017.44s]  I'm going to generate the target language program.
[4017.44s -> 4019.44s]  So in the target language program,
[4019.44s -> 4021.44s]  the entire sequence of instructions
[4021.44s -> 4023.44s]  is just written down as a list.
[4023.44s -> 4025.44s]  Now it's when you are executing the program
[4025.44s -> 4027.44s]  that you are maintaining a stack, right?
[4027.44s -> 4029.44s]  That's when you are doing, you know,
[4029.44s -> 4032.44s]  all of the kind of modeling the recursion.
[4032.44s -> 4035.44s]  But in the program itself,
[4035.44s -> 4037.44s]  you are just doing this kind of,
[4037.44s -> 4040.44s]  you're generating the instructions from E2,
[4040.44s -> 4041.44s]  you're generating the instructions from E1,
[4041.44s -> 4043.44s]  and then you are sticking this B,
[4043.44s -> 4044.44s]  and then you are just, you know,
[4044.44s -> 4046.44s]  building up a stack with,
[4046.44s -> 4050.44s]  or a sequence of instructions with all of this.
[4051.44s -> 4052.44s]  So for example, you know,
[4052.44s -> 4054.44s]  if you started with this expression,
[4054.44s -> 4056.44s]  you know, binup plus const two const three,
[4056.44s -> 4058.44s]  so this is, you know, two plus three,
[4058.44s -> 4060.44s]  is that's really the expression.
[4060.44s -> 4063.44s]  And so then in the lower level language,
[4063.44s -> 4066.44s]  it's going to look like this.
[4067.44s -> 4069.44s]  So then you have to define this correctness theorem,
[4069.44s -> 4072.44s]  which says that for all E in the,
[4072.44s -> 4076.44s]  so all programs, all expressions E in the source language,
[4076.44s -> 4078.44s]  upon compiling,
[4078.44s -> 4080.44s]  upon compiling this expression,
[4080.44s -> 4083.44s]  you get something that when you execute it
[4083.44s -> 4085.44s]  in the programming languages semantics,
[4085.44s -> 4088.44s]  you get the same thing as if you,
[4088.44s -> 4092.44s]  if you evaluated the original expression
[4092.44s -> 4095.44s]  in the source languages semantics, right?
[4095.44s -> 4097.44s]  So these two are the same.
[4098.44s -> 4100.44s]  Now, it turns out that
[4100.44s -> 4104.44s]  COPRA cannot prove this theorem just in one shot.
[4104.44s -> 4107.44s]  So what you do instead
[4107.44s -> 4110.44s]  is that you ask the LLM,
[4110.44s -> 4113.44s]  again, think of the IMO example that I showed.
[4113.44s -> 4115.44s]  This is quite similar.
[4115.44s -> 4118.44s]  So you ask the LLM to invent a lemma,
[4118.44s -> 4120.44s]  an intermediate goal.
[4120.44s -> 4123.44s]  So the LLM goes ahead
[4123.44s -> 4125.44s]  and thinks for a while,
[4125.44s -> 4127.44s]  and this is O one here,
[4127.44s -> 4130.44s]  and it comes up with this intermediate lemma,
[4130.44s -> 4135.44s]  which basically says that rather than trying to prove
[4135.44s -> 4139.44s]  the entire compiler correct,
[4139.44s -> 4141.44s]  what you instead do is that you just show,
[4141.44s -> 4145.44s]  you know, one step of compilation,
[4145.44s -> 4148.44s]  like for one sub-expression,
[4148.44s -> 4150.44s]  that's going to be correct.
[4152.44s -> 4155.44s]  So basically, that's the target theorem.
[4155.44s -> 4157.44s]  The auxiliary lemma is saying that
[4157.44s -> 4161.44s]  you can compile, you know, one instruction correctly first.
[4161.44s -> 4165.44s]  And so this is really just simplifying the problem,
[4165.44s -> 4167.44s]  breaking it down in a step-by-step way,
[4167.44s -> 4171.44s]  and then we ask COPRA to come up with a proof
[4171.44s -> 4173.44s]  of this one instruction,
[4173.44s -> 4175.44s]  and it's able to,
[4175.44s -> 4177.44s]  which is fantastic.
[4177.44s -> 4179.44s]  But then what we can do is,
[4179.44s -> 4181.44s]  just in the way we did previously,
[4181.44s -> 4184.44s]  we stick this back.
[4184.44s -> 4189.44s]  We take this proof, give it to the COPRA agent,
[4189.44s -> 4191.44s]  put it in the prompt, and then ask it to, you know,
[4191.44s -> 4193.44s]  prove the entire theorem correct,
[4193.44s -> 4196.44s]  and it's now able to do this.
[4198.44s -> 4204.44s]  So that's what I have on this particular topic.
[4204.44s -> 4207.44s]  In summary, I would say that mathematical discovery
[4207.44s -> 4211.44s]  with LLM agents is extremely promising.
[4211.44s -> 4215.44s]  I think that you can go a very long distance
[4215.44s -> 4219.44s]  with just, you know, in-context learning,
[4219.44s -> 4222.44s]  but you want to have the proof assistant feedback
[4222.44s -> 4224.44s]  for proper grounding.
[4224.44s -> 4226.44s]  And there is a lot of, you know,
[4226.44s -> 4228.44s]  higher-level agent design that you can do
[4228.44s -> 4232.44s]  where you can combine agents that are doing,
[4232.44s -> 4234.44s]  you know, for example, formalization
[4234.44s -> 4237.44s]  with agents that are doing hierarchical planning
[4237.44s -> 4240.44s]  with agents that are doing low-level stuff,
[4240.44s -> 4243.44s]  low-level proof generation.
[4243.44s -> 4245.44s]  And this is a very new space.
[4245.44s -> 4249.44s]  There is a lot to be done over here.
[4249.44s -> 4251.44s]  Now, you know, one question, again,
[4251.44s -> 4253.44s]  going back to something we asked previously,
[4253.44s -> 4256.44s]  can you get rid of this interaction
[4256.44s -> 4259.44s]  by just pushing the whole thing to training?
[4259.44s -> 4262.44s]  Maybe, you know, you generate a lot of training data
[4262.44s -> 4265.44s]  in this way by interaction with the prover,
[4265.44s -> 4268.44s]  and then you, you know,
[4268.44s -> 4271.44s]  just continue training the LLM with those traces,
[4271.44s -> 4274.44s]  and then at some point, the LLM just gets good enough.
[4274.44s -> 4276.44s]  We are not there yet,
[4276.44s -> 4280.44s]  but maybe this is a world that we can get to someday,
[4280.44s -> 4283.44s]  but currently we have to have
[4283.44s -> 4286.44s]  these sorts of agent architectures.
[4286.44s -> 4292.44s]  Now, there's this paper several of us recently wrote,
[4292.44s -> 4294.44s]  and you may have seen a reference
[4294.44s -> 4296.44s]  to this paper previously.
[4296.44s -> 4300.44s]  Caillou is the lead author of this,
[4300.44s -> 4304.44s]  and Don was the leader of the overall effort,
[4304.44s -> 4307.44s]  but if you are curious about this area,
[4307.44s -> 4310.44s]  you want to, you know, know more about, you know,
[4310.44s -> 4312.44s]  specific challenges, roadmaps,
[4312.44s -> 4316.44s]  then I would recommend that you go and look at this paper.
[4318.44s -> 4321.44s]  I had a few things to say about open challenges,
[4321.44s -> 4324.44s]  but I'm going to skip those in the interest of time,
[4324.44s -> 4329.44s]  and I'm going to move on to the next topic,
[4329.44s -> 4333.44s]  which is AI for scientific discovery,
[4333.44s -> 4337.44s]  because I want to emphasize
[4337.44s -> 4340.44s]  that this idea of LLM agents,
[4340.44s -> 4343.44s]  this has a lot of value in this sort of deductive mathematics,
[4343.44s -> 4346.44s]  where you are starting with a set of principles,
[4346.44s -> 4348.44s]  set of axioms, definitions,
[4348.44s -> 4351.44s]  and then you are proving statements in a step-by-step way,
[4351.44s -> 4355.44s]  but it also has tremendous potential in empirical discovery,
[4355.44s -> 4358.44s]  which is what happens in most of the natural sciences,
[4358.44s -> 4360.44s]  where you are starting with data,
[4360.44s -> 4365.44s]  and then you are trying to fit, you know,
[4365.44s -> 4370.44s]  some hypotheses or some experimental players
[4370.44s -> 4373.44s]  or some claims to this data.
[4373.44s -> 4376.44s]  Now, we'll see that this is also a place
[4376.44s -> 4378.44s]  where the abstraction abilities of LLMs
[4378.44s -> 4382.44s]  play a potentially very interesting role.
[4382.44s -> 4386.44s]  Okay, so very quickly,
[4386.44s -> 4389.44s]  this is what a natural science process looks like.
[4389.44s -> 4391.44s]  You know, you choose a research question.
[4391.44s -> 4393.44s]  You generate some hypotheses.
[4393.44s -> 4396.44s]  You do an experimental setup.
[4396.44s -> 4398.44s]  You collect some data.
[4398.44s -> 4399.44s]  You do some analysis of the data.
[4399.44s -> 4401.44s]  You interpret the data,
[4401.44s -> 4403.44s]  and then you report to the community, right?
[4403.44s -> 4409.44s]  And so just as an example of this,
[4409.44s -> 4413.44s]  you know, if you think of the world of astronomy,
[4413.44s -> 4417.44s]  back in the day, there was this problem
[4417.44s -> 4421.44s]  that was observed, which is that people believed
[4421.44s -> 4425.44s]  that the Earth was the center of the solar system,
[4425.44s -> 4430.44s]  but then some of the planets appeared to move backward,
[4430.44s -> 4433.44s]  and so this led to this creation of this new hypothesis
[4433.44s -> 4436.44s]  that, in fact, we have a heliocentric model,
[4436.44s -> 4438.44s]  and then this led to the creation,
[4438.44s -> 4440.44s]  the collection of more data.
[4440.44s -> 4443.44s]  Tycho Brahe, in particular, observed Mars
[4443.44s -> 4448.44s]  and then came up with a whole bunch of precise measurements
[4448.44s -> 4450.44s]  of the planets' positions,
[4450.44s -> 4455.44s]  and then Kepler chose to analyze this data
[4455.44s -> 4458.44s]  and then fit a wide variety of geometric shapes to this data,
[4458.44s -> 4462.44s]  and then he came up with this Kepler's third law,
[4462.44s -> 4468.44s]  and then this eventually led to Newton's law of gravitation.
[4469.44s -> 4472.44s]  So there was this process that happened in science,
[4472.44s -> 4477.44s]  which involved trading in abstractions,
[4477.44s -> 4479.44s]  you know, seeing some data,
[4479.44s -> 4482.44s]  and then coming up with this law
[4482.44s -> 4484.44s]  in terms of abstract principles,
[4484.44s -> 4487.44s]  but then, you know, further generalizing it
[4487.44s -> 4492.44s]  into a law that was even more explanatory.
[4492.44s -> 4496.44s]  So I think that LLM agents have tremendous potential
[4496.44s -> 4500.44s]  in automating a lot of pieces of this pipeline,
[4500.44s -> 4502.44s]  and in particular here, we are going to focus
[4502.44s -> 4506.44s]  on the problem of symbolic regression,
[4506.44s -> 4511.44s]  which is the task of coming up with equations
[4511.44s -> 4514.44s]  based on empirical observations.
[4514.44s -> 4518.44s]  So, for example, an instance of that would be
[4518.44s -> 4523.44s]  that if you were given these measurements of planet Mars
[4523.44s -> 4527.44s]  and then you wanted to discover Kepler's law,
[4527.44s -> 4531.44s]  how do you do that, right, from the data?
[4531.44s -> 4533.44s]  Now, one would think that LLMs
[4533.44s -> 4536.44s]  would not be a great fit for this problem
[4536.44s -> 4539.44s]  because the data is just really low-level, right?
[4539.44s -> 4542.44s]  This is just a bunch of numbers.
[4542.44s -> 4546.44s]  However, it turns out that LLMs
[4546.44s -> 4549.44s]  do have a tremendous potential over here
[4549.44s -> 4552.44s]  in the sense that they can bring in
[4552.44s -> 4555.44s]  prior scientific knowledge into the picture.
[4555.44s -> 4558.44s]  What you have to do, though, is that you have to complement
[4558.44s -> 4563.44s]  the use of LLMs with the use of other machinery
[4563.44s -> 4567.44s]  that is able to, for example, evaluate hypotheses on the data
[4567.44s -> 4573.44s]  and give you some notion of how well it performed.
[4573.44s -> 4576.44s]  So once you have that kind of a mechanism
[4576.44s -> 4579.44s]  for evaluating LLM-generated hypotheses,
[4579.44s -> 4581.44s]  you can create an agentic loop
[4581.44s -> 4585.44s]  where you have more and more feedback going to the LLM,
[4585.44s -> 4590.44s]  and then this process of hypothesis generation
[4590.44s -> 4592.44s]  is left to the LLM,
[4592.44s -> 4598.44s]  whereas hypothesis evaluation is done by some other entity.
[4598.44s -> 4600.44s]  And if you think of it, it's not fundamentally different
[4600.44s -> 4603.44s]  from the way we use Lean or the Proof Assistant
[4603.44s -> 4605.44s]  in the previous part of the lecture.
[4605.44s -> 4613.44s]  So one of the most established approaches
[4613.44s -> 4617.44s]  to symbolic regression is genetic programming,
[4617.44s -> 4619.44s]  and here are some visualizations
[4619.44s -> 4621.44s]  from a system called PISAR,
[4621.44s -> 4624.44s]  which is quite popular in this space,
[4624.44s -> 4627.44s]  and so what's going on here is that you have
[4627.44s -> 4630.44s]  a pool of candidate expressions,
[4630.44s -> 4632.44s]  candidate equations being maintained,
[4632.44s -> 4635.44s]  and then you have mutation
[4635.44s -> 4638.44s]  and crossover operations being applied to those,
[4638.44s -> 4642.44s]  and then you are generating,
[4642.44s -> 4645.44s]  you're updating this pool of expressions
[4645.44s -> 4648.44s]  using feedback from a separate machinery
[4648.44s -> 4650.44s]  that is evaluating these expressions
[4650.44s -> 4653.44s]  and telling you how good is the loss,
[4653.44s -> 4656.44s]  how well does this match the reality
[4656.44s -> 4660.44s]  that is there in the data.
[4661.44s -> 4665.44s]  So this has had a lot of impact.
[4665.44s -> 4667.44s]  There are applications in physics
[4667.44s -> 4670.44s]  and other areas as well,
[4670.44s -> 4673.44s]  and so here are some example papers.
[4675.44s -> 4678.44s]  So one thing that's interesting
[4678.44s -> 4680.44s]  is that if you just imagine
[4680.44s -> 4686.44s]  how does this process of genetic programming go on,
[4686.44s -> 4689.44s]  so there is this pool of expressions
[4689.44s -> 4691.44s]  that is being evolved,
[4691.44s -> 4695.44s]  and so what you see is that there are these islands
[4695.44s -> 4698.44s]  of expressions, so these clusters,
[4698.44s -> 4702.44s]  which contain expressions that are of,
[4702.44s -> 4705.44s]  that have something in common between them.
[4706.44s -> 4711.44s]  So the, one way to think about
[4711.44s -> 4714.44s]  how LLMs are relevant is that these clusters
[4714.44s -> 4716.44s]  or islands of expressions,
[4716.44s -> 4718.44s]  these capture various kinds of,
[4718.44s -> 4720.44s]  various classes of functions.
[4720.44s -> 4722.44s]  So for example, in this red one over here,
[4722.44s -> 4725.44s]  you may have exponential functions.
[4725.44s -> 4728.44s]  In this case, you may have trigonometric functions
[4728.44s -> 4731.44s]  where you have the cosines,
[4731.44s -> 4734.44s]  and so one way to imagine this
[4734.44s -> 4739.44s]  is that an LLM looking at these expressions
[4739.44s -> 4741.44s]  because LLMs are good at coding
[4741.44s -> 4743.44s]  and associating code with natural language
[4743.44s -> 4745.44s]  could perhaps come up with some explanation
[4745.44s -> 4748.44s]  of what this piece of code,
[4748.44s -> 4750.44s]  this expression is actually doing, right,
[4750.44s -> 4752.44s]  and that's the idea of abstraction
[4752.44s -> 4754.44s]  that we are going to use.
[4754.44s -> 4759.44s]  Okay, so this paper was at NeurIPS last year
[4759.44s -> 4761.44s]  and co-led by Arya Graili,
[4761.44s -> 4763.44s]  who was an undergrad at UT,
[4763.44s -> 4767.44s]  and Atharva Sehgal, who's a PhD student at UT,
[4767.44s -> 4772.44s]  and so the starting point here
[4772.44s -> 4774.44s]  is that we want to do this kind of concept
[4774.44s -> 4779.44s]  abstraction, and so what we want to be able to do
[4779.44s -> 4784.44s]  is that we want to look at these variety of laws,
[4784.44s -> 4787.44s]  which come from very different contexts,
[4787.44s -> 4790.44s]  but then we should be able to look at this
[4790.44s -> 4792.44s]  and kind of tell that what's going on here
[4792.44s -> 4798.44s]  is that you have this power law thing going on, right,
[4798.44s -> 4801.44s]  and so the other thing we want to do
[4801.44s -> 4804.44s]  is that we want to use background knowledge
[4804.44s -> 4806.44s]  that was created by a physicist
[4806.44s -> 4810.44s]  or that's there inside an LLM.
[4810.44s -> 4812.44s]  So, for example, here you have, you know,
[4812.44s -> 4816.44s]  an LLM concept that has been produced,
[4816.44s -> 4817.44s]  which is that, you know,
[4817.44s -> 4819.44s]  wave strain diminishes as distance increases.
[4819.44s -> 4821.44s]  This is the, let's say, property of,
[4821.44s -> 4824.44s]  you know, the black holes,
[4824.44s -> 4828.44s]  and so you want to be able to associate
[4828.44s -> 4831.44s]  this kind of information.
[4831.44s -> 4834.44s]  You know, this is a piece of common sense knowledge
[4834.44s -> 4836.44s]  to equations,
[4836.44s -> 4840.44s]  so this equation, for example, satisfies these properties,
[4840.44s -> 4844.44s]  but this is, you want to create a mapping
[4844.44s -> 4846.44s]  between these two things,
[4846.44s -> 4847.44s]  because, you know, if you imagine
[4847.44s -> 4849.44s]  how the scientific process is ongoing,
[4849.44s -> 4850.44s]  so let's say you have an AI
[4850.44s -> 4852.44s]  that is predicting equations based on data.
[4852.44s -> 4854.44s]  You also want it to be conditioned
[4854.44s -> 4856.44s]  on this sort of high-level knowledge
[4856.44s -> 4860.44s]  that is being given by a human expert, right?
[4860.44s -> 4865.44s]  And so you want to have this association between code,
[4865.44s -> 4868.44s]  that is, these equations, and language.
[4871.44s -> 4876.44s]  So the way we set up
[4876.44s -> 4878.44s]  this symbolic regression problem
[4878.44s -> 4882.44s]  using LLMs is something like this,
[4882.44s -> 4886.44s]  that we imagine that,
[4886.44s -> 4888.44s]  and actually here, it's not just LLMs.
[4888.44s -> 4890.44s]  It's more like, you know, a combination of LLMs
[4890.44s -> 4895.44s]  and this sort of abstraction into high-level concepts,
[4895.44s -> 4898.44s]  and so we imagine that there is this universe
[4898.44s -> 4899.44s]  of high-level concepts.
[4899.44s -> 4900.44s]  So, for example, you know,
[4900.44s -> 4902.44s]  wave strain diminishes as distance increases,
[4902.44s -> 4905.44s]  or power loss, or sinusoidal functions.
[4905.44s -> 4907.44s]  These are sort of high-level ideas
[4907.44s -> 4909.44s]  that we have in our head,
[4909.44s -> 4911.44s]  and there is a notion of a data set
[4911.44s -> 4914.44s]  which is the concrete data that you want to fit,
