# Detected language: en (p=1.00)

[0.00s -> 6.34s]  So, we'll get started.
[2391.60s -> 2394.40s]  the rule of thumb, you're probably like the factor?
[2394.44s -> 2395.70s]  That's right, yeah, so you know,
[2395.74s -> 2397.80s]  you can think of this as roughly,
[2397.84s -> 2401.08s]  you know, they have 16 normally-sized experts.
[2401.10s -> 2403.20s]  And so they're of course having more parameters
[2403.22s -> 2405.02s]  than the density equivalent.
[2405.06s -> 2408.86s]  They have six routed, so they have eight total
[2408.90s -> 2411.80s]  active experts at any time, each that are quarter-sized.
[2411.84s -> 2413.04s]  And so you should think of them as like
[2413.06s -> 2415.94s]  roughly double the flux, right, of a dense equivalent.
[2415.96s -> 2419.24s]  So, some arithmetic, but hopefully the math is clear
[2419.28s -> 2420.94s]  and consistent, hopefully, yes.
[2421.98s -> 2423.92s]  And like the ratio's like one to four,
[2423.94s -> 2426.84s]  are you like, okay, yeah, what do you think?
[2426.88s -> 2430.32s]  It's like, about like three to four.
[2430.36s -> 2431.76s]  So for some of the exotic ratios,
[2431.78s -> 2433.78s]  I'm not quite sure why they're that way,
[2433.82s -> 2436.02s]  but they are very precisely whole numbers
[2436.06s -> 2438.58s]  when you take the ratios between the FFNs
[2438.62s -> 2440.12s]  and the implied hyperparameters.
[2440.16s -> 2443.02s]  And so I think those are exactly the split counts
[2443.06s -> 2444.32s]  of like how much they were sliced,
[2444.36s -> 2447.56s]  but I'm not sure why they have one over 14.
[2447.60s -> 2449.70s]  I mean like, does it, do you ever like project
[2449.74s -> 2451.50s]  towards like the smaller dimensions,
[2451.54s -> 2454.50s]  because like that ratio is like the, in the MLT?
[2454.54s -> 2456.24s]  So yeah, that's what you're asking,
[2456.28s -> 2457.90s]  like do they down project, yeah, that's right.
[2457.94s -> 2459.94s]  In some of them, they are actually smaller.
[2459.98s -> 2461.44s]  I don't remember which models in particular,
[2462.16s -> 2463.00s]  but in some of them, I do remember
[2463.02s -> 2465.30s]  they were actually down project.
[2465.34s -> 2466.50s]  Yes?
[2466.54s -> 2467.56s]  What is the intuition for wanting
[2467.60s -> 2470.16s]  more than one shared expert?
[2470.20s -> 2473.00s]  Yeah, I mean, it does kind of seem like
[2473.04s -> 2475.14s]  there was a period where some of the Chinese
[2475.18s -> 2477.14s]  LM companies tried many shared experts,
[2477.18s -> 2479.94s]  and then people have come back to zero or one.
[2479.98s -> 2482.68s]  And if you look at the OMO ablations,
[2482.72s -> 2484.52s]  it's not quite clear that even one shared expert
[2484.54s -> 2486.52s]  is decisively useful.
[2486.56s -> 2489.02s]  I think the original motivation was that
[2489.04s -> 2491.84s]  then you have equally sized experts,
[2491.88s -> 2494.48s]  like these are both one quarter sized experts,
[2494.52s -> 2497.54s]  and now you have eight active experts total,
[2497.58s -> 2499.68s]  and so you can keep the sizes consistent.
[2499.72s -> 2502.58s]  Otherwise, I don't really see particular justification
[2502.62s -> 2504.22s]  for why it should be two smaller ones
[2504.26s -> 2505.46s]  versus one larger one.
[2508.26s -> 2509.26s]  Okay, cool.
[2511.36s -> 2512.66s]  So then, hopefully, you know,
[2512.70s -> 2515.40s]  you get a sense of how the routing works
[2515.44s -> 2517.60s]  for a lot of these MOEs and how it's all set up.
[2517.62s -> 2520.58s]  So a forward pass, hopefully, you fully understand.
[2520.62s -> 2522.16s]  Now we need to think about training,
[2522.20s -> 2524.72s]  and training is pretty gnarly, right?
[2524.76s -> 2527.62s]  And the major challenge I foreshadowed earlier,
[2527.66s -> 2530.86s]  when we train, we cannot turn on all the experts,
[2530.90s -> 2533.56s]  because if we do that, then we pay
[2533.60s -> 2536.20s]  the full flops cost of all of the experts.
[2536.24s -> 2538.06s]  Having a model that's like, I don't know,
[2538.10s -> 2541.50s]  256 times more expensive to train is a total no-go.
[2541.54s -> 2543.90s]  So we need train times sparsity,
[2543.94s -> 2545.30s]  but sparse gaining decisions
[2545.34s -> 2547.24s]  are obviously not differentiable.
[2547.24s -> 2550.46s]  We now have a kind of annoying RL-ish problem.
[2550.48s -> 2552.36s]  And so we could do any of these things,
[2552.38s -> 2554.52s]  like RL to optimize gaining policies,
[2554.56s -> 2556.66s]  we could do bandit-inspired things
[2556.70s -> 2560.20s]  of doing randomization to do exploration,
[2560.22s -> 2562.46s]  or we can just have some heuristics
[2562.50s -> 2564.24s]  that try to balance things out, right?
[2564.26s -> 2565.74s]  Like, put some loss terms in there
[2565.76s -> 2567.00s]  and hope things work out.
[2568.18s -> 2569.78s]  Having gone through deep learning,
[2569.80s -> 2572.48s]  classes of many kinds, you can kind of guess internally
[2572.50s -> 2574.44s]  which one people use in practice,
[2574.44s -> 2577.78s]  and I'll talk about each one of these three in turn.
[2579.78s -> 2583.52s]  Okay, so RL, I think, is one of the earliest things
[2583.56s -> 2585.80s]  that people tried, it's probably the most
[2585.82s -> 2587.86s]  principle thing that you can do in this space, right?
[2587.90s -> 2591.30s]  You have a non-differentiable routing decision,
[2591.34s -> 2593.34s]  well, think of that as a policy,
[2593.36s -> 2595.90s]  throw RL at it, and then solve the problem.
[2597.14s -> 2599.80s]  Unfortunately, it's not better
[2599.84s -> 2602.74s]  than a lot of the other things that you can do.
[2602.74s -> 2605.88s]  There is a paper by Clark et al. in 2020
[2605.92s -> 2609.08s]  who were exploring various scaling-related questions
[2609.12s -> 2613.56s]  in MOEs, and they do have an RL baseline
[2613.58s -> 2616.56s]  that I was able to dig up, but unfortunately,
[2616.60s -> 2618.80s]  it's not really that much better
[2618.82s -> 2621.06s]  than, say, using hashing for decisions,
[2621.10s -> 2623.54s]  and they were really interested in benchmarking
[2623.56s -> 2624.84s]  this thing on the left called SBase,
[2624.86s -> 2627.16s]  which is like a linear assignment kind of a method,
[2627.20s -> 2630.84s]  and that thing handily beats doing RL.
[2630.84s -> 2634.02s]  And I think in practice, the gradient variances
[2634.04s -> 2637.02s]  and complexity means that it's pretty finicky to use,
[2637.04s -> 2640.68s]  and no one at scale has really used
[2640.72s -> 2644.18s]  an RL-based approach to optimize these gating decisions,
[2644.22s -> 2645.62s]  as far as I know.
[2646.96s -> 2650.20s]  A thing that has been done much more at scale
[2650.22s -> 2653.30s]  is stochastic approximations of various kinds.
[2654.46s -> 2657.60s]  So what they might do is they might add
[2657.64s -> 2660.08s]  a bit of perturbations.
[2660.58s -> 2664.68s]  So here is an example of one from Shazir in 2017.
[2664.72s -> 2667.76s]  This is one of the early MOE papers,
[2667.78s -> 2670.62s]  where they're still gonna do kind of top K routing,
[2670.66s -> 2672.32s]  so they're gonna keep the top K elements
[2672.36s -> 2676.06s]  of this H of X operation, and they're gonna softmax that
[2676.10s -> 2678.84s]  to get the gate, but what we're going to do
[2678.86s -> 2682.50s]  to get this H of X operation is kind of the following.
[2682.54s -> 2684.68s]  So what we're gonna do is we're gonna have
[2684.70s -> 2687.34s]  our original sort of linear affinity.
[2687.38s -> 2689.90s]  This is identical to what we were doing before.
[2690.76s -> 2692.86s]  We were basically just computing our inputs, X,
[2692.90s -> 2695.76s]  and a sort of learned weight for each gate,
[2695.80s -> 2697.20s]  and so this part's the same,
[2697.24s -> 2699.38s]  but I'm actually now gonna jitter it a little bit.
[2699.40s -> 2702.34s]  I'm gonna add a normal, and then I'm gonna pick
[2702.38s -> 2706.52s]  sort of a W noise scale that's learned,
[2706.54s -> 2707.72s]  and this thing is gonna control
[2707.74s -> 2710.62s]  how much noise to inject into this process,
[2710.64s -> 2711.58s]  and you kind of think of this
[2711.62s -> 2714.16s]  as a stochastic exploration policy,
[2714.18s -> 2716.62s]  and by manipulating W noise in particular ways,
[2716.66s -> 2719.30s]  like sort of annealing it down or doing various things,
[2719.96s -> 2723.16s]  I can control the exploration, exploitation, trade-offs
[2723.20s -> 2724.96s]  that this MOE is gonna have, right?
[2725.00s -> 2727.46s]  And so this is gonna give you one solution
[2727.50s -> 2729.66s]  to the explore-exploit dilemma,
[2730.90s -> 2732.80s]  and especially if you're noising things up,
[2732.84s -> 2736.00s]  each expert might randomly get some other tokens
[2736.04s -> 2737.34s]  that it wasn't expecting to get,
[2737.38s -> 2739.68s]  so it'll lead to experts that are less specialized,
[2739.72s -> 2741.52s]  but maybe a little bit more robust,
[2742.68s -> 2745.86s]  and so that seems generally quite nice.
[2745.88s -> 2747.68s]  Of course, the stochasticity also means
[2747.70s -> 2750.10s]  that you don't get as much specialization,
[2750.14s -> 2752.00s]  and that leads to loss of efficiency.
[2754.18s -> 2757.34s]  And there's another approach that people have done
[2757.38s -> 2760.74s]  where they sort of multiply the router logits,
[2760.78s -> 2764.38s]  or sorry, they have a multiplicative perturbation
[2764.42s -> 2767.76s]  to the router logits with the goal
[2767.78s -> 2769.36s]  of getting less brittle experts,
[2769.38s -> 2772.62s]  but this sort of jitter process was kind of removed
[2772.66s -> 2774.12s]  in some of the later papers
[2774.16s -> 2776.30s]  because they found it just didn't work as well
[2776.32s -> 2778.62s]  as some of the heuristic loss-based approaches.
[2778.66s -> 2781.16s]  And so this wasn't a push that was tried in a couple.
[2781.20s -> 2783.10s]  This kind of stochastic routing tricks
[2783.12s -> 2786.70s]  were tried in a couple of the early Google papers,
[2786.72s -> 2789.24s]  but I think that has generally been abandoned
[2789.26s -> 2791.64s]  by a lot of the people training these MOEs.
[2793.20s -> 2795.70s]  Okay, so, yes?
[2795.74s -> 2799.24s]  For the stochastic, what problem does that solve?
[2799.28s -> 2800.68s]  Because we're still taking the top dates,
[2800.72s -> 2803.04s]  and we still can't differentiate afterwards, right?
[2803.08s -> 2805.18s]  Well, if you think of this, so the question was,
[2805.20s -> 2807.66s]  we still can't differentiate because we're taking the top K,
[2807.70s -> 2810.40s]  but if you kind of change your interpretation
[2810.44s -> 2812.44s]  of the problem a little bit,
[2812.48s -> 2814.30s]  if you think about a bandit problem, right,
[2814.34s -> 2815.84s]  it has the same structure as this,
[2815.88s -> 2817.44s]  where you pull a bandit arm
[2817.48s -> 2818.94s]  and you don't see any of the other arms,
[2818.98s -> 2821.92s]  so you can't really allocate your resources efficiently.
[2821.94s -> 2824.32s]  If you pull some of the other ones at random,
[2824.36s -> 2825.42s]  now you've got enough data
[2825.46s -> 2827.28s]  to be able to do some optimization.
[2827.32s -> 2829.92s]  And so this jittering is very similar in spirit
[2829.96s -> 2832.16s]  to this kind of like epsilon greedy style
[2832.20s -> 2834.66s]  exploration thing, where you're randomly pulling
[2834.68s -> 2836.68s]  some of the other arms with some probability,
[2836.72s -> 2838.76s]  where the probability itself depends on
[2838.78s -> 2841.68s]  how confident you are about this routing decision.
[2841.72s -> 2843.48s]  So, that's kind of the intuition,
[2843.52s -> 2846.56s]  and then of course, that's gonna give you
[2846.58s -> 2848.76s]  some way of getting some signal back.
[2850.00s -> 2850.82s]  Okay.
[2852.20s -> 2856.26s]  So, the thing that in practice,
[2856.30s -> 2858.96s]  people have ended up with is,
[2859.00s -> 2861.70s]  we don't do any of that, we don't do RL,
[2861.74s -> 2864.14s]  we don't do stochastic exploration,
[2864.16s -> 2866.72s]  but we rely on really another mechanism
[2866.76s -> 2868.96s]  to sort of keep things reasonable.
[2869.00s -> 2870.96s]  So, if we're doing top two routing,
[2871.00s -> 2873.06s]  technically speaking, we do get some signal
[2873.10s -> 2874.34s]  in the gradient descent process,
[2874.36s -> 2876.84s]  because we can compare the top two experts
[2876.86s -> 2878.50s]  that we did evaluate.
[2878.54s -> 2881.64s]  And so it's possible to do some optimization,
[2881.68s -> 2883.44s]  but when we do ignore,
[2883.48s -> 2886.34s]  if we drop all the other constraints,
[2886.38s -> 2889.04s]  the big issue that arises is you just end up
[2889.08s -> 2890.94s]  sort of picking one expert all the time,
[2890.98s -> 2892.48s]  and that expert is good at everything,
[2892.52s -> 2893.98s]  and all the other experts are terrible.
[2894.02s -> 2895.66s]  You end up in this local minimum
[2895.70s -> 2897.26s]  where you've routed all of your tokens
[2897.30s -> 2898.96s]  to one expert all the time.
[2899.00s -> 2901.56s]  So, really the key gain becomes then,
[2901.60s -> 2903.80s]  how do we get out of that local minimum?
[2903.84s -> 2907.14s]  And loss balancing, or like balancing losses,
[2907.18s -> 2909.34s]  is really the key trick to get out of this.
[2909.38s -> 2911.58s]  And this is kind of important to understand,
[2911.60s -> 2913.50s]  because this is the loss that mostly
[2913.54s -> 2916.72s]  everyone actually uses to train the MOEs, right?
[2916.74s -> 2918.92s]  So, if you were zoning out earlier,
[2918.94s -> 2920.78s]  you probably should make sure to pay attention
[2920.82s -> 2922.92s]  to this particular set of equations here.
[2924.06s -> 2927.76s]  So, this is originally from the switch transformer
[2927.78s -> 2931.90s]  from Fedecet on 2022, and they add this particular loss
[2931.92s -> 2934.66s]  where what they're going to do is they're gonna loop
[2934.70s -> 2936.64s]  all over each of the experts,
[2936.66s -> 2938.94s]  and they're gonna take, you could think of this
[2938.96s -> 2940.90s]  as an inner product between the vector F
[2940.94s -> 2942.48s]  and the vector P.
[2942.50s -> 2943.64s]  And so what are these vectors?
[2943.68s -> 2947.14s]  Well, F is for each of the experts,
[2947.18s -> 2949.14s]  this is the fraction of the tokens
[2949.18s -> 2950.92s]  that were allocated to expert I.
[2950.94s -> 2953.52s]  So, you can think of this as kind of a probability vector
[2954.10s -> 2956.62s]  that's telling me what fraction of my tokens in my batch,
[2956.66s -> 2959.86s]  or in my whatever the unit is here,
[2959.90s -> 2962.96s]  did I route to expert I.
[2963.00s -> 2967.84s]  Now, P of I is the fraction of the router probability
[2967.88s -> 2969.64s]  that was allocated to expert I.
[2969.68s -> 2973.84s]  So, the router probability is kind of the original
[2973.88s -> 2976.58s]  sort of softmaxed routing decision
[2976.62s -> 2978.52s]  that I was sort of intending to send, right?
[2978.54s -> 2980.46s]  So, this is kind of measuring P of I
[2980.48s -> 2983.22s]  is what was sort of the intended probability
[2983.96s -> 2986.20s]  from the router, and then F of I was,
[2986.22s -> 2988.42s]  well, was the actual sort of like,
[2988.46s -> 2993.06s]  was the actual routing decision made by the top K method.
[2993.10s -> 2996.14s]  And one thing that's kind of interesting to look at here
[2996.16s -> 2998.80s]  is let's say we take the derivative of that loss
[2998.84s -> 3000.98s]  with respect to P of I.
[3001.00s -> 3005.38s]  So, this is a linear function with respect to P of I,
[3005.42s -> 3009.28s]  and you'll see that the strongest down-weighting action
[3009.32s -> 3011.48s]  happens on the sort of biggest,
[3011.48s -> 3013.38s]  experts with the biggest allocations, right?
[3013.42s -> 3015.72s]  So, it's actually in fact proportional
[3015.76s -> 3018.28s]  to the amount of tokens that you get.
[3018.32s -> 3021.12s]  So, you're gonna be pushed downwards
[3021.16s -> 3024.66s]  sort of more strongly if you got more tokens.
[3024.70s -> 3027.76s]  And so, this is kind of the basic behavior of this loss,
[3027.80s -> 3031.66s]  and almost everybody uses this kind of F dot P
[3031.70s -> 3034.90s]  kind of a trick to try to balance tokens
[3034.94s -> 3036.18s]  across different units.
[3036.20s -> 3038.94s]  So, the basic unit that you might wanna balance over
[3038.98s -> 3040.44s]  initially is batches.
[3040.44s -> 3043.00s]  You want each batch to get allocated evenly to experts,
[3043.04s -> 3046.24s]  but you might actually have other kinds
[3046.28s -> 3048.82s]  of balancing that you might wanna do.
[3048.84s -> 3051.38s]  And DeepSeq does exactly this kind of thing.
[3051.42s -> 3053.18s]  I'll talk about all the variants that they've thrown in,
[3053.22s -> 3056.12s]  but the first thing is per expert balancing per batch.
[3056.16s -> 3058.42s]  So, each batch, they wanna make sure experts
[3058.46s -> 3059.76s]  get an even number of tokens.
[3059.78s -> 3061.92s]  And this is from the DeepSeq paper,
[3061.96s -> 3064.26s]  and hopefully this looks very familiar to you.
[3064.30s -> 3068.26s]  This is exactly the same F dot P inner product structure
[3068.30s -> 3069.66s]  as you saw before.
[3070.08s -> 3071.46s]  The P of I is defined a little bit differently.
[3071.48s -> 3072.92s]  That's S of I of P,
[3072.96s -> 3075.12s]  but that should be familiar from earlier as well.
[3075.16s -> 3077.70s]  That's the softmax pre-top K.
[3077.72s -> 3081.54s]  So, hopefully this looks all pretty good to you.
[3081.56s -> 3082.86s]  The other thing you might want, though,
[3082.90s -> 3085.20s]  is you might wanna balance across experts.
[3085.24s -> 3086.50s]  That's all well and good,
[3086.54s -> 3088.20s]  but you might also want to think
[3088.24s -> 3090.00s]  about the system's concerns,
[3090.04s -> 3091.38s]  because you're gonna shard your experts
[3091.40s -> 3093.04s]  onto different devices,
[3093.08s -> 3095.78s]  and you might wanna balance per device.
[3095.82s -> 3097.52s]  And so, you might have another loss
[3097.54s -> 3099.84s]  that's essentially the same structure,
[3099.88s -> 3103.58s]  but instead of summing which tokens go to which experts,
[3103.62s -> 3106.68s]  you might measure which tokens go to which devices.
[3106.72s -> 3108.28s]  And that's gonna be a different F
[3108.32s -> 3110.38s]  that's measured over the device groups
[3110.42s -> 3112.62s]  rather than over each expert.
[3112.66s -> 3115.02s]  And so, now you can set up a different loss
[3115.06s -> 3116.82s]  to balance over devices.
[3116.86s -> 3118.10s]  You optimize this.
[3118.12s -> 3120.40s]  You're naturally gonna try to learn routing functions
[3120.44s -> 3124.74s]  that make sure each GPU or each TPU, what have you,
[3124.76s -> 3126.08s]  have an even number of tokens,
[3126.10s -> 3127.80s]  to link the even utilization, right?
[3127.84s -> 3130.94s]  And that would be great from a systems perspective.
[3130.98s -> 3134.90s]  So, basically everyone does kind of this kind of a thing.
[3136.68s -> 3140.88s]  And so, DeepSeq v3 actually kind of innovates a little bit.
[3140.92s -> 3142.28s]  This is kind of cool,
[3142.32s -> 3143.68s]  and I don't think I've seen this before.
[3143.72s -> 3146.72s]  It's one of the first things in the MOE world
[3146.76s -> 3148.96s]  that doesn't actually come from Google, really,
[3148.98s -> 3151.46s]  which is that they have gotten rid
[3151.50s -> 3154.46s]  of this per expert balancing term.
[3154.48s -> 3156.94s]  They've gotten rid of this entirely.
[3156.98s -> 3158.92s]  And instead, what they now do
[3158.94s -> 3161.88s]  is they basically take their softmax scores
[3161.92s -> 3164.66s]  and they add a little fudge factor B of I,
[3164.68s -> 3166.96s]  where B of I is a little fudge factor score
[3166.98s -> 3168.36s]  for each expert, right?
[3168.38s -> 3171.66s]  So, expert I might get up-weighted or down-weighted.
[3171.70s -> 3174.80s]  So, if an expert isn't getting enough tokens,
[3174.82s -> 3178.16s]  it's gonna be given a higher B of I,
[3178.20s -> 3181.40s]  and then that's gonna allow it to grab more tokens.
[3181.42s -> 3188.02s]  And the way that this works is that they're gonna learn B of I
[3188.06s -> 3190.52s]  through a really simple online gradient scheme,
[3190.56s -> 3191.52s]  online learning.
[3191.56s -> 3194.26s]  And so, they're gonna measure at each batch,
[3194.30s -> 3195.76s]  what are each of the experts getting?
[3195.80s -> 3198.46s]  Like, are they getting an even number of tokens?
[3198.50s -> 3200.14s]  And if they're not getting enough tokens,
[3200.16s -> 3202.14s]  they add sort of gamma, some learning rate,
[3202.16s -> 3204.30s]  to B of I, sort of making it higher.
[3204.34s -> 3206.30s]  If they're getting too many tokens,
[3206.34s -> 3207.74s]  they're gonna subtract gamma,
[3207.78s -> 3210.04s]  making that expert slightly less attractive, right?
[3210.04s -> 3211.82s]  So, they're just learning little offsets
[3211.86s -> 3213.36s]  for each of the S of I's.
[3213.38s -> 3215.92s]  And notice here, you're only using the B of I's
[3215.96s -> 3217.22s]  to make the routing decisions.
[3217.26s -> 3218.90s]  You're not actually sending it over
[3218.92s -> 3220.72s]  as part of your gating weights, right?
[3220.76s -> 3223.36s]  That's a sort of somewhat important thing to do.
[3223.40s -> 3225.74s]  So, they call this auxiliary loss-free balancing.
[3225.76s -> 3227.84s]  If you go and read the DeepSeek V3 paper,
[3227.86s -> 3228.70s]  which all of you should,
[3228.74s -> 3231.28s]  because it's a really nice paper,
[3231.30s -> 3233.14s]  they'll make a big deal about how this makes training
[3233.18s -> 3237.14s]  so stable, so great, so wonderful.
[3237.18s -> 3238.98s]  And then, of course, you keep reading the section,
[3238.98s -> 3240.12s]  and they're like, actually,
[3240.16s -> 3242.32s]  but we decided that for each sequence,
[3242.36s -> 3243.82s]  maybe we still wanna be balanced,
[3243.86s -> 3244.92s]  and this doesn't work well enough,
[3244.96s -> 3247.40s]  so we've added the heuristic loss back.
[3247.42s -> 3249.10s]  So, they do have something called
[3249.12s -> 3251.90s]  the complementary sequence-wise auxiliary loss
[3251.94s -> 3255.16s]  that is basically exactly the auxiliary loss
[3255.20s -> 3256.68s]  that they decided they needed,
[3256.70s -> 3257.90s]  because what they wanted to do
[3257.94s -> 3261.98s]  was to load balance the experts
[3262.00s -> 3263.64s]  at a per-sequence level
[3263.68s -> 3265.34s]  rather than a per-batch level.
[3265.38s -> 3267.48s]  I'm not sure why they do this particular thing
[3267.52s -> 3271.72s]  rather than any other sort of B of I style trick,
[3271.76s -> 3275.12s]  but that's just kind of what they do in DeepSeek V3.
[3275.16s -> 3277.16s]  So, it's not fully auxiliary loss-free
[3277.20s -> 3279.36s]  as they'd like you to believe.
[3279.40s -> 3281.96s]  Okay, oh, yes, question.
[3282.00s -> 3283.86s]  This is a bit of an unfair question,
[3283.90s -> 3285.64s]  but if we did not have to worry
[3285.66s -> 3287.50s]  about systems optimizations,
[3287.54s -> 3289.00s]  do you think the performance of this model
[3289.04s -> 3290.24s]  would be a lot better,
[3290.28s -> 3292.54s]  or would it stay roughly the same?
[3292.58s -> 3294.64s]  If we did not think about systems optimization,
[3294.68s -> 3296.22s]  would the performance of this model
[3296.22s -> 3298.06s]  be better or stay the same?
[3298.08s -> 3300.10s]  When you say this model, what do you mean, DeepSeek V3?
[3300.12s -> 3303.10s]  Or just in general, these modern MOEs?
[3303.12s -> 3306.56s]  So, are you saying if we ignore the system's concerns,
[3307.74s -> 3309.74s]  do we think MOEs are still good?
[3309.76s -> 3312.50s]  Is that kind of one way of asking that question?
[3312.54s -> 3315.00s]  Would the performance of downstream class, for example,
[3315.04s -> 3317.44s]  be better than what we have right now?
[3317.48s -> 3319.74s]  Yeah, so I think...
[3319.78s -> 3321.32s]  If I didn't have the balance,
[3321.34s -> 3325.28s]  I must set it roughly equal to the total survey expert,
[3325.78s -> 3327.04s]  yeah, yeah, that's right, that's right.
[3327.08s -> 3329.88s]  Well, I think actually, per expert balancing,
[3329.92s -> 3332.96s]  this term, right, this is not a systems concern.
[3332.98s -> 3334.16s]  So you still want to do this,
[3334.18s -> 3336.92s]  because if you don't do this, what you'll find,
[3336.96s -> 3338.12s]  and actually there's, you know,
[3338.16s -> 3339.60s]  I'm gonna keep referring to the old MOE paper,
[3339.62s -> 3341.20s]  because they have to have so many ablations.
[3341.22s -> 3342.70s]  They have a really nice ablation
[3342.72s -> 3344.60s]  where they get rid of exactly this.
[3344.62s -> 3348.74s]  And what they find is, basically, early on in training,
[3348.76s -> 3351.00s]  the model just picks like one or two experts,
[3351.04s -> 3352.44s]  and all the other experts are dead,
[3352.48s -> 3354.10s]  like the router never sends anything to them.
[3354.12s -> 3356.50s]  So you're just wasting memory at that point, right?
[3356.52s -> 3358.90s]  So now you've just lost performance for free.
[3358.94s -> 3361.24s]  You've effectively gotten a smaller model.
[3361.26s -> 3362.70s]  And so even if you ignore all the other
[3362.74s -> 3365.14s]  like device balancing parallelism concerns,
[3365.18s -> 3366.68s]  you've just gotten a worse model
[3366.70s -> 3369.94s]  because you didn't properly allocate your experts, right?
[3369.98s -> 3370.88s]  It's the same way as like,
[3370.92s -> 3372.38s]  you want to use all your parameters, right?
[3372.42s -> 3374.54s]  You would like to effectively use your parameters,
[3374.58s -> 3376.08s]  you want to do expert de-balancing.
[3376.12s -> 3378.08s]  What does device refer to?
[3378.12s -> 3378.98s]  Sorry, say, ah.
[3379.02s -> 3379.92s]  Device.
[3379.96s -> 3381.76s]  What does device refer to?
[3381.78s -> 3383.82s]  Yeah, actually, so normally,
[3384.54s -> 3386.02s]  this would refer to like GPU or TPU.
[3386.04s -> 3387.68s]  There is a subtlety, I'll talk about this
[3387.72s -> 3390.06s]  maybe in the very last or second to last slide.
[3390.08s -> 3392.56s]  There are more sophisticated and cool versions of this
[3392.58s -> 3393.66s]  where you try to balance things
[3393.68s -> 3395.68s]  to minimize communication costs as well.
[3395.72s -> 3398.42s]  And so there's broader notions of device,
[3398.46s -> 3400.56s]  like one rack or whatever else.
[3400.60s -> 3402.60s]  But here, it usually refers to like GPU.
[3403.74s -> 3404.70s]  Yes.
[3404.74s -> 3407.54s]  Going back to the fact that like
[3407.56s -> 3411.20s]  hashing has a lot of other things to improve performance,
[3411.24s -> 3412.60s]  like is there intuition for that?
[3412.62s -> 3417.32s]  Because that's effectively just like randomly choosing a,
[3419.40s -> 3421.56s]  like one of the few form of numbers to send it through,
[3421.60s -> 3424.04s]  right, so why does having multiple copies of that,
[3424.06s -> 3426.50s]  I guess, each of which get less data,
[3426.54s -> 3428.70s]  why does that make performance better?
[3428.74s -> 3429.84s]  Yes, the question was,
[3429.88s -> 3432.78s]  why does hashing do anything at all?
[3432.80s -> 3435.78s]  I don't have the really precise intuition for this,
[3435.80s -> 3437.54s]  but you can make arguments either two ways.
[3437.58s -> 3439.64s]  One is, even if you're hashing,
[3439.68s -> 3442.52s]  the same tokens are gonna go to the same,
[3442.54s -> 3444.34s]  the same kinds of sequences are gonna go
[3444.38s -> 3447.68s]  to the same expert every time, right?
[3447.72s -> 3449.44s]  And so each expert will still get
[3449.48s -> 3451.88s]  some deterministic subset of the inputs,
[3451.92s -> 3453.78s]  and so there's some specialization that can still occur.
[3453.82s -> 3457.02s]  It's just non-semantic, or you know, non-learned.
[3457.06s -> 3458.66s]  And if you're a distribution Zipfian,
[3458.68s -> 3461.96s]  like the word the might dominate one expert, you know.
[3462.00s -> 3463.22s]  And so you might still get actually
[3463.26s -> 3465.26s]  semantic specialization where like one expert
[3465.30s -> 3467.86s]  is effectively dominated by like very frequent things.
[3467.90s -> 3470.36s]  But like a random routing function
[3470.40s -> 3471.76s]  probably wouldn't be a good thing.
[3472.04s -> 3474.94s]  Like a pure random thing that's not dependent on input.
[3474.98s -> 3476.88s]  I would bet that that would be really terrible, yes.
[3476.92s -> 3478.82s]  I have never run or said that,
[3478.86s -> 3481.58s]  but yes, I think that would be horrible.
[3481.62s -> 3482.58s]  Good, yes.
[3482.62s -> 3484.42s]  Yeah, so for a learning LM,
[3484.46s -> 3487.42s]  like you have many layers, many transformers.
[3487.46s -> 3488.92s]  I think earlier in the lecture,
[3488.96s -> 3492.36s]  you mentioned that each expert will get its own GDE.
[3492.40s -> 3494.26s]  So like if you have like a backing map,
[3494.30s -> 3496.74s]  like 32 layers, and like 64 experts,
[3496.76s -> 3498.40s]  that's like a ball of GDEs,
[3498.44s -> 3500.60s]  or I wonder if like a couple experts
[3500.60s -> 3503.02s]  are bundled together on like a single GPU.
[3503.04s -> 3504.28s]  Is that what we need?
[3504.32s -> 3505.12s]  Yeah, so the question was like,
[3505.14s -> 3506.48s]  won't you need lots of GPUs
[3506.52s -> 3508.16s]  if you have lots of layers and lots of experts?
[3508.18s -> 3512.22s]  Yeah, if you exclusively give a GPU to a single expert,
[3512.26s -> 3514.76s]  yes, that would be kind of crazy.
[3514.80s -> 3516.06s]  But you would send a shard thing
[3516.10s -> 3519.60s]  so that each GPU would hold enough of these units
[3519.62s -> 3521.70s]  to effectively use memory, right.
[3521.74s -> 3523.44s]  The name of the game in parallelism is
[3523.46s -> 3525.04s]  you always want to use up all of your memory
[3525.06s -> 3526.50s]  because that's one of your resources, right.
[3526.54s -> 3528.90s]  You don't want to parallelize more than you have to.
[3529.80s -> 3531.78s]  Cool, okay, excellent.
[3532.74s -> 3534.58s]  Oh, okay, I did put the ablation in here, yeah.
[3534.62s -> 3536.02s]  So this is exactly what happens
[3536.04s -> 3537.32s]  to the question of what happens
[3537.34s -> 3541.16s]  if you don't do expert balancing loss.
[3541.18s -> 3543.62s]  I think the great picture to see is this bottom left one.
[3543.66s -> 3545.62s]  If you don't do load balancing,
