# Detected language: en (p=1.00)

[0.00s -> 1.74s]  Stanford University.
[2900.54s -> 2902.54s]  And so in practice what we're going to do
[2902.54s -> 2905.54s]  is we basically take that and you're going to see it
[2905.54s -> 2907.54s]  up there in the chain rule.
[2907.54s -> 2909.54s]  So the vectorized expression of gradient
[2909.54s -> 2911.54s]  with respect to x, right, this is going to have
[2911.54s -> 2915.54s]  the Jacobian here, which is this transposed value here.
[2915.54s -> 2919.54s]  So you can write it out in vectorized form.
[2920.54s -> 2922.54s]  So, well, so in this case the matrix
[2922.54s -> 2925.54s]  is going to be the same size as w, right?
[2925.54s -> 2930.54s]  So it's not actually a large matrix in this case, right?
[2933.54s -> 2936.54s]  Okay, so the way that we've been thinking about this
[2936.54s -> 2939.54s]  is like a really modularized implementation, right,
[2939.54s -> 2942.54s]  where in our computational graph, right,
[2942.54s -> 2944.54s]  we look at each node locally
[2944.54s -> 2946.54s]  and we compute the local gradients
[2946.54s -> 2947.54s]  and chain them with upstream gradients
[2947.54s -> 2949.54s]  coming down, and so you can think of this
[2949.54s -> 2952.54s]  as basically a forward and a backwards API, right?
[2952.54s -> 2956.54s]  In the forward pass we implement the, you know,
[2956.54s -> 2959.54s]  a function computing the output of this node
[2959.54s -> 2962.54s]  and then in the backwards pass we compute the gradient,
[2962.54s -> 2964.54s]  right, and so when we actually implement this in code
[2964.54s -> 2967.54s]  we're going to do this in exactly the same way.
[2967.54s -> 2972.54s]  So we can basically think about for each gate, right,
[2972.54s -> 2974.54s]  if we implement a forward function
[2974.54s -> 2976.54s]  and a backward function,
[2976.54s -> 2978.54s]  where the backward function is computing the chain rule,
[2978.54s -> 2981.54s]  then if we have our entire graph
[2981.54s -> 2985.54s]  we can just make a forward pass through the entire graph
[2985.54s -> 2988.54s]  by iterating through all the nodes in the graph,
[2988.54s -> 2989.54s]  all the gates.
[2989.54s -> 2990.54s]  Here I'm going to use the word gate
[2990.54s -> 2991.54s]  and node kind of interchangeably.
[2991.54s -> 2994.54s]  We can iterate through all of these gates
[2994.54s -> 2997.54s]  and just call forward on each of the gates, right,
[2997.54s -> 2998.54s]  and we just want to do this
[2998.54s -> 2999.54s]  in topologically sorted order
[2999.54s -> 3002.54s]  so we process all the inputs coming into a node
[3002.54s -> 3004.54s]  before we process that node.
[3005.54s -> 3006.54s]  And then going backwards,
[3006.54s -> 3008.54s]  we're just going to then go through all of the gates
[3008.54s -> 3010.54s]  in this reverse sorted order
[3010.54s -> 3014.54s]  and then call backwards on each of these gates.
[3015.54s -> 3020.54s]  Okay, and so if we look at then the implementation
[3020.54s -> 3021.54s]  for a particular gate,
[3021.54s -> 3023.54s]  so for example this multiply gate here,
[3023.54s -> 3026.54s]  we want to implement the forward pass, right,
[3026.54s -> 3028.54s]  so it gets x and y as inputs
[3028.54s -> 3031.54s]  and returns the value of z.
[3031.54s -> 3033.54s]  And then when we go backwards, right,
[3033.54s -> 3036.54s]  we get as input dz which is our upstream gradient
[3036.54s -> 3039.54s]  and we want to output the gradients
[3039.54s -> 3041.54s]  on the inputs x and y to pass down, right,
[3041.54s -> 3045.54s]  so we're going to output dx and dy.
[3045.54s -> 3048.54s]  And so in this case, in this example,
[3048.54s -> 3050.54s]  everything is back to the scalar case here.
[3050.54s -> 3054.54s]  And so if we look at this in the forward pass,
[3054.54s -> 3055.54s]  one thing that's important
[3055.54s -> 3056.54s]  is that we need to,
[3056.54s -> 3058.54s]  we should catch the values of the forward pass, right,
[3058.54s -> 3060.54s]  because we end up using this in the backward pass
[3060.54s -> 3062.54s]  a lot of the time.
[3062.54s -> 3064.54s]  So here in the forward pass,
[3064.54s -> 3067.54s]  we want to catch the values of x and y, right,
[3067.54s -> 3070.54s]  and in the backward pass, using the chain rule,
[3070.54s -> 3072.54s]  we're going to, remember,
[3072.54s -> 3073.54s]  take the value of the upstream gradient
[3073.54s -> 3076.54s]  and scale it by the value of the other branch, right,
[3076.54s -> 3078.54s]  and so we'll keep, for dx,
[3078.54s -> 3081.54s]  we'll take our value of self.y that we kept
[3081.54s -> 3084.54s]  and multiply it by dz coming down.
[3085.54s -> 3087.54s]  And same for dy.
[3087.54s -> 3091.54s]  Okay, so if you look at a lot of deep learning,
[3091.54s -> 3093.54s]  you know, frameworks and libraries,
[3093.54s -> 3095.54s]  you'll see that they exactly follow
[3095.54s -> 3097.54s]  this kind of modularization.
[3097.54s -> 3098.54s]  Right, so for example,
[3098.54s -> 3102.54s]  CAFE is a popular deep learning framework,
[3102.54s -> 3103.54s]  and you'll see,
[3103.54s -> 3105.54s]  if you go look through the CAFE source code,
[3105.54s -> 3107.54s]  you'll get to some directory that says layers,
[3107.54s -> 3111.54s]  and in layers, which are basically computational nodes,
[3111.54s -> 3113.54s]  usually layers might be slightly more,
[3113.54s -> 3115.54s]  you know, some of these more complex computational nodes
[3115.54s -> 3118.54s]  like the sigmoid that we talked about earlier,
[3118.54s -> 3121.54s]  you'll see basically just a whole list
[3121.54s -> 3124.54s]  of all different kinds of computational nodes, right?
[3124.54s -> 3125.54s]  So you might have the sigmoid,
[3125.54s -> 3126.54s]  I don't know, there might be here,
[3126.54s -> 3128.54s]  there's like a convolution is one,
[3128.54s -> 3131.54s]  there's an argmax is another layer,
[3131.54s -> 3132.54s]  you'll have all of these layers,
[3132.54s -> 3134.54s]  and if you dig into each of them,
[3134.54s -> 3136.54s]  they're just exactly implementing a forward pass
[3136.54s -> 3137.54s]  and a backward pass.
[3137.54s -> 3140.54s]  And then all of these are called
[3140.54s -> 3142.54s]  when we do forward and backward pass
[3142.54s -> 3144.54s]  through the entire network that we form.
[3144.54s -> 3147.54s]  And so our network is just basically going to be
[3147.54s -> 3149.54s]  stacking up all of these,
[3149.54s -> 3153.54s]  the different layers that we choose to use in the network.
[3153.54s -> 3156.54s]  So for example, if we look at a specific one,
[3156.54s -> 3159.54s]  in this case, a sigmoid layer,
[3159.54s -> 3161.54s]  you'll see that in the sigmoid layer, right,
[3161.54s -> 3163.54s]  we've talked about the sigmoid function,
[3163.54s -> 3166.54s]  you'll see that there's a forward pass,
[3166.54s -> 3170.54s]  which basically computes exactly the sigmoid expression,
[3170.54s -> 3172.54s]  and then a backward pass, right,
[3172.54s -> 3175.54s]  where it is taking as input something,
[3178.54s -> 3179.54s]  basically a top diff,
[3179.54s -> 3181.54s]  which is our upstream gradient in this case,
[3181.54s -> 3185.54s]  and multiplying it by a local gradient that we compute.
[3187.54s -> 3188.54s]  So in assignment one,
[3188.54s -> 3192.54s]  you'll get practice with this kind of,
[3192.54s -> 3194.54s]  this computational graph way of thinking
[3194.54s -> 3197.54s]  where you're going to be writing your SVM
[3197.54s -> 3200.54s]  and softmax losses and taking the gradients of these.
[3200.54s -> 3201.54s]  And so again, remember always,
[3201.54s -> 3203.54s]  you want to first step,
[3203.54s -> 3206.54s]  represent it as a computational graph, right,
[3206.54s -> 3208.54s]  figure out what are all the computations
[3208.54s -> 3210.54s]  that you did leading up to the output,
[3210.54s -> 3213.54s]  and then when it's time to do your backward pass,
[3213.54s -> 3215.54s]  just take the gradient with respect
[3215.54s -> 3217.54s]  to each of these intermediate variables
[3217.54s -> 3221.54s]  that you've defined in your computational graph,
[3221.54s -> 3225.54s]  and use the chain rule to link them all together.
[3226.54s -> 3229.54s]  Okay, so summary of what we've talked about so far.
[3230.54s -> 3232.54s]  When we get down to working with neural networks,
[3232.54s -> 3234.54s]  these are going to be really large and complex,
[3234.54s -> 3235.54s]  so it's going to be impractical
[3235.54s -> 3238.54s]  to write down the gradient formula by hand
[3238.54s -> 3240.54s]  for all your parameters.
[3240.54s -> 3244.54s]  So in order to get these gradients, right,
[3244.54s -> 3246.54s]  we talked about how what we should use
[3246.54s -> 3248.54s]  is backpropagation, right,
[3248.54s -> 3251.54s]  and this is kind of one of the core techniques
[3251.54s -> 3255.54s]  of neural networks is basically using backpropagation
[3257.54s -> 3258.54s]  to get your gradients, right,
[3258.54s -> 3261.54s]  and so this is a recursive application of the chain rule
[3261.54s -> 3263.54s]  where we have this computational graph,
[3263.54s -> 3265.54s]  and we start at the back and we go backwards through it
[3265.54s -> 3267.54s]  to compute the gradients with respect
[3267.54s -> 3269.54s]  to all of the intermediate variables,
[3269.54s -> 3271.54s]  which are your inputs, your parameters,
[3271.54s -> 3274.54s]  and everything else in the middle.
[3274.54s -> 3276.54s]  And we've also talked about how really
[3276.54s -> 3279.54s]  this implementation in this graph structure,
[3279.54s -> 3281.54s]  each of these nodes is really,
[3281.54s -> 3282.54s]  you can see this as implementing
[3282.54s -> 3284.54s]  a forward and backwards API, right,
[3284.54s -> 3286.54s]  and so in the forward pass,
[3286.54s -> 3288.54s]  we want to compute the results of the operation,
[3288.54s -> 3291.54s]  and we want to save any intermediate values
[3291.54s -> 3292.54s]  that we might want to use later
[3292.54s -> 3294.54s]  in our gradient computation,
[3294.54s -> 3295.54s]  and then in the backwards pass,
[3295.54s -> 3297.54s]  we apply this chain rule
[3297.54s -> 3299.54s]  and we take this upstream gradient,
[3299.54s -> 3302.54s]  we chain it, multiply it with our local gradient
[3302.54s -> 3304.54s]  to compute the gradient with respect
[3304.54s -> 3305.54s]  to the inputs of the node,
[3305.54s -> 3308.54s]  and we pass this down to the nodes
[3308.54s -> 3310.54s]  that are connected next.
[3312.54s -> 3314.54s]  Okay, so now, finally,
[3314.54s -> 3317.54s]  we're going to talk about neural networks.
[3317.54s -> 3319.54s]  So, really, you know,
[3321.54s -> 3324.54s]  neural networks, people draw a lot of analogies
[3324.54s -> 3326.54s]  between neural networks and the brain
[3326.54s -> 3328.54s]  and different types of biological inspirations,
[3328.54s -> 3330.54s]  and we'll get to that in a little bit,
[3330.54s -> 3332.54s]  but first, let's talk about it,
[3332.54s -> 3334.54s]  you know, just looking at it as a function,
[3334.54s -> 3338.54s]  as a class of functions without all the brain stuff.
[3338.54s -> 3340.54s]  So, so far, we've talked about,
[3340.54s -> 3341.54s]  you know, we've worked a lot
[3341.54s -> 3343.54s]  with this linear score function, right,
[3343.54s -> 3345.54s]  f equals w times x,
[3345.54s -> 3347.54s]  and so we've been using this as a running example
[3347.54s -> 3351.54s]  of a function that we want to optimize.
[3351.54s -> 3354.54s]  So, instead of using this single linear transformation,
[3354.54s -> 3356.54s]  if we want a neural network,
[3356.54s -> 3358.54s]  we can just, as the simplest form,
[3358.54s -> 3360.54s]  just stack two of these together, right,
[3360.54s -> 3363.54s]  just a linear transformation on top of another one
[3363.54s -> 3367.54s]  in order to get a two-layer neural network, right,
[3367.54s -> 3369.54s]  and so what this looks like is,
[3369.54s -> 3371.54s]  first, we have our, you know,
[3371.54s -> 3374.54s]  a matrix multiply of w1 with x,
[3374.54s -> 3378.54s]  and then we get this intermediate variable,
[3378.54s -> 3381.54s]  and we have this nonlinear function
[3381.54s -> 3384.54s]  of a max of zero with w,
[3384.54s -> 3387.54s]  max with this output of this linear layer,
[3387.54s -> 3389.54s]  and it's really important to have
[3389.54s -> 3391.54s]  these nonlinearities in place,
[3391.54s -> 3393.54s]  which we'll talk about more later,
[3393.54s -> 3395.54s]  because otherwise, if you just stack linear layers
[3395.54s -> 3396.54s]  on top of each other,
[3396.54s -> 3397.54s]  they're just going to collapse to,
[3397.54s -> 3399.54s]  like, a single linear function.
[3399.54s -> 3401.54s]  Okay, so we have our first linear layer,
[3401.54s -> 3404.54s]  and then we have this nonlinearity, right,
[3404.54s -> 3407.54s]  and then on top of this, we'll add another linear layer,
[3407.54s -> 3409.54s]  and then from here, finally,
[3409.54s -> 3411.54s]  we can get our score function,
[3411.54s -> 3413.54s]  our output vector of scores.
[3413.54s -> 3416.54s]  So, basically, like, more broadly speaking,
[3416.54s -> 3419.54s]  neural networks are a class of functions
[3419.54s -> 3421.54s]  where we have simpler functions, right,
[3421.54s -> 3423.54s]  that are stacked on top of each other,
[3423.54s -> 3425.54s]  and we stack them in a hierarchical way
[3425.54s -> 3428.54s]  in order to make up a more complex nonlinear function,
[3428.54s -> 3431.54s]  and so this is the idea of having, basically,
[3431.54s -> 3434.54s]  multiple stages of hierarchical computation.
[3434.54s -> 3437.54s]  Right, and so, you know,
[3437.54s -> 3440.54s]  so this is kind of the main way that we do this
[3440.54s -> 3443.54s]  is by taking something like this matrix multiply,
[3443.54s -> 3444.54s]  this linear layer,
[3444.54s -> 3446.54s]  and we just stack multiple of these
[3446.54s -> 3448.54s]  on top of each other
[3448.54s -> 3453.54s]  with the nonlinear functions in between, right.
[3454.54s -> 3456.54s]  And so one thing that this can help solve
[3456.54s -> 3458.54s]  is if we look, if we remember back
[3458.54s -> 3460.54s]  to this linear score function that we were talking about,
[3460.54s -> 3463.54s]  right, remember we discussed earlier
[3463.54s -> 3466.54s]  how each row of our weight matrix W
[3466.54s -> 3469.54s]  was something like a template, right,
[3469.54s -> 3471.54s]  it was a template that sort of expressed,
[3471.54s -> 3473.54s]  you know, what we're looking for
[3473.54s -> 3476.54s]  in the input for a specific class, right,
[3476.54s -> 3478.54s]  so for example, you know, the card template
[3478.54s -> 3480.54s]  looks something like this kind of fuzzy red card
[3480.54s -> 3482.54s]  and we were looking for this in the input
[3482.54s -> 3485.54s]  to compute the score for the card class, right,
[3485.54s -> 3487.54s]  and we talked about one of the problems with this
[3487.54s -> 3489.54s]  is that there's only one template, right,
[3489.54s -> 3490.54s]  there's this red card,
[3490.54s -> 3492.54s]  whereas in practice, we actually have multiple modes,
[3492.54s -> 3493.54s]  right, we might want,
[3493.54s -> 3495.54s]  we're looking for, you know, a red card,
[3495.54s -> 3496.54s]  there's also a yellow card,
[3496.54s -> 3499.54s]  like all of these are different kinds of cards.
[3499.54s -> 3502.54s]  And so what this kind of
[3502.54s -> 3505.54s]  multiple layer network lets you do
[3505.54s -> 3507.54s]  is now, you know,
[3507.54s -> 3510.54s]  each of this intermediate variable H, right,
[3510.54s -> 3513.54s]  W1 can still be these kinds of templates,
[3513.54s -> 3515.54s]  but now you have all of these scores
[3515.54s -> 3517.54s]  for these templates in H
[3517.54s -> 3519.54s]  and we can have another layer on top
[3519.54s -> 3522.54s]  that's combining these together, right,
[3522.54s -> 3525.54s]  so we can say that actually my card class should be,
[3525.54s -> 3527.54s]  you know, connected to,
[3527.54s -> 3530.54s]  we're looking for both red cards as well as yellow cards,
[3530.54s -> 3533.54s]  right, because we have this matrix W2,
[3533.54s -> 3535.54s]  which is now awaiting,
[3535.54s -> 3538.54s]  of all of our, of our vector in H.
[3542.54s -> 3545.54s]  Okay, any questions about this?
[3545.54s -> 3546.54s]  Yeah.
[3550.54s -> 3552.54s]  Yeah, so there's a lot of ways,
[3552.54s -> 3554.54s]  so there's a lot of different non-linear functions
[3554.54s -> 3556.54s]  that you can choose from
[3556.54s -> 3558.54s]  and we'll talk later on in a later lecture
[3558.54s -> 3560.54s]  about all the different kinds of non-linearities
[3560.54s -> 3563.54s]  that you might want to use.
[3563.54s -> 3564.54s]  Yeah.
[3585.54s -> 3590.54s]  So, so W1, because it's directly connected to the input X,
[3590.54s -> 3592.54s]  this is what's like really interpretable, right,
[3592.54s -> 3596.54s]  because you're, you can formulate all of these templates.
[3596.54s -> 3599.54s]  W2, so H is going to be a score
[3599.54s -> 3603.54s]  of how much of each template you saw, for example, right,
[3603.54s -> 3605.54s]  so it might be like you have, you know,
[3605.54s -> 3609.54s]  like a, I don't know, two for the red card
[3609.54s -> 3613.54s]  and like one for the yellow card or something like that.
[3613.54s -> 3614.54s]  Yeah.
[3621.54s -> 3625.54s]  Exactly, so the question is basically whether,
[3625.54s -> 3627.54s]  in W1 you could have both left-facing course
[3627.54s -> 3629.54s]  and right-facing course, right,
[3629.54s -> 3632.54s]  and so, yeah, exactly, so now W1 can be
[3632.54s -> 3634.54s]  many different kinds of templates, right,
[3634.54s -> 3637.54s]  there are not, and then W2 now,
[3637.54s -> 3640.54s]  like basically is a weighted sum of all of these templates.
[3640.54s -> 3642.54s]  So now it allows you to weight together
[3642.54s -> 3645.54s]  multiple templates in order to get the final score
[3645.54s -> 3647.54s]  for a particular class.
[3662.54s -> 3664.54s]  Right, so, okay, so the question is,
[3664.54s -> 3668.54s]  if our image X is like a left-facing course
[3668.54s -> 3671.54s]  and in W1 we have a template of a left-facing course
[3671.54s -> 3674.54s]  and a right-facing course, then what's happening, right?
[3674.54s -> 3677.54s]  So what happens is, yeah, so in H you might have
[3677.54s -> 3680.54s]  a really high score for your left-facing course,
[3680.54s -> 3684.54s]  kind of a lower score for your right-facing course,
[3684.54s -> 3687.54s]  and W2 is, it's a weighted sum, so it's not a maximum.
[3687.54s -> 3690.54s]  It's a weighted sum of these templates,
[3690.54s -> 3693.54s]  but if you have either a really high score
[3693.54s -> 3695.54s]  for one of these templates, or let's say you have
[3695.54s -> 3698.54s]  kind of a lower, a medium score for both of these templates,
[3698.54s -> 3700.54s]  all of these kinds of combinations
[3700.54s -> 3701.54s]  have high scores, right?
[3701.54s -> 3703.54s]  And so in the end, what you're going to get
[3703.54s -> 3705.54s]  is something that generally scores high
[3705.54s -> 3708.54s]  when you have a course of any kind.
[3708.54s -> 3710.54s]  Right, so let's say you had a front-facing course.
[3710.54s -> 3712.54s]  You might have medium values
[3712.54s -> 3716.54s]  for both the left and the right templates.
[3716.54s -> 3718.54s]  Yeah, question?
[3721.54s -> 3722.54s]  W2 is doing the weighting.
[3722.54s -> 3724.54s]  So the question is, is W2 doing the weighting
[3724.54s -> 3726.54s]  or is H doing the weighting?
[3726.54s -> 3729.54s]  H is the value, like in this example,
[3729.54s -> 3733.54s]  H is the value of scores for each of your templates
[3733.54s -> 3735.54s]  that you have in W1.
[3736.54s -> 3740.54s]  Right, so H is like the score function, right?
[3740.54s -> 3744.54s]  It's how much of each template in W1 is present,
[3744.54s -> 3748.54s]  and then W2 is going to weight all of these,
[3748.54s -> 3750.54s]  weight all of these intermediate scores
[3750.54s -> 3753.54s]  to get your final score for the class.
[3755.54s -> 3757.54s]  So the question is, which is the nonlinear thing?
[3757.54s -> 3762.54s]  So the nonlinearity usually happens right before H.
[3762.54s -> 3766.54s]  So H is the value right after the nonlinearity.
[3766.54s -> 3769.54s]  So we're talking about this intuitively
[3769.54s -> 3772.54s]  as this example of W1 is looking for,
[3772.54s -> 3774.54s]  has these same templates as before
[3774.54s -> 3776.54s]  and W2 is weighting for these.
[3776.54s -> 3778.54s]  In practice, it's not exactly like this, right?
[3778.54s -> 3780.54s]  Because as you said,
[3780.54s -> 3782.54s]  there's all these nonlinearities thrown in and so on,
[3782.54s -> 3787.54s]  but it has this approximate type of interpretation to it.
[3793.54s -> 3795.54s]  Yeah, so the question is H just W1 X?
[3795.54s -> 3800.54s]  So H is just W1 times X with the max function on top.
[3808.54s -> 3810.54s]  Okay, so we talked about this as an example
[3810.54s -> 3811.54s]  of a two-layer neural network,
[3811.54s -> 3813.54s]  and we can stack more layers of these
[3813.54s -> 3815.54s]  to get deeper networks of arbitrary depth, right?
[3815.54s -> 3817.54s]  So we can just do this one more time
[3817.54s -> 3820.54s]  at another max nonlinearity
[3820.54s -> 3823.54s]  and matrix multiply now by W3,
[3823.54s -> 3826.54s]  and now we have a three-layer neural network, right?
[3826.54s -> 3828.54s]  And so this is where the term deep neural network
[3828.54s -> 3830.54s]  is basically coming from, right?
[3830.54s -> 3833.54s]  This idea that you can stack multiple of these layers,
[3833.54s -> 3836.54s]  you know, for very deep networks.
[3836.54s -> 3841.54s]  And so in homework, you'll get a practice of writing
[3842.54s -> 3844.54s]  and, you know, training one of these neural networks,
[3844.54s -> 3846.54s]  I think, in assignment two,
[3846.54s -> 3849.54s]  but basically a full implementation of this
[3849.54s -> 3851.54s]  using this idea of forward pass, right,
[3851.54s -> 3854.54s]  and backward passes and using chain rule
[3854.54s -> 3856.54s]  to compute gradients that we've already seen.
[3856.54s -> 3859.54s]  The entire implementation of a two-layer neural network
[3859.54s -> 3860.54s]  is actually really simple.
[3860.54s -> 3863.54s]  It can just be done in 20 lines.
[3863.54s -> 3865.54s]  And so you'll get some practice with this
[3865.54s -> 3869.54s]  in assignment two, writing out all of these parts.
[3869.54s -> 3872.54s]  And, okay, so now that we've sort of seen
[3872.54s -> 3874.54s]  what neural networks are as a function, right,
[3874.54s -> 3876.54s]  like, you know, we hear people talking a lot
[3876.54s -> 3879.54s]  about how there's biological inspirations
[3879.54s -> 3880.54s]  for neural networks,
[3880.54s -> 3883.54s]  and so even though it's important to emphasize
[3883.54s -> 3886.54s]  that these analogies are really loose,
[3886.54s -> 3889.54s]  it's really just very loose ties.
[3889.54s -> 3891.54s]  It's, by and large,
[3891.54s -> 3895.54s]  very loose ties, but it's still interesting to understand
[3895.54s -> 3898.54s]  where some of these connections and inspirations come from.
[3898.54s -> 3902.54s]  And so now I'm going to talk briefly about that.
[3902.54s -> 3904.54s]  So if we think about a neuron
[3904.54s -> 3907.54s]  in kind of a very simple way,
[3907.54s -> 3910.54s]  this neuron is, here's a diagram of a neuron.
[3910.54s -> 3912.54s]  We have the impulses that are carried
[3912.54s -> 3914.54s]  towards each neuron, right?
[3914.54s -> 3916.54s]  So we have a lot of neurons connected together.
[3916.54s -> 3918.54s]  And each neuron has dendrites,
[3918.54s -> 3919.54s]  and these are sort of,
[3919.54s -> 3921.54s]  these are what receives the impulses
[3921.54s -> 3923.54s]  that come into the neuron.
[3923.54s -> 3925.54s]  And then we have a cell body, right,
[3925.54s -> 3928.54s]  that basically integrates these signals coming in,
[3928.54s -> 3932.54s]  and then there's a kind of, then it takes this,
[3932.54s -> 3934.54s]  and after integrating all of these signals,
[3934.54s -> 3936.54s]  it passes on, you know,
[3936.54s -> 3938.54s]  the impulse carries away from the cell body
[3938.54s -> 3941.54s]  to downstream neurons that it's connected to, right,
[3941.54s -> 3945.54s]  and it carries this away through axons.
[3946.54s -> 3950.54s]  So now if we look at what we've been doing so far, right,
[3950.54s -> 3952.54s]  with each computational node,
[3952.54s -> 3955.54s]  you can see that this actually has,
[3955.54s -> 3958.54s]  you can see it in kind of a similar way, right,
[3958.54s -> 3960.54s]  where nodes are connected to each other
[3960.54s -> 3962.54s]  in a computational graph,
[3962.54s -> 3966.54s]  and we have inputs or signals, x, x, right,
[3966.54s -> 3968.54s]  coming into a neuron.
[3968.54s -> 3972.54s]  And then all of these x, right, x0, x1, x2,
[3972.54s -> 3974.54s]  these are combined and integrated together,
[3975.54s -> 3978.54s]  right, using, for example, our weights, w, right,
[3978.54s -> 3981.54s]  so we do some sort of computation, right,
[3981.54s -> 3984.54s]  in some of the computations we've been doing so far,
[3984.54s -> 3988.54s]  something like w times x plus b, right,
[3988.54s -> 3990.54s]  integrating all of these together,
[3990.54s -> 3992.54s]  and then we have an activation function
[3992.54s -> 3994.54s]  that we apply on top, we get this value,
[3994.54s -> 3996.54s]  this output, and we pass it down
[3996.54s -> 3998.54s]  to the connecting neurons.
[4000.54s -> 4002.54s]  So if you look at this, this is actually,
[4003.54s -> 4005.54s]  you can think about this in a very similar way, right,
[4005.54s -> 4008.54s]  like, you know, these are, what's the signals coming in
[4008.54s -> 4012.54s]  are kind of the connected at synapses, right,
[4012.54s -> 4015.54s]  the synapse connecting the multiple neurons,
[4015.54s -> 4018.54s]  the dendrites are integrating all of these,
[4018.54s -> 4021.54s]  they're integrating all of this information together
[4021.54s -> 4023.54s]  in the cell body, and then we have the output
[4023.54s -> 4026.54s]  carried on the output later on.
[4027.54s -> 4029.54s]  And so this is kind of the analogy
[4029.54s -> 4030.54s]  that you can draw between them,
[4030.54s -> 4033.54s]  and if you look at these activation functions,
[4033.54s -> 4036.54s]  right, this is what basically takes
[4036.54s -> 4038.54s]  all the inputs coming in when output's one number
[4038.54s -> 4040.54s]  that's going out later on,
[4040.54s -> 4042.54s]  and we've talked about examples like
[4042.54s -> 4045.54s]  sigmoid activation function, right,
[4045.54s -> 4047.54s]  and different kinds of non-linearities,
[4047.54s -> 4051.54s]  and so sort of one kind of loose analogy
[4052.54s -> 4055.54s]  that you can draw is that these non-linearities
[4055.54s -> 4057.54s]  can represent something sort of like
[4057.54s -> 4061.54s]  the firing or spiking rate of the neurons, right,
[4061.54s -> 4065.54s]  where neurons transmit signals to connected neurons
[4065.54s -> 4068.54s]  using kind of these discrete spikes, right,
[4068.54s -> 4070.54s]  and so we can think of, you know,
[4070.54s -> 4072.54s]  if they're spiking very fast,
[4072.54s -> 4074.54s]  then there's kind of a strong signal
[4074.54s -> 4075.54s]  that's passed later on,
[4075.54s -> 4077.54s]  and so we can think of this value
[4077.54s -> 4080.54s]  after our activation function as sort of,
[4080.54s -> 4082.54s]  in a sense, sort of this firing rate
[4082.54s -> 4084.54s]  that we're going to pass on.
[4084.54s -> 4086.54s]  And, you know, in practice,
[4086.54s -> 4088.54s]  I think neuroscientists who are actually studying this
[4088.54s -> 4090.54s]  say that kind of one of the non-linearities
[4090.54s -> 4093.54s]  that are most similar to the way
[4093.54s -> 4095.54s]  that neurons are actually behaving
[4095.54s -> 4098.54s]  is a ReLU function, which is a ReLU non-linearity,
[4098.54s -> 4100.54s]  which is something that we're going to
[4100.54s -> 4101.54s]  look at more later on,
[4101.54s -> 4104.54s]  but it's a function that's a zero
[4104.54s -> 4107.54s]  for all negative values of input,
[4107.54s -> 4109.54s]  and then it's a linear function
[4109.54s -> 4113.54s]  for everything that's in kind of the positive regime.
[4113.54s -> 4114.54s]  And so, you know,
[4114.54s -> 4115.54s]  we'll talk more about this activation function later on,
[4116.54s -> 4118.54s]  but that's kind of, in practice,
[4118.54s -> 4120.54s]  maybe the one that's most similar
[4120.54s -> 4123.54s]  to how neurons are actually behaving.
[4125.54s -> 4128.54s]  But it's really important to be extremely careful
[4128.54s -> 4131.54s]  with making any of these sorts of brain analogies,
[4131.54s -> 4133.54s]  because in practice, biological neurons
[4133.54s -> 4135.54s]  are way more complex than this.
[4135.54s -> 4139.54s]  There's many different kinds of biological neurons.
[4139.54s -> 4141.54s]  The dendrites can perform really complex
[4141.54s -> 4144.54s]  non-linear computations.
[4144.54s -> 4147.54s]  Our synapses, right, the W zeros that we had earlier,
[4147.54s -> 4149.54s]  where we drew this analogy,
[4149.54s -> 4151.54s]  are not single weights like we had.
[4151.54s -> 4153.54s]  They're actually really complex
[4153.54s -> 4156.54s]  non-linear dynamical systems in practice,
[4156.54s -> 4159.54s]  and also this idea of interpreting
[4159.54s -> 4162.54s]  our activation function as a sort of rate code
[4162.54s -> 4167.54s]  or firing rate is also, is insufficient in practice.
[4167.54s -> 4170.54s]  It's just this kind of firing rate
[4170.54s -> 4172.54s]  is probably not a sufficient model
[4172.54s -> 4175.54s]  of how neurons will actually communicate
[4175.54s -> 4176.54s]  to downstream neurons, right?
[4176.54s -> 4179.54s]  Like, even as a very simple way,
[4179.54s -> 4181.54s]  there's a very, the neurons will fire
[4181.54s -> 4183.54s]  at a variable rate,
[4183.54s -> 4187.54s]  and this variability probably should be taken into account.
[4187.54s -> 4189.54s]  And so, there's all these, you know,
[4189.54s -> 4192.54s]  it's kind of a much more complex thing
[4192.54s -> 4195.54s]  than what we're dealing with.
[4195.54s -> 4197.54s]  There's references, for example,
[4197.54s -> 4200.54s]  this dendritic computation that you can look at
[4200.54s -> 4203.54s]  if you're interested in this topic.
[4203.54s -> 4205.54s]  But, yeah, so, but in practice, you know,
[4205.54s -> 4208.54s]  we can sort of see how it may resemble a neuron
[4208.54s -> 4210.54s]  at this very high level,
[4210.54s -> 4215.54s]  but neurons are in practice much more complicated than that.
[4215.54s -> 4217.54s]  Okay, so, we talked about how there's, you know,
[4217.54s -> 4219.54s]  many different kinds of activation functions
[4219.54s -> 4220.54s]  that could be used.
[4220.54s -> 4223.54s]  There's the ReLU that I mentioned earlier,
[4223.54s -> 4225.54s]  and we'll talk about all of these different kinds
[4225.54s -> 4229.54s]  of activation functions in much more detail later on,
[4229.54s -> 4231.54s]  and the choices of these activation functions
