# Detected language: en (p=1.00)

[0.00s -> 1.58s]  Welcome
[3548.42s -> 3551.02s]  Okay in main what we're going to do is
[3553.34s -> 3557.22s]  Now we are going to say all right, let's have a
[3558.82s -> 3563.02s]  Mutex here that is let's say mutex
[3565.10s -> 3567.10s]  See I haven't done the
[3568.10s -> 3570.58s]  mutex tickets lock
[3571.70s -> 3572.82s]  Okay
[3572.82s -> 3574.18s]  All right
[3574.18s -> 3575.98s]  That's all you have to do for that
[3575.98s -> 3579.54s]  Okay, and then what we can do is we can
[3582.10s -> 3585.22s]  In here we actually now have to
[3586.02s -> 3588.30s]  Send it in. Okay, so we're just going to do this
[3588.30s -> 3590.06s]  We're going to say same thing as before
[3590.06s -> 3595.38s]  We're going to say I have the remaining tickets in here and then we're just going to put another
[3595.62s -> 3597.68s]  Parameter which is the same thing as before ref
[3598.42s -> 3599.74s]  tickets
[3599.74s -> 3601.02s]  lock
[3601.02s -> 3604.14s]  Okay, like that and then that will just send the other parameter in there
[3604.14s -> 3610.26s]  So we have to update our parameter list front for the function as well. So it can take the right function. Okay, and
[3611.54s -> 3615.62s]  Other than that, that's all we have to change in main. We're just creating in main and sending it into the
[3616.46s -> 3624.66s]  Threads. Okay. Now here we need to do a mutex reference mutex reference tickets
[3625.54s -> 3626.82s]  lock
[3626.82s -> 3628.82s]  Okay. All right, and
[3629.34s -> 3631.34s]  What are we changing here? Well?
[3631.98s -> 3633.90s]  instead of doing
[3633.98s -> 3635.66s]  remaining tickets
[3635.66s -> 3640.14s]  Is greater than zero let's do the following. Okay, let's do while true
[3641.16s -> 3643.80s]  Okay, and then let's do this tickets
[3644.86s -> 3646.86s]  lock dot lock
[3648.46s -> 3653.50s]  Actually, I'm going to reformat this there we go ticket block tickets lock dot lock, okay, and
[3654.38s -> 3658.88s]  Then we are going to do we're going to check and see if remaining
[3659.88s -> 3661.88s]  Tickets equals zero
[3662.48s -> 3667.48s]  Three in other words now, we're the ones who are going to have access to that remaining tickets
[3667.48s -> 3669.48s]  Nobody else can be changing it in the middle
[3669.56s -> 3675.08s]  We're gonna be changing we're gonna be checking it if it happens to be zero. We're done. No more tickets to go
[3683.48s -> 3687.16s]  Yeah, good question the question was does the lock really lock all the remaining
[3688.16s -> 3693.84s]  Variables it's much more simple than that lock says somebody else is going to want this exact
[3694.72s -> 3697.36s]  Data structure or want this critical piece of code
[3697.88s -> 3700.12s]  I'm going to just basically put the lock in here
[3700.12s -> 3703.96s]  Nobody else can access this critical bit based code because they're also going to ask for the lock
[3704.40s -> 3707.40s]  Okay, anything else like they're going to be doing the same sort of thing
[3707.40s -> 3712.36s]  So you have to get your logic right so that you know that Oh everybody who wants this critical
[3712.92s -> 3719.44s]  Data structure or in this case remaining tickets just lock around it and then that's all we need to do. Okay
[3727.88s -> 3733.08s]  Wow, right, so what do we have to do after the actual while statement here?
[3735.08s -> 3737.08s]  Tickets block unlock
[3738.76s -> 3740.32s]  Right
[3740.36s -> 3744.20s]  So we have to do that if we're gonna break out and unlock it there and then at that point everybody can do it
[3744.20s -> 3746.44s]  We're not quite done yet. You have a question before we go
[3752.88s -> 3757.12s]  None of this so all the threads are gonna eventually get to this line and they're gonna go
[3757.12s -> 3760.52s]  I'm gonna they're gonna go I want to lock that that variable one of them is gonna win
[3760.92s -> 3763.20s]  All the rest is gonna wait around till this one finishes
[3764.04s -> 3766.40s]  Okay. Now this may cause an issue. We'll talk to that
[3767.12s -> 3770.44s]  They're waiting at that lock, yeah, they're not doing any there's waiting at block. Yep
[3772.80s -> 3776.46s]  Yeah, good question, well we're locking after I look specifically because of that break
[3777.08s -> 3782.72s]  We break out, but we're still locked. So we better unlock but as I said, we're not quite done yet
[3782.72s -> 3784.72s]  We also want to lock
[3785.08s -> 3787.08s]  unlock actually
[3787.12s -> 3790.96s]  Let's say I guess we could do it either there or let's say not there
[3791.32s -> 3794.16s]  Let's say we want to lock like unlock right here
[3795.16s -> 3796.16s]  On
[3796.16s -> 3797.48s]  tickets
[3797.48s -> 3798.72s]  lock
[3798.72s -> 3801.18s]  unlock like that as well
[3801.64s -> 3806.60s]  Now we'll actually work out because you what we didn't want to do is relock try to relock the lock
[3807.24s -> 3811.12s]  Again, you would actually deadlock because you've got the hold of the lock and then you try to lock it again
[3811.12s -> 3813.84s]  And no you're gonna wait until yours you release it and that's impossible
[3814.16s -> 3819.28s]  But that's so so we do it in two different places in this case on next I guess on Wednesday
[3819.28s -> 3821.20s]  We will learn about another we do that or next week
[3821.20s -> 3823.56s]  We will learn about another way to do it where you don't need both unlocks
[3824.16s -> 3828.88s]  It's a different actually a very clever piece of code. Well, we'll learn about that later, but that's why we did it there
[3829.36s -> 3830.36s]  Okay
[3830.36s -> 3831.60s]  so
[3831.60s -> 3836.36s]  I believe that is all we need to do at this point to make this now
[3837.24s -> 3839.48s]  Safe, right question
[3846.76s -> 3850.56s]  Yeah, the question was if once you got lock when it unlocks
[3851.44s -> 3857.08s]  Another thread can come in immediately and if it's waiting for that lock and then unlock it and two or more could be
[3857.44s -> 3860.00s]  Could be trying to do that and one of them will win and the other one
[3860.00s -> 3862.88s]  Let's go back and stay locked for a while or stay in that position
[3863.84s -> 3864.84s]  There's no race condition
[3864.84s -> 3866.16s]  Well, I mean there is a race condition in it
[3866.16s -> 3867.16s]  They're both looking for it
[3867.16s -> 3870.56s]  But you're hopefully your logic doesn't matter at that point because you're not trying to change something in there
[3870.64s -> 3874.44s]  You're not trying to serialize it or so forth. Okay, so
[3875.66s -> 3880.12s]  Let's see. What happens when we do this make confused ticket
[3880.76s -> 3882.76s]  Agents, these are not confused anymore. Hopefully
[3883.36s -> 3886.20s]  Let's see what happened. We do that confused ticket agents
[3887.04s -> 3889.04s]  Okay now
[3889.20s -> 3891.42s]  What's the first thing you notice about this?
[3892.86s -> 3895.84s]  Slower right, so there is an issue here
[3896.58s -> 3898.58s]  because we've now got
[3899.32s -> 3905.08s]  Like every ticket agent is saying okay. There's a ticket available. I am gonna go and I'm gonna sell it
[3905.96s -> 3907.60s]  right and
[3907.64s -> 3911.58s]  Then I'm going to decrement the remaining tickets and then I'm going to
[3913.20s -> 3916.56s]  And then I'm going to release the lock, okay
[3917.16s -> 3922.40s]  This the way what we've created is kind of inherently still serialized right now
[3922.40s -> 3925.36s]  There is that the break time which is not serialized. That's fine
[3925.36s -> 3927.80s]  I mean we get a little bit of benefit because we don't do that the break time
[3927.80s -> 3929.20s]  Anybody can be on break at the same time
[3929.20s -> 3933.54s]  They don't fight over the coffee machine or something or whatever they need to like, you know do on that
[3934.02s -> 3936.58s]  But but but otherwise it's taking a while
[3936.58s -> 3942.38s]  This is taking like over a minute actually to run this now and you think well that seems a little a little crazy
[3942.70s -> 3943.18s]  Okay
[3943.18s -> 3950.30s]  So is there a way to actually modify this so that we can do this and still end up?
[3950.82s -> 3957.82s]  Not blocking in quite like in such in a way that makes it so that we're slowing things down
[3957.82s -> 3960.78s]  And by the way, let's make sure let's see if it works when we get down to zero
[3960.78s -> 3962.98s]  It should be that there we go. Everybody goes home
[3963.54s -> 3965.54s]  okay, yay, we worked right because
[3965.98s -> 3967.66s]  they all
[3967.66s -> 3971.34s]  Got to a point near the end where they there were no more to be sold. And by the way
[3972.24s -> 3976.72s]  You let's see the singer. No, they all they all
[3977.34s -> 3980.98s]  Wait, notice the tickets are sold. They actually all happen to wait at the same time in that case
[3981.52s -> 3986.30s]  Okay, and then because or they all ended up that place because they're all waiting for that lock to do that check
[3986.98s -> 3992.34s]  So, what do you think? Can we fix this even to make it a little bit faster and maybe we have to
[3993.06s -> 3998.42s]  Change our own like understanding of what it means to sell a ticket like sometimes you can't get away with that
[3998.78s -> 4005.98s]  All right, but in this case, could we do something here to make it so this actually works and faster anyway
[4007.02s -> 4009.02s]  What do you think?
[4009.94s -> 4011.94s]  I
[4020.54s -> 4025.50s]  Put the remaining tickets there and then do this way
[4027.26s -> 4029.26s]  This one up here
[4031.10s -> 4033.10s]  Would that work I
[4033.10s -> 4035.10s]  Think
[4035.30s -> 4039.54s]  It would work right now we're assuming that the ticket gets sold
[4040.00s -> 4042.58s]  Right. So let's say the ticket agent gets on the phone
[4042.90s -> 4045.38s]  The ticket agent has already said I've got this thing
[4045.38s -> 4049.74s]  It's sold and then let's say that there's some logic where that I don't want that stupid ticket
[4049.74s -> 4052.14s]  Your airlines terrible to hang up on the phone or whatever, right?
[4052.14s -> 4055.68s]  Well, they have to somehow put the ticket back and we don't have that logic in here
[4055.68s -> 4059.20s]  But we could build it in if we I mean we could build it in somehow where we say
[4059.24s -> 4062.92s]  Oh look if you got the last ticket you better keep trying to sell it
[4062.92s -> 4068.46s]  You got to stay until it gets sold there's something like that, right, but I think this will actually this will actually work
[4069.40s -> 4071.40s]  see make confused tickets and then
[4075.52s -> 4081.52s]  Still much faster now, right? Not not like way way way faster, but definitely much faster
[4081.52s -> 4084.72s]  I'd say it is much faster. In fact, I'm just going a lot faster
[4084.72s -> 4087.46s]  But let's see what happens near the end here. See if it still work. There we go
[4087.98s -> 4094.94s]  Okay, so it did finish and lots of agents said zero more tickets and they let they went home while the other two agents were still
[4094.94s -> 4099.80s]  Selling right, but who cares at that point? We assume that each agent sells their ticket
[4100.54s -> 4104.42s]  Okay, so that's one way to do it. So what you read the takeaway on this is
[4105.54s -> 4110.76s]  If you can make your logic such that you lock for a very short amount of time
[4111.38s -> 4112.90s]  That's the best way to do it
[4112.90s -> 4116.22s]  Don't try to lock around important things like handle call
[4116.50s -> 4121.06s]  Handle call that has nothing to do with whether or not the ticket itself has been decremented or not
[4121.06s -> 4125.30s]  Now, maybe we need more logic to put it back and it doesn't get sold and you know
[4125.30s -> 4129.74s]  That's a different different program in some sense, but you do have you do want to not
[4130.50s -> 4132.50s]  lock around
[4132.54s -> 4137.46s]  Extended places that don't matter for that lock don't don't have the ticket agent
[4137.58s -> 4141.86s]  Say you can't touch the ticket queue until I'm done selling my ticket, which is what we just did. Yep
[4143.82s -> 4145.82s]  Right
[4164.50s -> 4166.50s]  Right, so like right here it says
[4166.90s -> 4171.66s]  Six more tickets to be sold from two different agents. Is that your concern? Yeah in that case
[4172.22s -> 4176.72s]  It probably doesn't matter. You're you'd still have some other maybe we should have put the
[4177.06s -> 4181.50s]  Print statement before the unlocked or something if we wanted to we could have done that too
[4181.50s -> 4184.18s]  But that's just a print statement in that case. We could probably clean that up
[4184.18s -> 4186.56s]  In fact, we could try and see if that if it makes sense for our
[4187.46s -> 4189.14s]  for our thing here
[4189.14s -> 4192.72s]  Let's see. Yeah, I mean you would have to break it up here and say, you know
[4192.72s -> 4197.52s]  Put the number of tickets to be sold up farther and the agent sold the ticket below
[4197.52s -> 4199.50s]  You could break that see out statement up and do that
[4199.54s -> 4201.82s]  But yeah, that's a that's another race condition in that sense
[4201.82s -> 4204.98s]  Oh to two people think that there's the same amount of tickets left be sold. That seems a lot
[4205.42s -> 4209.70s]  But in the end our logic for the stopping still works out. But yeah, that was kind of another
[4210.62s -> 4213.36s]  Anomaly that you'd have to fix. Yeah, good question
[4221.38s -> 4224.56s]  Is there any way to make it near as fast this is pretty close actually
[4224.56s -> 4227.22s]  I don't know if you remember from before it's about it's a it's pretty close
[4227.74s -> 4228.48s]  But no
[4228.48s -> 4234.24s]  I mean locking will involve some overhead because there is a time where two threads are trying to get the same
[4234.54s -> 4242.54s]  Data structure or a variable and it's going to take more time and that's just a that's a downside but a necessary downside of
[4243.32s -> 4247.18s]  Making it so that's functional. That's so the program works. But yeah, good question. Yep
[4247.18s -> 4249.18s]  I
[4253.62s -> 4254.82s]  Yes, good question
[4254.82s -> 4255.50s]  so
[4255.50s -> 4256.68s]  So it's a I'm saying wait
[4256.68s -> 4261.70s]  What if is there a way to lock when there's like a certain number of tickets left or something so that more people can go?
[4261.70s -> 4263.70s]  In and tell that there is
[4263.86s -> 4269.44s]  They're called conditional variables actually and there's also another one that will build ourselves called a semaphore
[4269.46s -> 4275.02s]  Which does that it allows you to basically have a count in which case you only lock when that count ends up at zero
[4275.06s -> 4281.94s]  And then before then anybody can go in and grab as many as they can grab one until that count becomes zero good good point
[4281.94s -> 4283.94s]  We'll get there. Good question
[4289.64s -> 4294.06s]  Yeah, good question well why is handled when handle call was inside the lock wise is slower
[4294.06s -> 4296.06s]  Well handle call does what it just is asleep
[4296.50s -> 4302.42s]  Right, and if all the if you have not unlocked yet by the time when handle call gets called
[4302.78s -> 4308.76s]  Everybody else is standing around looking at that one ticket agent trying to sell the ticket because they can't get into the shape to modify
[4308.76s -> 4309.42s]  It right
[4309.42s -> 4312.14s]  So there's where the inherent like slowness happened before
[4312.46s -> 4317.54s]  Every ticket agent was on and on their own selling a ticket with all the other ones waiting around going
[4317.54s -> 4320.58s]  I can't even sell a ticket because I can't even get out there the thing so
[4320.86s -> 4326.38s]  So our model wasn't perfect in the in that sense, right but knowing that a tickets always sold makes it so we can do
[4326.38s -> 4328.38s]  it, okay
[4328.38s -> 4330.38s]  Other questions on this
[4332.42s -> 4336.78s]  Alright threading is kind of fun stuff, but you can see lots of issues
[4336.78s -> 4342.76s]  We will get to many more different types of locks as we go along. Alright, I will see you Wednesday
