# Detected language: en (p=1.00)

[0.00s -> 2.84s]  All right, so welcome.
[3019.64s -> 3022.28s]  Child finishes and it's fine.
[3022.28s -> 3024.16s]  It just hasn't gotten cleaned up yet,
[3024.16s -> 3025.60s]  but the child is done,
[3025.60s -> 3028.20s]  and then eventually the parent says,
[3028.20s -> 3030.38s]  now you can send the signal,
[3030.38s -> 3031.66s]  and then that's when the kernel says,
[3031.66s -> 3034.32s]  okay, here's your signal immediately at that point.
[3034.32s -> 3035.74s]  Yeah, good questions.
[3035.74s -> 3038.08s]  All right, stuff is tricky.
[3038.08s -> 3039.58s]  Other questions on this one?
[3041.88s -> 3043.80s]  Let's get, oh, here's those two signals,
[3043.80s -> 3047.80s]  those two functions, actually there's three functions here.
[3047.80s -> 3050.08s]  You can do toggle SIGCHILD block,
[3050.08s -> 3051.36s]  which is a little more advanced,
[3051.36s -> 3053.96s]  or you could, and this one we are calling
[3053.96s -> 3055.04s]  from block SIGCHILD,
[3055.04s -> 3056.80s]  then we're calling from unblock SIGCHILD.
[3056.80s -> 3057.96s]  Okay, what is it doing?
[3057.96s -> 3062.10s]  It's setting the signal set to some mask,
[3062.10s -> 3064.20s]  okay, or it's setting it, it's creating it,
[3064.20s -> 3065.22s]  and then it's emptying it,
[3065.22s -> 3066.88s]  so it's basically initializing it,
[3066.88s -> 3070.50s]  and then we are adding the mask itself,
[3070.50s -> 3073.72s]  we're adding SIGCHILD to the mask by doing add set,
[3073.72s -> 3077.96s]  and then we are either blocking or unblocking,
[3077.96s -> 3079.96s]  depending on how we call this function,
[3079.96s -> 3084.04s]  the signal, okay, that's how it works.
[3084.04s -> 3084.88s]  Yeah?
[3090.92s -> 3093.82s]  Why do we call block SIGCHILD before we fork?
[3093.82s -> 3096.12s]  Are you saying we could call it after we fork?
[3101.36s -> 3102.36s]  Yeah, that's a good question.
[3102.40s -> 3104.76s]  We probably could do this.
[3104.76s -> 3107.20s]  Well, no, we can't actually, as it turns out, we can't.
[3107.20s -> 3108.72s]  Here's what happens.
[3108.72s -> 3110.68s]  Remember, we're talking about a race condition here
[3110.68s -> 3112.24s]  that could happen really fast.
[3112.24s -> 3117.24s]  If we wait to block down like after the, in the parent,
[3118.16s -> 3120.40s]  yes, the parent will be the only thing that gets blocked
[3120.40s -> 3122.00s]  but it might already be too late.
[3122.00s -> 3123.20s]  The child might have already ended
[3123.20s -> 3124.44s]  and called the signal and the signal,
[3124.44s -> 3126.68s]  or sent the signal and the signal handler happened.
[3126.68s -> 3128.44s]  Yeah, so we have to block before we even fork
[3128.44s -> 3130.48s]  because we don't want the child to end
[3130.48s -> 3133.64s]  before we can allow the parent to be ready for it.
[3133.64s -> 3134.94s]  Good question.
[3134.94s -> 3136.60s]  Yeah, very good question on that.
[3137.60s -> 3139.92s]  Okay, any others on this one?
[3139.92s -> 3143.92s]  Okay, let's take care of that race
[3143.92s -> 3147.92s]  or that spinning issue that we had, okay?
[3147.92s -> 3150.30s]  So the race condition's gone.
[3151.20s -> 3154.76s]  We want to do the unblocking in the child
[3154.76s -> 3156.16s]  because we don't like having that signal
[3156.16s -> 3158.48s]  blocking the child but we already set it
[3159.12s -> 3162.96s]  before we fork so it is set, so let's unblock it.
[3162.96s -> 3167.96s]  And then we still need to deal with this spinning, okay?
[3171.36s -> 3173.80s]  All right, we could do something like this.
[3173.80s -> 3178.80s]  We could say, while FGPID equals PAD sleep
[3179.16s -> 3181.20s]  or microsleep as this one's called,
[3181.20s -> 3185.56s]  for 100,000 microseconds, okay?
[3185.56s -> 3189.56s]  And then that would actually work okay, all right?
[3191.08s -> 3193.96s]  I believe microsleep actually does not wake up
[3193.96s -> 3196.56s]  when a signal happens, so it would kind of not
[3196.56s -> 3199.40s]  be the best thing anyway, but we would just wait
[3199.40s -> 3201.96s]  and then the child would end and then eventually
[3201.96s -> 3203.40s]  sleep would wake up and we'd go,
[3203.40s -> 3205.64s]  ah, we changed anything and then we'd do that.
[3205.64s -> 3208.00s]  The sleep at least takes it off the processor.
[3208.00s -> 3211.32s]  So that would work, it's just not particularly elegant.
[3211.32s -> 3213.24s]  It would work though, okay?
[3213.44s -> 3217.56s]  Um, but we really wanna keep the OS like,
[3217.56s -> 3222.12s]  the OS can figure out when our child process ends
[3222.12s -> 3224.44s]  so we might as well utilize that, okay?
[3225.40s -> 3226.24s]  What else could we do?
[3226.24s -> 3229.08s]  There is a pause function, okay?
[3229.08s -> 3234.08s]  Which actually would also have, might work, okay?
[3235.04s -> 3237.28s]  The pause function forces the process to sleep
[3237.28s -> 3240.92s]  until some unblocked signal arrives.
[3240.92s -> 3242.16s]  Okay, well that's nice.
[3242.20s -> 3244.32s]  It just says, oh okay, so now we're going to
[3244.32s -> 3246.48s]  just wait until it unblocks signal arrives.
[3246.48s -> 3251.48s]  The problem here though is that we have a situation,
[3252.64s -> 3254.84s]  another situation where we have a race condition
[3254.84s -> 3257.32s]  and we could end up in this thing called deadlock
[3257.32s -> 3259.68s]  and that's the situation that we would have had
[3259.68s -> 3262.96s]  in the previous race condition too, where,
[3262.96s -> 3264.60s]  well it's a little bit different.
[3264.60s -> 3266.64s]  It's basically one process is waiting on the other
[3266.64s -> 3268.44s]  which is waiting on the other process
[3268.44s -> 3270.00s]  and now we've got two processes kind of waiting
[3270.00s -> 3272.20s]  on each other, that's considered deadlock,
[3272.20s -> 3273.72s]  where you have to have some logic
[3273.72s -> 3276.54s]  that actually figures that out, okay?
[3276.54s -> 3281.32s]  So you could try doing this with a pause
[3281.32s -> 3283.04s]  but that might put it into a situation
[3283.04s -> 3288.04s]  where you won't actually, if we had the following,
[3289.56s -> 3294.56s]  if, again, if the signal arrives after the FGPID
[3295.04s -> 3298.60s]  equals PID but before the call to pause,
[3298.60s -> 3300.00s]  well then what's happening?
[3300.00s -> 3301.68s]  Pause says, okay, I'm waiting for the signal
[3301.68s -> 3303.16s]  while the signal handler's saying,
[3303.16s -> 3305.20s]  oh I haven't, or I've already been hit
[3305.20s -> 3308.40s]  so it's not gonna actually end up working.
[3308.40s -> 3313.40s]  And you could try doing some like unblock and then block
[3313.94s -> 3315.40s]  but you've still got the problem
[3315.40s -> 3319.32s]  because between unblock SIGGILD and pause,
[3319.32s -> 3322.92s]  isn't there some time for something else to happen?
[3322.92s -> 3327.92s]  Yeah, so we want a way to make something work
[3328.36s -> 3330.78s]  so that we say, basically, look,
[3330.78s -> 3333.54s]  we know you're gonna be put off the CPU.
[3336.84s -> 3338.44s]  We know this process is gonna wait.
[3338.44s -> 3341.00s]  We know we have to unblock some signals.
[3341.00s -> 3343.00s]  Let's make it so that that happens
[3343.00s -> 3344.88s]  after we are guaranteed
[3344.88s -> 3347.32s]  that the process is already off the CPU.
[3348.18s -> 3349.52s]  Okay, how do we do that?
[3349.52s -> 3354.52s]  Well, we have this other system call called SIGSUSPEND.
[3354.52s -> 3359.52s]  SIGSUSPEND, okay, and SIGSUSPEND does the following.
[3360.12s -> 3365.12s]  SIGSUSPEND says, oh, okay, we are going to unblock signals
[3368.88s -> 3371.20s]  or I guess we're going to basically set
[3371.20s -> 3374.28s]  this other blocked set which we can make the empty set
[3375.52s -> 3379.56s]  after we remove the process from the CPU
[3379.56s -> 3382.76s]  so that it can't have this weird deadlock condition.
[3383.76s -> 3385.44s]  Okay, so that's what's happening here.
[3385.44s -> 3387.12s]  What we do is we say this.
[3387.12s -> 3389.44s]  We set up another signal set and we make it empty
[3389.44s -> 3390.92s]  and we actually just set it to empty
[3390.92s -> 3392.56s]  but don't change anything.
[3392.56s -> 3393.72s]  Here's what happens.
[3393.72s -> 3396.82s]  Okay, we say while FGPID equals PID,
[3396.82s -> 3399.44s]  we are going to say SIGSUSPEND on the empty set.
[3399.44s -> 3401.64s]  Now, remember, at this point,
[3401.64s -> 3404.72s]  didn't we already block the signal for SIGGILD?
[3404.72s -> 3405.96s]  It's already been blocked before.
[3405.96s -> 3407.80s]  We did it before we even forked.
[3407.80s -> 3410.34s]  Okay, so the SIGGILD is blocked.
[3410.86s -> 3415.22s]  When you say SIGSUSPEND, it says, oh, okay,
[3415.22s -> 3417.66s]  I'm going to unblock all the signals
[3417.66s -> 3421.14s]  after I push the process off the processor
[3421.14s -> 3424.58s]  and therefore, it's going to wait
[3424.58s -> 3426.84s]  until that child actually happens
[3426.84s -> 3428.38s]  and then when the child happens,
[3428.38s -> 3431.46s]  the SIGSUSPEND wakes up after the process,
[3431.46s -> 3433.30s]  the child handler happens.
[3433.30s -> 3434.14s]  Question.
[3434.14s -> 3436.54s]  So SIGSUSPEND unblocks all signals
[3436.54s -> 3438.58s]  not in the set that you did?
[3439.58s -> 3440.42s]  The good question.
[3440.42s -> 3443.42s]  It blocks, it says, set the signal set
[3443.42s -> 3445.78s]  that's blocked to this set, right?
[3445.78s -> 3448.18s]  So when you say set it to the empty set,
[3448.18s -> 3450.06s]  it means no signals are blocked.
[3450.06s -> 3452.22s]  Now, you might have a situation
[3452.22s -> 3454.26s]  where you need some signals to remain blocked
[3454.26s -> 3456.46s]  and you can do that,
[3456.46s -> 3459.14s]  but in this case, we're basically saying,
[3459.14s -> 3463.90s]  okay, fine, the SIGGILD is blocked
[3463.90s -> 3464.90s]  before this while loop.
[3464.90s -> 3465.74s]  You get into the while loop,
[3465.74s -> 3467.40s]  SIGGILD is still blocked.
[3467.40s -> 3470.24s]  You call the SIGSUSPEND system call
[3470.24s -> 3471.88s]  and it goes, oh, okay,
[3471.88s -> 3476.12s]  I am now taking the processor off
[3476.12s -> 3477.88s]  and waiting until that SIGGILD happens.
[3477.88s -> 3479.70s]  Now I'm unblocking.
[3479.70s -> 3481.98s]  And so if the SIGGILD happens,
[3481.98s -> 3485.06s]  it will be able to run in the child handler
[3485.06s -> 3487.04s]  and then after it finishes,
[3487.04s -> 3489.56s]  it will come and stop this SIGSUSPEND,
[3489.56s -> 3490.76s]  go back in the while loop
[3490.76s -> 3494.24s]  and then we will have already changed FGP80
[3494.24s -> 3497.48s]  or we will have changed FGP80 back to zero
[3497.48s -> 3500.86s]  and we're done, okay?
[3500.86s -> 3502.04s]  No, I'm seeing some people going,
[3502.04s -> 3503.64s]  no, what's going on?
[3503.64s -> 3506.20s]  Seeing a few different, like what's happening here?
[3508.80s -> 3510.40s]  What questions?
[3510.40s -> 3511.56s]  Yeah, I've got it, yeah.
[3511.56s -> 3512.40s]  Yeah.
[3514.40s -> 3516.56s]  Yeah, SIGSUSPEND is kind of like pause
[3516.56s -> 3518.56s]  in that it says, okay,
[3518.56s -> 3521.92s]  wait until a child handler happens and returns
[3521.92s -> 3523.36s]  and then you can keep going.
[3523.40s -> 3524.66s]  Wait for some signal basically.
[3524.66s -> 3527.84s]  That's seven block signals and pause.
[3527.84s -> 3528.74s]  This one, yeah.
[3528.74s -> 3530.44s]  So the SIGSUSPEND is a little bit strange.
[3530.44s -> 3533.48s]  It says set this block signals to this set,
[3533.48s -> 3535.60s]  which we are unblocking.
[3535.60s -> 3539.56s]  We're unblocking the SIGGILD in this case
[3539.56s -> 3541.44s]  because of this empty set.
[3541.44s -> 3543.68s]  And we're saying unblock that SIGGILD
[3543.68s -> 3546.00s]  after we've moved the process off process
[3546.00s -> 3549.12s]  so it can't, there's no race condition there anymore.
[3549.12s -> 3551.36s]  You will now, it'll unblock it.
[3551.80s -> 3553.44s]  The child handler will, it will just wait
[3553.44s -> 3556.08s]  until the child handler happens.
[3556.08s -> 3560.20s]  Child handler will do its thing, change FGPID to be zero
[3560.20s -> 3563.86s]  and then it will return.
[3563.86s -> 3566.60s]  This line will say, oh, then we've now got that signal
[3566.60s -> 3570.20s]  so now we're going to go back up here and change that.
[3570.20s -> 3572.20s]  Now you might be asking yourself,
[3572.20s -> 3573.52s]  one sec, you might be asking yourself,
[3573.52s -> 3577.00s]  wait, why do we even need this while loop in here?
[3577.00s -> 3578.96s]  Because if we're gonna wait for this signal,
[3578.96s -> 3580.84s]  why do we even need to do that?
[3580.88s -> 3584.08s]  It turns out that any signal that gets handled
[3584.08s -> 3587.38s]  will cause this SIGSUSPEND to end.
[3587.38s -> 3589.64s]  And so you need to, you want to say,
[3589.64s -> 3592.76s]  oh, well, in that case, let's make sure
[3592.76s -> 3594.42s]  that we check again to see if our condition
[3594.42s -> 3596.06s]  that we were supposed to set got set.
[3596.06s -> 3597.32s]  If not, we'll just loop again
[3597.32s -> 3598.64s]  and do another SIGSUSPEND.
[3598.64s -> 3599.62s]  Question?
[3599.62s -> 3600.62s]  That was your question, there you go.
[3600.62s -> 3602.56s]  I asked it before you got to it.
[3602.56s -> 3603.40s]  Yeah.
[3603.40s -> 3607.24s]  Can you just unblock if those are checking
[3607.24s -> 3610.12s]  and then block the couple of checks you wanted to do?
[3610.38s -> 3611.28s]  Let's see what's happening here.
[3611.28s -> 3614.60s]  Remember, well, okay, what have we done here?
[3614.60s -> 3616.04s]  We are a foreground process,
[3616.04s -> 3618.12s]  which means the parent needs to wait
[3618.12s -> 3620.52s]  for the foreground process to end.
[3620.52s -> 3623.20s]  We have blocked the signal child handler at this point.
[3623.20s -> 3624.64s]  We've come into here,
[3624.64s -> 3629.64s]  and the child could have ended already,
[3629.76s -> 3630.60s]  but it's been blocked,
[3630.60s -> 3633.12s]  so it's not a race condition in that sense.
[3633.12s -> 3637.26s]  We now say, okay, great, FGPID equals PID.
[3637.26s -> 3639.40s]  So we're saying that there's a foreground process,
[3639.56s -> 3641.08s]  and we want to set these two equal,
[3641.08s -> 3646.08s]  and then the child handler will unset FGPID.
[3647.12s -> 3648.40s]  Well, then we say, okay,
[3648.40s -> 3652.12s]  we're setting up the signal set to be this empty set.
[3652.12s -> 3654.40s]  We say, while FGPID equals PID,
[3654.40s -> 3656.16s]  is that going to be true the first time through,
[3656.16s -> 3658.26s]  even though the child has ended?
[3658.26s -> 3660.32s]  Yeah, it will be true the first time through,
[3660.32s -> 3661.96s]  which is fine.
[3661.96s -> 3663.84s]  Then we will do SIGSUSPEND,
[3663.84s -> 3667.46s]  which is going to push the parent process
[3667.46s -> 3669.10s]  off the processor,
[3669.10s -> 3672.34s]  because it's waiting for the child process to end,
[3672.34s -> 3674.18s]  okay, that handler to happen.
[3674.18s -> 3679.06s]  It calls, it unblocks the signal
[3679.06s -> 3681.22s]  after the process is off the processor.
[3681.22s -> 3683.70s]  At that point, the child has ended.
[3683.70s -> 3687.70s]  It calls signal handler, changes FGPID to be zero.
[3687.70s -> 3690.36s]  Well, and then it ends, and it wakes up here.
[3690.36s -> 3694.24s]  It goes back in this while loop and says,
[3694.24s -> 3698.56s]  oh, okay, now I've got zero, is not equal to the PID.
[3698.56s -> 3700.98s]  I can end, and then I can unblock SIGCHILD again.
[3700.98s -> 3703.98s]  By the way, when it comes out of this SIGSUSPEND,
[3703.98s -> 3706.84s]  it re-blocks the things that it would block before.
[3706.84s -> 3708.68s]  And that's the only good thing about that,
[3708.68s -> 3711.52s]  is so this while loop will actually work again.
[3711.52s -> 3713.84s]  Lots of good questions on this.
[3713.84s -> 3714.68s]  Yeah?
[3719.06s -> 3719.90s]  Yeah, good question.
[3719.90s -> 3721.06s]  Do I mean when I push off the processor,
[3721.06s -> 3722.92s]  push back in the OS scheduler?
[3722.94s -> 3724.30s]  We haven't talked about the scheduler itself,
[3724.30s -> 3726.46s]  but yes, it basically means put the parent process
[3726.46s -> 3729.26s]  to sleep, and when the parent process is to sleep,
[3729.26s -> 3732.78s]  there's nothing else happening in the actual code here
[3732.78s -> 3735.68s]  until that signal gets handled.
[3735.68s -> 3740.60s]  Why does it have to re-unblock SIGCHILD at the end?
[3740.60s -> 3741.44s]  Back to the end.
[3741.44s -> 3745.22s]  We have to, because when SIGSUSPEND ends,
[3745.22s -> 3748.06s]  it unblocks the signals.
[3748.06s -> 3749.82s]  It puts back the original block.
[3749.82s -> 3752.38s]  It puts back the original set, yes, good question.
[3752.64s -> 3754.16s]  So it re-blocks in that case.
[3754.16s -> 3755.52s]  Re-blocks the signals, yeah.
[3755.52s -> 3756.36s]  Yep?
[3759.58s -> 3762.28s]  Will the while loop ever iterate more in one time?
[3762.28s -> 3763.04s]  Let's see.
[3763.04s -> 3765.48s]  It shouldn't for this one child process.
[3765.48s -> 3768.00s]  Yeah, now, unless some other signal came in
[3768.00s -> 3771.00s]  and then it happened to un-suspend it.
[3771.00s -> 3772.88s]  So it could happen more than once
[3772.88s -> 3776.80s]  if another signal came in that happened to un-suspend it.
[3776.80s -> 3780.56s]  Does the suspend happen until any signal gets handled?
[3780.58s -> 3782.46s]  Now, if you were making this much more robust
[3782.46s -> 3783.70s]  and you cared about other signals,
[3783.70s -> 3785.62s]  you might not want to make it just the empty set
[3785.62s -> 3787.22s]  and so forth, but we don't care
[3787.22s -> 3788.98s]  about any other signals right now.
[3790.62s -> 3791.44s]  Okay.
[3792.62s -> 3796.06s]  That's a lot of stuff, that one thing.
[3796.06s -> 3799.46s]  You will use this extensively in the assignment three farm
[3799.46s -> 3801.90s]  which you are going to, which you are working on now,
[3801.90s -> 3803.22s]  and then assignment four.
[3803.22s -> 3805.76s]  Not extensively, but you'll use some of these
[3805.76s -> 3808.14s]  as you go through these, okay?
[3811.54s -> 3813.90s]  It's hard to reason about these things sometimes, okay?
[3813.90s -> 3814.74s]  Let's do this.
[3814.74s -> 3816.70s]  What I wanted to do is go through a couple questions.
[3816.70s -> 3820.62s]  Now, unfortunately, you have a midterm in a week and a half.
[3820.62s -> 3821.94s]  Unfortunately.
[3821.94s -> 3823.38s]  Nobody likes midterms.
[3823.38s -> 3824.58s]  I don't, we don't like grading them.
[3824.58s -> 3825.62s]  You guys don't like taking them.
[3825.62s -> 3826.54s]  We should just get rid of them,
[3826.54s -> 3829.38s]  but there's lots of barriers to that.
[3829.38s -> 3833.26s]  But if you have good ideas, certainly let me know.
[3833.26s -> 3834.70s]  Let's go through a couple questions.
[3834.70s -> 3835.90s]  We have about 15 minutes,
[3835.90s -> 3837.34s]  so we can get through these, I think.
[3837.34s -> 3839.50s]  Let's go through a couple questions related
[3839.56s -> 3842.52s]  to signal handling that you might see on midterm.
[3842.52s -> 3847.12s]  In fact, the two questions are from previous midterms, okay?
[3847.12s -> 3850.36s]  So here's the problem.
[3850.36s -> 3854.04s]  Consider this program and its execution, okay?
[3854.04s -> 3857.32s]  Assume that all processes run to completion
[3857.32s -> 3860.80s]  and all system calls and all printf succeed, et cetera.
[3860.80s -> 3863.08s]  Don't worry about any errors in this case.
[3863.08s -> 3868.08s]  And assume that all calls to printf are atomic.
[3868.38s -> 3873.22s]  Atomic means that it happens without anything else
[3873.22s -> 3875.66s]  being able to interrupt it, okay?
[3875.66s -> 3879.38s]  So in other words, if you're printing out ghost or pirate,
[3879.38s -> 3880.90s]  which is what we're printing out here,
[3880.90s -> 3883.58s]  you can't have it interrupted in the middle of the,
[3883.58s -> 3885.14s]  after the P in pirate.
[3885.14s -> 3887.50s]  It's not like a signal's gonna happen, okay?
[3887.50s -> 3889.50s]  And like interrupt it, okay?
[3889.50s -> 3892.66s]  This is actually more or less true for printf, okay?
[3892.66s -> 3896.96s]  Printf will print out its whole like stuff
[3896.98s -> 3898.86s]  before any other printf can get in there
[3898.86s -> 3899.70s]  and print stuff out.
[3899.70s -> 3901.68s]  So it's generally a good assumption in this case.
[3901.68s -> 3902.94s]  It's not true for cout,
[3902.94s -> 3906.30s]  which is why we had to write a little external function
[3906.30s -> 3908.32s]  for cout to make that work.
[3908.32s -> 3910.78s]  But that's what you have to assume here, okay?
[3910.78s -> 3913.08s]  You also can't assume anything about scheduling
[3913.08s -> 3915.78s]  or how long a time slice is or whatever.
[3915.78s -> 3916.82s]  You can just look at this and go,
[3916.82s -> 3919.34s]  hey, what can happen in this program?
[3919.34s -> 3921.78s]  What conditions could this program happen
[3921.78s -> 3924.60s]  if anything happened in any order
[3924.62s -> 3927.98s]  according to the rules that we have for our processes?
[3927.98s -> 3930.62s]  Okay, here is the program.
[3930.62s -> 3931.70s]  Let me do this.
[3931.70s -> 3933.60s]  Let me bump this up and we'll just go to this program.
[3933.60s -> 3935.78s]  Here, okay, we've got a main function.
[3935.78s -> 3939.74s]  It sets up a siguser1 signal.
[3939.74s -> 3942.98s]  That's just a signal that we can use
[3942.98s -> 3944.26s]  for whatever we want, okay?
[3944.26s -> 3946.84s]  We can send a siguser1 to another process.
[3946.84s -> 3950.30s]  In fact, we're going to send it to our child
[3950.30s -> 3951.50s]  in this case, okay?
[3952.44s -> 3954.72s]  The bat function is the function
[3954.72s -> 3959.72s]  that we are actually calling in as our signal handler.
[3960.12s -> 3963.58s]  Then we're printing pirate and then we're exiting, okay?
[3964.76s -> 3966.96s]  First question, by the way.
[3966.96s -> 3970.30s]  Does this function happen in the parent or the child?
[3971.84s -> 3972.92s]  In the parent, okay?
[3972.92s -> 3974.84s]  It's not happening in the child.
[3974.84s -> 3978.52s]  Sorry, depends who gets called, right?
[3979.38s -> 3983.34s]  Depends who gets it, as it turns out.
[3983.34s -> 3985.98s]  So that's a trick question, I suppose, right?
[3985.98s -> 3987.58s]  It would if it was a sigchild handler,
[3987.58s -> 3988.62s]  but it's not a sigchild handler.
[3988.62s -> 3989.66s]  It's an anything signaler.
[3989.66s -> 3991.82s]  It's a siguser1 handler,
[3991.82s -> 3993.02s]  which means we're just sending it.
[3993.02s -> 3995.38s]  So it depends who's calling it
[3995.38s -> 3997.28s]  and who's receiving it, okay?
[3997.28s -> 3999.42s]  We are setting up the signal handler.
[4000.46s -> 4003.46s]  The fork means that both the parent and the child
[4003.46s -> 4005.92s]  will have a signal handler,
[4005.92s -> 4007.58s]  but in this case, as you'll see,
[4008.00s -> 4009.08s]  it turns out it's just the child
[4009.08s -> 4011.40s]  that's actually getting the signal, okay?
[4011.40s -> 4013.00s]  All right.
[4013.00s -> 4015.20s]  Okay, so then it's going to fork
[4015.20s -> 4016.64s]  and then if we're the child,
[4016.64s -> 4019.04s]  we're gonna print ghost and return zero.
[4019.04s -> 4020.44s]  And then if we're the parent,
[4020.44s -> 4022.00s]  we're going to send the kill signal
[4022.00s -> 4025.88s]  with siguser1 to the child
[4025.88s -> 4030.72s]  and then we're gonna print ninja and then return zero, okay?
[4030.72s -> 4031.56s]  All right.
[4031.56s -> 4034.44s]  Can you say then what kill exactly does to the...
[4034.44s -> 4035.26s]  Yeah, good question.
[4035.26s -> 4036.10s]  What does kill exactly do?
[4036.12s -> 4038.26s]  It sends a signal to a process.
[4038.26s -> 4041.20s]  It sends siguser1 or it sends siguser1?
[4041.20s -> 4044.84s]  In this case, it sends siguser1 to the process PID.
[4044.84s -> 4046.64s]  Kill is not a good name for the function.
[4046.64s -> 4048.76s]  Okay, so raise means send it to ourself.
[4048.76s -> 4051.20s]  Yeah, raise means send it to ourself.
[4051.20s -> 4052.20s]  Kill means send it to somewhere else.
[4052.20s -> 4055.00s]  Now you could say kill get PID and send it to yourself,
[4055.00s -> 4056.48s]  but raise does that for you.
[4057.54s -> 4060.50s]  All right, now, question is,
[4060.50s -> 4064.86s]  write yes or no if there's a possible output here, okay?
[4065.68s -> 4068.24s]  Okay, and we can go through this and check and see,
[4068.24s -> 4073.00s]  is it possible for any of these outputs to happen?
[4073.00s -> 4074.32s]  Okay, well, let's see.
[4074.32s -> 4075.64s]  What would make it true
[4075.64s -> 4078.62s]  that ghost, ninja and then pirate happens?
[4078.62s -> 4079.76s]  Okay, let's see.
[4079.76s -> 4082.72s]  Well, for ghost, ninja, I'll make it big there.
[4082.72s -> 4085.80s]  Okay, for ghost, ninja and pirate to happen.
[4085.80s -> 4088.00s]  Well, how do we get ghost first?
[4088.00s -> 4091.02s]  Okay, we fork and then this happens immediately.
[4091.02s -> 4093.36s]  Could that happen before anything else happens?
[4093.36s -> 4094.20s]  Sure.
[4094.50s -> 4096.42s]  It looks like ghost could be printed immediately.
[4096.42s -> 4100.86s]  Okay, then for ninja to happen, okay,
[4100.86s -> 4104.42s]  we send a kill signal from the parent.
[4104.42s -> 4107.74s]  We send a sig user signal using the kill system call.
[4107.74s -> 4112.74s]  We send sig user, okay, to the child, okay?
[4112.94s -> 4115.74s]  And this can return immediately, by the way.
[4115.74s -> 4118.70s]  It doesn't wait for the child to do anything.
[4118.70s -> 4120.42s]  It just sends it and returns.
[4120.42s -> 4121.98s]  Could we send off that signal
[4121.98s -> 4123.82s]  and then really quickly print ninja?
[4124.38s -> 4125.66s]  Sure.
[4125.66s -> 4130.50s]  In the child, we have now had our signal handler called.
[4130.50s -> 4133.58s]  So can we print pirate and then end?
[4133.58s -> 4136.06s]  Yeah, so I think this one is fine.
[4136.06s -> 4137.20s]  Anybody have any questions why it's not?
[4137.20s -> 4138.04s]  Yeah.
[4138.04s -> 4140.58s]  Does have to have the kill signal
[4140.58s -> 4144.20s]  or like the kill call to prepare before the child is hired
[4144.20s -> 4145.70s]  or not?
[4145.70s -> 4147.04s]  Oh, good question.
[4147.04s -> 4151.28s]  This would have to happen between after this
[4151.28s -> 4152.58s]  and before this.
[4152.58s -> 4153.94s]  Yeah, and that could happen.
[4154.80s -> 4156.72s]  There's no reason it couldn't in this case, right?
[4156.72s -> 4158.80s]  We're looking at there's no reason that couldn't happen.
[4158.80s -> 4163.40s]  Okay, let's look about pirate and then ninja.
[4163.40s -> 4165.64s]  Let's see if that one's possible.
[4165.64s -> 4168.60s]  Okay, well, for pirate to happen,
[4168.60s -> 4172.80s]  we would have to fork, send a kill signal
[4172.80s -> 4175.12s]  before the child gets a chance to print ghost.
[4175.12s -> 4176.84s]  Is that possible?
[4176.84s -> 4179.76s]  Sure, it seems possible, right?
[4179.78s -> 4181.86s]  And then that will get,
[4181.86s -> 4185.34s]  we'll call the child's signal handler,
[4185.34s -> 4189.02s]  print pirate, which is good, and then that'll end.
[4190.46s -> 4193.38s]  And then we get, we're still over here,
[4193.38s -> 4196.18s]  then we could have ninja print at some point.
[4196.18s -> 4197.98s]  Does that make sense?
[4197.98s -> 4199.82s]  Okay, I think that's plausible.
[4199.82s -> 4201.22s]  I think that's a couple of plausible ones.
[4201.22s -> 4202.12s]  Let's look at the next one.
[4202.12s -> 4202.96s]  I'll make this better.
[4202.96s -> 4204.82s]  How about ninja and ghost?
[4204.82s -> 4208.00s]  What if bat returned instead of exit?
[4208.02s -> 4210.30s]  What if bat returned instead of exited,
[4210.30s -> 4214.46s]  then you would definitely get ghost at some point in there.
[4214.46s -> 4217.94s]  Right, because it exits, right, and doesn't return,
[4217.94s -> 4220.70s]  it exits the actual signal, the child itself.
[4220.70s -> 4223.92s]  It closes, it terminates the child process
[4223.92s -> 4228.06s]  by using exit, good question, good call.
[4228.06s -> 4230.30s]  Okay, let's look at the next one.
[4230.30s -> 4231.90s]  Ninja and ghost.
[4231.90s -> 4236.54s]  How could ninja happen before ghost?
[4236.54s -> 4240.84s]  Well, we could get down here.
[4240.84s -> 4243.68s]  Let's say that the child is just slow right now.
[4243.68s -> 4246.48s]  We get down here and we send this signal.
[4246.48s -> 4249.32s]  Okay, could it happen that this signal,
[4249.32s -> 4251.54s]  which is going to signal the child to say pirate,
[4251.54s -> 4254.56s]  could it happen that this signals
[4254.56s -> 4259.56s]  and then gets up here and then this prints
[4260.72s -> 4265.10s]  and returns, but then this never happens.
[4266.08s -> 4269.96s]  No, I don't think that could happen, right,
[4269.96s -> 4272.08s]  because the minute this signal handler happens,
[4272.08s -> 4274.68s]  it stops everything happening down here.
[4275.76s -> 4279.44s]  So if you were to get that case, right,
[4279.44s -> 4283.00s]  where you were trying to get ghost happening, right,
[4283.00s -> 4287.76s]  well, this has to happen before this happens
[4287.76s -> 4290.72s]  and therefore you're gonna get the signal called up here
[4291.56s -> 4295.22s]  and you're gonna end up getting pirate
[4295.22s -> 4296.30s]  before you're gonna get ghost.
[4296.30s -> 4299.66s]  So it's not really possible for ghost to happen
