# Detected language: en (p=1.00)

[0.00s -> 2.48s]  Welcome to Wednesday.
[2430.60s -> 2432.04s]  but feel free to read the slides about that.
[2432.04s -> 2435.48s]  It's just basically going through exactly what we did live,
[2435.48s -> 2438.64s]  and you saw that we had some various cases
[2438.64s -> 2441.68s]  where we needed to do more logic
[2441.68s -> 2445.04s]  and different type of logic, okay?
[2445.04s -> 2449.84s]  All right, so let's see, that I think is that for,
[2449.84s -> 2454.84s]  there are other flags besides w nohang.
[2456.46s -> 2460.12s]  There's also w untraced.
[2461.00s -> 2463.28s]  Which is a weird name, but basically what it means is
[2463.28s -> 2466.96s]  block until a child process has either ended
[2466.96s -> 2470.64s]  or been stopped, and stopped is paused, not ended,
[2470.64s -> 2473.04s]  and we'll see lots of cases where they get paused.
[2473.04s -> 2476.08s]  If you use w untraced with w nohang,
[2476.08s -> 2478.32s]  it removes that blocking part.
[2478.32s -> 2480.76s]  It doesn't actually block in that case.
[2480.76s -> 2483.44s]  W nohang always says, well, I'm not gonna block,
[2483.44s -> 2486.80s]  but the other ones, w untraced is if it stops,
[2486.94s -> 2490.80s]  and then you also have w continued for the situation
[2490.80s -> 2493.40s]  where the child process has been stopped
[2493.40s -> 2496.28s]  and then gets started back up again.
[2496.28s -> 2498.24s]  Your parent will also get a notice about that,
[2498.24s -> 2500.76s]  get a signal about that, okay?
[2500.76s -> 2503.54s]  So often we will see three of them together,
[2503.54s -> 2507.72s]  w untraced or w continued or w nohang,
[2507.72s -> 2511.12s]  and that just says, look, I want you to wait
[2511.12s -> 2513.70s]  and return information about a child process
[2513.70s -> 2515.68s]  that has changed any kind of its state,
[2515.68s -> 2520.56s]  not just ended, not just stopped, not just continued,
[2520.56s -> 2523.52s]  and by the way, don't actually block
[2523.52s -> 2525.88s]  when you're doing that, okay?
[2527.00s -> 2531.08s]  All right, so that's the basic idea
[2531.08s -> 2533.88s]  of signal handlers so far.
[2533.88s -> 2536.16s]  We have some more nuance in race conditions
[2536.16s -> 2539.56s]  that we have to deal with going forward, okay?
[2539.56s -> 2544.56s]  So we have to talk about some more synchronization issue.
[2546.40s -> 2547.24s]  Okay?
[2548.40s -> 2552.64s]  When you talk about signal handlers, okay,
[2552.64s -> 2557.12s]  remember that the signal handler gets called
[2557.12s -> 2561.48s]  when the whatever thing happens, happens, okay?
[2561.48s -> 2563.32s]  So the question came up earlier and said,
[2563.32s -> 2567.56s]  and somebody said, what if the child process ends
[2567.56s -> 2570.64s]  before the parent actually gets to something or whatever?
[2570.64s -> 2572.60s]  That could happen, all right?
[2572.60s -> 2575.36s]  And because of the way you write your code,
[2575.92s -> 2577.40s]  that might actually happen,
[2577.40s -> 2580.36s]  and it might not be what you want,
[2580.36s -> 2582.48s]  or at least what happens might not be what you want.
[2582.48s -> 2585.24s]  So we have to actually deal with this.
[2585.24s -> 2586.08s]  Here's what we're gonna do.
[2586.08s -> 2587.72s]  I'm gonna write another program,
[2587.72s -> 2592.00s]  and it's going to be basically a job list
[2592.00s -> 2592.84s]  toward a program.
[2592.84s -> 2595.46s]  In other words, we're gonna start up a bunch of programs
[2595.46s -> 2598.38s]  using fork exec CVP, like we've done before.
[2598.38s -> 2599.22s]  We're gonna start them up,
[2599.22s -> 2601.72s]  and we're gonna add them to a job list.
[2601.72s -> 2604.52s]  Now, in fact, you're gonna do this for assignment four,
[2604.56s -> 2607.64s]  coming up, not this week, but next week.
[2607.64s -> 2610.80s]  You're gonna do this coming up for that assignment,
[2610.80s -> 2612.12s]  and you're gonna have to do this
[2612.12s -> 2613.60s]  because your shell does that.
[2613.60s -> 2615.52s]  Whenever you type a command, guess what?
[2615.52s -> 2618.08s]  The shell takes that command and puts it into some list
[2618.08s -> 2619.22s]  that it's keeping track of
[2619.22s -> 2621.12s]  to know which programs are running.
[2621.12s -> 2622.16s]  That's what it's doing.
[2622.16s -> 2622.98s]  So that's what we're gonna do.
[2622.98s -> 2624.28s]  We're gonna run these programs,
[2624.28s -> 2625.84s]  three of them, as it turns out,
[2625.84s -> 2628.76s]  and then we're going to, every second, by the way,
[2628.76s -> 2629.92s]  we're gonna do it one second after the other
[2629.92s -> 2631.16s]  after the other,
[2631.20s -> 2635.84s]  and then we're gonna have a signal handler
[2635.84s -> 2640.84s]  that gets called when the child's state changes.
[2641.02s -> 2641.96s]  Remember, it always gets called
[2641.96s -> 2643.34s]  when the child's state changes,
[2643.34s -> 2646.72s]  and we are going to add it to this job list
[2646.72s -> 2649.28s]  through the signal handler.
[2651.16s -> 2655.28s]  And then the parent is also going to maintain,
[2655.28s -> 2658.76s]  well, the parent is maintaining this job list
[2658.76s -> 2660.62s]  is really what it is.
[2660.78s -> 2662.30s]  In fact, we're not really maintaining it at all.
[2662.30s -> 2663.42s]  We're just printing it out.
[2663.42s -> 2665.20s]  Let me show you the program,
[2665.20s -> 2668.04s]  and then we will see it in action.
[2669.08s -> 2672.70s]  This is gonna be called job list synchronization.c,
[2672.70s -> 2674.02s]  and it's gonna be the following.
[2674.02s -> 2677.14s]  Again, we'll write the main part first
[2677.14s -> 2681.10s]  just to kind of show you what it's actually doing here.
[2682.58s -> 2685.76s]  I'm gonna call, by the way, the date function.
[2685.76s -> 2687.86s]  You haven't seen the date function before.
[2687.86s -> 2691.54s]  It just does the date, just prints out the date.
[2691.54s -> 2693.18s]  I'm gonna call the date function,
[2693.18s -> 2697.06s]  and it's going to run that
[2697.06s -> 2699.14s]  and then print it out to the screen.
[2699.14s -> 2702.58s]  That's all the date function is actually going to do.
[2702.58s -> 2703.68s]  What we're gonna do is
[2703.68s -> 2705.36s]  we're going to set up a signal handler,
[2705.36s -> 2707.90s]  signal sig child,
[2707.90s -> 2711.28s]  and it's going to be, in this case, reap processes.
[2712.78s -> 2715.58s]  That's setting up the signal handler.
[2717.98s -> 2720.28s]  Then we are going to do what we call,
[2720.28s -> 2724.14s]  we are going to just,
[2724.14s -> 2725.98s]  actually, we're gonna do this in a minute.
[2725.98s -> 2730.82s]  Right now, we're just going to start the actual for loop
[2730.82s -> 2732.78s]  to start the processes.
[2732.78s -> 2735.54s]  For size T, I equals zero,
[2735.54s -> 2738.92s]  I is less than three in this case, I plus plus.
[2738.92s -> 2743.42s]  Okay, PID T, PID equals fork.
[2743.42s -> 2746.16s]  Okay, if, I don't know why this is not,
[2747.16s -> 2749.24s]  okay, there we go, anyway.
[2749.24s -> 2751.68s]  All right, fork, did I have,
[2751.68s -> 2752.72s]  I might have had a mistake in there,
[2752.72s -> 2756.72s]  so anyway, if the PID is zero,
[2756.72s -> 2759.04s]  means we're in the child.
[2759.04s -> 2761.98s]  Okay, what are we gonna do in there, in this case?
[2761.98s -> 2766.98s]  We are actually going to just call EXCVP, okay,
[2767.12s -> 2771.68s]  and it's K arguments, zero, and K arguments.
[2771.68s -> 2775.44s]  Remember, this is how exact VP works, okay?
[2775.48s -> 2777.12s]  And that's that, okay?
[2777.12s -> 2779.04s]  Remember, that will not return if it works,
[2779.04s -> 2780.36s]  and we're gonna assume the date function
[2780.36s -> 2781.82s]  is gonna work in this case.
[2781.82s -> 2784.76s]  We're not doing any error checking in that case, okay?
[2784.76s -> 2789.76s]  And then we're going to sleep for one second, okay?
[2789.92s -> 2792.96s]  Which basically forces the CPU,
[2792.96s -> 2796.04s]  or forces the parent off the CPU.
[2796.04s -> 2797.32s]  What do I mean by that?
[2797.32s -> 2799.00s]  I mean that it's gonna tell the parent,
[2799.00s -> 2800.78s]  go to sleep, and then the child
[2800.78s -> 2802.84s]  is actually gonna get to do its thing.
[2802.84s -> 2804.12s]  If you have multiple processors,
[2804.12s -> 2805.56s]  this will probably happen anyway,
[2805.56s -> 2807.36s]  but in this case, we're just forcing it
[2807.36s -> 2809.00s]  to make the parent wait for a second.
[2809.00s -> 2809.82s]  Why?
[2809.82s -> 2810.66s]  Well, who knows?
[2810.66s -> 2813.72s]  Maybe this is a system where you're typing commands in
[2813.72s -> 2816.20s]  and it's waiting for a command to give it, whatever.
[2816.20s -> 2818.36s]  For now, we're just forcing it off the CPU,
[2818.36s -> 2822.60s]  and then we're going to print job percent D
[2822.60s -> 2825.88s]  added to the job list,
[2825.88s -> 2829.96s]  and we're going to print the actual PID of the child,
[2829.96s -> 2833.52s]  okay, and then we're going to return zero,
[2833.88s -> 2834.70s]  and that's that.
[2834.70s -> 2836.16s]  Okay, so everybody gets what's going on here.
[2836.16s -> 2839.38s]  We're gonna start a process, three processes,
[2839.38s -> 2840.64s]  the date command.
[2840.64s -> 2842.52s]  It's going to, we're gonna print out,
[2842.52s -> 2846.52s]  hey, I've started these processes after one second, okay?
[2846.52s -> 2848.12s]  That's what's happening there.
[2848.12s -> 2852.08s]  In reap child, or reap processes in this case, okay,
[2852.08s -> 2853.52s]  what we're gonna do is we're still gonna do this
[2853.52s -> 2855.88s]  while true, because we don't know,
[2855.88s -> 2857.72s]  we're almost always gonna do this from now on,
[2857.72s -> 2860.08s]  because we don't know how many children have ended
[2860.08s -> 2862.88s]  or have changed state, okay?
[2862.88s -> 2867.52s]  And we're gonna say PID equals wait PID,
[2867.52s -> 2870.58s]  negative one, null, and W, no hang,
[2870.58s -> 2871.72s]  because we don't wanna wait,
[2871.72s -> 2874.62s]  we don't wanna block on these, okay?
[2874.62s -> 2878.64s]  And then we're gonna say if PID is less or equal to zero,
[2878.64s -> 2879.50s]  we're simply gonna break,
[2879.50s -> 2881.92s]  same exact things we did before, okay?
[2881.92s -> 2883.32s]  And then now we're going to,
[2883.32s -> 2884.68s]  if we were keeping track of this,
[2884.68s -> 2886.28s]  which you'll do for assignment four,
[2886.28s -> 2888.72s]  we're gonna print job percent,
[2888.72s -> 2889.84s]  we're just gonna print it in this case,
[2889.88s -> 2894.12s]  job percent D removed from the job list, okay?
[2894.12s -> 2897.52s]  So in this case, what it's going to do
[2898.84s -> 2902.28s]  is when the job ends, remember, no hang,
[2902.28s -> 2903.12s]  actually in this case,
[2903.12s -> 2906.56s]  it's just when the job actually finishes, okay?
[2906.56s -> 2909.40s]  It will say it's removed from the job list.
[2909.40s -> 2910.58s]  When the child ends,
[2910.58s -> 2912.32s]  well, why are we keeping in the job list?
[2912.32s -> 2914.56s]  Let's remove it from the job list, okay?
[2914.56s -> 2917.34s]  So again, the parent is creating all these processes
[2917.34s -> 2919.76s]  and putting it into the job list.
[2920.64s -> 2921.46s]  We're just printing it out,
[2921.46s -> 2922.30s]  but it's like putting it into a job list.
[2922.30s -> 2924.80s]  When the signal handler gets called
[2924.80s -> 2926.52s]  for the child process, it says,
[2926.52s -> 2931.52s]  oh, the job is now removed from the job list, okay?
[2931.88s -> 2934.10s]  Let's run this and see what happens.
[2938.20s -> 2940.68s]  Job list synchronization, all right.
[2940.68s -> 2945.68s]  It says job 23735, which is the PID of the child,
[2945.70s -> 2947.64s]  removed from the job list.
[2947.68s -> 2951.24s]  And then it says job 23735 added to the job list.
[2951.24s -> 2953.24s]  And then it says the date, great,
[2953.24s -> 2954.74s]  or actually it said the date first, in fact,
[2954.74s -> 2957.78s]  because it said the date and then ended.
[2957.78s -> 2959.16s]  And then it did the same thing,
[2959.16s -> 2961.16s]  and then it says the next job was removed
[2961.16s -> 2963.88s]  and then added and then removed and then added.
[2963.88s -> 2966.72s]  Now, you're probably saying to yourself,
[2966.72s -> 2968.12s]  well, that's kind of dumb.
[2968.12s -> 2971.98s]  The job lists here, they're being removed
[2971.98s -> 2974.48s]  before they're being added, right?
[2974.48s -> 2975.48s]  And you've got to say to yourself,
[2975.48s -> 2978.74s]  well, why is that happening, right?
[2978.74s -> 2980.44s]  Well, what did we do to make it happen?
[2980.44s -> 2981.90s]  That's the bigger question.
[2981.90s -> 2983.36s]  Yeah, comment or question?
[2983.36s -> 2985.96s]  I was wondering, is that because we forced the parent
[2985.96s -> 2986.96s]  on the CPU?
[2986.96s -> 2990.08s]  Yeah, we did this little sleep for one second, right?
[2990.08s -> 2993.04s]  Well, by the time it gets to that sleep,
[2993.04s -> 2995.86s]  the child is already on its way,
[2995.86s -> 2997.86s]  and the date does not take more than one second
[2997.86s -> 3001.36s]  to happen, it happens like instantly, right?
[3001.36s -> 3004.40s]  When the date function is done, command is done,
[3005.22s -> 3006.06s]  it calls the signal handler.
[3006.06s -> 3009.68s]  All of that happens before one second is done.
[3009.68s -> 3011.06s]  Now, you'll notice when I run it,
[3011.06s -> 3013.00s]  that one second actually doesn't happen
[3013.00s -> 3013.84s]  by the time it says.
[3013.84s -> 3016.88s]  It's because sleep does not wait that one second.
[3016.88s -> 3021.00s]  If I change the snooze, it would actually wait one second.
[3021.00s -> 3022.94s]  But in this case, it just wakes up immediately
[3022.94s -> 3023.78s]  in that case.
[3023.78s -> 3024.60s]  Husband?
[3024.60s -> 3025.44s]  Did you remove the sleep?
[3025.44s -> 3028.20s]  Didn't it also sometimes run through the issue
[3028.20s -> 3031.80s]  because if that didn't do automatically return
[3031.80s -> 3033.94s]  to the child, then you would?
[3034.38s -> 3035.74s]  Yeah, very good question, very good comment.
[3035.74s -> 3036.94s]  The question and comment was,
[3036.94s -> 3038.78s]  wait, wait, wait, if we removed sleep one,
[3038.78s -> 3041.50s]  wouldn't it still have this potential problem?
[3041.50s -> 3043.34s]  Because you don't know if the date command
[3043.34s -> 3045.54s]  is gonna run faster than this command
[3045.54s -> 3047.12s]  is gonna get to, absolutely.
[3047.12s -> 3048.30s]  Like, you don't know that.
[3048.30s -> 3050.90s]  We're purposely putting in this sleep in here
[3050.90s -> 3053.10s]  to say, hey, this is something that could happen
[3053.10s -> 3054.62s]  even though we're forcing it to,
[3054.62s -> 3055.62s]  so we know what's gonna happen
[3055.62s -> 3056.78s]  because we're forcing it to.
[3056.78s -> 3058.74s]  But yeah, these are race conditions,
[3058.74s -> 3060.04s]  you can't predict them.
[3060.04s -> 3061.30s]  Very good point.
[3063.06s -> 3063.90s]  Yeah?
[3063.90s -> 3066.66s]  If you had the print, like, that the parent
[3066.66s -> 3069.14s]  would have the list before you checked
[3069.14s -> 3071.98s]  if it was the child, what would happen?
[3071.98s -> 3075.10s]  If you had this right here before you checked
[3075.10s -> 3077.90s]  if it was the child, it would all,
[3077.90s -> 3079.58s]  well, remember, at that gate,
[3079.58s -> 3081.38s]  it would get parent printed twice in that case
[3081.38s -> 3084.58s]  because the child and the parent would do it.
[3084.58s -> 3087.74s]  So that's not really what we wanted to do in this case.
[3087.74s -> 3088.86s]  But you see the issue here.
[3088.86s -> 3090.06s]  We've got this race condition,
[3090.06s -> 3091.90s]  and really what we wanna do
[3091.94s -> 3095.06s]  is we want the child not to send that signal
[3095.06s -> 3098.78s]  until after this command.
[3098.78s -> 3100.38s]  That's what we want.
[3100.38s -> 3102.62s]  Okay, we want the child to,
[3102.62s -> 3103.66s]  maybe it ends.
[3103.66s -> 3105.54s]  We don't care if the child ends.
[3105.54s -> 3107.54s]  We just don't want that signal to be sent
[3107.54s -> 3109.56s]  until after, or until we're ready
[3109.56s -> 3111.30s]  for that signal to be sent.
[3111.30s -> 3112.42s]  Okay, and in this case,
[3112.42s -> 3115.22s]  it's gonna be after we've added the job to the list.
[3115.22s -> 3116.54s]  Because that would be kind of hard.
[3116.54s -> 3117.74s]  This is especially true
[3117.74s -> 3120.02s]  if you literally were keeping some list
[3120.02s -> 3121.34s]  that you needed to,
[3122.26s -> 3123.46s]  if it was a queue or something,
[3123.46s -> 3126.26s]  or some set or something of the list,
[3126.26s -> 3128.46s]  and you tried to remove it before you added it,
[3128.46s -> 3130.18s]  well, you're gonna crash.
[3130.18s -> 3131.00s]  Or there's some other,
[3131.00s -> 3132.18s]  like, oh, I can't remove that job
[3132.18s -> 3133.02s]  even though it ended.
[3133.02s -> 3133.86s]  That's weird.
[3133.86s -> 3137.02s]  So you need to somehow be able to say,
[3137.02s -> 3141.70s]  don't call that signal until after this printf,
[3141.70s -> 3142.88s]  in this case.
[3142.88s -> 3144.86s]  All right, so how are we going to do that?
[3144.86s -> 3147.62s]  Okay, there's the thing we just did.
[3147.62s -> 3148.82s]  What we need to do,
[3148.82s -> 3150.34s]  okay, well, we actually kind of went through
[3150.74s -> 3151.82s]  all this detail here.
[3151.82s -> 3153.52s]  What we need to do is we need to use
[3153.52s -> 3156.62s]  a different type of system call here.
[3157.70s -> 3162.70s]  We need to have this idea of a signal set.
[3163.94s -> 3166.42s]  And this signal set is going to be
[3168.14s -> 3170.80s]  a data structure that says,
[3170.80s -> 3175.80s]  when you call this function called sigproc mask,
[3176.24s -> 3181.24s]  it says, don't let a particular signal get called
[3181.40s -> 3183.16s]  until we unblock it.
[3184.08s -> 3186.58s]  Okay, so we're going to block some signal.
[3186.58s -> 3188.66s]  In fact, sometimes you can block as many signals
[3188.66s -> 3190.40s]  as you want, but we're gonna, in particular,
[3190.40s -> 3193.52s]  block the sigchild until we're ready
[3193.52s -> 3196.92s]  for that sigchild to be okay to be fired.
[3197.84s -> 3199.10s]  That's all we're doing.
[3199.10s -> 3202.36s]  Okay, there's three different types,
[3202.36s -> 3204.52s]  like functions we have to deal with in this case.
[3204.52s -> 3208.36s]  The one is called sig empty set.
[3208.36s -> 3209.92s]  Let me make this a little bigger.
[3209.92s -> 3211.32s]  One is called sig empty set.
[3211.32s -> 3216.32s]  And sig empty set basically takes this sig set T type
[3216.60s -> 3218.80s]  that we have and it kind of initializes it
[3218.80s -> 3221.80s]  and says there are no signals in that set.
[3221.80s -> 3223.24s]  Okay, it's just an initialization.
[3223.24s -> 3225.74s]  And by the way, this signal set's basically an integer.
[3225.74s -> 3226.96s]  It's got a bunch of bits,
[3226.96s -> 3228.80s]  that's obviously it's got a bunch of bits in it.
[3228.80s -> 3231.36s]  The bits are set depending on the signal.
[3231.36s -> 3232.52s]  And it's a 32-bit integer.
[3232.56s -> 3235.24s]  It turns out there's less than 32 signals.
[3235.24s -> 3237.20s]  So we can get away with that.
[3237.20s -> 3242.08s]  Then if you want to add a particular signal to a set,
[3242.08s -> 3245.80s]  you say, okay, I'm going to pass in the set
[3245.80s -> 3247.68s]  that I'm going to add and then I'm gonna tell it
[3247.68s -> 3252.16s]  which signal I want to actually add to that set.
[3252.16s -> 3253.12s]  Okay, you can also remove them.
[3253.12s -> 3254.36s]  The three that we're gonna care about right now
[3254.36s -> 3255.52s]  are these three.
[3255.52s -> 3260.52s]  And then if you want to, say, go block this signal,
[3260.92s -> 3265.92s]  you call SIG PROC MASK with a value called SIG BLOCK.
[3270.16s -> 3274.20s]  And then you pass in the SIG set that you care about.
[3274.20s -> 3278.32s]  You can also get back the signal
[3278.32s -> 3281.02s]  that have already been set.
[3281.02s -> 3282.54s]  Like it's kind of one of those weird things
[3282.54s -> 3284.24s]  where they're like, well, we're not gonna tell you.
[3284.24s -> 3288.44s]  Remember like from day one where we talked about UMASK
[3288.44s -> 3289.72s]  and there was that weird thing where the only way
[3289.76s -> 3291.58s]  to check UMASK was to actually change it
[3291.58s -> 3292.96s]  and you get back what you checked?
[3292.96s -> 3295.08s]  It's the same sort of thing here.
[3295.08s -> 3297.36s]  Why they did this is just historical, I'm guessing.
[3297.36s -> 3299.76s]  But anyway, most of the time we're not gonna care
[3299.76s -> 3301.04s]  about the existing set.
[3301.04s -> 3303.00s]  We're just gonna say, look, here's our new set.
[3303.00s -> 3304.64s]  I don't care what signals are already done.
[3304.64s -> 3305.62s]  Let's just go with it.
[3305.62s -> 3307.60s]  If you're writing a more robust program,
[3307.60s -> 3309.56s]  you might care about that.
[3309.56s -> 3310.44s]  Okay, all right.
[3310.44s -> 3314.12s]  So let's see how this actually works in practice.
[3314.12s -> 3318.44s]  So let's go modify our,
[3318.44s -> 3323.44s]  let's go modify our main function here.
[3323.96s -> 3325.44s]  We're not gonna have to do anything, by the way,
[3325.44s -> 3326.52s]  to the reprocesses.
[3326.52s -> 3329.22s]  We're just gonna have to change main here
[3329.22s -> 3331.30s]  to have this signal set that we're gonna block
[3331.30s -> 3333.00s]  and you'll see how that happens.
[3333.00s -> 3334.84s]  Okay, all right.
[3334.84s -> 3337.00s]  So what we're gonna do is we're going to the same thing.
[3337.00s -> 3338.48s]  We're gonna set up this signal
[3338.48s -> 3340.68s]  and then we are going to say, okay, fine.
[3340.68s -> 3343.32s]  I'm going to get a SIG set underscore T
[3343.32s -> 3344.96s]  and I'm just gonna call it my set.
[3344.96s -> 3349.16s]  I'm going to initialize it by calling SIG empty set,
[3350.42s -> 3355.42s]  SIG empty set, and then we pass in a pointer to the set
[3355.92s -> 3360.32s]  and then we say, let's add the SIG child to that.
[3360.32s -> 3365.32s]  SIG add set, SIG, or sorry, set and SIG CHLD.
[3371.52s -> 3372.54s]  Okay, all right.
[3372.54s -> 3376.06s]  So at this point, now we've got our set
[3376.06s -> 3377.50s]  that we're going to be able to say,
[3377.50s -> 3379.18s]  hey, wait for this signal,
[3379.18s -> 3381.86s]  like block this signal until we're ready for it.
[3381.86s -> 3384.18s]  Okay, we don't need to quite block it yet, right?
[3384.18s -> 3388.82s]  We wanna block it before we actually have the chance
[3388.82s -> 3392.78s]  to call it, like before we actually do fork
[3392.78s -> 3395.10s]  because at that point we needed to be,
[3395.10s -> 3397.90s]  we needed to be blocked, okay?
[3397.90s -> 3402.10s]  So at this point, we're gonna say SIG proc mask, okay?
[3402.10s -> 3407.10s]  SIG block, and then we are going to pass in our set
[3407.22s -> 3410.98s]  and we're not gonna care about the other set.
[3410.98s -> 3413.06s]  So at this point, right before fork,
[3413.06s -> 3415.00s]  we have blocked the signals.
[3415.00s -> 3418.58s]  It turns out, and this is a good thing as it turns out,
[3418.58s -> 3421.90s]  blocked signals are passed along to your children.
[3421.90s -> 3423.90s]  Whatever signals are blocked in the parent
[3423.90s -> 3426.48s]  are also blocked in the children.
[3426.48s -> 3428.38s]  And the reason for that is so that we can do this.
[3428.38s -> 3429.42s]  I mean, that's really the basic,
[3429.42s -> 3431.78s]  the main reason that we did this
[3432.30s -> 3433.12s]  is so that we can do that.
[3433.12s -> 3435.82s]  So by the time you get to this child part,
[3436.94s -> 3439.18s]  by the time we actually run the date command,
[3439.18s -> 3440.90s]  we are not allowed, in fact,
[3440.90s -> 3445.90s]  the program is not allowed to call the SIG child signal.
[3446.30s -> 3450.18s]  Now, it doesn't mean that it gets ignored forever.
[3450.18s -> 3451.82s]  If once we unblock the signals,
[3451.82s -> 3454.46s]  that queue of signals that need to be sent will go,
[3454.46s -> 3455.70s]  oh, okay, the operating system will go,
[3455.70s -> 3457.94s]  oh, great, I've got this child that's ended,
[3457.94s -> 3458.76s]  I'd better call it.
[3458.76s -> 3461.76s]  But it's only after we unblock it, okay?
[3462.76s -> 3466.06s]  All right, so what do we have to do at this point?
[3466.06s -> 3471.06s]  We now need to, in the child,
[3471.24s -> 3473.64s]  this is gonna seem a little strange,
[3473.64s -> 3477.84s]  but in the child, we're gonna do SIG PROC MASK, okay?
[3477.84s -> 3480.78s]  Actually, I kind of lied to you a little bit earlier.
[3481.76s -> 3485.82s]  The reason the signals get blocked in the children
[3485.82s -> 3487.26s]  is not because of this, actually,
[3487.26s -> 3489.60s]  it's because you may want the children
[3489.60s -> 3493.32s]  to also be able to block on their signal,
[3493.32s -> 3495.26s]  and it might be because you're running
[3495.26s -> 3496.60s]  the same sort of program.
[3496.60s -> 3498.36s]  We will see why that's actually not important,
[3498.36s -> 3500.66s]  because of what I'm exactly gonna do right now.
[3500.66s -> 3503.72s]  We're going to unblock
[3505.52s -> 3507.42s]  for the child only,
[3509.32s -> 3510.52s]  right there.
[3510.52s -> 3513.00s]  So in other words, what if date
[3514.04s -> 3516.24s]  called a child process?
[3516.24s -> 3519.28s]  If we didn't unblock at that point,
[3519.82s -> 3521.00s]  the date function would start out
[3521.00s -> 3523.42s]  with its child process blocked,
[3523.42s -> 3524.64s]  and date doesn't do that,
[3524.64s -> 3526.24s]  so it doesn't actually matter that much,
[3526.24s -> 3528.44s]  but if date had its own child,
[3528.44s -> 3531.92s]  because the signal sets are passed along
[3531.92s -> 3534.62s]  to their children, date would also have that issue,
[3534.62s -> 3537.40s]  and it might not be able to handle that, okay?
[3537.40s -> 3539.92s]  So who knows, it might be an issue.
[3539.92s -> 3541.16s]  But for now, what we're doing is we're saying,
[3541.16s -> 3543.08s]  in the child, go ahead and unblock,
[3543.08s -> 3544.30s]  because it doesn't matter.
[3544.30s -> 3545.96s]  The child, we don't care if the child
[3545.96s -> 3548.00s]  gets a child handler called.
[3548.00s -> 3551.20s]  We care about the parent's child handler getting called,
[3551.20s -> 3554.64s]  and we don't want it to unblock until
[3554.64s -> 3556.66s]  right here, after the printf.
[3557.88s -> 3559.64s]  Okay, so after the printf,
[3559.64s -> 3562.76s]  sig proc mask,
[3562.76s -> 3565.80s]  sig unblock
[3565.80s -> 3568.48s]  in the parent set,
[3568.48s -> 3570.64s]  we don't care about what the previous one was,
[3570.64s -> 3572.28s]  no, like that.
[3572.28s -> 3574.60s]  After this, now,
[3574.64s -> 3578.72s]  when the child, or the parent's signal handler
[3578.72s -> 3580.76s]  can get called when the child ends,
[3580.76s -> 3582.34s]  it probably already will have ended,
[3582.34s -> 3584.54s]  because we just waited for a whole second,
[3584.54s -> 3587.00s]  and in this case, it's a really fast function.
[3588.08s -> 3588.92s]  Question?
[3588.92s -> 3590.60s]  Can you explain again why
[3590.60s -> 3594.76s]  on the unblock inside the child doesn't unblock?
[3596.44s -> 3597.88s]  Yes, very good question.
[3597.88s -> 3601.28s]  The question is, go back a second and explain why
[3601.28s -> 3603.48s]  unblocking the child,
[3603.48s -> 3605.48s]  unblocking the signal in the child
[3605.48s -> 3607.56s]  doesn't have anything to do with the parent.
[3607.56s -> 3608.96s]  Okay.
[3608.96s -> 3612.28s]  The parent, forget about the child for a second.
[3612.28s -> 3614.54s]  The parent has a main function,
[3614.54s -> 3617.72s]  and it has a signal handler for the sig child.
[3618.80s -> 3621.24s]  The parent's sig child handler
[3621.24s -> 3624.48s]  gets called when the child ends,
[3624.48s -> 3627.00s]  unless we have told the parent,
[3627.00s -> 3630.16s]  we're not gonna let you accept that signal.
[3630.96s -> 3631.80s]  Really what it is,
[3631.80s -> 3634.14s]  or you can't send that signal to the parent.
[3635.68s -> 3637.76s]  So it doesn't matter if the child's signal
[3637.76s -> 3639.24s]  is blocked or not.
[3639.24s -> 3642.32s]  That's dealing with its own children if it had some.
[3642.32s -> 3643.16s]  So it doesn't matter.
[3643.16s -> 3647.52s]  So when you say sig proc mask sig unblock inside the child,
[3647.52s -> 3649.76s]  it's just saying, I'm making sure the child
[3649.76s -> 3652.56s]  doesn't have any signals of its own blocked right now.
[3653.76s -> 3655.28s]  And then, and that might,
[3655.28s -> 3658.84s]  because that might be important to the child, right?
[3658.84s -> 3660.36s]  In the parent though,
[3660.36s -> 3663.92s]  even here we are still blocking that signal for the parent
[3663.92s -> 3666.48s]  because the last thing the parent saw
[3666.48s -> 3670.76s]  was this block right here before it forked.
[3670.76s -> 3674.84s]  So the parent's child handler is not going to get called
[3674.84s -> 3678.08s]  until line 45 down here,
[3678.08s -> 3680.76s]  when we call unblock,
[3680.76s -> 3685.20s]  we'd say sig proc mask unblock, sig unblock on that set.
[3685.24s -> 3689.36s]  At that point, now the parent's signal handler can get called
[3689.36s -> 3692.08s]  and it will get called because the operating system goes,
[3692.08s -> 3693.42s]  oh, now you're accepting signals?
[3693.42s -> 3694.52s]  I've got one for you.
[3694.52s -> 3696.12s]  And it calls it then.
[3696.12s -> 3698.76s]  Hopefully this will actually
[3701.76s -> 3704.74s]  see how this work, jobless synchronization.
[3704.74s -> 3706.94s]  And hopefully there we go.
[3706.94s -> 3710.12s]  Now we actually are waiting for one second
[3710.12s -> 3711.96s]  and now the jobs are added
[3711.96s -> 3715.08s]  and then removed in the proper order.
[3716.04s -> 3717.96s]  We didn't allow them to be removed
[3717.96s -> 3719.48s]  until they've been added.
