# Detected language: en (p=1.00)

[0.00s -> 2.48s]  Welcome to Wednesday.
[2438.64s -> 2441.68s]  where we needed to do more logic
[2441.68s -> 2445.04s]  and different type of logic, okay?
[2445.04s -> 2449.84s]  All right, so let's see, that, I think it's that for,
[2449.84s -> 2454.84s]  there are other flags besides W,
[2455.56s -> 2460.08s]  no hang, there's also W untraced,
[2460.08s -> 2463.20s]  which is a weird name, but basically what it means is,
[2463.20s -> 2466.88s]  block until a child process has either ended
[2466.88s -> 2470.58s]  or been stopped, and stopped is paused, not ended,
[2470.58s -> 2472.96s]  and we'll see lots of cases where they get paused.
[2472.96s -> 2476.00s]  If you use W untraced with W no hang,
[2476.00s -> 2478.24s]  it removes that blocking part,
[2478.24s -> 2480.68s]  it doesn't actually block in that case.
[2480.68s -> 2483.38s]  W no hang always says, well, I'm not gonna block,
[2483.46s -> 2486.78s]  but the other ones, W untraced is if it stops,
[2486.78s -> 2489.82s]  and then you also have W continued
[2489.82s -> 2493.42s]  for the situation where the child process has been stopped
[2493.42s -> 2496.30s]  and then gets started back up again,
[2496.30s -> 2498.26s]  your parent will also get a notice about that,
[2498.26s -> 2500.78s]  get a signal about that, okay?
[2500.78s -> 2503.54s]  So often we will see three of them together,
[2503.54s -> 2507.70s]  W untraced or W continued or W no hang,
[2507.70s -> 2511.10s]  and that just says, look, I want you to wait
[2511.10s -> 2513.70s]  and return information about a child process
[2513.70s -> 2515.68s]  that has changed any kind of its state,
[2515.68s -> 2520.54s]  not just ended, not just stopped, not just continued,
[2520.54s -> 2523.50s]  and by the way, don't actually block
[2523.50s -> 2525.88s]  when you're doing that, okay?
[2526.98s -> 2531.10s]  All right, so that's the basic idea
[2531.10s -> 2533.88s]  of signal handlers so far.
[2533.88s -> 2536.14s]  We have some more nuance in race conditions
[2536.14s -> 2539.54s]  that we have to deal with going forward, okay?
[2539.54s -> 2543.78s]  So we have to talk about
[2543.78s -> 2546.98s]  some more synchronization issues, okay?
[2548.50s -> 2552.72s]  When you talk about signal handlers, okay,
[2552.72s -> 2557.20s]  remember that the signal handler gets called
[2557.20s -> 2561.56s]  when the whatever thing happens happens, okay?
[2561.56s -> 2563.40s]  So the question came up earlier and said,
[2563.40s -> 2567.62s]  and somebody said, what if the child process ends
[2567.62s -> 2570.70s]  before the parent actually gets to something or whatever?
[2570.70s -> 2572.68s]  That could happen, all right?
[2572.68s -> 2575.42s]  And because of the way you write your code,
[2575.42s -> 2577.46s]  that might actually happen
[2577.46s -> 2580.46s]  and it might not be what you want,
[2580.46s -> 2582.54s]  or at least what happens might not be what you want.
[2582.54s -> 2585.30s]  So we have to actually deal with this.
[2585.30s -> 2586.14s]  Here's what we're gonna do.
[2586.14s -> 2587.78s]  I'm gonna write another program
[2587.78s -> 2592.10s]  and it's going to be basically a job list
[2592.10s -> 2592.92s]  toward a program.
[2592.92s -> 2595.54s]  In other words, we're gonna start up a bunch of programs
[2595.54s -> 2598.46s]  using fork exec CVP, like we've done before.
[2598.46s -> 2599.30s]  We're gonna start them up
[2599.30s -> 2601.78s]  and we're gonna add them to a job list.
[2601.78s -> 2604.60s]  Now, in fact, you're gonna do this for assignment four
[2604.60s -> 2607.70s]  coming up, not this week, but next week.
[2607.70s -> 2610.86s]  You're gonna do this coming up for that assignment
[2610.86s -> 2612.14s]  and you're gonna have to do this
[2612.14s -> 2613.66s]  because your shell does that.
[2613.66s -> 2615.54s]  Whenever you type a command, guess what?
[2615.54s -> 2618.10s]  The shell takes that command and puts it into some list
[2618.10s -> 2619.26s]  that it's keeping track of
[2619.26s -> 2621.14s]  to know which programs are running.
[2621.14s -> 2622.18s]  That's what it's doing.
[2622.18s -> 2623.02s]  So that's what we're gonna do.
[2623.02s -> 2624.32s]  We're gonna run these programs,
[2624.32s -> 2625.88s]  three of them, as it turns out,
[2625.88s -> 2628.76s]  and then we're going to, every second, by the way,
[2628.76s -> 2629.96s]  we're gonna do it one second after the other
[2629.96s -> 2631.20s]  after the other.
[2631.20s -> 2635.84s]  And then we're gonna have a signal handler
[2635.84s -> 2640.84s]  that gets called when the child's state changes.
[2641.02s -> 2641.92s]  Remember, it always gets called
[2641.92s -> 2643.34s]  when the child's state changes.
[2643.34s -> 2646.68s]  And we are going to add it to this job list
[2646.68s -> 2649.26s]  through the signal handler.
[2650.02s -> 2650.86s]  Okay?
[2650.86s -> 2655.26s]  All right, and then the parent is also going to maintain,
[2655.26s -> 2658.10s]  well, it's kind of the parent is maintaining
[2658.10s -> 2660.62s]  this job list is really what it is.
[2660.62s -> 2662.34s]  Okay, in fact, we're not really maintaining it all.
[2662.34s -> 2663.22s]  We're just printing it out.
[2663.22s -> 2665.24s]  Okay, let me show you the program
[2665.24s -> 2668.42s]  and then we will see it in action.
[2668.42s -> 2669.26s]  Okay?
[2669.26s -> 2672.74s]  This is gonna be called joblistsynchronization.c
[2672.74s -> 2674.06s]  and it's gonna be the following.
[2674.06s -> 2677.18s]  Again, we'll write the main part first
[2677.18s -> 2681.44s]  just to kind of show you what it's actually doing here.
[2681.44s -> 2682.28s]  Okay?
[2682.28s -> 2685.80s]  I have, I'm gonna call, by the way, the date function.
[2685.80s -> 2687.90s]  You haven't seen the date function before.
[2687.90s -> 2691.26s]  It just does the date, just prints out the date.
[2691.26s -> 2693.22s]  Okay, so I'm gonna call the date function
[2693.22s -> 2697.10s]  and it's going to run that
[2697.10s -> 2699.00s]  and then print it out to the screen.
[2699.00s -> 2700.12s]  Okay, that's all the date function
[2700.12s -> 2701.50s]  is actually going to do.
[2701.50s -> 2703.22s]  Okay, and so what we're going to do
[2703.22s -> 2705.38s]  is we're going to set up a signal handler,
[2705.38s -> 2707.86s]  signal sig child,
[2707.86s -> 2711.24s]  and it's going to be, in this case, reap processes.
[2712.18s -> 2715.80s]  All right, that's setting up the signal handler.
[2715.80s -> 2717.28s]  Okay?
[2717.28s -> 2720.30s]  And then we are going to do what we call,
[2720.30s -> 2721.46s]  we are going to,
[2722.72s -> 2724.14s]  we are going to just,
[2724.14s -> 2726.02s]  actually, we're gonna do this in a minute.
[2726.02s -> 2727.72s]  Right now, we're just going to
[2729.34s -> 2731.78s]  start the actual for loop to start the process.
[2731.78s -> 2735.62s]  So for size T, I equals zero,
[2735.62s -> 2738.98s]  I is less than three in this case, I plus plus.
[2738.98s -> 2743.48s]  Okay, PID, T, PID equals fork.
[2743.48s -> 2746.22s]  Okay, if, I don't know why this is not,
[2747.70s -> 2749.20s]  okay, there we go, anyway.
[2749.20s -> 2751.66s]  All right, fork, did I have,
[2751.66s -> 2752.70s]  I might have had a mistake in there,
[2752.70s -> 2756.70s]  so anyway, if the PID is zero,
[2756.70s -> 2758.98s]  means we're in the child.
[2758.98s -> 2761.64s]  Okay, what are we gonna do in there, in this case?
[2762.48s -> 2766.84s]  We are actually going to just call exe vp.
[2766.84s -> 2771.68s]  Okay, and it's K arguments, zero, and K arguments.
[2771.68s -> 2775.44s]  Remember, this is how exec vp works, okay?
[2775.44s -> 2776.88s]  And that's that.
[2776.88s -> 2779.06s]  Okay, remember that will not return if it works,
[2779.06s -> 2780.36s]  and we're gonna assume the date function
[2780.36s -> 2781.84s]  is gonna work in this case.
[2781.84s -> 2784.00s]  We're not doing any error checking in that case.
[2784.00s -> 2784.84s]  Okay?
[2784.84s -> 2788.84s]  And then we're going to sleep for one second.
[2789.68s -> 2792.92s]  Okay, which basically forces the CPU,
[2792.92s -> 2796.00s]  or forces the parent off the CPU.
[2796.00s -> 2797.28s]  What do I mean by that?
[2797.28s -> 2799.60s]  I mean that it's gonna tell the parent go to sleep,
[2799.60s -> 2802.78s]  and then the child is actually gonna get to do its thing.
[2802.78s -> 2804.12s]  If you have multiple processors,
[2804.12s -> 2805.52s]  this will probably happen anyway,
[2805.52s -> 2807.32s]  but in this case, we're just forcing it
[2807.32s -> 2808.96s]  to make the parent wait for a second.
[2808.96s -> 2809.78s]  Why?
[2809.78s -> 2810.62s]  Well, who knows?
[2810.62s -> 2812.60s]  Maybe this is a system where, you know,
[2812.60s -> 2813.72s]  you're typing commands in,
[2813.72s -> 2815.42s]  and it's waiting for commands to go, but whatever.
[2815.42s -> 2818.32s]  We're just, for now, we're just forcing it off the CPU,
[2818.76s -> 2822.60s]  and then we're going to print job percent D
[2822.60s -> 2825.84s]  added to the job list,
[2825.84s -> 2829.92s]  and we're going to print the actual PID of the child.
[2829.92s -> 2830.74s]  Okay?
[2830.74s -> 2833.88s]  And then we're going to return zero, and that's that.
[2833.88s -> 2836.12s]  Okay, so everybody gets what's going on here.
[2836.12s -> 2839.34s]  We're gonna start a process, three processes,
[2839.34s -> 2840.60s]  the date command.
[2840.60s -> 2842.48s]  It's going to, we're gonna print out,
[2842.48s -> 2845.12s]  hey, I've started these processes after one second.
[2846.04s -> 2846.88s]  Okay?
[2846.88s -> 2848.08s]  That's what's happening there.
[2849.08s -> 2852.00s]  In reap processes, in this case, okay,
[2852.00s -> 2853.44s]  what we're gonna do is we're still gonna do this
[2853.44s -> 2855.80s]  while true, because we don't know,
[2855.80s -> 2857.64s]  we're almost always gonna do this from now on,
[2857.64s -> 2860.00s]  because we don't know how many children have ended
[2860.00s -> 2862.80s]  or have changed state, okay?
[2862.80s -> 2867.44s]  And we're gonna say PID equals wait PID,
[2867.44s -> 2870.52s]  negative one, null, and W, no hang,
[2870.52s -> 2871.64s]  because we don't wanna wait,
[2871.64s -> 2873.80s]  we don't wanna block on these.
[2873.80s -> 2874.64s]  Okay?
[2874.64s -> 2875.72s]  And then we're gonna say,
[2875.76s -> 2878.60s]  if PID is less or equal to zero,
[2878.60s -> 2879.48s]  we're simply gonna break,
[2879.48s -> 2881.44s]  same exact things we did before.
[2881.44s -> 2882.28s]  Okay?
[2882.28s -> 2883.28s]  And then now we're going to,
[2883.28s -> 2884.64s]  if we were keeping track of this,
[2884.64s -> 2886.24s]  which you'll do for assignment four,
[2886.24s -> 2888.68s]  we're gonna print job percent,
[2888.68s -> 2889.80s]  we're just gonna print it in this case,
[2889.80s -> 2893.60s]  percent D removed from the job list.
[2893.60s -> 2894.44s]  Okay?
[2894.44s -> 2897.52s]  So in this case, what it's going to do
[2898.84s -> 2901.52s]  is when the job ends,
[2901.52s -> 2903.00s]  remember no hang, actually in this case,
[2903.04s -> 2906.60s]  it's just when the job actually finishes, okay?
[2906.60s -> 2909.44s]  It will say it's removed from the job list.
[2909.44s -> 2910.64s]  When the child ends,
[2910.64s -> 2912.36s]  well, why are we keeping it in the job list?
[2912.36s -> 2914.04s]  Let's remove it from the job list.
[2914.04s -> 2914.88s]  Okay?
[2914.88s -> 2917.36s]  So again, the parent is creating all these processes
[2917.36s -> 2919.80s]  and putting it into the job list.
[2919.80s -> 2920.64s]  We're just printing it out,
[2920.64s -> 2922.32s]  but it's like putting it into a job list.
[2922.32s -> 2925.48s]  When the signal handler gets called for the child
[2925.48s -> 2928.24s]  process, it says, oh, the job is now removed
[2928.24s -> 2931.00s]  from the job list.
[2931.00s -> 2931.92s]  Okay?
[2931.92s -> 2934.12s]  Let's run this and see what happens.
[2937.80s -> 2938.64s]  Okay.
[2938.64s -> 2939.92s]  Job list synchronization.
[2939.92s -> 2940.76s]  All right.
[2940.76s -> 2945.68s]  It says, job 23735, which is the PID of the child,
[2945.68s -> 2947.60s]  removed from the job list.
[2947.60s -> 2951.20s]  And then it says, job 23735 added to the job list.
[2951.20s -> 2953.20s]  And then it says the date, great.
[2953.20s -> 2954.68s]  Or actually it said the date first, in fact,
[2954.68s -> 2957.72s]  because it said the date and then ended.
[2957.72s -> 2959.12s]  And then it did the same thing,
[2959.12s -> 2961.12s]  and then it says the next job was removed
[2961.16s -> 2963.88s]  and then added and then removed and then added.
[2963.88s -> 2966.72s]  Now, you're probably saying to yourself,
[2966.72s -> 2968.16s]  well, that's kind of dumb.
[2968.16s -> 2972.00s]  The job lists here, they're being removed
[2972.00s -> 2974.20s]  before they're being added.
[2974.20s -> 2975.04s]  Right?
[2975.04s -> 2975.86s]  And you've got to say to yourself,
[2975.86s -> 2977.48s]  well, why is that happening?
[2978.28s -> 2979.12s]  Right?
[2979.12s -> 2980.44s]  Well, what did we do to make it happen?
[2980.44s -> 2981.88s]  That's the bigger question.
[2981.88s -> 2982.72s]  Yeah.
[2982.72s -> 2983.56s]  Comment or question.
[2983.56s -> 2985.08s]  I just want to do that because we,
[2985.08s -> 2986.96s]  like, force the parent on the CPU.
[2986.96s -> 2987.80s]  Yeah.
[2987.80s -> 2990.08s]  We did this little sleep for one second, right?
[2990.32s -> 2993.00s]  Well, by the time it gets to that sleep,
[2993.00s -> 2995.84s]  the child is already on its way.
[2995.84s -> 2998.60s]  And the date does not take more than one second to happen.
[2998.60s -> 3001.32s]  It happens, like, instantly, right?
[3001.32s -> 3004.36s]  When the date function is done, command is done,
[3004.36s -> 3005.96s]  it calls the signal handler.
[3005.96s -> 3009.66s]  All of that happens before one second is done.
[3009.66s -> 3011.04s]  Now, you'll notice when I run it
[3011.04s -> 3012.96s]  that one second actually doesn't happen
[3012.96s -> 3013.76s]  by the time it says.
[3013.76s -> 3016.88s]  It's because sleep does not wait that one second.
[3016.92s -> 3021.00s]  If I change the snooze, it would actually wait one second.
[3021.00s -> 3023.52s]  But in this case, it just wakes up immediately in that case.
[3023.52s -> 3024.36s]  Hasna?
[3024.36s -> 3025.52s]  If you remove the sleep,
[3025.52s -> 3028.20s]  wouldn't it also sometimes run to the issue
[3028.20s -> 3032.64s]  because if that didn't do automatically return to the child
[3032.64s -> 3033.92s]  then you would...
[3033.92s -> 3035.08s]  Yeah, very good question.
[3035.08s -> 3035.92s]  Very good comment.
[3035.92s -> 3036.92s]  The question and comment was,
[3036.92s -> 3037.76s]  wait, wait, wait.
[3037.76s -> 3038.76s]  If we removed sleep one,
[3038.76s -> 3041.52s]  wouldn't it still have this potential problem?
[3041.52s -> 3043.36s]  Because you don't know if the date command
[3043.36s -> 3046.08s]  is going to run faster than this command is going to get to.
[3046.12s -> 3047.12s]  Absolutely.
[3047.12s -> 3047.96s]  Like you don't know that.
[3047.96s -> 3051.32s]  And we're purposely putting in this sleep in here to say,
[3051.32s -> 3053.12s]  hey, this is something that could happen
[3053.12s -> 3054.64s]  even though we're forcing it to,
[3054.64s -> 3055.60s]  so we know what's going to happen
[3055.60s -> 3056.78s]  because we're forcing it to.
[3056.78s -> 3058.72s]  But yeah, these are race conditions.
[3058.72s -> 3060.04s]  You can't predict them.
[3060.04s -> 3061.30s]  Very good point.
[3063.08s -> 3063.92s]  Yeah.
[3063.92s -> 3065.32s]  So if you had the print,
[3065.32s -> 3067.60s]  like that's the print you would add to the list
[3067.60s -> 3070.60s]  before you checked if it was the child,
[3070.60s -> 3072.04s]  what would happen?
[3072.04s -> 3074.14s]  If you had this right here
[3074.14s -> 3076.18s]  before you checked if it was the child,
[3077.22s -> 3078.98s]  it would all, well,
[3078.98s -> 3080.86s]  remember that you would get parent printed twice
[3080.86s -> 3084.66s]  in that case because the child and the parent would do it.
[3084.66s -> 3087.82s]  So that's not really what we wanted to do in this case.
[3087.82s -> 3088.94s]  But you see the issue here.
[3088.94s -> 3090.14s]  We've got this race condition
[3090.14s -> 3091.98s]  and really what we want to do
[3091.98s -> 3095.10s]  is we want the child not to send that signal
[3095.10s -> 3098.82s]  until after this command.
[3098.82s -> 3100.42s]  That's what we want.
[3100.42s -> 3102.66s]  Okay, we want the child to,
[3102.66s -> 3103.70s]  maybe it ends.
[3104.22s -> 3105.54s]  We don't care if the child ends.
[3105.54s -> 3107.54s]  We just don't want that signal to be sent
[3107.54s -> 3111.30s]  until we're ready for that signal to be sent.
[3111.30s -> 3112.42s]  Okay, and in this case,
[3112.42s -> 3115.22s]  it's going to be after we've added the job to the list
[3115.22s -> 3116.54s]  because that would be kind of hard.
[3116.54s -> 3117.74s]  This is especially true
[3117.74s -> 3120.02s]  if you literally were keeping some list
[3120.02s -> 3121.34s]  that you needed to,
[3121.34s -> 3123.46s]  like if it was a queue or something
[3123.46s -> 3126.26s]  or some set or something of like the list
[3126.26s -> 3128.48s]  and you tried to remove it before you added it,
[3128.48s -> 3130.18s]  well, you're going to crash, right?
[3130.18s -> 3131.06s]  Or there's some other like,
[3131.06s -> 3132.18s]  oh, I can't remove that job
[3132.18s -> 3133.02s]  even though it ended.
[3133.62s -> 3136.98s]  Right, so you need to somehow be able to say,
[3136.98s -> 3141.66s]  don't call that signal until after this printf
[3141.66s -> 3142.84s]  in this case.
[3142.84s -> 3144.82s]  All right, so how are we going to do that?
[3144.82s -> 3146.62s]  Okay, there's the thing we just did.
[3147.58s -> 3148.78s]  What we need to do,
[3148.78s -> 3149.62s]  okay, well, this is,
[3149.62s -> 3151.78s]  we actually kind of went through all this detail here.
[3151.78s -> 3153.48s]  What we need to do is we need to use
[3153.48s -> 3156.92s]  a different type of system call here.
[3156.92s -> 3159.38s]  Okay, we need to have this idea
[3159.38s -> 3163.94s]  of a signal set.
[3163.94s -> 3168.94s]  And this signal set is going to be a data structure
[3169.82s -> 3174.34s]  that says, when you call this function called
[3174.34s -> 3177.90s]  SIGPROCMASK, it says,
[3177.90s -> 3181.34s]  don't let a particular signal get called
[3181.34s -> 3183.10s]  until we unblock it.
[3184.02s -> 3186.54s]  Okay, so we're going to block some signal.
[3186.54s -> 3188.62s]  In fact, sometimes you can block as many signals
[3188.74s -> 3190.38s]  as you want, but we're going to, in particular,
[3190.38s -> 3193.54s]  block the SIGCHILD until we're ready
[3193.54s -> 3196.94s]  for that SIGCHILD to be okay to be fired.
[3197.82s -> 3199.10s]  That's all we're doing.
[3199.10s -> 3202.38s]  Okay, there's three different types,
[3202.38s -> 3204.52s]  like functions we have to deal with in this case.
[3204.52s -> 3208.34s]  The one is called SIGEMPTYSET.
[3208.34s -> 3209.94s]  Let me make this a little bigger.
[3209.94s -> 3211.34s]  One is called SIGEMPTYSET,
[3211.34s -> 3216.34s]  and SIGEMPTYSET basically takes this SIGSETT type
[3216.60s -> 3218.82s]  that we have, and it kind of initializes it.
[3218.82s -> 3221.78s]  It says there are no signals in that set.
[3221.78s -> 3223.26s]  Okay, it's just an initialization.
[3223.26s -> 3225.74s]  And by the way, this signal set's basically an integer.
[3225.74s -> 3226.94s]  It's got a bunch of bits,
[3226.94s -> 3228.78s]  obviously it's got a bunch of bits in it.
[3228.78s -> 3231.34s]  The bits are set depending on the signal.
[3231.34s -> 3232.54s]  And it's a 32-bit integer.
[3232.54s -> 3235.26s]  It turns out there's less than 32 signals.
[3235.26s -> 3237.22s]  So we can get away with that.
[3237.22s -> 3242.10s]  Then if you want to add a particular signal to a set,
[3242.10s -> 3245.84s]  you say, okay, I'm going to pass in the set
[3246.20s -> 3247.72s]  that I'm going to add, and then I'm going to tell it
[3247.72s -> 3252.20s]  which signal I want to actually add to that set.
[3252.20s -> 3253.16s]  Okay, you can also remove them.
[3253.16s -> 3254.40s]  The three that we're going to care about right now
[3254.40s -> 3255.56s]  are these three.
[3255.56s -> 3260.56s]  And then if you want to, say, go block this signal,
[3260.94s -> 3265.94s]  you call SIGPROCMASK with a value called SIGBLOCK,
[3270.20s -> 3274.24s]  then you pass in the SIGSET that you care about.
[3274.24s -> 3278.32s]  You can also get back the signal
[3278.32s -> 3281.02s]  that have already been set.
[3281.02s -> 3282.52s]  Like it's kind of one of those weird things
[3282.52s -> 3284.24s]  where they're like, well, we're not going to tell you.
[3284.24s -> 3288.44s]  Remember like from day one where we talked about UMASK
[3288.44s -> 3289.72s]  and there was that weird thing where the only way
[3289.72s -> 3291.52s]  to check UMASK was to actually change it
[3291.52s -> 3292.92s]  and you get back what you checked?
[3292.92s -> 3295.04s]  It's the same sort of thing here.
[3295.04s -> 3297.32s]  Why they did this is just historical, I'm guessing.
[3297.32s -> 3298.60s]  But anyway, most of the time,
[3298.60s -> 3301.00s]  we're not going to care about the existing set.
[3301.00s -> 3302.96s]  We're just going to say, look, here's our new set.
[3303.00s -> 3304.64s]  I don't care what signals are already done.
[3304.64s -> 3305.62s]  Let's just go with it.
[3305.62s -> 3307.60s]  If you're writing a more robust program,
[3307.60s -> 3309.56s]  you might care about that.
[3309.56s -> 3310.44s]  Okay, all right.
[3310.44s -> 3314.12s]  So let's see how this actually works in practice.
[3314.12s -> 3319.12s]  So let's go modify our main function here.
[3323.98s -> 3325.48s]  We're not going to have to do anything, by the way,
[3325.48s -> 3326.52s]  to the reprocesses.
[3326.52s -> 3329.24s]  We're just going to have to change main here
[3329.24s -> 3331.34s]  to have this signal set that we're going to block
[3331.34s -> 3333.02s]  and you'll see how that happens.
[3333.02s -> 3334.86s]  Okay, all right.
[3334.86s -> 3337.06s]  So what we're going to do is we're going to the same thing.
[3337.06s -> 3338.50s]  We're going to set up this signal
[3338.50s -> 3340.74s]  and then we are going to say, okay, fine.
[3340.74s -> 3343.38s]  I'm going to get a SIG set underscore T
[3343.38s -> 3344.98s]  and I'm just going to call it my set.
[3344.98s -> 3349.18s]  I'm going to initialize it by calling SIG empty set.
[3350.46s -> 3352.74s]  SIG empty set.
[3352.74s -> 3355.98s]  And then we pass in a pointer to the set.
[3355.98s -> 3360.34s]  And then we say, let's add the SIG child to that.
[3360.34s -> 3363.20s]  SIG add set.
[3364.14s -> 3369.14s]  SIG, or sorry, set and SIG CHLD.
[3371.46s -> 3372.50s]  Okay, all right.
[3372.50s -> 3376.02s]  So at this point, now we've got our set
[3376.02s -> 3377.46s]  that we're going to be able to say,
[3377.46s -> 3379.14s]  hey, wait for this signal,
[3379.14s -> 3381.82s]  like block this signal until we're ready for it.
[3381.82s -> 3384.14s]  Okay, we don't need to quite block it yet, right?
[3384.14s -> 3388.78s]  We want to block it before we actually have the chance
[3388.78s -> 3392.74s]  to call it, like before we actually do fork
[3392.74s -> 3397.74s]  because at that point we needed to be blocked, okay.
[3397.86s -> 3401.74s]  So at this point, we're going to say SIG proc mask.
[3401.74s -> 3403.72s]  Okay, SIG block.
[3404.88s -> 3407.22s]  And then we are going to pass in our set
[3407.22s -> 3410.98s]  and we're not going to care about the other set.
[3410.98s -> 3413.06s]  So at this point, right before fork,
[3413.06s -> 3414.98s]  we have blocked the signals.
[3414.98s -> 3417.14s]  It turns out, and this is a good thing
[3417.18s -> 3420.14s]  as it turns out, blocked signals
[3420.14s -> 3421.94s]  are passed along to your children.
[3421.94s -> 3423.92s]  Whatever signals are blocked in the parent
[3423.92s -> 3426.52s]  are also blocked in the children.
[3426.52s -> 3428.38s]  And the reason for that is so that we can do this.
[3428.38s -> 3429.46s]  I mean, that's really the basic,
[3429.46s -> 3431.82s]  the main reason that we did this
[3431.82s -> 3432.78s]  is so that we can do that.
[3432.78s -> 3435.86s]  So by the time you get to this child part,
[3436.94s -> 3439.18s]  by the time we actually run the date command,
[3439.18s -> 3440.62s]  we are not allowed,
[3440.62s -> 3442.28s]  in fact, the program is not allowed
[3442.28s -> 3446.30s]  to call the SIG child signal.
[3446.34s -> 3450.22s]  Now, it doesn't mean that it gets like ignored forever.
[3450.22s -> 3451.86s]  If once we unblock the signals,
[3451.86s -> 3454.06s]  that queue of signals that need to be sent,
[3454.06s -> 3455.74s]  we'll go, oh, okay, the operating system will go,
[3455.74s -> 3457.98s]  oh, great, I've got this child that's ended,
[3457.98s -> 3458.82s]  I'd better call it.
[3458.82s -> 3461.78s]  But it's only after we unblock it, okay.
[3461.78s -> 3463.34s]  All right.
[3463.34s -> 3466.06s]  So what do we have to do at this point?
[3466.06s -> 3471.06s]  We now need to in the child,
[3471.26s -> 3473.66s]  this is going to seem a little strange,
[3473.66s -> 3477.82s]  but in the child, we're going to do SIG proc mask, okay.
[3477.82s -> 3480.76s]  Actually, I kind of lied to you a little bit earlier.
[3481.76s -> 3485.82s]  The reason the signals get blocked in the children
[3485.82s -> 3487.26s]  is not because of this actually,
[3487.26s -> 3489.60s]  it's because you may want the children
[3489.60s -> 3493.30s]  to also be able to block on their signal.
[3493.30s -> 3495.26s]  And it might be because you're running
[3495.26s -> 3496.58s]  the same sort of program.
[3496.58s -> 3498.38s]  We will see why that's actually not important
[3498.38s -> 3500.66s]  because of what I'm exactly going to do right now.
[3500.66s -> 3505.66s]  We're going to unblock for the child only right there.
[3510.54s -> 3515.54s]  So in other words, what if date call the child process?
[3516.22s -> 3519.26s]  If we didn't unblock at that point,
[3519.26s -> 3521.00s]  the date function would start out
[3521.00s -> 3523.42s]  with its child process blocked.
[3523.42s -> 3524.66s]  And date doesn't do that,
[3524.66s -> 3526.22s]  so it doesn't actually matter that much.
[3526.22s -> 3528.46s]  But if date had its own child,
[3528.46s -> 3531.90s]  because the signal sets are passed along
[3531.90s -> 3534.62s]  to their children, date would also have that issue
[3534.62s -> 3537.42s]  and it might not be able to handle that, okay.
[3537.42s -> 3539.94s]  So who knows, that might be an issue.
[3539.94s -> 3541.16s]  But for now, what we're doing is we're saying,
[3541.16s -> 3543.08s]  in the child, go ahead and unblock
[3543.08s -> 3544.30s]  because it doesn't matter.
[3544.30s -> 3545.94s]  The child, we don't care if the child
[3545.94s -> 3548.02s]  gets a child handler called.
[3548.02s -> 3551.22s]  We care about the parent's child handler getting called
[3551.22s -> 3553.10s]  and we don't want it to unblock
[3553.10s -> 3558.10s]  until right here after the printf, okay.
[3558.18s -> 3562.82s]  So after the printf, sig proc mask,
[3562.82s -> 3567.82s]  sig unblock in the parent set.
[3568.52s -> 3570.68s]  We don't care about what the previous one was,
[3570.68s -> 3572.30s]  no, like that.
[3572.30s -> 3576.74s]  After this, now, when the child signal,
[3576.74s -> 3579.46s]  or the parent's signal handler can get called
[3579.46s -> 3582.34s]  when the child ends, it probably already will have ended
[3582.34s -> 3584.54s]  because we just waited for a whole second.
[3584.54s -> 3587.00s]  And in this case, it's a really fast function.
[3588.00s -> 3588.84s]  Question.
[3588.84s -> 3590.40s]  Can you explain again why
[3590.40s -> 3594.40s]  on the unblock inside the child doesn't unblock?
[3596.36s -> 3597.80s]  Yes, very good question.
[3597.80s -> 3599.48s]  The question is, wait a minute, go back a second
[3599.48s -> 3603.40s]  and explain why unblocking the child,
[3603.40s -> 3605.42s]  unblocking the signal in the child
[3605.42s -> 3608.88s]  doesn't have anything to do with the parent, okay.
[3608.88s -> 3612.20s]  The parent, forget about the child for a second.
[3612.20s -> 3614.48s]  The parent has a main function
[3614.48s -> 3616.48s]  and it has a child, a signal handler
[3616.52s -> 3617.70s]  for the sig child.
[3618.76s -> 3622.68s]  The parent's sig child handler gets called
[3622.68s -> 3626.96s]  when the child ends, unless we have told the parent,
[3626.96s -> 3630.12s]  we're not gonna let you accept that signal,
[3630.96s -> 3631.80s]  really what it is,
[3631.80s -> 3635.68s]  or you can't send that signal to the parent, okay.
[3635.68s -> 3637.76s]  So it doesn't matter if the child's signal
[3637.76s -> 3639.24s]  is blocked or not.
[3639.24s -> 3642.32s]  That's dealing with its own children if it had some.
[3642.32s -> 3643.16s]  So it doesn't matter.
[3643.16s -> 3647.52s]  So when you say sig proc mask sig unblock inside the child,
[3647.52s -> 3649.78s]  it's just saying, I'm making sure the child
[3649.78s -> 3652.68s]  doesn't have any signals of its own blocked right now.
[3653.76s -> 3655.28s]  And then, and that might,
[3655.28s -> 3658.84s]  cause that might be important to the child, right.
[3658.84s -> 3661.48s]  In the parent though, even here,
[3661.48s -> 3663.88s]  we are still blocking that signal for the parent
[3663.88s -> 3666.44s]  because the last thing the parent saw
[3666.44s -> 3670.74s]  was this block right here before it forked.
[3670.74s -> 3673.50s]  So the parent's child handler
[3673.50s -> 3678.06s]  is not going to get called until line 45 down here,
[3678.06s -> 3683.06s]  when we call unblock, we'd say sig proc mask unblock,
[3683.18s -> 3685.18s]  sig unblock on that set.
[3685.18s -> 3688.26s]  At that point, now the parent's signal handler
[3688.26s -> 3690.54s]  can get called and it will get called
