# Detected language: en (p=1.00)

[0.00s -> 1.48s]  Hello, hello.
[2471.30s -> 2472.30s]  They can buffer connections.
[2472.30s -> 2475.70s]  You can go backwards and forwards using a file star
[2475.70s -> 2476.94s]  or an IO stream.
[2476.94s -> 2478.34s]  You can rewind, et cetera.
[2478.34s -> 2479.66s]  You can't do that with read and write.
[2479.66s -> 2483.38s]  You have to manually figure out the details of that
[2483.38s -> 2484.72s]  in a library function.
[2484.72s -> 2486.66s]  So, read and write are going to be fast,
[2486.66s -> 2490.02s]  but they're really not that developed, right?
[2490.02s -> 2492.74s]  You have to go through that while loop to write out.
[2492.74s -> 2495.46s]  Otherwise, you may miss writing some other bytes.
[2495.46s -> 2499.74s]  Okay, those are the big things about read and write.
[2499.74s -> 2501.06s]  Okay, what are their questions?
[2501.06s -> 2501.88s]  Anything?
[2503.62s -> 2506.82s]  All right, so let's move on
[2506.82s -> 2509.58s]  to another program called T.
[2509.58s -> 2514.58s]  Okay, now T is a program that you have built into Linux.
[2515.66s -> 2519.14s]  Okay, and T works like this.
[2519.14s -> 2522.02s]  Okay, T does the following.
[2522.02s -> 2526.38s]  It says, okay, take input from the command line
[2526.38s -> 2528.30s]  or piped in through another file
[2528.30s -> 2531.54s]  and then print it out to the output
[2531.54s -> 2535.82s]  and print it into any one of a number of files.
[2535.82s -> 2539.30s]  Okay, so for instance, I can say cat,
[2539.30s -> 2543.32s]  let's say t.c, which is a file I have,
[2543.32s -> 2546.34s]  cat t.c, no, I don't have t.c, hang on.
[2546.38s -> 2549.50s]  Maybe not, maybe if I went to the right file.
[2549.50s -> 2552.18s]  Let's see, lecture and then file system, there we go.
[2552.18s -> 2555.78s]  If I type cat t.c, it will print it out to the screen.
[2555.78s -> 2560.78s]  If I type cat t.c and then pipe it into the T program,
[2562.54s -> 2565.86s]  okay, what it will do is it will then say,
[2565.86s -> 2567.42s]  okay, fine, I'm gonna print it out to the screen
[2567.42s -> 2572.42s]  and I'm gonna copy it into t2.c and t3.c and t4.c
[2574.10s -> 2575.54s]  and whatever, and it will do that.
[2575.58s -> 2578.38s]  So it should print out to the screen, which it did,
[2578.38s -> 2583.38s]  and then if we look at t2.c, it's also there.
[2584.58s -> 2587.46s]  And it's the same thing for t3.c and t4.c.
[2587.46s -> 2589.58s]  Okay, do you get the idea of what t is doing?
[2589.58s -> 2590.70s]  Yeah.
[2590.70s -> 2591.98s]  Is it creating those new?
[2591.98s -> 2593.02s]  It's creating those.
[2593.02s -> 2594.30s]  If they already exist.
[2594.30s -> 2596.06s]  If they already exist, let's try.
[2596.06s -> 2599.58s]  Let's see if we, let's type a file called,
[2600.78s -> 2605.04s]  I don't know, d.txt and abcd,
[2605.56s -> 2607.36s]  and let's try the exact same thing,
[2607.36s -> 2611.72s]  except now we're gonna cat d, d.txt into this,
[2611.72s -> 2616.72s]  dot txt into t2, t3, and t4, t2.c, yup, it overwrites it.
[2620.02s -> 2621.12s]  Yeah, so it doesn't care.
[2621.12s -> 2623.00s]  In that case, it overwrites it.
[2623.00s -> 2624.88s]  Okay, so do you get what's going on here?
[2624.88s -> 2627.28s]  Take a file that, or standard input and do that.
[2627.28s -> 2630.38s]  By the way, standard input is normally you typing.
[2630.38s -> 2632.42s]  That's what standard input does.
[2632.42s -> 2634.34s]  If we did the same thing and I said,
[2634.50s -> 2637.62s]  instead of cat d.txt, I just said,
[2637.62s -> 2640.46s]  okay, t, t2, t3, t4, right?
[2640.46s -> 2644.90s]  And then I start typing, this is some text, right?
[2644.90s -> 2645.98s]  Well, it doubles it.
[2645.98s -> 2648.62s]  What it did, it took that, this is some text,
[2648.62s -> 2649.78s]  and it printed it out to the screen,
[2649.78s -> 2651.58s]  and it threw them into the files,
[2651.58s -> 2654.78s]  and then this is some more text.
[2654.78s -> 2656.10s]  It does the same thing,
[2656.10s -> 2660.38s]  until I type control d, which says end of file.
[2660.38s -> 2661.98s]  That's, by the way, what that means in there.
[2662.02s -> 2665.58s]  And then if we look at t2.c now,
[2665.58s -> 2667.90s]  it's this is some text, this is some other text.
[2667.90s -> 2670.02s]  Okay, so standard input is you typing,
[2670.02s -> 2673.98s]  or getting information from the output of another file.
[2673.98s -> 2676.06s]  That's what the little pipe symbol does.
[2676.06s -> 2678.18s]  Okay, you will be very familiar with that pipe symbol
[2678.18s -> 2680.62s]  by the end of this class, I guarantee it.
[2680.62s -> 2685.38s]  Okay, all right, let's look at t.c.
[2685.38s -> 2689.86s]  Let's actually look at how we might do this, okay?
[2690.86s -> 2693.06s]  Well, what do we have to do?
[2693.06s -> 2695.14s]  We said, take standard input,
[2695.14s -> 2697.10s]  we have to figure out how to do that.
[2697.10s -> 2698.70s]  We're going to print the standard input
[2698.70s -> 2700.98s]  to standard output, we have to figure out how to do that.
[2700.98s -> 2703.54s]  And then we have to open up as many files
[2703.54s -> 2706.54s]  as we type on the command line,
[2706.54s -> 2708.74s]  and then open them up and print the data
[2708.74s -> 2710.22s]  to those as well.
[2710.22s -> 2712.00s]  We might want a helper function for this,
[2712.00s -> 2713.46s]  just because it seems like there's gonna be
[2713.46s -> 2716.34s]  a lot of things going on here, okay?
[2716.34s -> 2719.06s]  But let's actually start this off and say, okay, fine.
[2719.10s -> 2721.78s]  Int file descriptors.
[2721.78s -> 2723.88s]  If we have a command line,
[2723.88s -> 2727.74s]  you remember that the command line is argv and argc.
[2727.74s -> 2729.66s]  Argc says how many different things
[2729.66s -> 2731.50s]  you've typed on the command line.
[2731.50s -> 2733.74s]  The first one is the program name,
[2733.74s -> 2735.30s]  and the rest are the things you typed
[2735.30s -> 2737.42s]  after the program name, okay?
[2737.42s -> 2742.38s]  We need to create argc number of files.
[2742.38s -> 2743.20s]  Why?
[2743.20s -> 2747.50s]  If I type, if I type, let's see, let's do this.
[2747.50s -> 2752.50s]  If I type t abc.txt def.txt, right?
[2754.80s -> 2756.96s]  We've got a file that's going to the output.
[2756.96s -> 2758.80s]  We've got a file for abc.txt,
[2758.80s -> 2761.54s]  and we've got a file for def.txt.
[2761.54s -> 2763.46s]  Three things on the command line means argc
[2763.46s -> 2764.38s]  is gonna be three.
[2764.38s -> 2766.78s]  That's how many file descriptors we need,
[2766.78s -> 2768.82s]  as it turns out, okay?
[2768.82s -> 2770.20s]  So let's go back up here and do that.
[2770.20s -> 2772.44s]  So we do that, okay?
[2772.44s -> 2776.26s]  Well, then we need to actually
[2778.30s -> 2781.60s]  create those files, except for standard in, right?
[2781.60s -> 2785.78s]  Or rather, standard out in this case, okay?
[2785.78s -> 2787.82s]  Because standard out is going to be created
[2787.82s -> 2788.86s]  for you already.
[2788.86s -> 2790.18s]  Turns out it already exists.
[2790.18s -> 2792.02s]  Here's how that works, okay?
[2792.02s -> 2797.02s]  Fds0 in this case equals stdout, standard out file.
[2798.86s -> 2800.14s]  That's what it's called.
[2800.14s -> 2803.06s]  Standard out and standard in already exist.
[2803.06s -> 2804.82s]  There are two, there's another one too.
[2805.38s -> 2809.62s]  Well, there's standard in .t file.
[2809.62s -> 2813.38s]  There's also standard error .file,
[2813.38s -> 2815.92s]  or standard error underscore file.
[2815.92s -> 2817.96s]  That's because sometimes you want your program
[2817.96s -> 2820.04s]  to print regular output and also output
[2820.04s -> 2823.46s]  that's an error or debugging or whatever,
[2823.46s -> 2824.30s]  just the way it goes.
[2824.30s -> 2825.74s]  There's three different types of files
[2825.74s -> 2829.14s]  that are created for you as we go, okay?
[2829.14s -> 2831.22s]  So that's how that one works, all right?
[2831.22s -> 2834.22s]  And then we have to open all those other files.
[2834.26s -> 2835.58s]  So let's do it this way.
[2835.58s -> 2839.74s]  Size t, i equals one, we've already created fds0.
[2839.74s -> 2844.74s]  i equals one, i is less than argc, i plus plus, okay?
[2845.38s -> 2847.38s]  And what we're gonna do here
[2847.38s -> 2852.38s]  is we are going to say fds i equals open argv of i,
[2856.58s -> 2858.26s]  and then now we're going to do the,
[2858.26s -> 2859.90s]  okay, we're gonna write output to these,
[2859.90s -> 2862.94s]  so write only, okay?
[2862.94s -> 2866.46s]  And we're gonna bitwise or that with o create,
[2866.46s -> 2867.50s]  because we're creating the file.
[2867.50s -> 2869.02s]  And then there's one other that we haven't seen yet
[2869.02s -> 2872.50s]  called o trunk, this is the one that says,
[2872.50s -> 2874.38s]  if the file exists, wipe it out
[2874.38s -> 2876.04s]  before you're putting the other stuff into it.
[2876.04s -> 2877.74s]  That's what your question kind of goes to.
[2877.74s -> 2880.88s]  And then we can say, oh, let's try to do 044,
[2880.88s -> 2884.20s]  but we know that may or may not work, okay?
[2884.20s -> 2885.04s]  That's how we're doing that.
[2885.04s -> 2885.96s]  Now we've opened all those files
[2885.96s -> 2888.70s]  we're about to push out to, okay?
[2888.70s -> 2892.82s]  Well, let's read in the data, char buffer,
[2893.66s -> 2895.46s]  we'll make it 2048 this time, why not?
[2895.46s -> 2899.16s]  Okay, while true, this is gonna look very familiar
[2899.16s -> 2900.90s]  to what we did before, okay?
[2900.90s -> 2905.90s]  While true, s size t, remember that's a signed integer,
[2906.48s -> 2910.58s]  number of bytes read equals read,
[2910.58s -> 2913.02s]  we're gonna read from where?
[2913.02s -> 2915.90s]  Standard in file number, that's what we said.
[2915.90s -> 2917.54s]  We said we read from the input file,
[2917.54s -> 2921.34s]  from the typing or data piped in from another file,
[2921.34s -> 2922.74s]  output piped in.
[2923.70s -> 2928.70s]  Size of buffer, okay, so we do that, okay?
[2929.78s -> 2933.20s]  And then if num read equals zero,
[2933.20s -> 2934.48s]  we mean we're done,
[2934.48s -> 2935.54s]  because we don't have anything else to do.
[2935.54s -> 2937.78s]  And this is where we'll use our little helper function
[2937.78s -> 2941.48s]  here to write output to all those different files.
[2941.48s -> 2946.48s]  So let's see, we'll do another size t i equals zero,
[2946.74s -> 2950.22s]  i is less than arg c, i plus,
[2950.22s -> 2951.82s]  plus we need to do all of them.
[2951.82s -> 2953.22s]  We'll do a function called write all,
[2953.22s -> 2954.78s]  which we'll write in a second.
[2954.78s -> 2956.06s]  And then we are going to do,
[2956.06s -> 2961.06s]  we're gonna write it out to a buffer, i in this case,
[2961.14s -> 2963.42s]  and then, or to a file descriptor,
[2963.42s -> 2967.06s]  and then the amount of bytes read, okay?
[2969.50s -> 2971.34s]  And then that will do that,
[2971.34s -> 2973.82s]  sorry for the size of the screen.
[2973.82s -> 2978.66s]  And then we are going to, let's see,
[2978.66s -> 2980.30s]  that's on one line, so that actually will work.
[2980.30s -> 2981.70s]  And then afterwards,
[2981.70s -> 2983.34s]  we're done writing to all those files.
[2983.34s -> 2984.82s]  We have to close them all.
[2984.82s -> 2989.14s]  Well, we better do another size t i equals zero,
[2989.14s -> 2992.78s]  i is less than arg c, i plus, plus, right?
[2992.78s -> 2997.78s]  And in this case, we're going to close fds i.
[2998.50s -> 3000.30s]  You can close the input if you want to.
[3000.30s -> 3002.06s]  If you're done with it in your program, close it.
[3002.06s -> 3003.84s]  It's still opened in all the other programs
[3003.84s -> 3004.68s]  that might be running.
[3004.68s -> 3007.78s]  So it's not like you're ruining anything for anybody, okay?
[3007.78s -> 3009.86s]  And then now we can return zero,
[3010.30s -> 3011.70s]  which I might already have in there, I do.
[3011.70s -> 3012.90s]  Okay, so that's that.
[3012.90s -> 3014.46s]  Let's see if there's any issue there.
[3014.46s -> 3015.66s]  There will probably be, there will be an issue
[3015.66s -> 3018.30s]  because we haven't created the write all function yet,
[3018.30s -> 3021.50s]  but let's see.
[3021.50s -> 3024.18s]  Comparisons do not have their mathematical meaning.
[3024.18s -> 3027.50s]  Oh no, line 21.
[3027.50s -> 3029.42s]  Did you guys notice that?
[3029.42s -> 3031.42s]  21, there we go.
[3031.42s -> 3032.70s]  Oh, thank you.
[3032.70s -> 3035.82s]  Semicolon, there we go.
[3037.42s -> 3038.94s]  Better?
[3038.98s -> 3040.02s]  Try it again.
[3040.02s -> 3041.02s]  Oh no, what have I done?
[3041.02s -> 3041.86s]  There we go.
[3043.70s -> 3045.26s]  All right, there we go.
[3045.26s -> 3046.70s]  Implicit declaration of,
[3046.70s -> 3050.36s]  and standard out underscore file under layered.
[3051.46s -> 3055.38s]  Let's see, standard, oh, file number is what it is.
[3055.38s -> 3056.22s]  Thank you.
[3056.22s -> 3057.42s]  I was getting it wrong.
[3057.42s -> 3062.42s]  It is standard out file, like this.
[3063.98s -> 3065.54s]  File new, like that.
[3065.54s -> 3067.46s]  And the same thing, there we go, I did the same thing.
[3067.50s -> 3069.26s]  Okay, let's try it again.
[3069.26s -> 3071.54s]  Okay, so what we need to do now
[3071.54s -> 3073.74s]  is just quickly write that other function,
[3073.74s -> 3075.24s]  which is just write all,
[3075.24s -> 3077.50s]  which should look very familiar to the copy function.
[3077.50s -> 3081.94s]  Static void write all.
[3081.94s -> 3084.42s]  What does a static function do?
[3084.42s -> 3085.50s]  You better remember.
[3088.46s -> 3090.88s]  Only visible in the current file.
[3090.88s -> 3094.06s]  You should write your local functions as static
[3094.06s -> 3099.02s]  just because it's nice to not pollute the name spaces
[3099.02s -> 3100.50s]  too much if you can help it.
[3100.50s -> 3105.50s]  Okay, we're going to do a buffer and a length.
[3105.70s -> 3108.14s]  Okay, and in this function,
[3108.14s -> 3110.90s]  we are going to do the same exact thing we did before.
[3110.90s -> 3115.90s]  Size T num written equals zero.
[3116.26s -> 3121.26s]  And then while num written is less than the length
[3121.48s -> 3124.82s]  that was passed in, we are going to do what?
[3124.82s -> 3129.06s]  We're going to do num written plus equals write.
[3129.06s -> 3131.30s]  We're writing the output to each of those files.
[3131.30s -> 3133.26s]  Okay, to the file descriptor we passed in,
[3133.26s -> 3137.58s]  the buffer plus the number of bytes we've already written
[3137.58s -> 3142.58s]  and the length minus number of written bytes.
[3142.94s -> 3144.70s]  And that should do it.
[3144.70s -> 3146.38s]  And that's all our function is.
[3146.38s -> 3148.10s]  Question, yeah.
[3148.58s -> 3151.24s]  What do you, why do you do that?
[3154.02s -> 3155.02s]  Here?
[3155.02s -> 3156.46s]  Yeah, so what does that mean?
[3156.46s -> 3158.02s]  Remember what the T command is doing.
[3158.02s -> 3161.50s]  It's reading from you typing, which is standard input.
[3161.50s -> 3164.30s]  So in this case, we have to open that file for,
[3164.30s -> 3166.18s]  we have to open it to be able to read to,
[3166.18s -> 3167.42s]  or sorry, we have to not open it.
[3167.42s -> 3169.90s]  We have to set it because it's already open for you.
[3169.90s -> 3171.66s]  So we need that file descriptor.
[3171.66s -> 3173.58s]  That's how we do it.
[3173.58s -> 3174.42s]  Good question.
[3175.54s -> 3177.04s]  Other questions on this before I try it?
[3177.04s -> 3177.88s]  Yeah, Chase.
[3177.88s -> 3182.88s]  Is there a set order that you have to put the commands in?
[3183.28s -> 3185.52s]  Could you put o create in the frame?
[3185.52s -> 3188.04s]  Nope, it's an or, so you can do it in any order.
[3188.04s -> 3189.36s]  Totally associated like that.
[3189.36s -> 3190.84s]  Good question.
[3190.84s -> 3191.68s]  Anybody else?
[3192.72s -> 3194.36s]  All right, let's try it.
[3194.36s -> 3198.80s]  Make, oh it's a different file.
[3198.80s -> 3203.68s]  Okay, so T, if I do dot slash T,
[3203.68s -> 3208.52s]  and then I say, f file one dot txt, file two dot txt,
[3208.52s -> 3212.40s]  right, and I start typing, this is me typing,
[3212.40s -> 3215.48s]  more typing, right, and then control D,
[3215.48s -> 3217.94s]  I should be able to look in f one dot txt
[3217.94s -> 3219.64s]  and see that that's where it was.
[3220.64s -> 3221.48s]  Okay.
[3223.08s -> 3227.52s]  So, what questions do you have about that?
[3227.52s -> 3231.64s]  We've now learned about standard file in,
[3231.72s -> 3234.68s]  standard in file number, and standard out file number,
[3234.68s -> 3235.76s]  input and output, there's also
[3235.76s -> 3238.48s]  standard error file number, okay.
[3238.48s -> 3240.32s]  In our little program here,
[3240.32s -> 3242.48s]  we're assuming everything succeeded,
[3242.48s -> 3244.64s]  but the actual code, which you can go look at online,
[3244.64s -> 3246.16s]  has more error checking.
[3246.16s -> 3247.80s]  You should probably do more error checking.
[3247.80s -> 3249.98s]  For our class, we're not quite as worried
[3249.98s -> 3252.68s]  about most error checking, but you'll see
[3252.68s -> 3255.32s]  in various assignments when it's important.
[3255.32s -> 3256.48s]  Okay.
[3256.48s -> 3258.48s]  Other questions on that?
[3258.48s -> 3261.04s]  All right, that is T.
[3262.48s -> 3263.52s]  Okay.
[3263.52s -> 3266.40s]  So, we're gonna continue to dig a little deeper
[3266.40s -> 3269.94s]  into file system sorts of things, okay.
[3269.94s -> 3274.16s]  There are two functions, stat and lstat,
[3274.16s -> 3276.90s]  which are system calls, and again,
[3276.90s -> 3281.28s]  a system call is a function that the kernel runs, okay,
[3281.28s -> 3283.08s]  your code calls it and then the kernel
[3283.08s -> 3285.32s]  takes over and runs it, okay,
[3285.32s -> 3289.78s]  and they populate this other thing called a struct stat,
[3289.78s -> 3291.70s]  unfortunately it's overloaded, okay,
[3291.70s -> 3296.12s]  struct stat is populated, the struct stat you pass in
[3296.12s -> 3299.22s]  is populated by the stat function, okay,
[3299.22s -> 3302.02s]  and stat and lstat are exactly the same,
[3302.02s -> 3304.66s]  except that if there is a link,
[3304.66s -> 3306.74s]  and we'll talk about links a little bit later,
[3306.74s -> 3309.78s]  stat returns the functions about the links itself,
[3309.78s -> 3311.82s]  lstat says, oh, I'm gonna go
[3311.82s -> 3313.98s]  check the details of that link.
[3313.98s -> 3315.98s]  What a link is, is think of an alias.
[3315.98s -> 3319.06s]  It's basically a name that points to some other file.
[3319.90s -> 3323.54s]  Okay, so we'll get to that in the next day or so, okay,
[3323.54s -> 3324.90s]  and you can definitely look these things up.
[3324.90s -> 3327.38s]  By the way, you should get very used to
[3327.38s -> 3330.74s]  typing things like man to stat and so forth,
[3330.74s -> 3333.66s]  to being the part of the manual that you need.
[3333.66s -> 3336.70s]  If you just type man stat, watch what happens.
[3336.70s -> 3340.18s]  I think it's a different, it's the built-in command
[3340.18s -> 3342.22s]  from Unix that gets run, or that you see,
[3342.22s -> 3345.02s]  instead of the library function, okay,
[3345.02s -> 3346.44s]  but you've got all the details here
[3346.44s -> 3349.46s]  for the library, for the function, okay,
[3350.06s -> 3355.06s]  and what they do, okay, is they populate this struct stat,
[3355.94s -> 3358.68s]  and this struct stat has some information in it
[3358.68s -> 3360.50s]  that might be useful to you.
[3360.50s -> 3364.26s]  Okay, we eventually will use the inumber, okay,
[3364.26s -> 3366.80s]  or the inode number, and then,
[3366.80s -> 3369.86s]  but the one we care about is this mode, okay,
[3369.86s -> 3374.26s]  and the mode is a bunch of different bits in one variable
[3374.26s -> 3378.06s]  that allows you to find out information about the file.
[3378.10s -> 3379.94s]  Okay, so you can extract information about the file.
[3379.94s -> 3381.02s]  Is it a directory?
[3381.02s -> 3384.62s]  Is it, I think, I don't know if that tells how big it is.
[3384.62s -> 3385.66s]  I don't think that tells how big it is,
[3385.66s -> 3390.26s]  but it says various information about a particular file.
[3390.26s -> 3395.26s]  Okay, and we want to actually do a little bit of coding
[3395.60s -> 3399.04s]  to show you what this is doing, okay?
[3399.04s -> 3401.42s]  So there's a function called find.
[3401.42s -> 3402.66s]  I used Unix for years and years
[3402.66s -> 3403.48s]  and didn't know about this,
[3403.48s -> 3404.98s]  and once I found out there was a function called find,
[3404.98s -> 3406.44s]  I went, oh boy, there's the,
[3406.48s -> 3408.20s]  I've been using it every day, and I have.
[3408.20s -> 3410.00s]  I use find every single day.
[3410.00s -> 3413.16s]  What find does is it allows you to search through
[3413.16s -> 3415.76s]  a set of directories recursively
[3415.76s -> 3419.00s]  and find a particular file or a pattern for a file.
[3419.00s -> 3420.56s]  So let's see, we happen to,
[3420.56s -> 3423.40s]  I know there's search dot whatever in here,
[3423.40s -> 3426.36s]  so if I go back up to, let's do this,
[3426.36s -> 3429.84s]  find live lecture,
[3429.84s -> 3434.84s]  and then search dot star, I'll put that in parentheses,
[3435.60s -> 3439.96s]  okay, then what it does is it goes and says anything
[3439.96s -> 3442.40s]  that actually, it sort of shows you,
[3442.40s -> 3444.12s]  well, actually in this case it didn't,
[3444.12s -> 3444.96s]  hang on, let me just do this.
[3444.96s -> 3446.96s]  I'll just say search like that,
[3446.96s -> 3450.52s]  and it will tell you where the various things
[3450.52s -> 3453.44s]  are found for that, okay?
[3453.44s -> 3454.60s]  Let's see.
[3454.60s -> 3456.36s]  Oh, you know what, find is a little different.
[3456.36s -> 3458.08s]  It means a thing called a dot name.
[3458.08s -> 3459.12s]  That's what it's looking for.
[3459.12s -> 3460.30s]  Okay, so there we go.
[3460.30s -> 3462.48s]  There's where search itself is.
[3462.48s -> 3466.40s]  If I wanted to find matching all the different ones,
[3466.40s -> 3468.04s]  I would type search star,
[3468.04s -> 3469.32s]  and it would give me all the different things
[3469.32s -> 3472.08s]  that had star or search in them,
[3472.08s -> 3473.60s]  which are all those files.
[3473.60s -> 3474.64s]  Okay, so it allows you to search
[3474.64s -> 3476.96s]  through various directories to find files
[3476.96s -> 3480.04s]  based on a file name or partial matches, okay?
[3480.04s -> 3481.32s]  So what we're gonna do is we're gonna write
[3481.32s -> 3484.88s]  a relatively simple program to actually do this,
[3484.88s -> 3488.64s]  and to do some searching to do exactly that.
[3488.64s -> 3493.16s]  If you do find, slash user, slash include,
[3493.16s -> 3496.92s]  and then look for stdio.h,
[3496.92s -> 3499.86s]  find slash user, slash include,
[3502.20s -> 3504.98s]  stdio, let's see, you gotta do the dash name,
[3504.98s -> 3509.98s]  stdio.h, and then print as it turns out.
[3510.00s -> 3510.82s]  There we go.
[3510.82s -> 3513.00s]  We'll list all the ones that are called stdio.h,
[3513.00s -> 3514.60s]  and there's a whole bunch of them as it turns out.
[3514.60s -> 3517.80s]  And our search function should do the exact same thing.
[3517.80s -> 3518.64s]  Okay?
[3519.92s -> 3522.40s]  We need to be able to read a file in,
[3522.40s -> 3523.56s]  see if it's a directory.
[3523.56s -> 3527.24s]  If it's a directory, traverse into that directory,
[3527.24s -> 3528.92s]  and then continue reading.
[3528.92s -> 3530.64s]  This should look fairly familiar
[3530.64s -> 3534.24s]  from some CS107 things that you did, okay?
[3534.24s -> 3538.92s]  But let's actually go and write the actual command.
[3541.56s -> 3543.60s]  Search.c.
[3543.60s -> 3545.48s]  Okay, I've got all the header stuff in there.
[3545.48s -> 3546.32s]  What are we gonna do?
[3546.36s -> 3548.06s]  We're going to first do the main function,
[3548.06s -> 3550.76s]  and then we're gonna write this list matches function,
[3551.88s -> 3556.88s]  which is going to be a little bit more involved.
[3558.28s -> 3563.28s]  But for right now, let's actually do the search function.
[3564.36s -> 3567.04s]  In fact, yeah, well, we'll do some of it.
[3567.04s -> 3568.76s]  In fact, I'll just show it to you right now,
[3568.76s -> 3569.88s]  and then we can go and run it,
[3569.88s -> 3573.50s]  the actual version in a little bit, okay?
[3573.50s -> 3575.28s]  The main function,
[3575.28s -> 3576.52s]  consider me typing it all out right now.
[3576.52s -> 3580.08s]  The main function looks like this, okay?
[3580.08s -> 3585.08s]  It basically uses the LSTAT system call
[3587.42s -> 3589.84s]  to get information about whether or not
[3589.84s -> 3591.28s]  a file is a directory.
[3591.28s -> 3592.28s]  And how do you do that?
[3592.28s -> 3597.04s]  Well, you say LSTAT and then some name, right?
[3597.04s -> 3599.50s]  And you populate a struct stat,
[3599.50s -> 3601.12s]  it populates a struct stat with that.
[3601.12s -> 3606.12s]  And then you check and see if it is a directory
[3606.36s -> 3610.12s]  by using this macro, sisdir,
[3610.12s -> 3614.08s]  and then you pass in the mode that you get back,
[3614.08s -> 3616.08s]  all there is to it, okay?
[3616.08s -> 3619.84s]  And then you need to actually go ahead
[3619.84s -> 3624.84s]  and check the length of the directory name itself, okay?
[3625.68s -> 3629.96s]  And then you have a pattern that we're gonna type in
[3629.96s -> 3631.84s]  that you actually are gonna pass in
[3631.84s -> 3633.88s]  to the list matches function
[3633.88s -> 3638.40s]  by basically copying the path
[3638.40s -> 3640.68s]  plus the filing, plus the next, plus the next,
[3640.68s -> 3642.22s]  plus the next, okay?
[3642.22s -> 3643.66s]  And that's how it's gonna work
[3643.66s -> 3646.72s]  using the list matches program,
[3646.72s -> 3650.24s]  or list matches function that we're going to write, okay?
[3650.24s -> 3651.08s]  So that's basically what it is.
[3651.08s -> 3652.58s]  You're gonna type in the search
[3652.58s -> 3654.16s]  and then the name of the directory
[3654.16s -> 3655.56s]  you're starting to search at
[3655.56s -> 3660.56s]  and then the pattern that you're trying to search for
[3661.24s -> 3665.76s]  and the list matches will do all that, okay?
[3665.76s -> 3667.26s]  All right, so how's that gonna work?
[3667.26s -> 3672.26s]  Well, as I said, we need Lstat to do this, okay?
[3673.28s -> 3675.04s]  The sisdir is a macro.
[3675.04s -> 3677.04s]  A macro is kind of like a function
[3677.04s -> 3679.24s]  except it gets replaced in the code immediately.
[3679.24s -> 3680.68s]  It doesn't actually call a function.
[3680.68s -> 3682.88s]  It's like inlines a bunch of code.
[3682.88s -> 3684.48s]  It's basically just trying to check some bits
[3684.48s -> 3685.96s]  and if one of those bits is set,
[3685.96s -> 3689.46s]  means it's a directory for this case, okay?
[3689.46s -> 3690.88s]  There's also isreg,
[3690.88s -> 3693.28s]  which is whether or not it's a regular file.
[3693.28s -> 3695.40s]  Islink is whether it's a link to a file.
[3695.40s -> 3697.84s]  That's the alias I mentioned before.
[3697.84s -> 3699.48s]  And most of this is actually gonna happen
[3699.48s -> 3701.52s]  in the list matches function,
[3701.52s -> 3704.76s]  which I'm gonna show you in a second, okay?
[3704.76s -> 3709.76s]  You need to utilize opendir to open a directory
[3709.92s -> 3714.00s]  and you need to utilize dirint, which is,
[3714.64s -> 3717.72s]  you struct dirint and the readdir function,
[3717.72s -> 3719.08s]  which you should have done in 107.
[3719.08s -> 3720.30s]  If you forget that one, well,
[3720.30s -> 3721.48s]  you can go look up how to do it.
[3721.48s -> 3724.44s]  But it basically does the traversing
[3724.44s -> 3725.72s]  of this directory for you.
[3725.72s -> 3726.80s]  It's kind of nice to do that.
[3726.80s -> 3730.04s]  And then you need to know how to close a directory as well.
[3730.04s -> 3730.88s]  Okay?
[3730.88s -> 3734.08s]  All right, so here's the actual implementation
[3734.08s -> 3737.40s]  of the list matches function, okay?
[3737.40s -> 3739.04s]  The list matches function does what?
[3739.04s -> 3741.32s]  It opens the directory up, okay?
[3741.32s -> 3745.00s]  And if the directory, if the path is null,
[3745.00s -> 3747.44s]  meaning if there is nothing there,
[3747.44s -> 3748.80s]  then it just returns, okay?
[3748.80s -> 3750.32s]  Otherwise, it takes the path,
[3750.32s -> 3754.80s]  it copies the actual path onto the,
[3754.80s -> 3759.48s]  or the, it copies a slash onto the path
[3759.48s -> 3762.40s]  and then starts going through all the different directories
[3762.40s -> 3765.68s]  or all the different entries and checking each one
[3765.68s -> 3768.92s]  to see if it matches what we're trying to match.
[3768.92s -> 3769.76s]  Okay?
[3769.80s -> 3772.16s]  I'm gonna have to do this for my pen down here.
[3772.16s -> 3775.72s]  So we are going to read in the directory
[3775.72s -> 3779.48s]  for in this while loop of going through the directory, okay?
[3779.48s -> 3781.68s]  Again, if it's null, we're going to stop
[3781.68s -> 3783.60s]  because we've gone to, you know, we've gone to the end.
[3783.60s -> 3784.44s]  That's how this works.
[3784.44s -> 3786.88s]  It goes until it gives you back a null, okay?
[3786.88s -> 3791.88s]  And then we're going to compare this to dot and dot dot.
[3792.40s -> 3795.62s]  Dot and dot dot are the two files that are mean what?
[3795.62s -> 3798.24s]  What did we say dot and dot dot were?
[3798.24s -> 3800.08s]  Same directory as dot,
[3800.08s -> 3802.80s]  and then previous directory as dot dot.
[3802.80s -> 3804.68s]  So what it's gonna do is it's gonna ignore those.
[3804.68s -> 3806.12s]  It's gonna skip them because why,
[3806.12s -> 3807.68s]  because then it would end up in some loop
[3807.68s -> 3810.52s]  that you don't wanna go down necessarily, okay?
