# Detected language: en (p=1.00)

[0.00s -> 6.00s]  And can everybody see my screen or the whiteboard that I shared?
[4062.00s -> 4063.00s]  I don't know.
[4064.00s -> 4065.00s]  I don't know.
[4066.00s -> 4067.00s]  I don't know.
[4068.00s -> 4069.00s]  I don't know.
[4070.00s -> 4071.00s]  I don't know.
[4072.00s -> 4073.00s]  I don't know.
[4074.00s -> 4075.00s]  I don't know.
[4076.00s -> 4077.00s]  If the crash occurs,
[4078.00s -> 4079.00s]  then basically atomicity is broken.
[4080.00s -> 4081.00s]  Yeah.
[4082.00s -> 4083.00s]  So this is BAT, correct?
[4084.00s -> 4085.00s]  BAT is basically violates this write-ahead rule
[4086.00s -> 4087.00s]  that I talked about.
[4088.00s -> 4089.00s]  You have to write all the blocks to the lock
[4090.00s -> 4091.00s]  before you write any block
[4092.00s -> 4093.00s]  to its home location.
[4106.00s -> 4107.00s]  So it has to be the case, correct?
[4108.00s -> 4109.00s]  That the cache does not evict
[4110.00s -> 4111.00s]  any block that sits in the lock.
[4112.00s -> 4113.00s]  Does that make sense?
[4115.00s -> 4116.00s]  So the solution is
[4117.00s -> 4118.00s]  don't evict
[4121.00s -> 4123.00s]  blocks that are in the lock.
[4129.00s -> 4130.00s]  And this is exactly
[4131.00s -> 4132.00s]  what I was showing a little bit earlier
[4133.00s -> 4134.00s]  and said I didn't want to talk about.
[4134.00s -> 4135.00s]  So if you go to log write,
[4136.00s -> 4137.00s]  again, just to see for a second there,
[4140.00s -> 4141.00s]  log write, here's log write again.
[4143.00s -> 4144.00s]  And here we see this call to BPIN.
[4146.00s -> 4147.00s]  And what do you think BPIN does?
[4150.00s -> 4151.00s]  The name sort of indicates it.
[4155.00s -> 4156.00s]  It bins the block in the cache?
[4161.00s -> 4162.00s]  Yeah, and how does it do it?
[4162.00s -> 4163.00s]  Since you've been looking at this
[4164.00s -> 4165.00s]  for your current lab extensively,
[4167.00s -> 4168.00s]  what do you think it does?
[4169.00s -> 4170.00s]  So we've had, you know,
[4171.00s -> 4172.00s]  we can look up the implementation with BPIN,
[4173.00s -> 4174.00s]  but we can also guess what it does.
[4179.00s -> 4180.00s]  Doesn't it essentially just make it
[4181.00s -> 4182.00s]  so that it doesn't get evicted
[4183.00s -> 4184.00s]  by increasing the ref count?
[4185.00s -> 4186.00s]  Yeah, exactly.
[4187.00s -> 4188.00s]  This is the only thing it does.
[4189.00s -> 4190.00s]  BPIN just increases the ref count
[4190.00s -> 4191.00s]  so that it won't evict any blocks
[4193.00s -> 4194.00s]  we have a ref count higher than zero.
[4196.00s -> 4197.00s]  And so presumably somewhere later
[4198.00s -> 4199.00s]  in the logging code,
[4200.00s -> 4201.00s]  when once actually everything is logged,
[4202.00s -> 4203.00s]  we can actually unpin the block.
[4206.00s -> 4207.00s]  Okay, so that's one complication.
[4208.00s -> 4209.00s]  So we have this pinning and unpinning going on.
[4212.00s -> 4213.00s]  Let's look at the other complication.
[4220.00s -> 4221.00s]  The file system operations must fit in log.
[4241.00s -> 4242.00s]  You know, as you see,
[4243.00s -> 4244.00s]  if we go back to our picture here,
[4245.00s -> 4246.00s]  or actually maybe this is the better picture,
[4247.00s -> 4248.00s]  how big is the log in xv6?
[4250.00s -> 4251.00s]  30 blocks.
[4254.00s -> 4255.00s]  Yeah, 30 blocks.
[4256.00s -> 4257.00s]  Yeah, 32 minus two.
[4258.00s -> 4259.00s]  So, you know, the max size,
[4260.00s -> 4261.00s]  max log size is 30.
[4264.00s -> 4265.00s]  Of course we could bump it up
[4266.00s -> 4267.00s]  and, you know, real file system
[4268.00s -> 4269.00s]  runs with a much bigger log,
[4270.00s -> 4271.00s]  but it doesn't really matter.
[4272.00s -> 4273.00s]  No matter what, it has to be the case, Greg,
[4274.00s -> 4275.00s]  that the file system operation
[4276.00s -> 4277.00s]  must fit in 30 blocks.
[4278.00s -> 4279.00s]  Because if a file system operation
[4280.00s -> 4281.00s]  we would have to spill something
[4282.00s -> 4283.00s]  to the on-disk location,
[4284.00s -> 4285.00s]  and we're not allowed to do that, right?
[4286.00s -> 4287.00s]  Because that would violate
[4288.00s -> 4289.00s]  the write-ahead rule again.
[4290.00s -> 4291.00s]  So it has to be the case
[4292.00s -> 4293.00s]  that every file system operation
[4294.00s -> 4295.00s]  fits into the log.
[4296.00s -> 4297.00s]  Does that make sense?
[4298.00s -> 4299.00s]  And in fact, you know,
[4300.00s -> 4301.00s]  how do you think we got to 32, or 30?
[4310.00s -> 4311.00s]  Does it have to do anything
[4312.00s -> 4313.00s]  with how many blocks actually fit?
[4314.00s -> 4315.00s]  You know, we're not allowed to find
[4316.00s -> 4317.00s]  because basically what we,
[4318.00s -> 4319.00s]  how many blocks does,
[4320.00s -> 4321.00s]  what is the maximum number of blocks, Greg,
[4322.00s -> 4323.00s]  that the file system operation could write?
[4324.00s -> 4325.00s]  And that is really what the,
[4326.00s -> 4327.00s]  this number 30 has to be
[4328.00s -> 4329.00s]  definitely bigger than any,
[4330.00s -> 4331.00s]  you know, the max number of blocks
[4334.00s -> 4336.00s]  the file system operation
[4340.00s -> 4341.00s]  writes.
[4346.00s -> 4347.00s]  And so in fact,
[4348.00s -> 4349.00s]  you know, what Robert and I did is
[4350.00s -> 4351.00s]  we went through all the file system operations,
[4352.00s -> 4353.00s]  looked at them and, you know,
[4354.00s -> 4355.00s]  decided what sort of the maximum number is.
[4356.00s -> 4357.00s]  And it turns out the maximum number
[4358.00s -> 4359.00s]  is much lower than the 30.
[4360.00s -> 4361.00s]  But, you know, we'll see in a second
[4362.00s -> 4363.00s]  there's a couple interesting complications.
[4364.00s -> 4365.00s]  Like for example, the operation
[4366.00s -> 4367.00s]  that we looked so far,
[4368.00s -> 4369.00s]  like creating a file, correct,
[4370.00s -> 4371.00s]  in fact, most operations are,
[4372.00s -> 4373.00s]  you know, a handful of blocks,
[4374.00s -> 4375.00s]  not that many.
[4376.00s -> 4377.00s]  Can you think of any operations
[4378.00s -> 4379.00s]  that might write many, many, many blocks?
[4394.00s -> 4395.00s]  You mean write on a huge file?
[4396.00s -> 4397.00s]  Yeah, write a huge file, right?
[4398.00s -> 4399.00s]  So what if we, you know,
[4400.00s -> 4401.00s]  called the write system call
[4402.00s -> 4403.00s]  and we pass it to buffer
[4404.00s -> 4405.00s]  and we have like a megabyte of data,
[4406.00s -> 4407.00s]  right, like a thousand blocks?
[4408.00s -> 4409.00s]  It seems like we would be in serious trouble, right?
[4410.00s -> 4411.00s]  It would violate, you know,
[4412.00s -> 4413.00s]  these maximum rules.
[4414.00s -> 4415.00s]  And so let's look at write.
[4428.00s -> 4429.00s]  It says write,
[4430.00s -> 4431.00s]  so let's see if it's file write.
[4432.00s -> 4433.00s]  So here's file write.
[4434.00s -> 4435.00s]  Okay, so here's an inode,
[4436.00s -> 4437.00s]  a file descriptor inode.
[4438.00s -> 4439.00s]  Everybody can see my code,
[4440.00s -> 4441.00s]  the code that I have on the display.
[4442.00s -> 4443.00s]  And notice that what does this code do?
[4449.00s -> 4450.00s]  You can read the comment right on top,
[4451.00s -> 4452.00s]  you know, here, and it basically explains it.
[4453.00s -> 4454.00s]  But basically what happens, correct,
[4455.00s -> 4456.00s]  the write is split in many,
[4457.00s -> 4458.00s]  no more smaller writes.
[4458.00s -> 4460.00s]  So what really was going on here, correct,
[4461.00s -> 4464.00s]  is we're ensuring that the whole write
[4465.00s -> 4467.00s]  as a whole is not atomic,
[4468.00s -> 4469.00s]  but that's okay.
[4470.00s -> 4471.00s]  The write Unix system called semantics
[4472.00s -> 4473.00s]  don't require that actually all the
[4474.00s -> 4475.00s]  thousand blocks, you know, of our megabyte
[4476.00s -> 4477.00s]  are actually written atomically.
[4478.00s -> 4479.00s]  It just requires that we don't corrupt
[4480.00s -> 4481.00s]  the file system, you know, between,
[4482.00s -> 4483.00s]  don't corrupt the file system while doing it.
[4484.00s -> 4485.00s]  And so basically we, you know,
[4485.00s -> 4488.00s]  actually six splits a big write
[4489.00s -> 4490.00s]  in a number of smaller writes
[4491.00s -> 4492.00s]  and writes them as individual transactions.
[4493.00s -> 4494.00s]  And this one basically ensures
[4495.00s -> 4496.00s]  that in our example,
[4497.00s -> 4498.00s]  if a transaction allocates a block number
[4499.00s -> 4500.00s]  because we need a new block
[4501.00s -> 4502.00s]  as an intermediate block,
[4503.00s -> 4504.00s]  or because we need a new block
[4505.00s -> 4506.00s]  because we're gonna write to it,
[4507.00s -> 4508.00s]  at least that part is completely atomic
[4509.00s -> 4510.00s]  and the file system will be never left
[4511.00s -> 4512.00s]  in an incorrect state violating
[4513.00s -> 4514.00s]  any of the file system invariants.
[4515.00s -> 4516.00s]  I mean, in many smaller writes
[4517.00s -> 4518.00s]  or many transactions.
[4519.00s -> 4520.00s]  Okay.
[4521.00s -> 4522.00s]  In fact, that's the main one
[4523.00s -> 4527.00s]  that actually is write FS split
[4528.00s -> 4530.00s]  in many, many transactions.
[4537.00s -> 4538.00s]  Any questions about this?
[4543.00s -> 4544.00s]  And note, because, you know,
[4545.00s -> 4546.00s]  we're pinned correct in cache,
[4547.00s -> 4548.00s]  that means also that the block cache
[4549.00s -> 4550.00s]  was me bigger than,
[4551.00s -> 4553.00s]  bigger either due to lock size.
[4558.00s -> 4559.00s]  Okay.
[4560.00s -> 4561.00s]  So now the final challenge
[4562.00s -> 4563.00s]  that I wanna talk about
[4564.00s -> 4568.00s]  is concurrent file system calls.
[4576.00s -> 4577.00s]  And the issue is as follows.
[4578.00s -> 4579.00s]  It lets me first try to explain
[4580.00s -> 4581.00s]  what the problem is
[4582.00s -> 4583.00s]  and then we'll see what the solution is.
[4584.00s -> 4585.00s]  So let's say we have our log
[4587.00s -> 4588.00s]  and we're writing
[4591.00s -> 4592.00s]  and maybe there are two transactions
[4593.00s -> 4594.00s]  executing concurrently.
[4595.00s -> 4596.00s]  And just imagine for a second
[4597.00s -> 4598.00s]  that, you know,
[4599.00s -> 4600.00s]  they write a lot of blocks.
[4601.00s -> 4602.00s]  So basically T zero is executing
[4602.00s -> 4603.00s]  T zero is executing
[4604.00s -> 4605.00s]  and they're all full.
[4606.00s -> 4607.00s]  So here's the beginning of the log.
[4608.00s -> 4609.00s]  Here's the end of the log
[4610.00s -> 4611.00s]  and, you know, T one executes
[4612.00s -> 4613.00s]  you know, some blocks
[4614.00s -> 4615.00s]  and et cetera, et cetera.
[4616.00s -> 4617.00s]  And by the time we run
[4618.00s -> 4619.00s]  to the end of the log,
[4620.00s -> 4621.00s]  neither one is complete yet.
[4622.00s -> 4623.00s]  You know, so they both have still
[4624.00s -> 4625.00s]  more rights to do.
[4626.00s -> 4627.00s]  And at this point,
[4628.00s -> 4629.00s]  can we commit
[4630.00s -> 4631.00s]  any of the two transactions?
[4633.00s -> 4634.00s]  No, we can't.
[4635.00s -> 4636.00s]  Correct?
[4637.00s -> 4638.00s]  Because if we would commit
[4639.00s -> 4640.00s]  a transaction that is partially done,
[4641.00s -> 4642.00s]  then we violate
[4643.00s -> 4644.00s]  the right ahead rule again
[4645.00s -> 4646.00s]  and, you know, the whole purpose
[4647.00s -> 4648.00s]  of actually logging doesn't work out.
[4649.00s -> 4650.00s]  So it has to be the case
[4651.00s -> 4652.00s]  that basically a number
[4653.00s -> 4654.00s]  of concurrent transactions
[4655.00s -> 4656.00s]  must fit in the log.
[4657.00s -> 4658.00s]  In fact, all concurrent operations
[4663.00s -> 4664.00s]  current, so oops,
[4675.00s -> 4676.00s]  must fit.
[4677.00s -> 4678.00s]  And so in the way,
[4680.00s -> 4681.00s]  so this is sort of a challenge, correct?
[4682.00s -> 4683.00s]  We have, you know, a file system
[4684.00s -> 4685.00s]  call starting and, you know,
[4686.00s -> 4687.00s]  we got to sort of arrange
[4688.00s -> 4689.00s]  that basically the, that we,
[4690.00s -> 4691.00s]  that we basically do a sort of
[4692.00s -> 4693.00s]  an entrance, you know, check.
[4694.00s -> 4695.00s]  You know, before we actually
[4696.00s -> 4697.00s]  left the file system operation go,
[4698.00s -> 4699.00s]  we must check whether there
[4700.00s -> 4701.00s]  actually is enough blocks still,
[4702.00s -> 4703.00s]  you know, if we have like n file
[4704.00s -> 4705.00s]  system operations or any in progress,
[4706.00s -> 4707.00s]  we have to make sure that if we
[4708.00s -> 4709.00s]  allow one more guy to start,
[4710.00s -> 4711.00s]  that actually the total number of
[4712.00s -> 4713.00s]  blocks they could write together
[4714.00s -> 4715.00s]  actually fits in the log.
[4716.00s -> 4717.00s]  And the way, you know,
[4718.00s -> 4719.00s]  basically xv6 sort of gets around
[4720.00s -> 4721.00s]  this is basically limits the
[4722.00s -> 4723.00s]  operation.
[4729.00s -> 4730.00s]  And the way it basically works
[4731.00s -> 4732.00s]  is that,
[4735.00s -> 4736.00s]  in begin op, you know,
[4737.00s -> 4738.00s]  we just see how many outstanding
[4739.00s -> 4740.00s]  concurrent file system operations
[4741.00s -> 4742.00s]  are in progress.
[4743.00s -> 4744.00s]  If there are too many in progress,
[4745.00s -> 4746.00s]  we just stop the current file
[4747.00s -> 4748.00s]  system operation and it goes to
[4749.00s -> 4750.00s]  sleep and it will wait until
[4750.00s -> 4751.00s]  it's done.
[4751.00s -> 4752.00s]  And all the other guys will commit
[4753.00s -> 4754.00s]  together. In fact, like, you know,
[4755.00s -> 4756.00s]  at some point, you know, t1,
[4757.00s -> 4758.00s]  t2, they're basically done,
[4759.00s -> 4760.00s]  you know, maybe t3 is in a 2,
[4761.00s -> 4762.00s]  they finish and then basically in
[4763.00s -> 4764.00s]  all these transactions in a single
[4765.00s -> 4766.00s]  time, in a single, basically
[4767.00s -> 4768.00s]  committed together.
[4769.00s -> 4770.00s]  This is sometimes called group
[4771.00s -> 4772.00s]  commit because you're committing
[4773.00s -> 4774.00s]  multiple system calls, you know,
[4775.00s -> 4776.00s]  all the ones that were concurrent
[4777.00s -> 4778.00s]  in action, you committed
[4778.00s -> 4779.00s]  multiple transactions so that all
[4780.00s -> 4781.00s]  their updates are visible.
[4782.00s -> 4783.00s]  So that all their updates all
[4784.00s -> 4785.00s]  take place or none of them take
[4786.00s -> 4787.00s]  place.
[4791.00s -> 4792.00s]  Okay.
[4794.00s -> 4795.00s]  And we can see that, you know,
[4796.00s -> 4797.00s]  if we go to...
[4798.00s -> 4799.00s]  A quick question.
[4800.00s -> 4801.00s]  Is the group commit,
[4802.00s -> 4804.00s]  is grouping the commits necessary?
[4805.00s -> 4806.00s]  Like, could you
[4807.00s -> 4808.00s]  say if one system calls finish
[4809.00s -> 4810.00s]  first, just commit its
[4811.00s -> 4812.00s]  transaction and then commit
[4813.00s -> 4814.00s]  that once later or is it like a
[4815.00s -> 4816.00s]  necessary property?
[4817.00s -> 4818.00s]  You got to be very, very careful
[4819.00s -> 4820.00s]  because you remember one thing I
[4821.00s -> 4822.00s]  didn't really state as explicitly as
[4823.00s -> 4824.00s]  a goal early on is that we
[4825.00s -> 4826.00s]  basically execute the system calls
[4827.00s -> 4828.00s]  still in the right order, right?
[4829.00s -> 4830.00s]  If a write or if a read observes
[4831.00s -> 4832.00s]  a write and then does a write,
[4833.00s -> 4834.00s]  then it has to be the case that
[4834.00s -> 4835.00s]  that second write happens later
[4836.00s -> 4837.00s]  than the first write.
[4838.00s -> 4839.00s]  And the reason that this is a log,
[4840.00s -> 4841.00s]  correct, is because that basically
[4842.00s -> 4843.00s]  reflects the order in which the
[4844.00s -> 4845.00s]  writes have happened.
[4846.00s -> 4847.00s]  And so you can't really,
[4848.00s -> 4849.00s]  really nearly change the order of
[4850.00s -> 4851.00s]  the writes in the log because
[4852.00s -> 4853.00s]  that may actually result into
[4854.00s -> 4855.00s]  bizarre behavior, observable by
[4856.00s -> 4857.00s]  user programs.
[4858.00s -> 4859.00s]  And so that has to be the case
[4860.00s -> 4861.00s]  that basically you commit, you
[4862.00s -> 4863.00s]  know, the operations and
[4864.00s -> 4865.00s]  also perform the writes in the
[4866.00s -> 4867.00s]  order they happened.
[4868.00s -> 4869.00s]  And so in general, you know,
[4870.00s -> 4871.00s]  it's safe, you know, it's safe
[4872.00s -> 4873.00s]  to basically commit them all
[4874.00s -> 4875.00s]  together. You're always in a good
[4876.00s -> 4877.00s]  shape.
[4878.00s -> 4879.00s]  OK.
[4879.00s -> 4880.00s]  Good question, though.
[4883.00s -> 4884.00s]  OK, I just want to go back to
[4885.00s -> 4886.00s]  one more thing and look at the
[4887.00s -> 4888.00s]  beginning off.
[4889.00s -> 4890.00s]  I talked a little bit of the
[4891.00s -> 4892.00s]  guys said like, oh, nothing.
[4892.00s -> 4893.00s]  I don't want to talk about it
[4893.00s -> 4894.00s]  right now.
[4896.00s -> 4897.00s]  But.
[4898.00s -> 4899.00s]  There we can see.
[4901.00s -> 4902.00s]  So here's the game up.
[4903.00s -> 4904.00s]  First of all, if
[4905.00s -> 4906.00s]  we're ready and committing the
[4907.00s -> 4908.00s]  log, we're just going to wait
[4908.00s -> 4909.00s]  until the log has committed
[4910.00s -> 4911.00s]  because, you know, we can't
[4912.00s -> 4913.00s]  write to the log while the log
[4914.00s -> 4915.00s]  actually being installed.
[4916.00s -> 4917.00s]  If we're the
[4918.00s -> 4919.00s]  nth concurrent operation that
[4920.00s -> 4921.00s]  basically makes us go across
[4922.00s -> 4923.00s]  size, we could just go to sleep.
[4925.00s -> 4926.00s]  And wait until basically
[4927.00s -> 4928.00s]  all the preceding concurrent
[4928.00s -> 4929.00s]  transactions are done.
[4930.00s -> 4931.00s]  And if we're allowed to
[4932.00s -> 4933.00s]  proceed, you know, basically our
[4933.00s -> 4934.00s]  entrance is allowed.
[4935.00s -> 4936.00s]  You know, we increase lock
[4936.00s -> 4937.00s]  outstanding by one because
[4938.00s -> 4939.00s]  reflect our thing and then we
[4939.00s -> 4940.00s]  basically proceed and start
[4940.00s -> 4941.00s]  doing file system operations.
[4942.00s -> 4943.00s]  And if you don't look at
[4944.00s -> 4945.00s]  and up again, just to
[4946.00s -> 4947.00s]  see, you see the end up
[4947.00s -> 4948.00s]  basically decreases lock
[4949.00s -> 4950.00s]  outstanding by one because one
[4950.00s -> 4951.00s]  transaction has finished.
[4953.00s -> 4954.00s]  It certainly would be an error.
[4955.00s -> 4956.00s]  We were in creating states and
[4956.00s -> 4957.00s]  we panic in that case.
[4957.00s -> 4959.00s]  And we actually are the last
[4959.00s -> 4960.00s]  one from that set of
[4960.00s -> 4961.00s]  concurrent transactions.
[4962.00s -> 4963.00s]  Then actually and lock
[4963.00s -> 4964.00s]  outstanding goes to zero.
[4964.00s -> 4965.00s]  We immediately start committing.
[4966.00s -> 4967.00s]  And then when we're done
[4969.00s -> 4970.00s]  or when actually
[4971.00s -> 4972.00s]  if we're not the
[4973.00s -> 4974.00s]  yeah.
[4976.00s -> 4977.00s]  Yeah, we commit.
[4979.00s -> 4980.00s]  And if there's space, you
[4980.00s -> 4981.00s]  know, left, you know, we wake
[4982.00s -> 4983.00s]  up a guy so that they can
[4984.00s -> 4985.00s]  actually start running.
[4986.00s -> 4987.00s]  OK, so even this
[4988.00s -> 4989.00s]  dirt simple file system that
[4990.00s -> 4991.00s]  or just dirt simple logging
[4991.00s -> 4992.00s]  system that actually six
[4993.00s -> 4994.00s]  actually has a bunch of
[4994.00s -> 4995.00s]  complications.
[4998.00s -> 4999.00s]  So I'm starting to run out of
[4999.00s -> 5001.00s]  time, so let me wrap up here.
[5002.00s -> 5003.00s]  So in summary.
[5005.00s -> 5006.00s]  You know, what do we
[5007.00s -> 5008.00s]  what we talked about is
[5008.00s -> 5009.00s]  basically logging
[5010.00s -> 5011.00s]  as a solution for
[5013.00s -> 5014.00s]  for crash safety
[5015.00s -> 5017.00s]  or really for multi step
[5019.00s -> 5020.00s]  file system operations.
[5023.00s -> 5024.00s]  And, you know, what we've
[5025.00s -> 5026.00s]  seen so far, you know,
[5026.00s -> 5027.00s]  it works great for crash
[5027.00s -> 5028.00s]  safety, but, you know,
[5028.00s -> 5030.00s]  performance and
[5031.00s -> 5032.00s]  that's going to be the topic
[5032.00s -> 5033.00s]  for Monday. And
[5034.00s -> 5035.00s]  as you read that
[5036.00s -> 5037.00s]  free file system paper for
[5037.00s -> 5038.00s]  Monday, you know, that's the
[5038.00s -> 5039.00s]  thing you should be thinking
[5039.00s -> 5040.00s]  about.
[5041.00s -> 5042.00s]  OK, any more final
[5043.00s -> 5044.00s]  questions? And in fact,
[5044.00s -> 5045.00s]  anybody who has to leave,
[5045.00s -> 5046.00s]  please feel free to leave.
[5047.00s -> 5048.00s]  But if you want to hang
[5048.00s -> 5049.00s]  around and ask more
[5049.00s -> 5050.00s]  questions, you know, please
[5050.00s -> 5051.00s]  do so.
[5054.00s -> 5055.00s]  I have a question regarding
[5057.00s -> 5058.00s]  cache size and the log
[5058.00s -> 5059.00s]  size.
[5059.00s -> 5060.00s]  So you said that the cache
[5061.00s -> 5062.00s]  size has to be at least as
[5062.00s -> 5063.00s]  big as the log size,
[5064.00s -> 5065.00s]  but they seem to be the
[5065.00s -> 5066.00s]  same size for
[5067.00s -> 5068.00s]  this case.
[5068.00s -> 5069.00s]  So would that mean that
[5069.00s -> 5071.00s]  if the log pins
[5072.00s -> 5073.00s]  30
[5074.00s -> 5075.00s]  buffers
[5076.00s -> 5077.00s]  and then some other
[5077.00s -> 5078.00s]  operation tries to do
[5078.00s -> 5079.00s]  something,
[5079.00s -> 5080.00s]  it just fails because
[5081.00s -> 5082.00s]  it runs out of
[5083.00s -> 5084.00s]  free
[5086.00s -> 5087.00s]  spots in the buffer?
[5087.00s -> 5088.00s]  No.
[5089.00s -> 5090.00s]  Maybe let's
[5090.00s -> 5091.00s]  let's look at the
[5093.00s -> 5094.00s]  cache.
[5094.00s -> 5095.00s]  So.
[5096.00s -> 5097.00s]  Let me first actually
[5097.00s -> 5098.00s]  check one thing.
[5102.00s -> 5104.00s]  OK, let's go through bio.
[5107.00s -> 5108.00s]  OK.
[5110.00s -> 5111.00s]  Let's actually first check
[5111.00s -> 5112.00s]  if involved is bigger than.
[5115.00s -> 5116.00s]  OK, sets of
[5116.00s -> 5117.00s]  lots of sizes in the
[5117.00s -> 5118.00s]  block cache.
[5118.00s -> 5119.00s]  OK, so it's set up to
[5119.00s -> 5120.00s]  something big.
[5121.00s -> 5122.00s]  So what happens actually
[5122.00s -> 5123.00s]  if we can't find
[5123.00s -> 5124.00s]  we can't find a buffer
[5125.00s -> 5126.00s]  and actually there's
[5126.00s -> 5127.00s]  panics.
[5128.00s -> 5129.00s]  And.
[5131.00s -> 5132.00s]  So we're
[5133.00s -> 5134.00s]  there's no free slot
[5134.00s -> 5135.00s]  in the buffer cache,
[5135.00s -> 5136.00s]  actually six panics,
[5136.00s -> 5137.00s]  so it's not particularly
[5137.00s -> 5138.00s]  ideal. In fact,
[5138.00s -> 5139.00s]  it's terrible.
[5140.00s -> 5141.00s]  And so you hope never
[5141.00s -> 5142.00s]  to be in this situation
[5142.00s -> 5143.00s]  and hopefully we picked our
[5143.00s -> 5144.00s]  numbers correctly that
[5144.00s -> 5145.00s]  basically this is unlikely
[5145.00s -> 5146.00s]  to happen.
[5146.00s -> 5147.00s]  But why can't we return
[5147.00s -> 5148.00s]  an error?
[5149.00s -> 5150.00s]  Because that seems like
[5150.00s -> 5151.00s]  the obvious thing to do
[5151.00s -> 5152.00s]  like, you know.
[5153.00s -> 5154.00s]  You
[5165.00s -> 5166.00s]  just return an error
[5166.00s -> 5167.00s]  to the caller
[5167.00s -> 5168.00s]  and then the caller
[5168.00s -> 5169.00s]  maybe returns
[5169.00s -> 5170.00s]  back up to the
[5170.00s -> 5171.00s]  file system interface
[5171.00s -> 5172.00s]  and just return
[5172.00s -> 5173.00s]  minus one saying like,
[5173.00s -> 5174.00s]  oh, this operation failed.
[5175.00s -> 5176.00s]  Why is that a
[5176.00s -> 5177.00s]  problem?
[5180.00s -> 5181.00s]  So ready to think
[5181.00s -> 5182.00s]  about this is that
[5182.00s -> 5183.00s]  many file system
[5183.00s -> 5184.00s]  operations are multi-step
[5184.00s -> 5185.00s]  operations, right?
[5186.00s -> 5187.00s]  As we have seen
[5187.00s -> 5188.00s]  now in this lecture
[5189.00s -> 5190.00s]  and in the previous
[5190.00s -> 5191.00s]  lecture.
[5191.00s -> 5192.00s]  And let's say
[5193.00s -> 5194.00s]  we did two writes
[5194.00s -> 5195.00s]  and then the
[5195.00s -> 5196.00s]  third write
[5196.00s -> 5197.00s]  we run into this case
[5198.00s -> 5199.00s]  where we can't
[5199.00s -> 5200.00s]  actually do the write
[5200.00s -> 5201.00s]  because, you know,
[5201.00s -> 5202.00s]  there's no place in
[5202.00s -> 5203.00s]  the block cache.
[5203.00s -> 5204.00s]  We have done
[5204.00s -> 5205.00s]  two writes, right?
[5206.00s -> 5207.00s]  Can we just
[5207.00s -> 5208.00s]  bail out of the
[5208.00s -> 5209.00s]  file system call?
[5210.00s -> 5211.00s]  Okay, I see.
[5211.00s -> 5212.00s]  Right.
[5212.00s -> 5213.00s]  We cannot, right?
[5213.00s -> 5214.00s]  Because we might
[5214.00s -> 5215.00s]  have updated
[5215.00s -> 5216.00s]  in the directory,
[5216.00s -> 5217.00s]  you know, a
[5217.00s -> 5218.00s]  directory block of
[5218.00s -> 5219.00s]  some file.
[5219.00s -> 5220.00s]  We might have
[5220.00s -> 5221.00s]  to update a
[5221.00s -> 5222.00s]  directory block
[5222.00s -> 5223.00s]  of some directory.
[5223.00s -> 5224.00s]  And if we
[5224.00s -> 5225.00s]  wanted to make
[5225.00s -> 5226.00s]  this work,
[5226.00s -> 5227.00s]  you know,
[5227.00s -> 5228.00s]  what we would
[5228.00s -> 5229.00s]  have to do is
[5229.00s -> 5230.00s]  basically undo
[5230.00s -> 5231.00s]  those changes, right?
[5231.00s -> 5232.00s]  Like any
[5232.00s -> 5233.00s]  writes that we
[5233.00s -> 5234.00s]  did before as
[5234.00s -> 5235.00s]  part of that
[5235.00s -> 5236.00s]  system call,
[5236.00s -> 5237.00s]  we have to undo.
[5238.00s -> 5239.00s]  Right, okay.
[5239.00s -> 5240.00s]  No, that is
[5240.00s -> 5241.00s]  painful.
[5241.00s -> 5242.00s]  Right.
[5242.00s -> 5243.00s]  So we don't
[5243.00s -> 5244.00s]  do it.
[5244.00s -> 5245.00s]  Does that make
[5245.00s -> 5246.00s]  sense?
[5246.00s -> 5247.00s]  Okay, so it's
[5247.00s -> 5248.00s]  not a problem
[5248.00s -> 5249.00s]  if the
[5249.00s -> 5250.00s]  log,
[5250.00s -> 5251.00s]  the log
[5251.00s -> 5252.00s]  pins everything
[5252.00s -> 5253.00s]  and there's
[5253.00s -> 5254.00s]  no more space
[5254.00s -> 5255.00s]  for cache,
[5255.00s -> 5256.00s]  but it will
[5256.00s -> 5257.00s]  just panic.
[5257.00s -> 5258.00s]  Okay.
[5258.00s -> 5259.00s]  Yeah.
[5259.00s -> 5260.00s]  Yeah, of course
[5260.00s -> 5261.00s]  this panic
[5261.00s -> 5262.00s]  should never
[5262.00s -> 5263.00s]  really happen,
[5263.00s -> 5264.00s]  right?
[5264.00s -> 5265.00s]  Like there's
[5265.00s -> 5266.00s]  only odd
[5266.00s -> 5267.00s]  things.
[5267.00s -> 5268.00s]  Okay.
[5268.00s -> 5269.00s]  Yeah, that
[5269.00s -> 5270.00s]  makes sense.
[5270.00s -> 5271.00s]  Okay.
[5271.00s -> 5272.00s]  Thank you.
[5272.00s -> 5273.00s]  You're
[5273.00s -> 5274.00s]  welcome.
[5274.00s -> 5275.00s]  Any more
[5275.00s -> 5276.00s]  questions?
[5276.00s -> 5277.00s]  I had a
[5277.00s -> 5278.00s]  question about
[5278.00s -> 5279.00s]  I guess
[5279.00s -> 5280.00s]  following off
[5280.00s -> 5281.00s]  on my
[5281.00s -> 5282.00s]  earlier one
[5282.00s -> 5283.00s]  about the
