# Detected language: en (p=1.00)

[0.00s -> 6.00s]  All right, I'd like to get started. Can anyone hear me?
[4627.00s -> 4632.00s]  It'll probably, if there was no data in the pipe before, there'll probably still be no data in the pipe.
[4632.00s -> 4637.00s]  And now this pipe read at least checks whether the process has been killed.
[4637.00s -> 4642.00s]  And if it has been killed, instead of sleeping again, the pipe read will return.
[4642.00s -> 4644.00s]  Return an error doesn't really matter.
[4644.00s -> 4651.00s]  But what we're returning to is this syscall, since we're in a system call,
[4651.00s -> 4656.00s]  where pipe read really returns to in the end is returns from the system call.
[4656.00s -> 4662.00s]  And then user trap checks PR killed again and will now exit.
[4662.00s -> 4671.00s]  So for sleeps that we know it's OK to just bail out of when a process is killed,
[4672.00s -> 4674.00s]  those loops check the killed flag.
[4674.00s -> 4682.00s]  But there are also sleeps where it would not be OK for a process to quit if it's killed in that sleep.
[4682.00s -> 4688.00s]  So, for example, if a process is in the middle of updating the file system on disk to create a new file,
[4688.00s -> 4692.00s]  that is a bad time. Even if it's sleeping waiting for the disk,
[4692.00s -> 4696.00s]  that's a bad time for a process to just decide to quit because it's been killed.
[4696.00s -> 4701.00s]  We want to finish the complete file system operation and only then have the process exit.
[4701.00s -> 4708.00s]  And so you can see this. We haven't looked at this, but I will show you in the disk driver
[4708.00s -> 4713.00s]  an example of a sleep loop that doesn't check killed.
[4716.00s -> 4724.00s]  So here we are. This is the sleep in which a process waits for the disk to finish reading a disk block,
[4724.00s -> 4730.00s]  and it absolutely doesn't check killed because it wants to finish maybe in the middle of creating a file,
[4730.00s -> 4735.00s]  which involves multiple disk reads and writes, want to finish the entire file system operation,
[4735.00s -> 4742.00s]  the entire system call, and only then check PR killed and exit.
[4742.00s -> 4746.00s]  Questions about anything?
[4746.00s -> 4751.00s]  I have a question about why is kill allowed in the way it is?
[4751.00s -> 4759.00s]  Why wouldn't the process kill all the other processes so that it can run by itself?
[4759.00s -> 4768.00s]  Well, you know, you do that at MIT on an Athena timesharing machine, they'll probably kick you out of school.
[4768.00s -> 4771.00s]  Right, but why is it allowed, I guess?
[4771.00s -> 4779.00s]  It's allowed in XV6 because XV6 is a toy operating system that,
[4779.00s -> 4788.00s]  it's just like anything that has to do with permissions, it just doesn't exist in XV6.
[4788.00s -> 4795.00s]  In Linux or a real operating system, every process has a user ID that corresponds to the more or less
[4795.00s -> 4798.00s]  to the human user who's executing the process.
[4798.00s -> 4806.00s]  And some system calls use the user ID of the process to kind of check is the process allowed to do this.
[4806.00s -> 4817.00s]  And so in Linux, you would see an extra check here that said that the calling process has to have the same user ID
[4817.00s -> 4821.00s]  as the process is trying to kill, otherwise it's not allowed.
[4821.00s -> 4828.00s]  And that, at least in a timesharing context, where we have multiple users and we don't want them to kill each other's processes,
[4828.00s -> 4837.00s]  that's more or less sufficient to keep people from, to make it hard for people to kill other people's processes.
[4837.00s -> 4841.00s]  Okay, I see. Thank you.
[4841.00s -> 4845.00s]  Does the init process ever exit?
[4845.00s -> 4850.00s]  Let me check.
[4850.00s -> 4856.00s]  Yes. If fork fails, it will exit. However, the real answer to your question is no.
[4856.00s -> 4866.00s]  The intent is that init never exits. It just sits in this loop and what it's doing is calling wait over and over again.
[4866.00s -> 4872.00s]  If init exits, I think that's a fatal error and the system will crash.
[4872.00s -> 4887.00s]  And there's code somewhere in the kernel that says maybe an exit. Let's just check exit.
[4887.00s -> 4894.00s]  Yeah, here we are in the beginning of exit. If it looks like the current process is the init process, it's a panic.
[4894.00s -> 4904.00s]  Because the system would eventually grind to a halt if there were a no init, because then there'd be nothing to call wait on these exiting processes,
[4904.00s -> 4912.00s]  and nothing to complete the freeing of the processes, and gradually we'd run out of processes, and then that would be some other error.
[4912.00s -> 4918.00s]  But we have to have an init. So the real answer is that no init really can't be allowed to exit.
[4918.00s -> 4924.00s]  Better not exit.
[4924.00s -> 4928.00s]  Okay.
[4928.00s -> 4932.00s]  Any other questions?
[4932.00s -> 4944.00s]  I guess another question. So, I guess we haven't really talked about it much in this class yet but like what happens, or what needs to happen to like shut down the OS?
[4944.00s -> 4950.00s]  Gotta unplug it.
[4950.00s -> 4962.00s]  This is like very complex and it depends on what you're running. If the machine is currently doing nothing, well,
[4962.00s -> 4967.00s]  part of the answer to the question is that the file system ends up being...
[4967.00s -> 4977.00s]  Because the file system is permanent, you know, the file system is carried over from reboot to reboot, we need to leave the file system in good shape.
[4977.00s -> 4986.00s]  So if we were in the middle of some update to the file system, like creating a file, and we want to shut the system down or the power field or something,
[4986.00s -> 4993.00s]  we absolutely need a strategy to make sure that even though we were in the middle of some complex update to the file system,
[4993.00s -> 5002.00s]  that we don't leave the file system in a state. We don't expose any broken invariance in the on disk file system structures.
[5002.00s -> 5006.00s]  Because the file system is really just a data structure that lives on disk.
[5006.00s -> 5015.00s]  So there's like a lot of sort of machinery involved and like making sure that if you shut down or the power fails or who knows what,
[5015.00s -> 5024.00s]  we can recover the file system on disk. For the rest though, if it's not for that,
[5024.00s -> 5031.00s]  then whether you have to do anything special to shut down depends on what processes you're running.
[5031.00s -> 5038.00s]  If you're running some important server, you know, a database server that a lot of other computers depend on and use over the network,
[5038.00s -> 5047.00s]  who knows? You know, the answer may be that you just cannot be allowed to shut down because you're providing a service that's critical to a bunch of other computers.
[5047.00s -> 5056.00s]  If your computer is not doing much of anything, then you can just turn it off and it will stop executing.
[5056.00s -> 5061.00s]  And there's not much to do. I mean, really, maybe the answer to your question is if you want to shut down the computer,
[5061.00s -> 5067.00s]  make sure the file system is in good shape and then stop executing instructions. And that's fine.
[5067.00s -> 5072.00s]  That makes sense. Yeah. Thank you.
[5072.00s -> 5077.00s]  Anything else?
[5077.00s -> 5084.00s]  Oh, sorry. I have another question. So what is the Semaphore interface?
[5084.00s -> 5089.00s]  Talking about P and V.
[5089.00s -> 5094.00s]  So just those two functions?
[5094.00s -> 5096.00s]  Yeah.
[5096.00s -> 5101.00s]  XPC doesn't have Semaphores, really, but the book Semaphores, I think it's just P and V.
[5101.00s -> 5107.00s]  Those are two methods. You have a Semaphore object that has two methods, P and V.
[5107.00s -> 5116.00s]  OK, I see. Thank you.
[5116.00s -> 5121.00s]  Anything else?
[5121.00s -> 5150.00s]  All right.
